Date,Close,Open,High,Low,Volume,Change
2019-07-11,90.93,90.53,91.42,90.19,1810000.0,0.0013
2019-07-12,90.25,90.9,91.14,89.8,1370000.0,-0.0075
2019-07-15,91.19,90.64,91.34,90.14,1900000.0,0.0104
2019-07-16,90.51,90.77,91.17,89.96,1560000.0,-0.0075
2019-07-17,91.02,90.79,91.82,90.6,1790000.0,0.005600000000000001
2019-07-18,91.76,90.9,91.82,90.27,1340000.0,0.008100000000000001
2019-07-19,90.28,91.58,91.82,90.24,1690000.0,-0.0161
2019-07-22,90.12,90.48,90.57,89.39,1390000.0,-0.0018
2019-07-23,89.51,90.05,90.2,89.11,1730000.0,-0.0068000000000000005
2019-07-24,89.61,89.85,89.86,88.63,2009999.9999999998,0.0011
2019-07-25,89.08,89.28,89.87,88.48,2250000.0,-0.0059
2019-07-26,88.95,88.74,89.46,88.64,2180000.0,-0.0015
2019-07-29,89.74,89.28,89.83,88.84,1740000.0,0.0089
2019-07-30,88.72,89.62,89.88,88.27,1690000.0,-0.011399999999999999
2019-07-31,87.81,88.59,89.17,87.44,2940000.0,-0.0103
2019-08-01,88.81,87.65,89.34,87.04,3430000.0,0.011399999999999999
2019-08-02,88.7,89.35,89.77,88.59,1980000.0,-0.0012
2019-08-05,88.02,88.95,89.48,87.38,2940000.0,-0.0077
2019-08-06,89.14,88.0,89.51,87.24,2730000.0,0.0127
2019-08-07,89.74,89.39,90.32,88.08,1950000.0,0.0067
2019-08-08,89.51,88.82,89.79,88.1,3090000.0,-0.0026
2019-08-09,89.97,89.77,90.39,89.54,1600000.0,0.0051
2019-08-12,90.43,90.13,90.66,89.85,1500000.0,0.0051
2019-08-13,90.25,90.38,90.68,89.43,1850000.0,-0.002
2019-08-14,88.48,90.08,90.57,88.09,4570000.0,-0.0196
2019-08-15,90.36,88.38,90.62,88.2,2870000.0,0.0212
2019-08-16,90.23,90.47,90.79,90.02,2130000.0,-0.0014000000000000002
2019-08-19,90.55,90.25,91.22,90.0,1730000.0,0.0034999999999999996
2019-08-20,90.77,91.0,91.05,90.08,1450000.0,0.0024
2019-08-21,91.35,90.51,91.36,90.41,1330000.0,0.0064
2019-08-22,90.97,91.28,91.46,90.61,1630000.0,-0.0042
2019-08-23,89.58,91.21,91.43,89.05,2250000.0,-0.015300000000000001
