Date,Close,Open,High,Low,Volume,Change
2019-07-11,56.36,56.55,56.64,56.07,2830000.0,-0.0027
2019-07-12,56.89,56.64,56.96,56.34,2210000.0,0.009399999999999999
2019-07-15,56.57,57.15,57.18,56.52,3030000.0,-0.005600000000000001
2019-07-16,56.11,56.23,56.61,55.8,3330000.0,-0.008100000000000001
2019-07-17,55.64,56.12,56.19,55.49,2840000.0,-0.0084
2019-07-18,56.13,55.79,56.21,55.53,2140000.0,0.0088
2019-07-19,55.0,56.37,56.49,54.96,3990000.0,-0.020099999999999996
2019-07-22,55.06,55.05,55.37,54.79,3110000.0,0.0011
2019-07-23,55.19,55.05,55.21,54.56,2390000.0,0.0024
2019-07-24,53.92,55.12,55.2,53.46,6050000.0,-0.023
2019-07-25,53.77,53.86,54.08,53.48,3160000.0,-0.0028000000000000004
2019-07-26,53.89,53.8,54.0,52.85,4370000.0,0.0022
2019-07-29,52.96,53.74,53.84,52.75,3570000.0,-0.0173
2019-07-30,52.88,52.83,53.27,52.66,2700000.0,-0.0015
2019-07-31,52.64,52.81,53.34,52.23,5370000.0,-0.0045000000000000005
2019-08-01,52.31,52.58,53.38,52.09,4430000.0,-0.0063
2019-08-02,52.53,52.29,52.87,51.79,3600000.0,0.0042
2019-08-05,51.36,51.94,52.35,51.15,4240000.0,-0.0223
2019-08-06,52.03,51.42,52.06,50.99,3750000.0,0.013000000000000001
2019-08-07,52.11,51.49,52.41,50.94,3380000.0,0.0015
2019-08-08,52.88,52.46,53.02,52.38,2970000.0,0.0148
2019-08-09,52.88,52.9,53.07,52.4,2280000.0,0.0
2019-08-12,52.32,52.6,53.19,52.27,2000000.0,-0.0106
2019-08-13,52.92,52.17,53.12,52.03,2750000.0,0.0115
2019-08-14,51.28,52.2,52.69,51.25,3350000.0,-0.031
2019-08-15,52.07,51.48,52.23,51.48,2790000.0,0.0154
2019-08-16,52.65,52.42,52.83,52.24,2740000.0,0.0111
2019-08-19,52.68,53.23,53.36,52.66,2680000.0,0.0006
2019-08-20,51.86,52.13,52.56,51.8,2560000.0,-0.015600000000000001
2019-08-21,48.98,51.0,51.0,48.97,8500000.0,-0.0555
2019-08-22,49.51,49.05,49.66,48.41,5260000.0,0.0108
2019-08-23,48.36,49.35,49.59,48.14,4370000.0,-0.0232
2019-08-26,48.95,48.68,49.06,48.5,3300000.0,0.012199999999999999
2019-08-27,48.98,49.12,49.51,48.72,3850000.0,0.0006
2019-08-28,49.12,48.8,49.2,48.76,3190000.0,0.0029
2019-08-29,49.6,49.57,49.91,49.4,3260000.0,0.0098
2019-08-30,50.18,49.92,50.32,49.76,3870000.0,0.011699999999999999
2019-09-03,50.38,49.75,50.43,49.6,3780000.0,0.004
2019-09-04,50.79,50.79,50.89,50.62,2920000.0,0.008100000000000001
2019-09-05,51.13,51.19,51.63,51.02,2920000.0,0.0067
2019-09-06,51.57,51.3,51.84,51.22,3390000.0,0.0086
2019-09-09,51.08,51.52,51.6,50.81,3050000.0,-0.0095
2019-09-10,50.97,51.14,51.28,50.54,3970000.0,-0.0022
2019-09-11,51.4,51.0,51.44,50.61,3260000.0,0.0084
2019-09-12,51.47,51.31,51.69,51.18,3090000.0,0.0014000000000000002
2019-09-13,51.77,51.82,52.17,51.69,3830000.0,0.0058
2019-09-16,51.91,51.53,51.96,51.41,2510000.0,0.0027
2019-09-17,52.44,51.83,52.44,51.69,2600000.0,0.0102
2019-09-18,52.61,52.44,52.66,52.26,2280000.0,0.0032
2019-09-19,52.56,52.66,53.07,52.54,2460000.0,-0.001
2019-09-20,51.97,52.79,52.89,51.95,6670000.0,-0.011200000000000002
2019-09-23,52.35,51.74,52.61,51.65,3240000.0,0.0073
2019-09-24,52.42,52.38,52.91,52.29,3680000.0,0.0013
2019-09-25,52.17,52.25,52.47,51.63,3660000.0,-0.0048
2019-09-26,51.91,52.24,52.4,51.89,3950000.0,-0.005
2019-09-27,51.89,52.1,52.17,51.58,3630000.0,-0.0004
2019-09-30,52.32,52.0,52.78,51.95,4000000.0,0.0083
2019-10-01,51.54,52.55,52.61,51.39,3410000.0,-0.0149
2019-10-02,50.58,51.22,51.37,50.47,4179999.9999999995,-0.018600000000000002
2019-10-03,51.18,50.55,51.32,50.43,3140000.0,0.011899999999999999
2019-10-04,52.1,51.21,52.29,51.21,3250000.0,0.018000000000000002
2019-10-07,51.95,52.09,52.17,51.67,2780000.0,-0.0029
2019-10-08,51.04,51.5,51.64,51.02,3070000.0,-0.0175
2019-10-09,51.5,51.38,51.7,51.36,2690000.0,0.009000000000000001
2019-10-10,52.07,51.65,52.27,51.44,2580000.0,0.0111
2019-10-11,52.44,52.29,52.9,52.29,3670000.0,0.0070999999999999995
2019-10-14,52.51,52.25,52.7,52.2,2610000.0,0.0013
2019-10-15,52.83,52.6,53.03,52.57,2780000.0,0.0060999999999999995
2019-10-16,52.66,52.88,52.93,52.59,3350000.0,-0.0032
2019-10-17,52.65,52.93,53.1,52.65,2250000.0,-0.0002
2019-10-18,52.71,52.65,52.86,52.54,3490000.0,0.0011
2019-10-21,52.9,53.0,53.21,52.84,2830000.0,0.0036
2019-10-22,52.42,52.87,52.96,52.35,2530000.0,-0.0091
2019-10-23,52.47,52.42,52.8,52.25,2770000.0,0.001
2019-10-24,52.56,52.5,52.65,52.27,2150000.0,0.0017000000000000001
2019-10-25,53.26,52.6,53.64,52.6,2750000.0,0.013300000000000001
2019-10-28,53.51,53.57,53.84,53.43,2160000.0,0.004699999999999999
2019-10-29,53.58,53.34,53.88,53.26,2250000.0,0.0013
2019-10-30,53.36,53.5,53.59,53.13,1970000.0,-0.0040999999999999995
2019-10-31,53.16,53.15,53.36,52.84,3400000.0,-0.0037
2019-11-01,53.61,53.49,53.61,53.2,2240000.0,0.0085
2019-11-04,53.45,53.87,53.93,53.39,2170000.0,-0.003
2019-11-05,52.94,53.4,53.41,52.59,3380000.0,-0.0095
2019-11-06,53.7,52.95,53.72,52.84,2780000.0,0.0144
2019-11-07,54.15,53.8,54.28,53.7,2730000.0,0.0084
2019-11-08,54.14,54.08,54.23,53.87,1850000.0,-0.0002
2019-11-11,54.03,53.71,54.33,53.66,1400000.0,-0.002
2019-11-12,53.97,54.06,54.17,53.87,2029999.9999999998,-0.0011
2019-11-13,54.14,53.66,54.2,53.48,1710000.0,0.0031
2019-11-14,54.18,54.16,54.29,54.01,2180000.0,0.0007000000000000001
2019-11-15,54.4,54.41,54.48,53.88,2710000.0,0.0040999999999999995
2019-11-18,54.39,54.26,54.55,54.14,2930000.0,-0.0002
2019-11-19,54.08,54.26,54.52,54.04,2840000.0,-0.005699999999999999
2019-11-20,54.13,53.98,54.27,53.84,2049999.9999999998,0.0009
2019-11-21,53.87,54.22,54.22,53.75,1940000.0,-0.0048
2019-11-22,53.99,53.92,54.06,53.74,1860000.0,0.0022
2019-11-25,54.3,54.12,54.35,54.05,2100000.0,0.005699999999999999
2019-11-26,54.73,54.29,54.74,54.04,4000000.0,0.0079
2019-11-27,54.82,54.97,54.99,54.52,2170000.0,0.0016
2019-11-29,54.84,54.83,55.07,54.76,1270000.0,0.0004
2019-12-02,52.68,54.72,54.83,52.64,5340000.0,-0.0394
2019-12-03,51.73,52.07,52.24,51.29,5010000.0,-0.018000000000000002
2019-12-04,52.33,51.66,52.52,51.66,3100000.0,0.0116
2019-12-05,52.72,52.41,52.82,52.34,2860000.0,0.0075
2019-12-06,52.99,53.3,53.33,52.98,2690000.0,0.0051
2019-12-09,53.05,52.77,53.12,52.68,2060000.0,0.0011
2019-12-10,53.16,53.04,53.33,52.92,2500000.0,0.0021
2019-12-11,53.05,53.29,53.29,52.61,3550000.0,-0.0021
2019-12-12,53.9,53.13,54.04,52.98,2910000.0,0.016
2019-12-13,53.17,53.73,53.98,52.91,3900000.0,-0.013500000000000002
2019-12-16,53.07,53.22,53.3,52.43,4310000.0,-0.0019
2019-12-17,53.11,53.2,53.65,53.09,2820000.0,0.0008
2019-12-18,52.91,53.33,53.33,52.89,2710000.0,-0.0038
2019-12-19,52.99,52.78,53.03,52.66,3000000.0,0.0015
2019-12-20,53.14,53.55,53.63,52.95,6490000.0,0.0028000000000000004
2019-12-23,52.54,53.2,53.23,52.44,2480000.0,-0.0113
2019-12-24,52.76,52.65,52.88,52.58,984670.0,0.0042
2019-12-26,52.62,52.8,52.89,52.55,1830000.0,-0.0027
2019-12-27,52.62,52.8,52.93,52.54,1730000.0,0.0
2019-12-30,52.74,52.71,52.96,52.7,1590000.0,0.0023
2019-12-31,52.9,52.75,53.1,52.66,2330000.0,0.003
2020-01-02,53.35,53.04,53.37,52.82,3120000.0,0.0085
2020-01-03,52.98,52.82,53.22,52.77,2130000.0,-0.0069
2020-01-06,52.83,52.65,52.92,52.62,2760000.0,-0.0028000000000000004
2020-01-07,52.33,52.75,52.85,52.25,3920000.0,-0.0095
2020-01-08,52.49,52.44,52.95,52.38,2850000.0,0.0031
2020-01-09,52.5,52.6,52.76,52.35,3650000.0,0.0002
2020-01-10,52.07,52.68,53.03,52.05,2840000.0,-0.008199999999999999
2020-01-13,52.5,52.15,52.51,52.11,3200000.0,0.0083
2020-01-14,52.2,52.45,52.5,52.12,3210000.0,-0.005699999999999999
