Date,Close,Open,High,Low,Volume,Change
2019-07-11,103.15,103.35,103.81,102.29,1770000.0,-0.0106
2019-07-12,103.91,103.35,103.93,102.89,979390.0,0.0074
2019-07-15,104.39,104.02,104.39,103.61,1260000.0,0.0046
2019-07-16,104.85,104.52,104.92,104.23,1160000.0,0.0044
2019-07-17,102.94,104.68,104.68,102.46,1400000.0,-0.0182
2019-07-18,103.2,102.93,103.38,102.43,1210000.0,0.0025
2019-07-19,101.41,103.33,103.33,101.36,1290000.0,-0.0173
2019-07-22,101.21,101.34,101.97,101.07,1010000.0,-0.002
2019-07-23,101.51,101.2,101.61,100.43,1260000.0,0.003
2019-07-24,102.08,101.48,102.16,100.89,1020000.0,0.005600000000000001
2019-07-25,102.04,102.24,102.43,101.68,1030000.0,-0.0004
2019-07-26,102.93,102.06,102.98,101.52,893720.0,0.0087
2019-07-29,101.81,103.0,103.45,101.72,1410000.0,-0.0109
2019-07-30,101.83,101.5,102.5,101.23,1270000.0,0.0002
2019-07-31,107.4,105.29,109.13,105.29,3520000.0,0.0547
2019-08-01,104.88,107.69,107.84,104.28,2089999.9999999998,-0.0235
2019-08-02,104.51,104.68,105.06,103.32,1730000.0,-0.0034999999999999996
2019-08-05,101.78,103.69,104.06,101.33,1850000.0,-0.026099999999999998
2019-08-06,103.87,101.89,103.9,101.32,1910000.0,0.020499999999999997
2019-08-07,103.33,102.49,104.34,100.84,1770000.0,-0.0052
2019-08-08,105.3,103.98,105.59,103.57,1460000.0,0.0191
2019-08-09,104.09,105.1,105.31,103.16,1980000.0,-0.0115
2019-08-12,102.85,103.76,104.73,102.58,1030000.0,-0.011899999999999999
2019-08-13,104.44,102.53,104.88,102.04,1460000.0,0.0155
2019-08-14,101.69,103.39,103.72,100.83,2240000.0,-0.0263
2019-08-15,101.84,101.86,102.36,101.13,1250000.0,0.0015
2019-08-16,103.22,102.35,103.67,102.09,1950000.0,0.013600000000000001
2019-08-19,103.99,104.46,104.46,103.74,1640000.0,0.0075
2019-08-20,103.22,103.71,104.29,103.15,923650.0,-0.0074
