Date,Close,Open,High,Low,Volume,Change
2019-07-11,2001.07,2025.62,2035.8,1995.3,4320000.0,-0.008100000000000001
2019-07-12,2011.0,2008.27,2017.0,2003.87,2510000.0,0.005
2019-07-15,2020.99,2021.4,2022.9,2001.55,2980000.0,0.005
2019-07-16,2009.9,2010.58,2026.32,2001.22,2620000.0,-0.0055000000000000005
2019-07-17,1992.03,2007.05,2012.0,1992.03,2560000.0,-0.0089
2019-07-18,1977.9,1980.01,1987.5,1951.55,3500000.0,-0.0070999999999999995
2019-07-19,1964.52,1991.21,1996.0,1962.23,3190000.0,-0.0068000000000000005
2019-07-22,1985.63,1971.14,1989.0,1958.26,2910000.0,0.010700000000000001
2019-07-23,1994.49,1995.99,1997.79,1973.13,2700000.0,0.0045000000000000005
2019-07-24,2000.81,1969.3,2001.3,1965.87,2630000.0,0.0032
2019-07-25,1973.82,2001.0,2001.2,1972.72,4139999.9999999995,-0.013500000000000002
2019-07-26,1943.05,1942.0,1950.89,1924.51,4930000.0,-0.015600000000000001
2019-07-29,1912.45,1930.0,1932.23,1890.54,4490000.0,-0.015700000000000002
2019-07-30,1898.53,1891.12,1909.89,1883.48,2910000.0,-0.0073
2019-07-31,1866.78,1898.11,1899.55,1849.44,4470000.0,-0.0167
2019-08-01,1855.32,1871.72,1897.92,1844.01,4710000.0,-0.0060999999999999995
2019-08-02,1823.24,1845.07,1846.36,1808.02,4960000.0,-0.0173
2019-08-05,1765.13,1770.22,1788.67,1748.78,6060000.0,-0.0319
2019-08-06,1787.83,1792.23,1793.77,1753.4,5070000.0,0.0129
2019-08-07,1793.4,1773.99,1798.93,1757.0,4530000.0,0.0031
2019-08-08,1832.89,1806.0,1834.26,1798.11,3700000.0,0.022000000000000002
2019-08-09,1807.58,1828.95,1831.09,1802.22,2880000.0,-0.0138
2019-08-12,1784.92,1795.99,1800.98,1777.0,2910000.0,-0.0125
2019-08-13,1824.34,1783.0,1831.74,1780.0,4080000.0,0.022099999999999998
2019-08-14,1762.96,1793.01,1795.65,1757.21,4890000.0,-0.0336
2019-08-15,1776.12,1781.99,1788.0,1761.96,3810000.0,0.0075
2019-08-16,1792.57,1792.89,1802.91,1784.55,3050000.0,0.009300000000000001
2019-08-19,1816.12,1818.08,1826.0,1812.61,2820000.0,0.0131
2019-08-20,1801.38,1814.5,1816.82,1799.88,1930000.0,-0.008100000000000001
2019-08-21,1823.54,1819.39,1829.58,1815.0,2040000.0,0.0123
2019-08-22,1805.6,1828.0,1829.41,1800.1,2660000.0,-0.0098
2019-08-23,1749.62,1793.03,1804.9,1745.23,5280000.0,-0.031
2019-08-26,1768.87,1766.91,1770.0,1743.51,3090000.0,0.011000000000000001
2019-08-27,1761.83,1775.73,1779.4,1746.68,3030000.0,-0.004
2019-08-28,1764.25,1755.0,1767.86,1744.05,2420000.0,0.0014000000000000002
2019-08-29,1786.4,1783.0,1798.55,1777.25,3020000.0,0.0126
2019-08-30,1776.29,1797.49,1799.74,1764.57,3060000.0,-0.005699999999999999
2019-09-03,1789.84,1770.0,1800.8,1768.0,3550000.0,0.0076
2019-09-04,1800.62,1805.0,1807.63,1796.23,2330000.0,0.006
2019-09-05,1840.72,1821.95,1842.0,1815.58,3330000.0,0.0223
2019-09-06,1833.51,1838.22,1840.65,1826.4,2500000.0,-0.0039000000000000003
2019-09-09,1831.35,1841.0,1850.0,1824.61,3000000.0,-0.0012
2019-09-10,1820.55,1822.75,1825.81,1805.34,2610000.0,-0.0059
2019-09-11,1822.99,1812.14,1833.42,1809.08,2430000.0,0.0013
2019-09-12,1843.55,1837.63,1853.66,1834.28,2820000.0,0.0113
2019-09-13,1839.34,1842.01,1846.12,1835.17,1970000.0,-0.0023
2019-09-16,1807.84,1824.02,1825.69,1800.2,3680000.0,-0.0171
2019-09-17,1822.55,1807.08,1823.99,1804.1,2029999.9999999998,0.008100000000000001
2019-09-18,1817.46,1817.04,1822.06,1795.5,2540000.0,-0.0028000000000000004
2019-09-19,1821.5,1821.02,1832.57,1817.9,2080000.0,0.0022
2019-09-20,1794.16,1821.71,1830.63,1780.92,5560000.0,-0.015
2019-09-23,1785.3,1777.0,1792.7,1767.32,3140000.0,-0.0049
2019-09-24,1741.61,1790.61,1795.7,1735.55,4640000.0,-0.0245
2019-09-25,1768.33,1747.36,1773.0,1723.0,3530000.0,0.015300000000000001
2019-09-26,1739.84,1762.79,1763.37,1731.5,3570000.0,-0.0161
2019-09-27,1725.45,1748.0,1749.12,1713.82,3950000.0,-0.0083
2019-09-30,1735.91,1726.99,1737.46,1709.22,2760000.0,0.0060999999999999995
2019-10-01,1735.65,1746.0,1755.6,1728.41,3170000.0,-0.0001
2019-10-02,1713.23,1727.74,1728.89,1705.0,3340000.0,-0.0129
2019-10-03,1724.42,1713.0,1725.0,1685.06,3620000.0,0.006500000000000001
2019-10-04,1739.65,1726.02,1740.58,1719.23,2490000.0,0.0088
2019-10-07,1732.66,1731.63,1747.83,1723.7,2190000.0,-0.004
2019-10-08,1705.51,1722.49,1727.0,1705.0,2630000.0,-0.015700000000000002
2019-10-09,1721.99,1719.61,1729.95,1714.36,2089999.9999999998,0.0097
2019-10-10,1720.26,1725.24,1738.29,1713.75,2720000.0,-0.001
2019-10-11,1731.92,1742.92,1745.45,1729.86,3280000.0,0.0068000000000000005
2019-10-14,1736.43,1728.91,1741.89,1722.0,1930000.0,0.0026
2019-10-15,1767.38,1742.14,1776.45,1740.62,3130000.0,0.0178
2019-10-16,1777.43,1773.33,1786.24,1770.52,2800000.0,0.005699999999999999
