Date,Close,Open,High,Low,Volume,Change
2019-07-11,271.9,271.36,272.54,268.37,535890.0,0.005600000000000001
2019-07-12,274.26,272.0,276.12,272.0,456730.0,0.0087
2019-07-15,277.64,276.31,278.2,274.49,640930.0,0.0123
2019-07-16,275.51,276.0,277.99,272.63,639860.0,-0.0077
2019-07-17,277.43,275.62,280.62,275.1,597070.0,0.006999999999999999
2019-07-18,275.49,277.28,278.5,273.41,758730.0,-0.006999999999999999
2019-07-19,282.74,282.12,287.61,278.54,1030000.0,0.0263
2019-07-22,287.36,283.82,289.45,282.74,672310.0,0.0163
2019-07-23,276.35,288.45,288.8,273.91,1280000.0,-0.0383
2019-07-24,279.19,277.03,279.85,276.47,755980.0,0.0103
2019-07-25,267.41,278.65,278.99,262.7,1260000.0,-0.042199999999999994
2019-07-26,272.98,268.78,273.82,266.54,677520.0,0.0208
2019-07-29,272.23,272.5,272.67,266.28,671500.0,-0.0027
2019-07-30,274.28,272.24,275.87,269.56,642870.0,0.0075
2019-07-31,273.45,274.3,279.24,271.14,687410.0,-0.003
2019-08-01,272.22,273.22,278.47,268.37,1180000.0,-0.0045000000000000005
2019-08-02,244.12,254.75,255.0,240.23,2990000.0,-0.1032
2019-08-05,230.95,236.99,238.0,229.05,1500000.0,-0.053899999999999997
2019-08-06,235.82,235.51,236.9,230.2,948560.0,0.021099999999999997
2019-08-07,235.0,230.97,235.32,230.18,765030.0,-0.0034999999999999996
2019-08-08,234.49,237.74,240.76,234.14,949310.0,-0.0022
2019-08-09,228.73,232.75,232.75,226.19,1230000.0,-0.0246
2019-08-12,224.47,227.03,227.38,223.0,717500.0,-0.018600000000000002
2019-08-13,230.82,224.48,233.99,223.0,809230.0,0.028300000000000002
2019-08-14,219.43,226.07,226.97,218.35,1140000.0,-0.0493
2019-08-15,216.69,219.13,220.0,214.05,1120000.0,-0.0125
2019-08-16,221.18,219.0,222.57,218.94,769380.0,0.0207
2019-08-19,223.47,226.0,226.9,222.92,662920.0,0.0104
2019-08-20,219.19,222.31,223.3,219.0,551910.0,-0.0192
2019-08-21,226.54,222.33,227.0,221.01,737710.0,0.0335
2019-08-22,227.28,227.86,229.0,225.87,657470.0,0.0033
2019-08-23,223.4,226.26,229.38,222.56,781550.0,-0.0171
2019-08-26,223.2,225.98,226.82,220.73,429310.0,-0.0009
