Date,Close,Open,High,Low,Volume,Change
2019-07-11,303.88,296.61,304.08,294.51,2580000.0,0.0554
2019-07-12,310.48,304.17,312.48,302.61,2029999.9999999998,0.0217
2019-07-15,306.85,309.7,310.78,305.9,1780000.0,-0.011699999999999999
2019-07-16,305.41,307.51,307.75,303.09,994360.0,-0.004699999999999999
2019-07-17,304.69,304.5,306.89,301.53,1250000.0,-0.0024
2019-07-18,304.57,304.16,305.04,297.01,1320000.0,-0.0004
2019-07-19,302.12,305.6,306.37,301.5,938700.0,-0.008
2019-07-22,301.78,301.74,303.76,300.21,858040.0,-0.0011
2019-07-23,302.59,300.88,303.47,296.65,1220000.0,0.0027
2019-07-24,288.91,293.48,293.48,280.06,3390000.0,-0.0452
2019-07-25,293.95,289.27,296.12,288.0,1990000.0,0.0174
2019-07-26,299.98,294.45,300.01,292.62,1120000.0,0.020499999999999997
2019-07-29,298.32,299.7,302.07,296.93,1120000.0,-0.0055000000000000005
2019-07-30,299.64,298.28,299.99,295.03,798310.0,0.0044
2019-07-31,294.61,300.81,302.39,294.45,1520000.0,-0.0168
2019-08-01,292.95,294.42,296.27,290.41,1150000.0,-0.005600000000000001
2019-08-02,290.57,292.58,294.37,288.32,909540.0,-0.008100000000000001
2019-08-05,283.62,287.55,290.42,279.54,1350000.0,-0.0239
2019-08-06,291.04,284.13,291.3,284.01,1290000.0,0.0262
2019-08-07,286.5,287.34,288.4,280.42,1270000.0,-0.015600000000000001
2019-08-08,288.65,287.11,289.63,285.75,963950.0,0.0075
2019-08-09,287.33,288.12,289.94,285.2,1080000.0,-0.0046
2019-08-12,282.0,285.5,286.62,280.55,1050000.0,-0.018600000000000002
2019-08-13,286.9,281.11,288.98,281.11,1190000.0,0.0174
2019-08-14,272.9,283.39,284.27,272.53,1490000.0,-0.048799999999999996
2019-08-15,274.11,273.31,275.59,270.96,1190000.0,0.0044
2019-08-16,275.54,276.87,278.26,275.05,776360.0,0.0052
2019-08-19,273.41,278.0,278.81,273.08,1390000.0,-0.0077
2019-08-20,266.57,271.79,272.8,266.33,1450000.0,-0.025
2019-08-21,267.88,268.21,269.39,266.5,981110.0,0.0049
2019-08-22,261.06,268.26,269.02,260.82,1520000.0,-0.0255
2019-08-23,260.38,261.35,264.24,259.29,1380000.0,-0.0026
2019-08-26,260.51,262.36,264.15,259.84,1240000.0,0.0005
2019-08-27,251.3,261.12,261.81,251.01,2049999.9999999998,-0.0354
2019-08-28,253.81,250.85,256.87,250.19,1360000.0,0.01
2019-08-29,259.79,256.33,260.35,254.67,1500000.0,0.0236
2019-08-30,261.52,260.99,263.24,260.51,1160000.0,0.0067
2019-09-03,258.1,259.81,260.5,256.31,1040000.0,-0.0131
2019-09-04,254.23,260.53,261.96,253.99,1290000.0,-0.015
2019-09-05,251.22,254.4,255.37,249.22,2880000.0,-0.0118
2019-09-06,249.38,252.88,255.97,248.69,2240000.0,-0.0073
2019-09-09,250.45,250.81,252.23,247.61,1300000.0,0.0043
2019-09-10,252.59,251.08,254.21,248.2,2220000.0,0.0085
2019-09-11,249.81,253.0,254.5,248.39,1380000.0,-0.011000000000000001
2019-09-12,248.16,251.47,253.28,248.02,1830000.0,-0.0066
2019-09-13,253.08,250.55,256.58,249.01,2049999.9999999998,0.019799999999999998
2019-09-16,258.58,252.5,260.28,252.46,1750000.0,0.0217
2019-09-17,257.29,258.49,259.26,255.82,1220000.0,-0.005
2019-09-18,251.79,255.9,259.71,251.39,2000000.0,-0.021400000000000002
2019-09-19,255.45,252.58,257.23,251.0,1840000.0,0.014499999999999999
2019-09-20,252.09,255.58,256.14,251.55,2200000.0,-0.0132
2019-09-23,251.4,250.85,252.43,249.35,1320000.0,-0.0027
2019-09-24,248.19,252.62,252.97,246.17,1910000.0,-0.0128
2019-09-25,244.0,247.69,250.47,243.97,1570000.0,-0.0169
2019-09-26,238.8,243.79,244.77,235.45,2450000.0,-0.0213
2019-09-27,237.69,240.27,241.47,237.1,1150000.0,-0.0046
2019-09-30,240.1,237.22,242.37,236.03,1500000.0,0.0101
2019-10-01,238.44,241.35,241.44,235.12,1700000.0,-0.0069
2019-10-02,237.9,237.66,241.93,236.37,1280000.0,-0.0023
2019-10-03,238.23,237.28,239.49,235.9,1380000.0,0.0014000000000000002
2019-10-04,241.79,238.72,241.8,238.67,921440.0,0.0149
2019-10-07,241.03,241.75,242.51,240.42,1250000.0,-0.0031
2019-10-08,235.52,239.07,239.94,234.91,1580000.0,-0.0229
2019-10-09,238.25,237.6,238.67,236.1,951490.0,0.0116
2019-10-10,237.23,237.4,239.64,235.68,1150000.0,-0.0043
2019-10-11,237.55,239.81,244.92,236.97,1570000.0,0.0013
2019-10-14,234.82,237.61,238.98,234.69,1250000.0,-0.0115
2019-10-15,248.94,240.73,251.74,240.51,2860000.0,0.0601
2019-10-16,245.02,247.13,248.52,244.34,1750000.0,-0.015700000000000002
2019-10-17,249.25,245.98,250.08,245.22,1430000.0,0.0173
2019-10-18,249.4,248.9,250.36,246.2,1530000.0,0.0006
2019-10-21,253.07,250.93,254.3,249.49,2440000.0,0.0147
2019-10-22,260.25,253.16,264.96,253.16,2880000.0,0.028399999999999998
2019-10-23,263.51,252.68,272.96,251.63,2750000.0,0.0125
2019-10-24,259.49,264.79,265.6,257.35,1580000.0,-0.015300000000000001
2019-10-25,263.07,258.91,263.42,258.1,1370000.0,0.0138
2019-10-28,267.67,264.6,271.09,263.01,1600000.0,0.0175
2019-10-29,272.64,266.68,275.69,266.32,1540000.0,0.018600000000000002
2019-10-30,273.46,271.79,274.19,270.5,962800.0,0.003
2019-10-31,269.08,272.46,275.23,266.63,1880000.0,-0.016
2019-11-01,270.75,269.32,275.71,268.69,1430000.0,0.0062
2019-11-04,271.72,272.4,273.52,266.53,1180000.0,0.0036
2019-11-05,273.0,273.86,275.81,271.68,1400000.0,0.004699999999999999
2019-11-06,277.32,272.51,277.55,272.5,1600000.0,0.0158
2019-11-07,279.77,277.72,281.03,277.72,1610000.0,0.0088
2019-11-08,282.09,280.01,283.44,279.01,1230000.0,0.0083
2019-11-11,279.15,279.78,281.22,277.73,992950.0,-0.0104
2019-11-12,283.67,278.53,284.98,278.53,1300000.0,0.016200000000000003
2019-11-13,283.74,281.8,287.66,280.83,1310000.0,0.0002
2019-11-14,282.01,283.0,284.48,281.92,1190000.0,-0.0060999999999999995
2019-11-15,297.82,281.79,298.62,278.64,2660000.0,0.056100000000000004
2019-11-18,294.0,297.6,307.38,293.71,2350000.0,-0.0128
2019-11-19,292.72,294.48,295.15,290.12,2290000.0,-0.0044
2019-11-20,292.7,293.54,293.69,288.05,1210000.0,-0.0001
2019-11-21,293.73,292.86,295.97,289.28,1370000.0,0.0034999999999999996
2019-11-22,291.83,294.01,296.99,290.06,1150000.0,-0.006500000000000001
2019-11-25,293.89,291.0,294.29,290.21,1450000.0,0.0070999999999999995
2019-11-26,287.24,292.31,293.88,286.85,2460000.0,-0.0226
2019-11-27,289.45,288.63,291.6,286.92,1190000.0,0.0077
2019-11-29,288.66,289.18,290.75,287.5,512549.99999999994,-0.0027
2019-12-02,287.43,289.62,292.23,287.0,1260000.0,-0.0043
2019-12-03,286.19,285.01,286.97,282.35,1180000.0,-0.0043
2019-12-04,287.38,288.01,289.11,285.73,895950.0,0.0042
2019-12-05,286.3,286.72,288.36,284.23,969990.0,-0.0038
2019-12-06,285.27,282.09,285.61,280.85,1620000.0,-0.0036
2019-12-09,282.33,285.43,285.43,282.24,1220000.0,-0.0103
2019-12-10,283.85,282.58,284.36,280.37,863440.0,0.0054
2019-12-11,280.6,283.1,284.45,279.65,1150000.0,-0.011399999999999999
2019-12-12,284.42,281.83,285.04,280.4,1110000.0,0.013600000000000001
2019-12-13,284.12,285.06,288.62,283.55,897140.0,-0.0011
2019-12-16,291.78,285.7,297.35,285.02,2020000.0,0.027000000000000003
2019-12-17,290.74,291.0,293.3,289.01,1110000.0,-0.0036
2019-12-18,293.18,290.94,294.75,290.11,1110000.0,0.0084
2019-12-19,298.22,294.5,299.78,293.9,1940000.0,0.0172
2019-12-20,303.0,301.72,303.32,297.68,2820000.0,0.016
2019-12-23,303.18,303.1,304.61,300.44,1310000.0,0.0006
2019-12-24,304.5,303.82,304.77,302.48,333070.0,0.0044
2019-12-26,304.76,304.82,305.24,304.01,484570.0,0.0009
2019-12-27,306.42,305.06,306.6,304.63,604860.0,0.0054
2019-12-30,305.31,306.54,306.57,304.46,831660.0,-0.0036
2019-12-31,302.03,305.3,305.55,300.17,916010.0,-0.010700000000000001
2020-01-02,300.87,302.67,302.82,297.2,1190000.0,-0.0038
