Date,Close,Open,High,Low,Volume,Change
2019-07-11,39.02,39.15,39.22,38.52,1340000.0,-0.0054
2019-07-12,39.97,39.3,40.15,39.04,1100000.0,0.024300000000000002
2019-07-15,39.72,40.12,40.27,39.41,1320000.0,-0.0063
2019-07-16,40.39,38.55,40.5,38.23,2310000.0,0.0169
2019-07-17,39.48,40.22,40.37,39.33,1420000.0,-0.0225
2019-07-18,39.35,39.29,39.59,39.15,1160000.0,-0.0033
2019-07-19,40.04,39.58,40.77,39.53,1910000.0,0.0175
2019-07-22,39.98,40.21,40.73,39.86,2170000.0,-0.0015
2019-07-23,41.68,41.06,42.06,40.78,3200000.0,0.0425
2019-07-24,42.48,41.56,42.5,41.53,2380000.0,0.0192
2019-07-25,40.57,41.93,42.05,39.85,3450000.0,-0.045
2019-07-26,39.16,40.05,40.05,38.69,2910000.0,-0.0348
2019-07-29,38.85,39.05,39.38,38.82,1960000.0,-0.0079
2019-07-30,38.08,38.29,38.47,37.71,2870000.0,-0.019799999999999998
2019-07-31,37.8,38.26,38.4,37.21,2190000.0,-0.0074
2019-08-01,36.25,37.95,38.08,36.03,2110000.0,-0.040999999999999995
2019-08-02,35.84,36.0,36.09,35.16,2009999.9999999998,-0.0113
2019-08-05,34.46,35.01,35.25,34.32,2380000.0,-0.0385
2019-08-06,34.36,34.91,35.13,34.09,2350000.0,-0.0029
2019-08-07,34.41,33.86,34.47,33.7,2220000.0,0.0015
2019-08-08,34.98,34.57,35.16,34.34,1640000.0,0.0166
2019-08-09,33.81,34.71,34.75,33.76,1740000.0,-0.0334
2019-08-12,33.02,33.47,33.8,32.95,1340000.0,-0.023399999999999997
2019-08-13,33.24,32.97,34.22,32.69,1450000.0,0.0067
2019-08-14,31.5,32.6,32.64,31.38,2240000.0,-0.052300000000000006
2019-08-15,31.08,31.53,31.7,30.84,1540000.0,-0.013300000000000001
2019-08-16,32.0,31.38,32.12,31.26,1390000.0,0.0296
2019-08-19,32.52,32.56,32.73,32.32,1530000.0,0.0163
