Date,Close,Open,High,Low,Volume,Change
2019-07-11,148.8,149.23,149.4,148.2,1040000.0,-0.0023
2019-07-12,149.37,149.1,149.43,148.14,979890.0,0.0038
2019-07-15,151.36,149.6,151.37,149.01,1240000.0,0.013300000000000001
2019-07-16,151.44,151.61,152.29,150.65,1480000.0,0.0005
2019-07-17,150.45,151.3,151.7,150.35,1270000.0,-0.006500000000000001
2019-07-18,150.63,150.54,150.8,149.4,820060.0,0.0012
2019-07-19,148.28,150.83,150.83,148.23,1240000.0,-0.015600000000000001
2019-07-22,147.79,148.19,148.72,147.12,1100000.0,-0.0033
2019-07-23,146.74,147.65,147.97,145.37,2009999.9999999998,-0.0070999999999999995
2019-07-24,151.58,146.51,151.63,146.19,2300000.0,0.033
2019-07-25,151.01,152.16,152.26,150.6,1520000.0,-0.0038
2019-07-26,152.97,150.78,153.06,149.97,1640000.0,0.013000000000000001
2019-07-29,153.28,152.95,154.05,152.56,1990000.0,0.002
2019-07-30,153.31,152.82,153.7,152.52,1520000.0,0.0002
2019-07-31,152.84,153.75,154.26,152.05,2500000.0,-0.0031
2019-08-01,151.16,152.39,152.93,150.63,1810000.0,-0.011000000000000001
2019-08-02,152.27,151.79,153.04,150.27,1820000.0,0.0073
2019-08-05,148.49,151.19,151.91,147.89,2080000.0,-0.0248
2019-08-06,152.09,148.06,152.43,147.48,2040000.0,0.0242
2019-08-07,154.15,150.77,155.21,149.07,2420000.0,0.013500000000000002
2019-08-08,157.78,154.55,157.97,154.54,2250000.0,0.0235
2019-08-09,159.62,157.55,160.23,157.0,2120000.0,0.011699999999999999
2019-08-12,157.04,157.49,159.88,155.81,1600000.0,-0.016200000000000003
2019-08-13,158.83,156.86,159.71,156.18,1780000.0,0.011399999999999999
2019-08-14,152.69,157.02,158.33,152.38,2620000.0,-0.0387
2019-08-15,153.93,152.75,154.48,152.18,1330000.0,0.008100000000000001
2019-08-16,155.4,154.21,155.95,153.58,1290000.0,0.0095
2019-08-19,155.74,156.65,156.68,155.51,1410000.0,0.0022
2019-08-20,154.68,155.88,156.51,154.5,983660.0,-0.0068000000000000005
2019-08-21,154.95,154.8,155.42,154.18,1030000.0,0.0017000000000000001
2019-08-22,155.22,155.45,156.0,154.18,1370000.0,0.0017000000000000001
2019-08-23,153.22,155.0,156.48,152.52,1330000.0,-0.0129
2019-08-26,155.21,154.0,155.29,153.27,889990.0,0.013000000000000001
2019-08-27,155.53,155.89,156.47,154.75,1720000.0,0.0021
2019-08-28,157.0,155.15,157.4,154.82,1610000.0,0.0095
2019-08-29,157.37,157.96,158.23,156.03,1410000.0,0.0024
2019-08-30,156.28,158.0,158.0,155.26,1930000.0,-0.0069
2019-09-03,158.56,155.53,158.74,155.53,1470000.0,0.0146
2019-09-04,159.85,159.16,160.68,158.63,1400000.0,0.008100000000000001
2019-09-05,160.63,161.34,162.19,159.84,1020000.0,0.0049
2019-09-06,161.03,160.55,161.92,160.31,856860.0,0.0025
2019-09-09,160.26,162.12,162.12,159.49,1030000.0,-0.0048
2019-09-10,159.32,160.43,160.43,157.88,1290000.0,-0.0059
2019-09-11,159.74,159.07,160.08,158.19,1460000.0,0.0026
2019-09-12,160.1,160.74,161.13,158.17,2230000.0,0.0023
2019-09-13,158.97,160.33,160.5,158.46,1860000.0,-0.0070999999999999995
2019-09-16,158.55,158.68,159.0,157.68,1280000.0,-0.0026
2019-09-17,159.72,158.71,159.76,157.87,1590000.0,0.0074
2019-09-18,159.49,159.7,160.72,158.46,1340000.0,-0.0014000000000000002
2019-09-19,158.5,159.01,159.95,158.25,1430000.0,-0.0062
2019-09-20,157.68,157.93,158.75,156.94,2150000.0,-0.0052
2019-09-23,157.71,157.25,158.89,157.06,1460000.0,0.0002
2019-09-24,158.84,158.16,160.3,157.95,1720000.0,0.0072
2019-09-25,158.79,158.98,159.24,157.94,1070000.0,-0.0003
2019-09-26,160.46,158.33,161.14,158.33,1080000.0,0.0105
2019-09-27,160.51,160.89,161.0,159.52,842930.0,0.0003
2019-09-30,161.44,160.88,162.08,160.32,1220000.0,0.0058
2019-10-01,158.63,161.83,161.99,158.56,1030000.0,-0.0174
2019-10-02,156.81,157.85,158.46,155.98,1410000.0,-0.0115
2019-10-03,156.45,156.74,157.3,155.42,1170000.0,-0.0023
2019-10-04,162.06,156.64,162.44,156.59,2510000.0,0.0359
2019-10-07,159.66,161.59,161.99,159.49,1600000.0,-0.0148
2019-10-08,155.48,158.67,159.04,155.47,1870000.0,-0.0262
2019-10-09,156.8,156.37,157.53,155.83,1090000.0,0.0085
2019-10-10,155.39,156.66,157.46,155.02,2220000.0,-0.009000000000000001
2019-10-11,155.1,156.99,156.99,155.03,2540000.0,-0.0019
2019-10-14,155.44,155.05,156.06,154.37,1070000.0,0.0022
2019-10-15,155.21,155.91,156.65,155.12,1150000.0,-0.0015
2019-10-16,154.65,155.18,155.62,153.63,1480000.0,-0.0036
2019-10-17,153.02,154.78,155.0,152.96,1250000.0,-0.0105
2019-10-18,152.69,153.41,153.66,152.59,1610000.0,-0.0022
2019-10-21,153.3,153.41,153.69,152.66,1290000.0,0.004
2019-10-22,148.5,152.11,152.11,148.05,2680000.0,-0.0313
2019-10-23,150.16,148.52,150.36,148.52,1450000.0,0.011200000000000002
2019-10-24,151.12,150.2,151.4,149.53,1410000.0,0.0064
2019-10-25,149.14,150.8,150.8,147.54,2200000.0,-0.0131
2019-10-28,148.24,149.43,149.95,148.21,2020000.0,-0.006
2019-10-29,148.63,147.74,149.25,147.38,2590000.0,0.0026
2019-10-30,153.37,149.37,154.08,148.85,2710000.0,0.0319
2019-10-31,152.42,152.78,153.37,150.72,1640000.0,-0.0062
2019-11-01,150.44,152.96,153.19,150.07,1630000.0,-0.013000000000000001
2019-11-04,147.72,151.52,151.52,147.34,1950000.0,-0.0181
2019-11-05,148.83,148.08,149.74,147.48,3640000.0,0.0075
2019-11-06,152.18,149.04,152.23,148.75,2320000.0,0.0225
2019-11-07,152.92,152.54,154.14,152.28,2360000.0,0.0049
2019-11-08,151.51,152.64,153.16,151.21,1160000.0,-0.0092
2019-11-11,151.32,150.64,151.73,150.33,940750.0,-0.0013
2019-11-12,151.4,151.06,152.34,150.66,1120000.0,0.0005
2019-11-13,152.31,150.89,152.75,150.81,1020000.0,0.006
2019-11-14,151.35,152.02,152.62,151.08,1470000.0,-0.0063
2019-11-15,151.29,151.74,151.89,150.45,1710000.0,-0.0004
2019-11-18,152.82,151.42,153.15,151.05,1240000.0,0.0101
2019-11-19,152.83,152.44,153.64,151.83,1140000.0,0.0001
2019-11-20,152.51,152.44,153.13,151.13,1210000.0,-0.0021
2019-11-21,149.97,153.14,153.15,149.63,1630000.0,-0.0167
2019-11-22,151.13,150.05,151.75,150.05,1180000.0,0.0077
2019-11-25,149.97,151.33,152.32,149.47,1440000.0,-0.0077
2019-11-26,151.77,150.38,151.95,149.92,1430000.0,0.012
2019-11-27,152.08,151.81,152.53,151.41,845750.0,0.002
2019-11-29,151.48,152.29,152.67,151.07,678420.0,-0.0039000000000000003
2019-12-02,149.78,151.85,152.25,149.69,1090000.0,-0.011200000000000002
2019-12-03,149.38,148.88,150.74,147.92,1500000.0,-0.0027
2019-12-04,151.06,149.42,151.52,149.01,1440000.0,0.011200000000000002
2019-12-05,150.29,150.93,151.16,149.42,1270000.0,-0.0051
2019-12-06,152.2,151.45,152.5,150.29,1200000.0,0.0127
2019-12-09,153.0,152.26,153.53,151.66,1800000.0,0.0053
2019-12-10,152.96,152.98,153.28,152.4,1270000.0,-0.0003
2019-12-11,151.97,152.31,153.09,151.67,1200000.0,-0.006500000000000001
2019-12-12,153.68,151.83,153.97,151.23,1130000.0,0.0113
2019-12-13,154.64,153.23,154.92,153.07,1110000.0,0.0062
2019-12-16,155.53,155.24,155.84,154.98,1530000.0,0.0058
2019-12-17,156.2,155.39,156.48,155.3,1700000.0,0.0043
2019-12-18,154.61,156.0,156.37,153.68,1920000.0,-0.0102
2019-12-19,154.5,153.69,154.55,153.08,2720000.0,-0.0007000000000000001
2019-12-20,155.54,155.68,156.98,154.81,2550000.0,0.0067
2019-12-23,154.2,155.56,155.77,153.37,1370000.0,-0.0086
2019-12-24,153.94,154.18,154.48,153.77,567720.0,-0.0017000000000000001
2019-12-26,154.75,154.28,155.07,154.13,1040000.0,0.0053
2019-12-27,155.82,154.97,155.93,154.83,903400.0,0.0069
2019-12-30,155.31,156.0,156.0,154.84,677320.0,-0.0033
2019-12-31,155.66,155.13,155.87,154.9,1120000.0,0.0023
2020-01-02,156.02,155.85,156.02,154.36,1880000.0,0.0023
2020-01-03,155.78,154.76,156.0,154.13,1180000.0,-0.0015
2020-01-06,157.06,155.33,157.09,155.01,1280000.0,0.008199999999999999
2020-01-07,153.92,154.12,155.36,153.64,1510000.0,-0.02
2020-01-08,152.87,153.7,154.8,152.67,2110000.0,-0.0068000000000000005
2020-01-09,153.95,153.51,154.05,152.5,1800000.0,0.0070999999999999995
2020-01-10,150.99,153.56,154.45,150.11,2360000.0,-0.0192
2020-01-13,150.9,150.78,151.22,149.53,1670000.0,-0.0006
2020-01-14,150.76,150.38,151.81,150.28,1410000.0,-0.0009
2020-01-15,151.29,150.24,151.47,149.45,1370000.0,0.0034999999999999996
2020-01-16,152.66,151.62,153.12,151.37,1100000.0,0.0091
2020-01-17,153.69,152.65,154.14,152.6,2009999.9999999998,0.0067
2020-01-21,152.74,153.0,153.63,152.08,1430000.0,-0.0062
2020-01-22,153.83,153.05,153.9,152.71,1100000.0,0.0070999999999999995
2020-01-23,152.09,152.21,152.94,149.09,2510000.0,-0.0113
2020-01-24,152.01,151.94,153.14,151.6,1480000.0,-0.0005
2020-01-27,150.38,150.99,151.88,150.38,1160000.0,-0.010700000000000001
2020-01-28,150.96,150.87,152.46,150.75,1720000.0,0.0039000000000000003
2020-01-29,150.89,151.56,152.26,150.79,1270000.0,-0.0005
2020-01-30,154.14,150.11,154.27,150.06,1270000.0,0.0215
2020-01-31,151.99,153.59,154.51,151.25,2340000.0,-0.0139
2020-02-03,153.23,152.56,154.85,152.29,1830000.0,0.008199999999999999
2020-02-04,154.3,154.61,155.72,154.15,1880000.0,0.006999999999999999
2020-02-05,165.33,160.28,165.4,157.35,3120000.0,0.07150000000000001
