Date,Close,Open,High,Low,Volume,Change
2019-07-11,113.57,112.69,113.84,111.14,660760.0,0.009899999999999999
2019-07-12,116.22,113.75,116.34,113.64,655220.0,0.0233
2019-07-15,115.92,116.22,116.47,115.0,985860.0,-0.0026
2019-07-16,114.36,115.57,115.92,114.05,867560.0,-0.013500000000000002
2019-07-17,113.48,114.14,114.6,113.38,650640.0,-0.0077
2019-07-18,112.41,113.19,113.42,111.35,1110000.0,-0.009399999999999999
2019-07-19,112.51,112.99,114.55,112.51,619180.0,0.0009
2019-07-22,112.31,113.24,113.53,112.24,584180.0,-0.0018
2019-07-23,113.66,112.8,113.72,112.15,585290.0,0.012
2019-07-24,113.6,113.21,114.05,112.83,606820.0,-0.0005
2019-07-25,114.21,113.0,114.49,112.45,421950.0,0.0054
2019-07-26,114.44,115.63,115.98,114.36,418450.0,0.002
2019-07-29,112.91,114.39,114.52,112.59,704590.0,-0.0134
2019-07-30,113.58,112.56,113.97,112.11,1370000.0,0.0059
2019-07-31,118.16,115.2,119.72,115.2,1100000.0,0.0403
2019-08-01,118.52,118.5,120.82,117.8,1310000.0,0.003
2019-08-02,116.34,117.44,117.62,113.78,795490.0,-0.0184
2019-08-05,107.53,111.69,111.84,106.85,978320.0,-0.0757
2019-08-06,108.34,108.03,109.25,107.83,804270.0,0.0075
2019-08-07,108.65,106.72,109.15,105.99,634140.0,0.0029
2019-08-08,112.7,109.96,113.07,109.5,1460000.0,0.0373
2019-08-09,114.73,111.93,115.35,111.03,729530.0,0.018000000000000002
2019-08-12,112.36,114.0,114.38,111.93,479190.0,-0.0207
2019-08-13,113.35,112.01,114.63,110.88,701880.0,0.0088
2019-08-14,110.01,110.73,112.08,109.74,552660.0,-0.029500000000000002
2019-08-15,108.72,109.9,110.68,108.35,512010.0,-0.011699999999999999
2019-08-16,111.69,109.29,112.28,109.07,502200.0,0.0273
2019-08-19,114.31,113.35,115.89,113.03,723500.0,0.0235
2019-08-20,113.73,114.59,115.4,113.6,371410.0,-0.0051
2019-08-21,115.88,114.77,116.69,114.36,325080.0,0.0189
2019-08-22,116.52,115.96,117.95,115.31,508020.0,0.0055000000000000005
2019-08-23,112.23,115.22,115.71,111.75,510040.0,-0.0368
2019-08-26,112.77,114.15,114.15,111.91,603430.0,0.0048
2019-08-27,112.58,113.72,113.97,112.49,801920.0,-0.0017000000000000001
2019-08-28,111.73,112.14,112.49,111.5,588260.0,-0.0076
2019-08-29,114.7,113.63,115.25,113.63,768210.0,0.026600000000000002
2019-08-30,115.5,115.53,116.5,113.59,1100000.0,0.006999999999999999
2019-09-03,116.02,115.52,116.33,113.95,709690.0,0.0045000000000000005
2019-09-04,118.06,117.02,118.65,116.7,903840.0,0.0176
2019-09-05,118.47,119.27,119.99,117.59,581720.0,0.0034999999999999996
2019-09-06,118.39,118.91,118.91,117.55,659690.0,-0.0007000000000000001
2019-09-09,117.51,119.0,119.32,116.65,590430.0,-0.0074
2019-09-10,111.5,116.65,116.87,110.76,968370.0,-0.051100000000000007
2019-09-11,112.81,111.75,112.92,110.09,695610.0,0.011699999999999999
2019-09-12,114.32,112.78,114.62,111.06,661020.0,0.0134
2019-09-13,111.71,113.89,113.97,110.97,957510.0,-0.022799999999999997
2019-09-16,113.0,111.6,116.02,110.52,1170000.0,0.0115
2019-09-17,113.8,112.68,114.62,111.0,750370.0,0.0070999999999999995
2019-09-18,120.38,121.0,122.2,118.79,7400000.0,0.057800000000000004
2019-09-19,121.8,119.89,122.91,119.64,3160000.0,0.0118
2019-09-20,121.06,122.07,122.39,118.84,26560000.0,-0.0060999999999999995
2019-09-23,119.34,120.88,121.76,119.2,2560000.0,-0.014199999999999999
2019-09-24,118.66,119.57,120.47,117.26,2170000.0,-0.005699999999999999
2019-09-25,121.52,118.47,121.79,117.05,1660000.0,0.0241
2019-09-26,123.4,121.52,124.34,120.12,1810000.0,0.0155
2019-09-27,121.79,123.14,124.08,120.94,1730000.0,-0.013000000000000001
2019-09-30,123.24,122.42,123.52,121.65,1720000.0,0.011899999999999999
