Date,Close,Open,High,Low,Volume,Change
2019-07-11,105.33,104.5,105.55,104.23,1550000.0,0.0089
2019-07-12,107.01,105.68,107.94,105.39,714490.0,0.0159
2019-07-15,107.07,107.06,107.15,106.04,598220.0,0.0006
2019-07-16,108.05,107.32,108.7,106.94,713600.0,0.0092
2019-07-17,106.59,107.89,108.1,106.58,710700.0,-0.013500000000000002
2019-07-18,106.09,105.92,106.93,105.83,749920.0,-0.004699999999999999
2019-07-19,107.06,106.57,107.9,106.2,881990.0,0.0091
2019-07-22,105.68,106.88,107.5,105.2,1000000.0,-0.0129
2019-07-23,110.31,106.02,110.62,104.67,1490000.0,0.0438
2019-07-24,112.26,110.1,112.97,110.1,1220000.0,0.0177
2019-07-25,111.51,110.99,112.37,110.04,1050000.0,-0.0067
2019-07-26,111.16,111.48,111.64,109.16,683430.0,-0.0031
2019-07-29,112.12,110.99,112.75,110.75,792700.0,0.0086
2019-07-30,112.52,111.17,112.71,110.51,896490.0,0.0036
2019-07-31,112.17,112.48,113.42,111.23,1170000.0,-0.0031
2019-08-01,108.23,111.99,113.42,107.45,974590.0,-0.0351
2019-08-02,107.12,107.38,107.73,104.62,1030000.0,-0.0103
2019-08-05,103.19,105.19,105.92,102.05,1270000.0,-0.036699999999999997
2019-08-06,104.63,104.37,104.89,102.47,1010000.0,0.013999999999999999
2019-08-07,106.44,103.15,106.61,102.5,1070000.0,0.0173
2019-08-08,109.14,107.59,110.52,107.59,1000000.0,0.0254
2019-08-09,109.15,108.77,109.64,107.88,848660.0,0.0001
2019-08-12,108.67,108.48,109.38,107.84,961160.0,-0.0044
2019-08-13,111.0,108.35,113.04,108.05,1130000.0,0.021400000000000002
2019-08-14,108.63,109.04,109.57,108.19,1400000.0,-0.021400000000000002
2019-08-15,107.44,108.94,109.35,106.65,878430.0,-0.011000000000000001
2019-08-16,110.3,108.33,110.65,108.09,804300.0,0.026600000000000002
2019-08-19,112.49,112.05,112.83,111.4,868020.0,0.0199
2019-08-20,111.74,111.79,112.18,110.75,612520.0,-0.0067
2019-08-21,113.17,113.12,113.75,112.88,699830.0,0.0128
2019-08-22,113.74,113.54,114.78,112.13,867240.0,0.005
2019-08-23,107.25,112.98,113.0,106.65,1100000.0,-0.0571
2019-08-26,107.4,108.11,108.99,106.56,682390.0,0.0014000000000000002
2019-08-27,107.22,108.14,108.72,105.93,1040000.0,-0.0017000000000000001
2019-08-28,109.54,107.04,109.72,106.59,798050.0,0.0216
2019-08-29,111.76,111.18,112.36,110.76,671820.0,0.0203
2019-08-30,113.37,112.85,114.1,112.61,1060000.0,0.0144
2019-09-03,111.7,111.89,112.61,110.64,589150.0,-0.0147
2019-09-04,113.82,113.33,114.38,112.88,829870.0,0.019
2019-09-05,117.63,115.25,118.34,114.85,818990.0,0.0335
2019-09-06,118.07,117.88,118.42,116.85,555500.0,0.0037
2019-09-09,120.91,118.41,121.06,118.2,901630.0,0.0241
2019-09-10,123.32,120.97,123.9,120.75,1340000.0,0.0199
2019-09-11,124.31,123.45,124.36,121.34,947570.0,0.008
2019-09-12,124.2,124.99,125.0,122.57,753840.0,-0.0009
2019-09-13,125.49,125.28,127.15,124.95,799840.0,0.0104
2019-09-16,124.45,125.15,126.01,123.8,607570.0,-0.0083
2019-09-17,123.98,124.13,124.25,122.25,916950.0,-0.0038
2019-09-18,123.74,123.5,124.05,122.23,754280.0,-0.0019
2019-09-19,123.8,123.74,124.42,123.24,685700.0,0.0005
2019-09-20,122.68,124.22,124.22,122.23,1510000.0,-0.009000000000000001
2019-09-23,122.47,121.59,123.16,121.25,771330.0,-0.0017000000000000001
2019-09-24,121.35,122.06,122.5,120.83,619540.0,-0.0091
2019-09-25,122.21,121.69,122.62,121.12,716170.0,0.0070999999999999995
2019-09-26,121.59,121.18,122.22,120.73,656310.0,-0.0051
2019-09-27,122.14,121.88,123.6,121.56,716060.0,0.0045000000000000005
2019-09-30,122.29,122.43,122.98,121.17,777430.0,0.0012
2019-10-01,120.35,122.48,123.94,119.98,1200000.0,-0.0159
2019-10-02,118.1,119.14,119.76,117.22,1070000.0,-0.0187
2019-10-03,118.67,117.69,118.7,116.59,747150.0,0.0048
2019-10-04,119.53,118.49,119.95,118.21,534010.0,0.0072
2019-10-07,119.44,119.1,120.44,118.47,706990.0,-0.0008
2019-10-08,117.85,118.57,119.54,117.32,1070000.0,-0.013300000000000001
2019-10-09,118.72,119.53,119.65,117.37,743530.0,0.0074
2019-10-10,118.36,119.05,119.75,117.66,909720.0,-0.003
2019-10-11,121.87,119.69,122.83,119.69,802230.0,0.0297
2019-10-14,120.44,121.12,121.66,120.44,644370.0,-0.011699999999999999
2019-10-15,122.04,120.96,122.55,120.54,672290.0,0.013300000000000001
2019-10-16,121.52,122.4,123.64,121.06,752650.0,-0.0043
2019-10-17,121.96,121.93,122.32,120.95,552710.0,0.0036
2019-10-18,121.65,121.32,123.94,121.32,953180.0,-0.0025
2019-10-21,121.31,122.07,123.04,121.22,991310.0,-0.0028000000000000004
2019-10-22,119.3,121.05,122.42,115.16,1480000.0,-0.0166
2019-10-23,121.76,119.24,122.94,119.24,1080000.0,0.0206
2019-10-24,123.52,122.84,123.62,121.62,765820.0,0.014499999999999999
2019-10-25,123.65,122.94,124.44,121.99,559000.0,0.0011
2019-10-28,121.56,124.36,125.81,121.06,1290000.0,-0.0169
2019-10-29,123.28,121.17,124.46,121.05,625420.0,0.0141
2019-10-30,122.28,122.67,122.91,121.44,619110.0,-0.008100000000000001
2019-10-31,121.15,122.17,122.42,120.09,986280.0,-0.0092
2019-11-01,122.5,122.29,123.33,121.71,1080000.0,0.0111
2019-11-04,123.66,123.85,124.11,122.67,925440.0,0.0095
2019-11-05,124.48,124.06,125.66,123.77,611630.0,0.0066
2019-11-06,125.08,124.2,125.15,123.49,624830.0,0.0048
2019-11-07,125.74,124.92,126.05,124.25,777030.0,0.0053
