Date,Close,Open,High,Low,Volume,Change
2019-07-11,44.08,43.81,44.13,43.75,15190000.0,0.0066
2019-07-12,44.64,44.07,45.01,43.96,18080000.0,0.0127
2019-07-15,44.72,44.87,44.87,44.48,15960000.0,0.0018
2019-07-16,45.09,44.83,45.26,44.77,17470000.0,0.0083
2019-07-17,44.43,45.03,45.05,44.35,16690000.000000002,-0.0146
2019-07-18,44.56,44.25,44.58,44.09,12460000.0,0.0029
2019-07-19,44.06,44.75,44.76,44.02,18370000.0,-0.011200000000000002
2019-07-22,43.85,44.11,44.14,43.64,17160000.0,-0.0048
2019-07-23,44.32,44.01,44.42,43.95,16610000.0,0.010700000000000001
2019-07-24,44.87,44.31,44.88,44.23,17640000.0,0.0124
2019-07-25,44.61,44.31,45.3,43.81,25660000.0,-0.0058
2019-07-26,44.63,44.02,45.08,44.02,17000000.0,0.0004
2019-07-29,44.23,44.7,44.71,44.12,9840000.0,-0.009000000000000001
2019-07-30,44.08,44.04,44.26,43.72,10340000.0,-0.0034000000000000002
2019-07-31,43.17,43.8,43.9,42.7,18510000.0,-0.0206
2019-08-01,42.88,43.19,43.84,42.78,17420000.0,-0.0067
2019-08-02,42.65,42.75,42.92,42.2,20840000.0,-0.0054
2019-08-05,41.61,42.14,42.2,41.13,23620000.0,-0.024399999999999998
2019-08-06,42.07,41.69,42.19,41.3,18430000.0,0.0111
2019-08-07,41.73,41.3,41.84,40.72,22670000.0,-0.008100000000000001
2019-08-08,42.66,41.97,42.88,41.9,14090000.0,0.0223
2019-08-09,42.93,42.63,43.15,42.38,15780000.0,0.0063
2019-08-12,42.46,42.73,42.77,42.2,15940000.0,-0.0109
2019-08-13,43.46,42.54,44.04,42.47,21970000.0,0.0236
2019-08-14,42.37,43.49,43.49,42.19,18320000.0,-0.025099999999999997
2019-08-15,42.35,42.45,42.88,42.05,14470000.0,-0.0005
2019-08-16,43.18,42.78,43.32,42.51,14580000.0,0.0196
2019-08-19,44.0,43.63,44.14,43.61,13910000.0,0.019
2019-08-20,43.94,43.88,44.46,43.69,15760000.0,-0.0014000000000000002
2019-08-21,44.11,43.76,44.16,43.48,11330000.0,0.0039000000000000003
2019-08-22,43.77,44.23,44.41,43.62,9960000.0,-0.0077
2019-08-23,42.43,43.5,43.84,42.27,18200000.0,-0.030600000000000002
2019-08-26,43.35,42.74,43.51,42.55,13010000.0,0.0217
