Date,Close,Open,High,Low,Volume,Change
2019-07-11,23.81,24.06,24.06,23.54,3010000.0,-0.0092
2019-07-12,24.0,23.94,24.06,23.81,2900000.0,0.008
2019-07-15,23.51,23.79,23.94,23.5,5320000.0,-0.0204
2019-07-16,23.25,23.47,23.55,23.07,4410000.0,-0.0111
2019-07-17,22.39,23.18,23.22,22.35,6690000.0,-0.037000000000000005
2019-07-18,22.4,22.32,22.57,22.32,4600000.0,0.0004
2019-07-19,22.32,22.43,22.56,22.3,4139999.9999999995,-0.0036
2019-07-22,22.26,22.38,22.48,22.04,4099999.9999999995,-0.0027
2019-07-23,22.27,22.26,22.38,22.06,4260000.0,0.0004
2019-07-24,22.11,22.33,22.4,22.07,4300000.0,-0.0072
2019-07-25,21.79,22.2,22.39,21.7,6220000.0,-0.014499999999999999
2019-07-26,19.16,20.54,20.54,19.04,22650000.0,-0.1207
2019-07-29,19.13,19.34,19.56,19.0,15140000.0,-0.0016
2019-07-30,19.33,19.09,19.48,19.06,14940000.0,0.0105
2019-07-31,19.16,19.27,19.39,18.99,15320000.0,-0.0088
2019-08-01,18.73,19.16,19.16,18.39,17190000.0,-0.022400000000000003
2019-08-02,18.27,18.88,18.99,18.27,12910000.0,-0.0246
2019-08-05,17.45,18.01,18.12,17.22,15140000.0,-0.0449
2019-08-06,17.29,17.49,17.55,17.18,13710000.0,-0.0092
2019-08-07,17.46,17.1,17.66,16.82,10970000.0,0.0098
2019-08-08,17.67,17.63,17.68,17.28,8530000.0,0.012
2019-08-09,17.37,17.6,17.82,17.35,5700000.0,-0.017
2019-08-12,17.35,17.39,17.62,17.25,5540000.0,-0.0012
2019-08-13,16.99,17.33,17.57,16.98,8760000.0,-0.0207
2019-08-14,16.16,16.82,16.82,16.08,9240000.0,-0.0489
2019-08-15,16.3,16.2,16.36,16.01,8550000.0,0.0087
2019-08-16,16.47,16.31,16.52,16.17,4940000.0,0.0104
2019-08-19,16.75,16.53,16.82,16.45,7820000.0,0.017
2019-08-20,16.81,16.95,16.96,16.73,7460000.0,0.0036
2019-08-21,16.84,16.91,17.07,16.68,10900000.0,0.0018
2019-08-22,16.82,16.7,16.96,16.61,6030000.0,-0.0012
2019-08-23,16.84,16.67,17.07,16.56,8160000.0,0.0012
2019-08-26,16.55,16.93,17.0,16.41,7840000.0,-0.0172
2019-08-27,16.6,16.56,16.77,16.51,5320000.0,0.003
2019-08-28,16.79,16.67,16.86,16.5,4820000.0,0.011399999999999999
2019-08-29,17.23,16.88,17.4,16.87,6900000.0,0.0262
2019-08-30,17.12,17.19,17.28,16.86,5700000.0,-0.0064
2019-09-03,17.02,16.92,17.2,16.9,6310000.0,-0.0058
2019-09-04,17.13,17.19,17.24,17.01,4990000.0,0.006500000000000001
2019-09-05,17.4,17.26,17.61,17.16,5500000.0,0.0158
2019-09-06,17.55,17.27,17.61,17.18,5490000.0,0.0086
2019-09-09,18.4,17.66,18.44,17.66,15730000.0,0.0484
2019-09-10,18.59,18.23,18.73,18.2,11400000.0,0.0103
2019-09-11,19.01,18.75,19.01,18.5,9480000.0,0.0226
2019-09-12,18.65,18.84,19.02,18.5,7140000.0,-0.0189
2019-09-13,18.81,18.76,18.9,18.55,7410000.0,0.0086
2019-09-16,18.15,18.77,19.29,17.89,13910000.0,-0.0351
2019-09-17,18.35,18.07,18.52,17.86,12200000.0,0.011000000000000001
2019-09-18,18.33,18.36,18.59,18.27,7130000.0,-0.0011
2019-09-19,18.17,18.45,18.53,17.98,6760000.0,-0.0087
2019-09-20,18.05,18.22,18.25,17.9,9940000.0,-0.0066
2019-09-23,18.12,17.75,18.2,17.75,7420000.0,0.0039000000000000003
2019-09-24,17.94,18.11,18.15,17.9,4930000.0,-0.009899999999999999
2019-09-25,17.58,17.78,17.96,17.53,5450000.0,-0.020099999999999996
2019-09-26,17.17,17.49,17.52,16.97,9360000.0,-0.0233
2019-09-27,17.53,17.01,17.6,16.99,7770000.0,0.021
2019-09-30,17.57,17.43,17.84,17.37,8189999.999999999,0.0023
2019-10-01,17.58,17.65,17.8,17.45,6290000.0,0.0006
2019-10-02,17.13,17.48,17.66,17.09,9820000.0,-0.0256
2019-10-03,17.67,17.05,17.69,17.01,7060000.0,0.0315
2019-10-04,17.98,17.54,18.02,17.54,6270000.0,0.0175
2019-10-07,18.17,17.99,18.24,17.63,6330000.0,0.0106
2019-10-08,17.69,18.01,18.08,17.55,7860000.0,-0.0264
2019-10-09,17.34,17.78,17.85,17.25,7160000.0,-0.019799999999999998
2019-10-10,17.51,17.37,17.56,17.2,4410000.0,0.0098
2019-10-11,17.56,17.7,17.85,17.55,4470000.0,0.0029
2019-10-14,17.59,17.56,17.6,17.28,5130000.0,0.0017000000000000001
2019-10-15,17.99,17.59,18.34,17.55,6640000.0,0.0227
2019-10-16,17.85,17.88,18.16,17.82,4340000.0,-0.0078000000000000005
2019-10-17,17.9,17.95,18.03,17.68,4810000.0,0.0028000000000000004
2019-10-18,17.95,17.92,18.2,17.91,4200000.0,0.0028000000000000004
2019-10-21,18.25,17.89,18.3,17.65,6880000.0,0.0167
2019-10-22,18.52,18.23,18.81,18.22,6670000.0,0.0148
2019-10-23,18.52,18.48,18.77,18.24,8260000.0,0.0
2019-10-24,18.46,18.6,18.61,18.04,7880000.0,-0.0032
2019-10-25,18.81,18.51,19.34,18.33,9420000.0,0.019
2019-10-28,18.11,18.48,19.01,18.11,7120000.0,-0.037200000000000004
2019-10-29,18.96,18.17,19.13,18.08,7170000.0,0.046900000000000004
2019-10-30,18.49,19.11,19.11,18.45,6460000.0,-0.0248
2019-10-31,18.64,18.51,18.71,18.27,6720000.0,0.008100000000000001
2019-11-01,18.43,18.63,18.73,18.39,6950000.0,-0.0113
2019-11-04,18.75,18.7,19.01,18.6,8199999.999999999,0.0174
2019-11-05,18.11,18.72,18.85,18.05,11570000.0,-0.0341
2019-11-06,18.38,17.98,18.59,17.91,6750000.0,0.0149
2019-11-07,18.36,18.5,18.58,18.16,7020000.0,-0.0011
2019-11-08,18.37,18.22,18.53,18.17,4550000.0,0.0005
2019-11-11,17.74,18.01,18.15,17.7,6090000.0,-0.034300000000000004
2019-11-12,17.8,17.81,17.84,17.63,8420000.0,0.0034000000000000002
2019-11-13,17.9,17.76,18.0,17.74,5810000.0,0.005600000000000001
2019-11-14,17.85,17.81,18.05,17.77,5210000.0,-0.0028000000000000004
2019-11-15,18.17,17.81,18.22,17.59,8430000.0,0.0179
2019-11-18,17.17,18.05,18.1,17.1,8390000.0,-0.055
2019-11-19,16.9,17.18,17.27,16.85,8010000.0,-0.015700000000000002
2019-11-20,16.39,16.8,16.87,16.31,9090000.0,-0.0302
2019-11-21,16.05,16.4,16.46,15.96,9900000.0,-0.0207
2019-11-22,16.39,16.15,16.54,15.92,11790000.0,0.0212
2019-11-25,16.69,16.09,16.81,16.08,8890000.0,0.0183
2019-11-26,16.01,16.68,16.72,15.91,14330000.0,-0.0407
2019-11-27,16.25,16.0,16.43,15.93,11320000.0,0.015
2019-11-29,15.94,16.02,16.16,15.85,3970000.0,-0.0191
2019-12-02,16.0,16.01,16.09,15.72,11660000.0,0.0038
2019-12-03,15.71,16.0,16.0,15.61,13800000.0,-0.0181
2019-12-04,16.1,15.7,16.13,15.62,8730000.0,0.0248
2019-12-05,15.96,16.19,16.34,15.76,9960000.0,-0.0087
2019-12-06,16.08,16.05,16.29,16.0,7040000.0,0.0075
2019-12-09,16.11,15.85,16.34,15.78,6790000.0,0.0019
2019-12-10,16.19,16.06,16.27,15.98,5050000.0,0.005
2019-12-11,16.0,16.13,16.19,15.99,6430000.0,-0.011699999999999999
2019-12-12,16.16,16.07,16.29,15.99,8240000.0,0.01
2019-12-13,16.1,16.23,16.28,15.91,6310000.0,-0.0037
2019-12-16,16.89,16.21,16.89,16.2,10240000.0,0.049100000000000005
2019-12-17,16.69,16.81,17.0,16.62,7110000.0,-0.0118
2019-12-18,16.85,16.66,16.93,16.62,8730000.0,0.0096
2019-12-19,17.01,16.76,17.19,16.74,6640000.0,0.0095
2019-12-20,17.41,17.23,17.41,17.01,11950000.0,0.0235
2019-12-23,17.59,17.28,17.62,17.21,7790000.0,0.0103
2019-12-24,17.44,17.58,17.8,17.36,4630000.0,-0.0085
2019-12-26,17.38,17.55,17.58,17.3,4790000.0,-0.0034000000000000002
2019-12-27,17.22,17.44,17.44,17.16,5740000.0,-0.0092
2019-12-30,17.13,17.22,17.31,17.05,5790000.0,-0.0052
2019-12-31,17.41,17.04,17.46,16.96,4830000.0,0.0163
2020-01-02,17.23,17.52,17.6,16.93,8090000.0,-0.0103
2020-01-03,17.28,17.51,17.54,17.14,6900000.0,0.0029
2020-01-06,17.42,17.44,17.48,17.13,8390000.0,0.008100000000000001
2020-01-07,17.52,17.26,17.53,17.06,6990000.0,0.005699999999999999
2020-01-08,16.85,17.25,17.38,16.7,10760000.0,-0.0382
2020-01-09,17.26,16.82,17.27,16.62,10590000.0,0.024300000000000002
2020-01-10,17.49,17.27,17.6,17.09,7420000.0,0.013300000000000001
2020-01-13,17.19,17.44,17.48,16.95,7590000.0,-0.0172
2020-01-14,17.51,17.13,17.52,17.11,6110000.0,0.018600000000000002
2020-01-15,17.34,17.32,17.39,17.23,4970000.0,-0.0097
2020-01-16,17.37,17.45,17.81,17.34,5300000.0,0.0017000000000000001
2020-01-17,16.81,17.38,17.38,16.79,6090000.0,-0.0322
2020-01-21,15.52,16.65,16.7,15.51,15340000.0,-0.0767
2020-01-22,15.43,15.61,15.71,15.37,8670000.0,-0.0058
2020-01-23,15.23,15.22,15.47,15.05,11120000.0,-0.013000000000000001
2020-01-24,14.64,15.15,15.18,14.44,11090000.0,-0.0387
2020-01-27,14.42,14.51,14.56,14.07,10500000.0,-0.015
2020-01-28,14.71,14.51,14.78,14.4,11900000.0,0.020099999999999996
2020-01-29,14.32,14.75,14.82,14.3,6910000.0,-0.0265
2020-01-30,14.31,14.22,14.48,14.15,6370000.0,-0.0007000000000000001
2020-01-31,14.09,14.18,14.29,14.02,7990000.0,-0.0154
2020-02-03,14.16,14.07,14.4,14.07,6000000.0,0.005
2020-02-04,14.41,14.4,14.76,14.32,8220000.000000001,0.0177
2020-02-05,14.87,14.57,15.02,14.56,9760000.0,0.0319
2020-02-06,14.77,14.94,14.97,14.71,5030000.0,-0.0067
2020-02-07,14.64,14.65,14.73,14.46,5310000.0,-0.0088
2020-02-10,14.65,14.48,14.66,14.37,7630000.0,0.0007000000000000001
2020-02-11,14.76,14.82,14.84,14.57,4880000.0,0.0075
2020-02-12,14.96,14.98,15.12,14.69,5390000.0,0.013600000000000001
2020-02-13,15.07,14.92,15.16,14.82,6470000.0,0.0074
2020-02-14,14.8,15.08,15.2,14.77,5700000.0,-0.0179
2020-02-18,15.3,14.71,15.36,14.62,6370000.0,0.0338
2020-02-19,15.6,15.28,15.66,15.2,6600000.0,0.0196
2020-02-20,15.35,15.54,15.59,15.15,8080000.0,-0.016
2020-02-21,14.89,14.8,15.16,14.42,10080000.0,-0.03
2020-02-24,15.05,14.59,15.17,14.51,11810000.0,0.010700000000000001
2020-02-25,14.6,15.12,15.13,14.26,10570000.0,-0.029900000000000003
2020-02-26,14.66,14.73,14.97,14.45,9410000.0,0.0040999999999999995
2020-02-27,13.51,14.34,14.36,13.5,17240000.0,-0.0784
2020-02-28,13.93,13.09,13.95,13.06,17770000.0,0.0311
2020-03-02,14.55,14.06,14.68,13.68,11040000.0,0.044500000000000005
2020-03-03,14.79,14.62,15.05,14.27,12640000.0,0.0165
2020-03-04,14.94,15.0,15.02,14.43,10280000.0,0.0101
2020-03-05,14.92,14.57,14.93,14.53,10130000.0,-0.0013
2020-03-06,16.37,14.51,16.66,14.49,22590000.0,0.09720000000000001
2020-03-09,16.89,16.06,19.15,16.06,47470000.0,0.0318
2020-03-10,16.94,16.57,17.62,15.75,22600000.0,0.003
2020-03-11,16.21,16.64,16.99,16.04,15850000.0,-0.0431
2020-03-12,16.04,15.94,17.34,15.25,24360000.0,-0.0105
2020-03-13,18.37,16.5,18.75,16.23,20150000.0,0.14529999999999998
2020-03-16,17.11,17.08,20.53,16.9,20300000.0,-0.06860000000000001
2020-03-17,19.09,17.5,19.77,17.47,16450000.0,0.1157
2020-03-18,18.5,18.59,19.23,17.5,15960000.0,-0.030899999999999997
2020-03-19,16.91,18.71,18.83,16.33,12730000.0,-0.0859
2020-03-20,14.92,16.75,16.79,14.84,11390000.0,-0.1177
2020-03-23,14.14,15.1,15.19,13.16,9370000.0,-0.052300000000000006
2020-03-24,16.35,14.55,16.51,14.19,9490000.0,0.1563
2020-03-25,16.46,16.49,17.52,15.96,8930000.0,0.0067
2020-03-26,16.87,16.61,17.93,16.11,8950000.0,0.024900000000000002
2020-03-27,16.24,16.5,17.11,16.05,10360000.0,-0.0373
2020-03-30,17.51,16.01,17.7,16.01,8840000.0,0.0782
2020-03-31,17.19,17.8,17.93,16.72,9540000.0,-0.0183
2020-04-01,16.64,16.88,17.56,16.27,9000000.0,-0.032
2020-04-02,16.7,16.9,17.85,15.43,14930000.0,0.0036
2020-04-03,17.35,17.03,17.57,16.72,9110000.0,0.038900000000000004
2020-04-06,18.28,17.48,18.68,17.2,6760000.0,0.0536
2020-04-07,18.38,18.45,18.93,17.88,7590000.0,0.0055000000000000005
2020-04-08,19.19,18.6,19.27,17.85,5130000.0,0.0441
2020-04-09,18.88,19.0,19.65,18.5,7210000.0,-0.016200000000000003
2020-04-13,18.98,19.4,19.95,18.72,5100000.0,0.0053
2020-04-14,19.54,19.15,19.81,18.83,5940000.0,0.029500000000000002
2020-04-15,19.99,19.07,20.05,18.98,7110000.0,0.023
2020-04-16,19.31,20.1,20.75,19.13,7930000.0,-0.034
2020-04-17,20.96,19.68,20.98,19.45,9020000.0,0.08539999999999999
2020-04-20,21.42,20.33,22.14,20.28,9160000.0,0.0219
2020-04-21,21.03,21.5,22.23,20.73,8130000.000000001,-0.0182
2020-04-22,20.72,21.35,21.56,20.57,7310000.0,-0.0147
2020-04-23,20.04,21.11,21.11,19.83,9550000.0,-0.032799999999999996
2020-04-24,20.44,20.52,20.76,20.14,9160000.0,0.02
2020-04-27,21.09,20.46,21.34,20.3,6230000.0,0.0318
2020-04-28,20.54,21.36,21.36,20.3,6440000.0,-0.026099999999999998
2020-04-29,20.77,20.63,21.21,20.22,5690000.0,0.011200000000000002
2020-04-30,21.62,21.02,21.98,20.66,8850000.0,0.0409
2020-05-01,20.22,20.66,20.92,19.24,8060000.000000001,-0.06480000000000001
2020-05-04,20.26,20.52,20.81,19.76,6440000.0,0.002
2020-05-05,20.39,20.65,20.96,20.3,5240000.0,0.0064
2020-05-06,19.6,20.36,20.41,19.55,5240000.0,-0.0387
2020-05-07,19.98,19.81,20.3,19.78,5440000.0,0.0194
2020-05-08,20.51,20.08,20.55,20.08,3500000.0,0.0265
2020-05-11,19.35,20.38,20.63,19.28,4900000.0,-0.056600000000000004
2020-05-12,19.0,19.38,19.64,18.99,5100000.0,-0.0181
2020-05-13,18.77,18.85,19.03,18.46,4900000.0,-0.0121
2020-05-14,18.65,18.52,18.99,18.2,5440000.0,-0.0064
2020-05-15,18.25,18.6,18.74,18.2,4010000.0,-0.021400000000000002
2020-05-18,18.47,18.85,19.12,18.25,5540000.0,0.0121
2020-05-19,18.21,18.54,18.77,18.21,4160000.0,-0.0141
2020-05-20,18.91,18.39,19.0,18.18,6210000.0,0.0384
2020-05-21,18.63,18.9,19.06,18.47,7730000.0,-0.0148
2020-05-22,18.9,18.61,18.97,18.25,3960000.0,0.014499999999999999
2020-05-26,19.47,19.07,19.73,18.88,5420000.0,0.0302
2020-05-27,20.33,19.68,20.42,19.64,6280000.0,0.044199999999999996
2020-05-28,19.32,20.22,20.84,19.21,5810000.0,-0.049699999999999994
2020-05-29,19.84,19.29,20.12,19.16,8279999.999999999,0.0269
2020-06-01,19.83,19.25,19.95,18.86,6880000.0,-0.0005
2020-06-02,20.21,19.96,20.21,19.66,5750000.0,0.0192
2020-06-03,20.35,20.58,20.6,20.13,4470000.0,0.0069
2020-06-04,19.98,20.22,20.44,19.68,4410000.0,-0.0182
2020-06-05,20.42,20.23,20.5,20.03,7260000.0,0.022000000000000002
2020-06-08,22.37,20.28,22.38,20.28,7980000.0,0.0955
2020-06-09,21.93,22.0,22.67,21.11,9070000.0,-0.0197
2020-06-10,20.24,21.79,22.06,20.22,6960000.0,-0.0771
2020-06-11,20.14,19.77,20.83,19.52,6610000.0,-0.0049
2020-06-12,20.07,20.2,20.52,19.59,5440000.0,-0.0034999999999999996
2020-06-15,19.4,19.54,19.84,19.07,7630000.0,-0.0334
2020-06-16,19.31,19.7,19.81,19.03,4770000.0,-0.0046
2020-06-17,18.89,19.13,19.31,18.79,5120000.0,-0.0218
2020-06-18,18.77,18.77,19.12,18.59,3580000.0,-0.0064
2020-06-19,18.69,19.12,19.12,18.41,11750000.0,-0.0043
2020-06-22,18.07,18.51,18.66,17.94,4950000.0,-0.0332
2020-06-23,18.17,18.24,18.43,17.99,5540000.0,0.0055000000000000005
2020-06-24,17.92,18.04,18.41,17.85,5160000.0,-0.0138
2020-06-25,17.17,17.77,17.96,17.02,5750000.0,-0.04190000000000001
2020-06-26,16.57,17.09,17.12,16.42,11580000.0,-0.0349
2020-06-29,17.06,16.68,17.22,16.61,5070000.0,0.0296
2020-06-30,17.18,17.08,17.24,16.76,5640000.0,0.006999999999999999
2020-07-01,17.0,17.05,17.22,16.76,4690000.0,-0.0105
2020-07-02,17.74,17.28,17.95,17.27,4320000.0,0.0435
2020-07-06,17.92,18.0,18.15,17.69,4700000.0,0.0101
2020-07-07,18.08,17.85,18.55,17.73,5410000.0,0.0089
2020-07-08,17.55,18.1,18.15,17.43,4490000.0,-0.029300000000000003
2020-07-09,17.03,17.59,17.71,17.02,3640000.0,-0.0296
2020-07-10,17.6,17.09,17.67,17.09,4400000.0,0.0335
2020-07-13,17.08,17.54,17.59,17.03,4550000.0,-0.029500000000000002
2020-07-14,17.44,17.05,17.7,16.97,4960000.0,0.021099999999999997
2020-07-15,17.85,17.72,17.9,17.38,3850000.0,0.0235
2020-07-16,17.71,17.77,18.11,17.6,3160000.0,-0.0078000000000000005
2020-07-17,17.94,17.85,18.19,17.82,4900000.0,0.013000000000000001
2020-07-20,17.84,17.94,18.11,17.78,4090000.0,-0.005600000000000001
2020-07-21,18.53,17.59,18.71,17.58,4650000.0,0.0387
2020-07-22,18.48,18.34,18.58,17.93,3530000.0,-0.0027
2020-07-23,19.19,18.57,19.41,18.51,4460000.0,0.0384
2020-07-24,19.04,19.13,19.54,19.02,3720000.0,-0.0078000000000000005
2020-07-27,17.97,18.89,18.9,17.85,5690000.0,-0.0562
2020-07-28,18.27,18.22,18.61,17.99,5060000.0,0.0167
2020-07-29,18.48,18.25,18.49,17.87,4040000.0,0.0115
2020-07-30,18.14,18.39,18.49,17.98,4380000.0,-0.0184
2020-07-31,18.7,17.99,18.95,17.85,7530000.0,0.030899999999999997
2020-08-03,19.12,18.93,19.45,18.69,6410000.0,0.0225
2020-08-04,19.63,19.17,19.69,18.73,5710000.0,0.026699999999999998
2020-08-05,19.62,19.95,19.95,19.23,4980000.0,-0.0005
2020-08-06,19.83,19.6,20.14,19.55,4190000.0000000005,0.010700000000000001
2020-08-07,20.59,20.07,20.63,19.85,5020000.0,0.0383
2020-08-10,20.58,20.67,21.34,20.55,6620000.0,-0.0005
2020-08-11,19.73,20.79,20.87,19.61,6780000.0,-0.041299999999999996
2020-08-12,19.81,19.87,20.09,19.59,4210000.0,0.0040999999999999995
2020-08-13,19.35,19.78,19.81,19.21,4880000.0,-0.0232
2020-08-14,20.04,19.37,20.27,19.19,3380000.0,0.035699999999999996
2020-08-17,20.16,20.08,20.2,19.74,3110000.0,0.006
2020-08-18,19.89,20.34,20.52,19.87,4730000.0,-0.0134
2020-08-19,20.1,19.89,20.36,19.67,3480000.0,0.0106
2020-08-20,19.37,19.99,19.99,19.37,3920000.0,-0.0363
2020-08-21,19.52,19.41,19.56,19.09,3570000.0,0.0077
2020-08-24,19.51,19.53,19.75,19.31,4080000.0,-0.0005
2020-08-25,19.29,19.56,19.68,19.1,3520000.0,-0.0113
2020-08-26,18.68,19.19,19.19,18.55,4820000.0,-0.0316
2020-08-27,19.07,18.78,19.11,18.74,2980000.0,0.0209
2020-08-28,18.95,19.1,19.14,18.82,2810000.0,-0.0063
2020-08-31,18.97,18.85,19.05,18.56,4810000.0,0.0011
2020-09-01,18.59,18.57,18.81,18.11,4680000.0,-0.02
2020-09-02,18.17,18.47,18.56,18.11,4730000.0,-0.0226
2020-09-03,18.14,18.04,18.7,18.02,4000000.0,-0.0017000000000000001
2020-09-04,18.33,18.24,18.48,18.01,4430000.0,0.0105
2020-09-08,17.88,18.05,18.2,17.44,6190000.0,-0.0245
2020-09-09,18.58,18.05,18.62,17.95,4880000.0,0.0391
2020-09-10,18.2,18.67,18.7,18.14,4820000.0,-0.020499999999999997
2020-09-11,18.24,18.29,18.39,18.02,3880000.0,0.0022
2020-09-14,18.61,18.34,18.8,18.28,3990000.0,0.0203
2020-09-15,18.68,18.7,18.84,18.41,3890000.0,0.0038
2020-09-16,19.3,18.96,19.51,18.88,4470000.0,0.0332
2020-09-17,19.41,19.0,19.41,18.73,6380000.0,0.005699999999999999
2020-09-18,19.39,19.44,19.73,19.2,6630000.0,-0.001
2020-09-21,19.45,19.19,19.47,19.03,4930000.0,0.0031
2020-09-22,19.41,19.38,19.82,19.3,4700000.0,-0.0021
2020-09-23,18.65,19.56,19.59,18.62,4099999.9999999995,-0.0392
2020-09-24,18.74,18.73,19.05,18.54,4270000.0,0.0048
2020-09-25,18.12,18.47,18.64,18.02,4270000.0,-0.0331
2020-09-28,18.07,18.24,18.29,18.04,3390000.0,-0.0028000000000000004
2020-09-29,17.64,17.86,18.04,17.32,5970000.0,-0.023799999999999998
2020-09-30,17.36,17.65,17.75,17.18,4250000.0,-0.0159
2020-10-01,16.85,17.26,17.48,16.82,5550000.0,-0.0294
2020-10-02,17.01,16.47,17.21,16.41,4430000.0,0.0095
2020-10-05,17.74,17.2,17.77,17.05,3840000.0,0.0429
2020-10-06,17.61,17.91,18.18,17.58,3720000.0,-0.0073
2020-10-07,18.26,17.84,18.37,17.72,4790000.0,0.0369
