Date,Close,Open,High,Low,Volume,Change
2019-07-11,276.54,272.33,276.77,271.81,1990000.0,0.0189
2019-07-12,279.44,276.5,280.0,276.01,2049999.9999999998,0.0105
2019-07-15,280.58,279.94,280.7,278.9,1570000.0,0.0040999999999999995
2019-07-16,280.65,281.0,281.37,279.78,1380000.0,0.0002
2019-07-17,281.56,281.05,282.85,280.22,1720000.0,0.0032
2019-07-18,282.91,282.2,283.06,279.19,1700000.0,0.0048
2019-07-19,281.51,283.07,284.31,281.35,1610000.0,-0.0049
2019-07-22,280.17,281.22,282.32,279.32,1460000.0,-0.0048
2019-07-23,280.1,281.85,282.08,279.02,1120000.0,-0.0002
2019-07-24,280.83,279.83,281.24,279.01,1260000.0,0.0026
2019-07-25,279.8,281.2,281.94,279.34,1600000.0,-0.0037
2019-07-26,281.37,279.8,281.77,279.12,1450000.0,0.005600000000000001
2019-07-29,280.13,281.01,281.3,279.54,1260000.0,-0.0044
2019-07-30,279.5,280.27,280.57,279.1,978170.0,-0.0022
2019-07-31,275.63,279.02,279.72,272.63,1890000.0,-0.0138
2019-08-01,274.57,275.75,280.93,274.31,2630000.0,-0.0038
2019-08-02,272.5,274.3,274.94,270.5,1970000.0,-0.0075
2019-08-05,265.1,270.09,270.55,262.71,3330000.0,-0.027200000000000002
2019-08-06,269.31,266.47,270.23,264.05,2380000.0,0.0159
2019-08-07,274.3,268.18,274.86,263.59,3040000.0,0.018500000000000003
2019-08-08,274.8,273.04,274.84,271.0,2049999.9999999998,0.0018
2019-08-09,273.94,274.58,275.47,271.91,1280000.0,-0.0031
2019-08-12,271.31,274.03,274.98,269.3,1640000.0,-0.0096
2019-08-13,276.26,271.18,278.16,270.01,1740000.0,0.0182
2019-08-14,268.15,274.0,275.36,268.0,2120000.0,-0.0294
2019-08-15,271.52,270.53,272.97,268.77,1650000.0,0.0126
2019-08-16,274.1,274.1,276.07,273.44,1280000.0,0.0095
2019-08-19,275.61,276.41,277.38,274.55,1310000.0,0.0055000000000000005
2019-08-20,272.97,276.28,276.36,272.85,1390000.0,-0.0096
2019-08-21,275.68,275.41,276.54,274.7,1680000.0,0.009899999999999999
2019-08-22,279.92,277.01,280.99,276.87,2350000.0,0.0154
2019-08-23,274.01,278.21,280.13,272.7,1980000.0,-0.021099999999999997
2019-08-26,278.46,275.75,278.53,275.69,1430000.0,0.016200000000000003
2019-08-27,292.38,281.0,293.44,280.34,5180000.0,0.05
2019-08-28,294.49,293.75,299.95,292.42,5170000.0,0.0072
2019-08-29,296.57,297.48,297.73,292.76,2610000.0,0.0070999999999999995
2019-08-30,294.76,298.0,298.28,292.83,1800000.0,-0.0060999999999999995
2019-09-03,292.05,292.57,294.0,290.46,1840000.0,-0.0092
2019-09-04,296.12,294.0,296.3,293.77,1380000.0,0.0139
