Date,Close,Open,High,Low,Volume,Change
2019-07-11,25.75,25.55,25.93,25.46,8189999.999999999,0.0087
2019-07-12,26.19,25.83,26.25,25.78,10250000.0,0.0172
2019-07-15,26.17,26.18,26.2,25.98,10300000.0,-0.001
2019-07-16,26.52,26.13,26.74,26.13,25890000.0,0.0134
2019-07-17,23.79,24.45,24.55,23.35,103770000.0,-0.1027
2019-07-18,23.94,23.81,23.98,23.17,41020000.0,0.0063
2019-07-19,23.44,24.0,24.22,23.4,23910000.0,-0.0212
2019-07-22,23.64,23.4,23.71,23.33,17130000.0,0.0087
2019-07-23,23.31,23.78,23.78,23.24,20500000.0,-0.0138
2019-07-24,23.07,23.06,23.45,22.76,23080000.0,-0.0103
2019-07-25,23.17,23.0,23.38,22.89,18660000.0,0.004
2019-07-26,22.99,23.17,23.25,22.95,17420000.0,-0.0078000000000000005
2019-07-29,23.21,22.93,23.31,22.92,12550000.0,0.0096
2019-07-30,23.4,23.02,23.45,22.97,13570000.0,0.0085
2019-07-31,23.47,23.49,23.75,23.24,19800000.0,0.0027
2019-08-01,22.59,23.32,23.47,22.43,23560000.0,-0.037200000000000004
2019-08-02,22.37,22.55,22.58,22.14,18970000.0,-0.0097
2019-08-05,21.7,21.98,21.98,21.54,24290000.0,-0.029900000000000003
2019-08-06,22.16,21.89,22.28,21.75,16500000.0,0.0212
2019-08-07,21.96,21.74,22.1,21.6,22190000.0,-0.009000000000000001
2019-08-08,22.25,21.94,22.32,21.91,10830000.0,0.0129
2019-08-09,22.19,22.07,22.28,21.99,11880000.0,-0.0025
2019-08-12,21.94,22.01,22.08,21.75,13600000.0,-0.0111
2019-08-13,22.12,21.81,22.4,21.72,15220000.0,0.0079
2019-08-14,21.53,21.81,21.96,21.49,13390000.0,-0.026699999999999998
2019-08-15,21.47,21.53,21.63,21.32,9140000.0,-0.0026
2019-08-16,21.7,21.68,21.83,21.55,11610000.0,0.0106
2019-08-19,21.76,22.04,22.14,21.72,10710000.0,0.0031
2019-08-20,21.6,21.69,21.78,21.58,9930000.0,-0.0077
2019-08-21,21.78,21.74,21.86,21.62,10250000.0,0.0085
2019-08-22,22.05,21.91,22.25,21.8,16620000.000000002,0.012199999999999999
2019-08-23,21.54,21.9,22.08,21.42,15990000.0,-0.023
2019-08-26,21.68,21.75,21.88,21.51,11860000.0,0.0063
2019-08-27,21.47,21.84,21.88,21.47,10580000.0,-0.0095
2019-08-28,21.8,21.42,21.8,21.36,11110000.0,0.0152
2019-08-29,22.17,21.97,22.33,21.95,14010000.0,0.0171
2019-08-30,22.34,22.38,22.56,22.3,11690000.0,0.0077
2019-09-03,22.12,22.11,22.24,21.81,11380000.0,-0.01
2019-09-04,22.5,22.18,22.52,22.18,18200000.0,0.0173
2019-09-05,22.69,22.67,22.93,22.65,17300000.0,0.0083
2019-09-06,22.51,22.81,22.86,22.38,16260000.000000002,-0.0079
