Date,Close,Open,High,Low,Volume,Change
2019-07-11,239.99,239.24,240.6,237.46,450870.0,0.0054
2019-07-12,242.44,240.66,242.71,240.03,405810.0,0.0102
2019-07-15,243.26,242.0,243.77,240.01,367010.0,0.0034000000000000002
2019-07-16,239.44,244.22,244.59,239.13,885660.0,-0.015700000000000002
2019-07-17,260.37,253.92,262.0,251.5,2130000.0,0.0874
2019-07-18,260.65,260.0,262.54,257.89,1030000.0,0.0011
2019-07-19,257.85,262.5,263.81,257.68,648120.0,-0.010700000000000001
2019-07-22,259.03,258.41,261.49,258.15,687810.0,0.0046
2019-07-23,260.79,260.07,261.0,256.41,539340.0,0.0068000000000000005
2019-07-24,261.91,258.92,261.96,258.25,565460.0,0.0043
2019-07-25,260.76,259.96,262.62,259.6,424140.0,-0.0044
2019-07-26,261.69,260.57,262.61,258.51,777140.0,0.0036
2019-07-29,260.69,261.06,262.55,257.66,381960.0,-0.0038
2019-07-30,262.85,260.17,263.05,258.64,407850.0,0.0083
2019-07-31,260.44,262.78,264.29,256.51,878670.0,-0.0092
2019-08-01,259.03,261.07,264.0,258.15,559720.0,-0.0054
2019-08-02,258.41,258.58,260.65,256.13,479000.0,-0.0024
2019-08-05,251.12,253.61,257.01,248.75,618270.0,-0.0282
2019-08-06,257.19,252.0,257.8,252.0,485380.0,0.0242
2019-08-07,258.45,253.39,259.51,251.97,718890.0,0.0049
2019-08-08,264.29,259.43,264.47,258.64,492380.0,0.0226
2019-08-09,263.42,266.56,266.56,260.75,391640.0,-0.0033
2019-08-12,261.4,263.3,264.01,260.79,395640.0,-0.0077
2019-08-13,266.17,260.54,266.73,260.37,488960.0,0.0182
2019-08-14,256.72,262.46,265.67,256.61,445880.0,-0.0355
2019-08-15,260.02,257.2,261.15,256.17,460680.0,0.0129
2019-08-16,264.4,262.7,265.24,261.41,491870.0,0.0168
2019-08-19,267.82,267.79,268.96,265.0,469750.0,0.0129
2019-08-20,267.84,269.25,270.36,266.58,355750.0,0.0001
2019-08-21,267.65,267.9,269.03,266.39,659720.0,-0.0007000000000000001
2019-08-22,264.52,268.68,268.68,263.47,323530.0,-0.011699999999999999
2019-08-23,256.04,263.53,264.15,254.67,537820.0,-0.0321
2019-08-26,260.34,259.73,260.45,257.52,567420.0,0.0168
2019-08-27,261.15,263.24,263.46,260.85,532000.0,0.0031
2019-08-28,262.18,259.81,262.56,258.25,387630.0,0.0039000000000000003
2019-08-29,264.6,264.0,266.0,263.74,365410.0,0.0092
2019-08-30,263.8,263.42,266.67,262.79,392140.0,-0.003
2019-09-03,259.93,262.6,264.0,258.53,392220.0,-0.0147
2019-09-04,264.01,262.15,265.33,260.0,648040.0,0.015700000000000002
2019-09-05,267.24,266.92,270.24,266.37,380780.0,0.012199999999999999
2019-09-06,266.19,267.19,269.27,265.95,288420.0,-0.0039000000000000003
2019-09-09,255.66,267.56,267.56,255.23,930060.0,-0.039599999999999996
2019-09-10,248.97,253.55,254.17,246.96,1050000.0,-0.0262
2019-09-11,246.02,249.99,250.0,244.78,878720.0,-0.0118
2019-09-12,246.51,247.79,249.75,246.38,715420.0,0.002
2019-09-13,246.68,246.6,247.62,244.59,858670.0,0.0007000000000000001
2019-09-16,247.46,245.5,249.01,244.0,770590.0,0.0032
2019-09-17,249.95,247.98,250.34,247.98,386420.0,0.0101
2019-09-18,249.67,250.12,250.12,246.89,547080.0,-0.0011
2019-09-19,251.42,248.87,252.96,248.87,494760.0,0.006999999999999999
2019-09-20,253.78,252.72,256.88,251.92,1140000.0,0.009399999999999999
2019-09-23,254.65,254.44,255.36,252.37,705050.0,0.0034000000000000002
2019-09-24,252.14,256.26,257.9,251.24,624490.0,-0.009899999999999999
2019-09-25,266.62,262.0,267.89,260.17,1730000.0,0.0574
2019-09-26,268.02,266.33,268.68,265.06,706740.0,0.0053
2019-09-27,266.13,268.17,270.11,264.21,897460.0,-0.0070999999999999995
2019-09-30,268.1,267.18,269.55,265.46,566440.0,0.0074
2019-10-01,262.39,268.53,268.81,262.36,520210.00000000006,-0.0213
2019-10-02,258.95,261.93,261.98,256.75,686080.0,-0.0131
2019-10-03,258.63,258.07,259.4,253.86,461810.0,-0.0012
2019-10-04,262.86,260.11,263.19,259.48,445390.0,0.016399999999999998
2019-10-07,260.97,262.37,262.96,259.78,308710.0,-0.0072
2019-10-08,260.33,258.87,262.79,257.26,703730.0,-0.0025
2019-10-09,263.57,261.15,264.43,260.9,276070.0,0.0124
2019-10-10,266.07,263.37,266.7,262.1,394530.0,0.0095
2019-10-11,267.61,270.3,271.78,267.31,444420.0,0.0058
2019-10-14,265.94,267.7,268.28,265.79,519090.00000000006,-0.0062
2019-10-15,269.45,266.62,269.5,266.0,473240.0,0.0132
2019-10-16,266.97,269.18,269.18,265.77,421050.0,-0.0092
2019-10-17,268.33,268.76,269.65,266.16,377390.0,0.0051
2019-10-18,269.31,268.58,270.0,266.79,456110.0,0.0037
2019-10-21,269.99,270.04,271.96,268.44,304710.0,0.0025
2019-10-22,266.13,270.32,270.64,265.91,269570.0,-0.0143
2019-10-23,268.13,265.88,268.17,264.69,292260.0,0.0075
2019-10-24,272.34,268.64,272.63,267.94,403930.0,0.015700000000000002
2019-10-25,270.34,272.31,272.63,269.85,274530.0,-0.0073
2019-10-28,271.79,271.49,272.56,270.57,338680.0,0.0054
2019-10-29,274.52,270.58,276.28,270.47,453510.0,0.01
2019-10-30,276.26,275.1,276.49,273.32,354310.0,0.0063
2019-10-31,268.67,276.49,277.85,268.46,669220.0,-0.0275
2019-11-01,268.89,270.9,271.58,267.03,628080.0,0.0008
2019-11-04,269.72,269.8,271.98,267.26,424460.0,0.0031
2019-11-05,266.99,271.02,271.02,265.45,447740.0,-0.0101
2019-11-06,264.95,267.68,267.69,263.38,573580.0,-0.0076
2019-11-07,262.0,264.29,264.73,261.74,572360.0,-0.0111
2019-11-08,260.88,261.88,263.98,260.13,630030.0,-0.0043
2019-11-11,260.61,259.95,261.88,259.7,435620.0,-0.001
2019-11-12,258.85,260.32,262.25,258.25,1190000.0,-0.0068000000000000005
2019-11-13,255.24,252.36,255.65,247.67,1690000.0,-0.0139
2019-11-14,259.36,253.93,259.55,252.15,610160.0,0.0161
2019-11-15,256.12,258.45,260.02,255.53,659590.0,-0.0125
2019-11-18,256.14,255.25,258.17,254.11,600040.0,0.0001
2019-11-19,257.9,256.88,259.41,255.22,492700.0,0.0069
2019-11-20,259.46,256.8,261.29,256.66,633360.0,0.006
2019-11-21,253.63,259.34,259.9,253.37,505840.0,-0.0225
2019-11-22,254.09,256.37,257.44,252.83,494510.0,0.0018
2019-11-25,250.87,253.65,254.94,250.19,657260.0,-0.0127
2019-11-26,256.05,251.67,256.43,251.0,1060000.0,0.0206
2019-11-27,260.32,255.78,260.57,254.21,857150.0,0.0167
2019-11-29,257.06,259.05,259.41,255.88,290110.0,-0.0125
2019-12-02,255.89,256.34,258.0,254.38,613960.0,-0.0046
2019-12-03,255.38,253.99,256.44,253.45,572710.0,-0.002
2019-12-04,254.95,256.53,258.81,254.73,402490.0,-0.0017000000000000001
2019-12-05,254.7,255.14,255.75,253.58,407050.0,-0.001
2019-12-06,256.22,257.59,259.75,255.89,434480.0,0.006
2019-12-09,253.81,256.42,256.42,253.65,440210.0,-0.009399999999999999
2019-12-10,255.9,254.25,256.73,253.97,430220.0,0.008199999999999999
2019-12-11,258.05,256.55,258.26,254.26,437560.0,0.0084
2019-12-12,259.25,257.8,260.1,256.64,432900.0,0.004699999999999999
2019-12-13,261.81,259.27,262.58,258.48,716440.0,0.009899999999999999
2019-12-16,260.73,266.1,266.98,258.12,729300.0,-0.0040999999999999995
2019-12-17,260.76,261.8,262.43,259.19,900200.0,0.0001
2019-12-18,265.88,263.16,274.75,263.01,1560000.0,0.0196
2019-12-19,268.01,265.24,269.03,264.95,699430.0,0.008
2019-12-20,271.5,268.99,271.68,267.39,1310000.0,0.013000000000000001
2019-12-23,270.86,270.76,272.1,270.13,624610.0,-0.0024
2019-12-24,268.81,271.18,271.7,267.32,141740.0,-0.0076
2019-12-26,268.13,269.09,269.81,266.42,269840.0,-0.0025
2019-12-27,269.01,268.53,269.6,267.44,289150.0,0.0033
2019-12-30,268.36,269.05,269.38,266.25,302330.0,-0.0024
2019-12-31,269.08,268.31,269.59,266.75,369630.0,0.0027
2020-01-02,270.79,269.86,270.83,266.58,506790.0,0.0064
2020-01-03,269.57,268.07,271.98,267.06,493100.0,-0.0045000000000000005
2020-01-06,270.27,268.13,270.35,266.78,409370.0,0.0026
2020-01-07,270.07,268.12,271.25,267.34,388390.0,-0.0007000000000000001
2020-01-08,275.28,270.77,275.82,268.9,702060.0,0.019299999999999998
2020-01-09,279.35,273.06,282.89,273.06,810810.0,0.0148
2020-01-10,278.84,280.11,281.12,277.5,320200.0,-0.0018
2020-01-13,282.85,279.85,283.3,279.48,409530.0,0.0144
2020-01-14,281.52,282.02,283.88,281.2,447230.0,-0.004699999999999999
2020-01-15,284.64,281.96,285.87,281.96,425510.0,0.0111
2020-01-16,286.51,284.57,287.45,284.38,354140.0,0.0066
2020-01-17,284.23,287.69,287.74,282.44,488820.0,-0.008
2020-01-21,282.04,284.18,285.22,281.77,469790.0,-0.0077
2020-01-22,282.53,283.54,284.5,282.17,325690.0,0.0017000000000000001
2020-01-23,286.02,282.29,286.17,281.2,322790.0,0.0124
2020-01-24,283.44,287.22,287.68,281.25,244170.0,-0.009000000000000001
2020-01-27,278.62,278.03,281.05,276.03,516840.00000000006,-0.017
2020-01-28,277.96,278.22,280.66,277.83,335360.0,-0.0024
2020-01-29,280.25,278.85,282.25,274.8,480220.0,0.008199999999999999
2020-01-30,283.2,275.48,283.5,275.2,334640.0,0.0105
2020-01-31,278.97,282.14,284.62,278.38,696920.0,-0.0149
2020-02-03,282.01,280.41,284.8,279.31,480000.0,0.0109
2020-02-04,285.96,285.35,286.88,283.04,529890.0,0.013999999999999999
2020-02-05,291.34,289.82,291.88,288.42,576480.0,0.018799999999999997
2020-02-06,293.65,292.47,294.74,291.34,438720.0,0.0079
2020-02-07,291.58,291.63,294.25,290.68,366060.0,-0.006999999999999999
2020-02-10,292.62,291.6,292.84,289.21,384970.0,0.0036
2020-02-11,293.49,294.04,294.75,292.27,263140.0,0.003
2020-02-12,297.12,294.52,297.9,293.25,417110.0,0.0124
2020-02-13,298.1,295.41,300.12,295.41,442090.0,0.0033
2020-02-14,300.88,298.71,301.24,297.37,263880.0,0.009300000000000001
2020-02-18,302.51,300.93,302.67,298.83,386640.0,0.0054
2020-02-19,304.26,303.8,304.81,302.73,295980.0,0.0058
2020-02-20,297.7,302.51,304.57,296.7,585070.0,-0.0216
2020-02-21,293.36,294.89,296.73,292.24,500300.0,-0.0146
2020-02-24,288.16,285.62,290.32,284.46,592270.0,-0.0177
2020-02-25,279.88,288.11,289.69,279.3,875380.0,-0.0287
2020-02-26,283.91,281.85,287.07,281.6,707390.0,0.0144
2020-02-27,269.55,277.8,280.45,269.31,932790.0,-0.0506
2020-02-28,266.74,255.52,267.52,255.0,1390000.0,-0.0104
2020-03-02,279.6,266.06,279.76,264.47,1060000.0,0.0482
2020-03-03,272.37,277.39,286.63,270.86,895810.0,-0.0259
2020-03-04,286.11,280.54,286.14,275.5,681800.0,0.0504
2020-03-05,275.04,278.22,283.25,272.12,651870.0,-0.0387
2020-03-06,272.32,264.87,273.76,263.6,835470.0,-0.009899999999999999
2020-03-09,250.84,258.97,259.76,248.62,1110000.0,-0.0789
2020-03-10,268.42,257.26,268.9,253.24,911620.0,0.0701
2020-03-11,250.41,259.98,262.33,245.67,665030.0,-0.06709999999999999
2020-03-12,225.69,231.98,236.02,214.24,1940000.0,-0.0987
2020-03-13,243.58,233.25,244.07,223.6,1250000.0,0.0793
2020-03-16,202.51,197.57,207.68,197.57,1740000.0,-0.1686
2020-03-17,209.12,206.56,210.65,195.85,1880000.0,0.0326
2020-03-18,177.98,173.31,181.41,163.57,1910000.0,-0.1489
2020-03-19,183.0,176.26,185.03,161.76,1430000.0,0.0282
2020-03-20,175.09,180.17,189.42,167.35,2570000.0,-0.0432
2020-03-23,157.06,177.22,177.22,154.33,1640000.0,-0.10300000000000001
2020-03-24,173.8,167.86,178.46,165.87,1380000.0,0.1066
2020-03-25,192.33,177.02,200.34,169.0,1680000.0,0.1066
2020-03-26,192.58,194.05,197.08,182.54,1730000.0,0.0013
2020-03-27,181.57,186.01,186.82,180.06,1010000.0,-0.0572
2020-03-30,180.45,181.9,183.6,175.35,1070000.0,-0.0062
2020-03-31,173.22,178.49,179.58,171.92,1610000.0,-0.0401
2020-04-01,162.69,165.44,167.38,160.55,1110000.0,-0.0608
2020-04-02,165.19,160.25,167.29,158.89,1440000.0,0.0154
2020-04-03,164.23,163.26,167.5,162.19,1010000.0,-0.0058
2020-04-06,179.49,169.0,180.6,168.28,1340000.0,0.0929
2020-04-07,185.9,190.78,195.33,185.35,1610000.0,0.035699999999999996
2020-04-08,192.41,188.48,193.97,185.51,943080.0,0.035
2020-04-09,198.74,197.94,207.15,197.51,934440.0,0.0329
2020-04-13,195.08,198.75,198.85,191.46,761660.0,-0.0184
2020-04-14,201.7,200.66,203.95,198.64,845000.0,0.0339
2020-04-15,187.07,196.76,197.01,186.11,915200.0,-0.0725
2020-04-16,190.64,189.32,191.13,186.49,763410.0,0.0191
2020-04-17,204.16,198.99,204.75,196.61,812010.0,0.0709
2020-04-20,193.91,200.02,202.55,193.21,775140.0,-0.050199999999999995
2020-04-21,190.5,189.85,191.89,187.98,698440.0,-0.0176
2020-04-22,197.44,193.6,198.8,192.8,669230.0,0.0364
2020-04-23,199.42,198.16,203.56,198.16,955780.0,0.01
2020-04-24,200.18,201.28,202.67,198.27,760940.0,0.0038
2020-04-27,212.47,201.68,213.06,200.0,649530.0,0.061399999999999996
2020-04-28,218.17,219.28,223.2,214.41,1220000.0,0.0268
2020-04-29,230.95,223.1,232.1,221.27,997090.0,0.058600000000000006
2020-04-30,221.83,228.0,228.26,221.01,827260.0,-0.0395
2020-05-01,211.81,216.98,218.15,210.97,806660.0,-0.0452
2020-05-04,209.64,209.3,210.23,206.38,706780.0,-0.0102
2020-05-05,210.74,211.6,214.89,210.35,525330.0,0.0052
2020-05-06,210.17,212.0,212.69,208.15,497030.0,-0.0027
2020-05-07,213.4,212.67,216.64,211.33,401530.0,0.0154
2020-05-08,218.21,216.05,219.0,214.12,374850.0,0.0225
2020-05-11,214.38,215.77,216.76,213.05,445710.0,-0.0176
2020-05-12,205.74,215.0,216.11,205.71,750270.0,-0.0403
2020-05-13,199.47,201.97,203.4,197.56,1360000.0,-0.0305
2020-05-14,228.71,205.64,229.24,205.03,2390000.0,0.1466
2020-05-15,227.42,225.43,230.66,222.91,1460000.0,-0.005600000000000001
2020-05-18,236.43,233.99,239.37,233.99,999210.0,0.039599999999999996
2020-05-19,238.98,237.41,244.36,236.03,1040000.0,0.0108
2020-05-20,240.53,240.6,243.48,238.76,952530.0,0.006500000000000001
2020-05-21,242.56,241.59,245.72,240.81,544730.0,0.0084
2020-05-22,240.65,241.57,242.13,239.68,436340.0,-0.0079
2020-05-26,252.73,249.12,254.99,247.15,851190.0,0.050199999999999995
2020-05-27,251.58,254.95,256.96,247.33,744380.0,-0.0046
2020-05-28,251.72,252.07,254.64,250.08,483410.0,0.0006
2020-05-29,247.96,251.5,251.5,243.09,1250000.0,-0.0149
2020-06-01,250.94,248.51,252.15,247.65,481400.0,0.012
2020-06-02,255.0,251.93,255.35,249.71,877140.0,0.016200000000000003
2020-06-03,270.81,259.71,271.8,259.61,732780.0,0.062
2020-06-04,269.21,268.48,270.73,266.13,526720.0,-0.0059
2020-06-05,286.5,276.13,286.61,275.95,1050000.0,0.0642
2020-06-08,291.51,289.98,292.11,285.35,755210.0,0.0175
2020-06-09,282.91,285.87,286.91,281.81,612000.0,-0.029500000000000002
2020-06-10,278.18,282.93,282.93,275.48,606220.0,-0.0167
2020-06-11,264.0,265.67,271.47,262.01,886500.0,-0.051
2020-06-12,266.2,270.24,272.17,260.72,564290.0,0.0083
2020-06-15,266.53,258.13,267.39,258.0,575550.0,0.0012
2020-06-16,273.63,276.24,277.25,269.74,452220.0,0.026600000000000002
2020-06-17,273.28,272.97,276.4,271.44,368340.0,-0.0013
2020-06-18,275.81,271.01,277.04,271.01,402620.0,0.009300000000000001
2020-06-19,270.16,280.67,282.54,269.43,973310.0,-0.020499999999999997
2020-06-22,270.06,266.54,270.91,265.18,602430.0,-0.0004
2020-06-23,272.55,272.75,274.64,270.25,393700.0,0.0092
2020-06-24,261.63,269.58,269.58,258.84,650460.0,-0.0401
2020-06-25,262.57,261.02,263.34,258.88,489760.0,0.0036
2020-06-26,256.5,262.98,263.24,254.95,1050000.0,-0.0231
2020-06-29,263.61,257.95,263.84,255.37,433870.0,0.0277
2020-06-30,266.36,261.32,267.61,261.32,685280.0,0.0104
2020-07-01,267.97,271.71,272.03,266.19,660080.0,0.006
2020-07-02,270.65,271.32,276.49,270.18,454700.0,0.01
2020-07-06,273.63,275.41,277.0,272.65,484680.0,0.011000000000000001
2020-07-07,269.98,270.88,272.92,269.08,442360.0,-0.013300000000000001
2020-07-08,271.31,269.22,272.0,268.1,404780.0,0.0049
2020-07-09,266.14,269.37,270.74,261.79,429940.0,-0.0191
2020-07-10,266.88,263.93,268.14,263.72,280460.0,0.0028000000000000004
2020-07-13,266.36,269.81,272.61,265.52,540690.0,-0.0019
2020-07-14,270.3,262.52,270.8,261.65,345100.0,0.0148
2020-07-15,278.4,272.32,279.21,272.32,413660.0,0.03
2020-07-16,277.45,277.35,278.75,274.55,452780.0,-0.0034000000000000002
2020-07-17,280.06,279.94,280.62,275.0,290830.0,0.009399999999999999
2020-07-20,277.82,279.91,280.78,276.71,416970.0,-0.008
2020-07-21,284.08,283.16,285.89,280.53,353990.0,0.0225
2020-07-22,289.36,284.75,290.0,283.83,503000.0,0.018600000000000002
2020-07-23,303.01,285.0,310.3,285.0,1070000.0,0.0472
2020-07-24,302.6,303.87,307.09,295.49,731200.0,-0.0014000000000000002
2020-07-27,298.28,302.63,303.8,296.8,546880.0,-0.0143
2020-07-28,293.56,299.03,299.16,293.4,508190.0,-0.0158
2020-07-29,305.8,297.22,306.57,295.84,648260.0,0.0417
2020-07-30,301.81,300.35,303.71,295.52,570170.0,-0.013000000000000001
2020-07-31,301.87,301.65,302.16,296.98,736600.0,0.0002
2020-08-03,298.74,302.01,302.98,298.36,543780.0,-0.0104
2020-08-04,301.64,298.63,304.0,297.05,598480.0,0.0097
2020-08-05,299.97,304.71,305.98,297.48,409870.0,-0.0055000000000000005
2020-08-06,303.03,300.05,303.38,299.14,358290.0,0.0102
2020-08-07,310.01,302.67,310.38,300.0,441640.0,0.023
2020-08-10,316.4,310.45,316.52,309.61,540030.0,0.0206
2020-08-11,318.33,320.41,324.37,317.11,668570.0,0.0060999999999999995
2020-08-12,319.89,321.3,324.22,319.67,344240.0,0.0049
2020-08-13,318.98,318.0,320.71,318.0,253760.0,-0.0028000000000000004
2020-08-14,316.44,316.77,321.29,314.97,378020.0,-0.008
2020-08-17,320.99,319.59,321.41,317.98,360210.0,0.0144
2020-08-18,318.77,321.94,322.15,318.33,268710.0,-0.0069
2020-08-19,318.5,319.11,321.0,317.27,205080.0,-0.0008
2020-08-20,320.03,315.31,321.81,315.31,220470.0,0.0048
2020-08-21,320.39,318.91,320.98,316.51,400370.0,0.0011
2020-08-24,325.36,323.72,325.78,322.37,254700.0,0.0155
2020-08-25,324.73,327.57,327.76,323.49,288630.0,-0.0019
2020-08-26,325.95,323.86,327.6,322.8,238600.0,0.0038
2020-08-27,328.78,327.46,331.61,327.46,270000.0,0.0087
2020-08-28,333.88,328.7,334.6,328.7,345600.0,0.0155
2020-08-31,333.24,332.78,334.23,331.58,359280.0,-0.0019
2020-09-01,335.31,332.41,336.9,330.05,323360.0,0.0062
2020-09-02,342.38,337.55,343.37,335.13,323730.0,0.021099999999999997
2020-09-03,330.7,341.91,342.08,327.36,534080.0,-0.0341
2020-09-04,331.11,332.27,334.09,325.47,604290.0,0.0012
2020-09-08,318.78,325.7,328.39,318.02,641370.0,-0.037200000000000004
2020-09-09,325.93,320.99,328.05,319.66,490890.0,0.022400000000000003
2020-09-10,317.48,325.84,325.93,314.83,463570.0,-0.0259
2020-09-11,320.95,318.18,323.83,317.19,307800.0,0.0109
2020-09-14,327.81,324.5,328.67,324.0,333570.0,0.021400000000000002
2020-09-15,328.17,328.47,331.19,327.19,368360.0,0.0011
2020-09-16,326.21,331.19,331.19,325.74,388480.0,-0.006
2020-09-17,325.01,317.65,327.42,317.01,538190.0,-0.0037
2020-09-18,318.27,332.03,332.86,317.17,1210000.0,-0.0207
2020-09-21,316.59,313.29,316.84,307.84,498430.0,-0.0053
2020-09-22,324.01,319.65,326.38,319.2,602470.0,0.023399999999999997
2020-09-23,316.71,333.25,333.25,313.4,825090.0,-0.0225
2020-09-24,318.64,321.91,322.0,315.07,579760.0,0.0060999999999999995
2020-09-25,327.17,315.9,328.46,314.77,425860.0,0.0268
2020-09-28,336.0,330.8,337.25,330.8,546660.0,0.027000000000000003
2020-09-29,330.28,327.75,335.16,327.75,326670.0,-0.017
2020-09-30,332.83,334.76,337.15,330.4,525400.0,0.0077
2020-10-01,341.93,341.36,344.15,333.01,510820.0,0.0273
2020-10-02,335.05,334.22,339.95,333.74,458970.0,-0.020099999999999996
2020-10-05,336.4,338.28,339.77,334.93,324200.0,0.004
2020-10-06,330.72,336.41,339.37,324.19,552920.0,-0.0169
2020-10-07,335.7,335.8,337.6,333.63,304060.0,0.0151
2020-10-08,337.98,338.91,340.26,336.12,353080.0,0.0068000000000000005
2020-10-09,339.53,339.58,342.6,337.12,354420.0,0.0046
2020-10-12,349.0,338.96,351.3,338.96,588000.0,0.0279
2020-10-13,352.68,348.34,353.66,346.67,425160.0,0.0105
2020-10-14,351.19,353.78,358.27,350.7,431880.0,-0.0042
2020-10-15,348.38,346.75,350.1,343.59,334430.0,-0.008
2020-10-16,348.4,350.0,353.46,348.21,336770.0,0.0001
2020-10-19,341.32,348.66,349.92,340.13,329470.0,-0.0203
2020-10-20,343.66,343.56,348.47,343.03,322530.0,0.0069
2020-10-21,338.69,342.75,344.75,338.49,447280.0,-0.014499999999999999
2020-10-22,338.5,340.29,341.65,334.54,301930.0,-0.0006
2020-10-23,338.07,339.56,339.96,333.96,298320.0,-0.0013
2020-10-26,328.93,334.09,334.98,324.68,326530.0,-0.027000000000000003
2020-10-27,324.01,330.66,332.0,323.01,541320.0,-0.015
2020-10-28,315.54,314.61,321.36,314.61,525660.0,-0.026099999999999998
2020-10-29,319.92,314.44,323.7,311.69,389100.0,0.0139
2020-10-30,314.55,318.31,320.46,311.8,577100.0,-0.0168
2020-11-02,320.37,321.65,323.49,316.09,356580.0,0.018500000000000003
2020-11-03,330.02,324.47,332.04,324.47,293190.0,0.0301
2020-11-04,337.37,347.38,349.19,336.71,558570.0,0.0223
2020-11-05,339.07,339.32,345.45,336.38,394120.0,0.005
2020-11-06,340.93,338.56,342.18,336.67,330970.0,0.0055000000000000005
2020-11-09,363.46,359.99,368.12,358.37,1030000.0,0.0661
2020-11-10,358.68,354.07,365.65,354.07,506400.0,-0.0132
2020-11-11,360.04,360.88,361.42,354.09,368930.0,0.0038
2020-11-12,349.67,356.19,359.13,348.08,296870.0,-0.0288
2020-11-13,356.0,351.41,356.61,350.07,262800.0,0.0181
2020-11-16,368.66,356.62,368.67,356.62,387100.0,0.0356
2020-11-17,361.41,362.74,365.67,357.35,364020.0,-0.0197
2020-11-18,360.49,362.03,366.25,359.28,250320.0,-0.0025
2020-11-19,367.89,360.06,368.28,359.57,258240.0,0.020499999999999997
2020-11-20,361.85,365.14,367.6,360.43,258269.99999999997,-0.016399999999999998
2020-11-23,358.27,363.9,364.52,356.02,329120.0,-0.009899999999999999
2020-11-24,361.96,361.01,364.75,359.6,392560.0,0.0103
2020-11-25,360.49,362.07,364.27,358.36,192410.0,-0.0040999999999999995
2020-11-27,361.09,359.23,365.11,358.92,112170.0,0.0017000000000000001
2020-11-30,355.3,360.87,360.94,354.3,521159.99999999994,-0.016
2020-12-01,359.08,359.04,363.52,356.69,339740.0,0.0106
2020-12-02,360.91,360.21,362.8,356.23,538130.0,0.0051
2020-12-03,359.69,358.05,365.2,355.04,439790.0,-0.0034000000000000002
2020-12-04,363.47,360.67,366.81,360.0,467080.0,0.0105
2020-12-07,353.14,361.49,361.49,352.31,365800.0,-0.028399999999999998
2020-12-08,359.76,352.78,360.5,351.05,359510.0,0.0187
2020-12-09,354.04,361.01,362.67,352.15,528380.0,-0.0159
2020-12-10,347.35,354.09,354.09,346.79,365250.0,-0.0189
2020-12-11,349.11,346.29,351.35,344.43,371850.0,0.0051
2020-12-14,347.26,350.18,351.71,346.31,327680.0,-0.0053
2020-12-15,352.93,348.39,354.57,345.52,450160.0,0.0163
2020-12-16,354.11,354.72,355.32,351.83,272590.0,0.0033
2020-12-17,352.0,354.89,354.89,349.0,407780.0,-0.006
2020-12-18,354.35,353.86,355.5,349.64,954400.0,0.0067
2020-12-21,346.13,350.01,350.38,340.34,580560.0,-0.0232
2020-12-22,348.0,340.0,348.6,334.44,762830.0,0.0054
2020-12-23,339.42,354.97,354.97,339.37,499970.0,-0.024700000000000003
2020-12-24,338.4,341.11,342.25,336.4,185580.0,-0.003
2020-12-28,354.19,342.14,358.18,342.14,879610.0,0.0467
2020-12-29,347.37,355.52,355.61,343.77,413550.0,-0.019299999999999998
2020-12-30,350.23,350.14,353.32,346.75,293490.0,0.008199999999999999
2020-12-31,353.46,350.51,354.0,348.9,279520.0,0.0092
2021-01-04,343.6,353.94,354.74,342.3,849980.0,-0.0279
2021-01-05,348.89,344.04,349.04,338.52,507470.0,0.0154
2021-01-06,350.99,353.89,355.02,349.86,414720.0,0.006
2021-01-07,355.06,351.86,357.26,349.04,701050.0,0.0116
2021-01-08,350.15,353.92,358.45,348.91,398410.0,-0.0138
2021-01-11,339.5,349.27,349.27,338.68,493240.0,-0.0304
2021-01-12,339.47,338.28,341.38,335.18,388660.0,-0.0001
2021-01-13,335.81,339.14,339.68,334.23,485250.0,-0.0108
2021-01-14,327.14,336.5,336.5,326.51,688240.0,-0.0258
2021-01-15,326.07,323.77,328.89,321.61,626870.0,-0.0033
2021-01-19,322.04,325.68,326.6,319.69,567060.0,-0.0124
2021-01-20,332.19,319.45,333.37,319.45,599310.0,0.0315
2021-01-21,331.42,331.19,336.61,328.99,436670.0,-0.0023
2021-01-22,324.48,330.87,330.87,324.08,322730.0,-0.0209
2021-01-25,328.13,322.34,331.35,321.02,569090.0,0.011200000000000002
2021-01-26,323.16,329.48,329.48,322.73,358790.0,-0.0151
2021-01-27,318.2,319.36,322.46,315.0,658990.0,-0.015300000000000001
