Date,Close,Open,High,Low,Volume,Change
2019-07-11,80.59,80.38,81.16,80.16,1490000.0,0.0060999999999999995
2019-07-12,81.29,80.68,81.47,80.52,1110000.0,0.0087
2019-07-15,81.03,81.46,81.46,80.36,1110000.0,-0.0032
2019-07-16,80.94,81.29,81.98,80.88,1850000.0,-0.0011
2019-07-17,80.02,80.76,81.13,79.98,1280000.0,-0.011399999999999999
2019-07-18,81.63,79.73,81.66,79.71,1850000.0,0.020099999999999996
2019-07-19,81.74,81.86,82.22,81.25,2400000.0,0.0013
2019-07-22,82.33,81.66,82.57,81.59,3050000.0,0.0072
2019-07-23,84.48,82.88,84.79,82.68,3560000.0,0.026099999999999998
2019-07-24,92.0,87.66,92.37,87.27,7060000.0,0.08900000000000001
2019-07-25,91.76,92.91,92.91,91.3,3340000.0,-0.0026
2019-07-26,92.91,91.82,92.98,91.0,2700000.0,0.0125
2019-07-29,91.77,92.75,92.75,91.49,2270000.0,-0.0123
2019-07-30,91.05,90.88,91.96,90.52,2330000.0,-0.0078000000000000005
2019-07-31,89.74,90.49,90.72,89.21,2600000.0,-0.0144
2019-08-01,87.62,89.75,90.05,87.02,3270000.0,-0.0236
2019-08-02,86.68,87.26,87.57,85.33,2570000.0,-0.010700000000000001
2019-08-05,83.2,84.83,84.96,82.55,3160000.0,-0.0401
2019-08-06,84.31,84.14,84.39,83.02,2440000.0,0.013300000000000001
2019-08-07,83.77,82.68,83.94,81.86,2630000.0,-0.0064
2019-08-08,84.63,84.25,85.32,83.83,2150000.0,0.0103
2019-08-09,83.99,84.23,84.68,83.51,1260000.0,-0.0076
2019-08-12,81.56,83.21,83.41,81.49,1210000.0,-0.028900000000000002
2019-08-13,82.95,81.24,83.55,81.0,1990000.0,0.017
2019-08-14,79.42,80.98,81.43,79.36,1880000.0,-0.0426
2019-08-15,79.03,79.84,80.5,78.54,1910000.0,-0.0049
2019-08-16,80.35,79.56,80.9,79.44,1850000.0,0.0167
2019-08-19,80.88,81.65,81.81,80.7,1650000.0,0.0066
2019-08-20,79.75,80.48,80.84,79.69,1450000.0,-0.013999999999999999
2019-08-21,79.77,80.06,80.24,79.58,1140000.0,0.0003
2019-08-22,79.68,80.22,80.72,79.37,976660.0,-0.0011
2019-08-23,76.76,79.2,79.77,76.26,1670000.0,-0.0366
2019-08-26,78.06,77.5,78.09,76.62,1410000.0,0.0169
2019-08-27,77.49,78.57,78.68,77.03,2020000.0,-0.0073
2019-08-28,78.96,77.17,79.36,77.16,1560000.0,0.019
2019-08-29,80.0,79.9,80.47,79.54,960400.0,0.0132
2019-08-30,79.97,80.73,80.73,79.32,1500000.0,-0.0004
2019-09-03,78.46,79.11,79.34,77.56,1730000.0,-0.0189
2019-09-04,79.33,79.27,79.66,78.71,1970000.0,0.0111
2019-09-05,81.82,80.55,82.14,80.38,1940000.0,0.031400000000000004
2019-09-06,82.25,81.99,82.63,81.5,1790000.0,0.0053
2019-09-09,84.47,83.08,85.69,83.08,2210000.0,0.027000000000000003
2019-09-10,84.32,84.21,85.08,83.4,1940000.0,-0.0018
2019-09-11,84.39,84.34,84.4,83.01,1870000.0,0.0008
2019-09-12,84.5,84.52,84.96,83.59,1950000.0,0.0013
2019-09-13,84.78,85.21,85.63,84.44,1650000.0,0.0033
2019-09-16,83.59,83.92,83.92,82.35,1810000.0,-0.013999999999999999
2019-09-17,83.9,83.38,84.12,82.8,1860000.0,0.0037
2019-09-18,84.31,83.74,84.46,82.94,1230000.0,0.0049
2019-09-19,83.74,84.09,84.95,83.66,1120000.0,-0.0068000000000000005
2019-09-20,82.94,84.05,84.57,82.94,2930000.0,-0.0096
2019-09-23,83.31,82.08,83.58,82.01,1540000.0,0.0045000000000000005
2019-09-24,82.0,83.73,84.25,81.6,2390000.0,-0.015700000000000002
2019-09-25,81.75,81.98,82.3,80.95,2130000.0,-0.003
2019-09-26,81.35,81.93,82.17,81.15,1420000.0,-0.0049
2019-09-27,81.51,81.99,82.67,81.06,1110000.0,0.002
2019-09-30,81.09,81.87,81.95,80.89,1840000.0,-0.0052
2019-10-01,78.94,81.71,81.85,78.78,1990000.0,-0.0265
2019-10-02,76.81,78.15,78.36,76.2,1950000.0,-0.027000000000000003
2019-10-03,76.51,76.43,77.02,74.85,1830000.0,-0.0039000000000000003
2019-10-04,77.89,76.52,77.95,76.52,1350000.0,0.018000000000000002
2019-10-07,77.7,77.55,78.65,77.49,1600000.0,-0.0024
2019-10-08,75.17,76.78,76.78,75.16,1490000.0,-0.0326
2019-10-09,76.14,75.96,76.86,75.75,1740000.0,0.0129
2019-10-10,76.5,76.29,77.48,76.21,1480000.0,0.004699999999999999
2019-10-11,77.36,77.73,78.64,77.28,2020000.0,0.011200000000000002
2019-10-14,77.75,76.8,78.0,76.56,1620000.0,0.005
2019-10-15,78.95,78.3,79.68,77.83,1480000.0,0.0154
2019-10-16,78.56,78.77,79.44,78.47,1690000.0,-0.0049
2019-10-17,79.23,78.89,79.62,78.46,1910000.0,0.0085
2019-10-18,78.94,79.22,79.63,78.73,1660000.0,-0.0037
2019-10-21,80.44,79.68,80.64,79.61,1810000.0,0.019
2019-10-22,81.15,79.96,82.09,79.96,3550000.0,0.0088
2019-10-23,80.52,82.34,83.33,80.04,2700000.0,-0.0078000000000000005
2019-10-24,79.74,80.41,80.95,78.67,1500000.0,-0.0097
2019-10-25,80.14,79.59,80.53,79.01,1420000.0,0.005
2019-10-28,81.43,80.62,81.54,80.5,2200000.0,0.0161
2019-10-29,81.22,81.13,82.16,81.08,1360000.0,-0.0026
2019-10-30,81.15,81.25,81.26,80.14,1200000.0,-0.0009
2019-10-31,80.26,80.7,81.15,79.52,1330000.0,-0.011000000000000001
2019-11-01,81.72,81.06,81.94,80.83,1080000.0,0.0182
2019-11-04,82.66,82.42,82.74,82.01,1340000.0,0.0115
2019-11-05,83.1,82.84,83.73,82.69,1750000.0,0.0053
