Date,Close,Open,High,Low,Volume,Change
2019-07-11,72.43,71.69,72.53,71.37,1610000.0,0.011200000000000002
2019-07-12,74.15,72.77,74.18,72.54,1180000.0,0.023700000000000002
2019-07-15,74.11,74.12,74.31,73.72,770500.0,-0.0005
2019-07-16,75.1,74.12,75.64,74.12,932500.0,0.0134
2019-07-17,73.64,74.89,74.89,73.63,1030000.0,-0.0194
2019-07-18,74.01,73.58,74.18,73.33,984970.0,0.005
2019-07-19,74.98,74.39,75.34,74.01,1800000.0,0.0131
2019-07-22,74.67,75.01,75.62,74.6,845370.0,-0.0040999999999999995
2019-07-23,75.42,74.94,75.44,74.21,840510.0,0.01
2019-07-24,76.54,75.22,76.99,74.91,969050.0,0.0149
2019-07-25,75.4,76.44,76.71,74.96,742990.0,-0.0149
2019-07-26,76.19,75.59,76.34,75.19,610800.0,0.0105
2019-07-29,76.19,75.88,76.23,75.45,517000.0,0.0
2019-07-30,76.25,75.94,76.8,75.56,617300.0,0.0008
2019-07-31,76.35,75.92,77.2,75.69,1340000.0,0.0013
2019-08-01,73.32,76.16,76.17,72.79,1300000.0,-0.0397
2019-08-02,73.18,73.22,73.92,72.65,911340.0,-0.0019
2019-08-05,69.7,71.53,71.9,68.9,1860000.0,-0.047599999999999996
2019-08-06,72.46,77.91,77.91,71.61,1640000.0,0.039599999999999996
2019-08-07,72.59,71.37,72.81,69.5,1040000.0,0.0018
2019-08-08,73.14,72.85,73.37,72.29,903440.0,0.0076
2019-08-09,72.29,73.13,73.31,71.88,831640.0,-0.0116
2019-08-12,71.09,72.0,72.0,70.96,763060.0,-0.0166
2019-08-13,71.6,70.74,72.4,70.18,2790000.0,0.0072
2019-08-14,70.2,70.8,71.41,69.85,1240000.0,-0.0196
2019-08-15,70.4,70.4,71.02,69.91,1110000.0,0.0028000000000000004
2019-08-16,71.43,70.46,71.83,69.96,769880.0,0.0146
2019-08-19,71.72,72.5,72.57,71.63,654360.0,0.0040999999999999995
2019-08-20,70.45,71.77,71.77,70.39,685140.0,-0.0177
2019-08-21,70.62,71.11,71.25,70.44,677460.0,0.0024
2019-08-22,70.24,70.96,70.96,69.87,597860.0,-0.0054
2019-08-23,68.32,69.67,70.2,67.97,1420000.0,-0.0273
2019-08-26,69.45,68.87,69.72,68.39,937300.0,0.0165
2019-08-27,69.88,69.92,70.16,69.38,1190000.0,0.0062
2019-08-28,70.65,69.89,71.05,69.42,674400.0,0.011000000000000001
2019-08-29,71.52,71.39,72.27,71.05,484660.0,0.0123
2019-08-30,71.1,71.84,72.09,70.77,892470.0,-0.0059
2019-09-03,70.21,70.6,70.99,69.83,703580.0,-0.0125
2019-09-04,71.18,70.84,71.29,70.64,735330.0,0.0138
2019-09-05,72.57,71.41,72.92,71.41,775410.0,0.0195
2019-09-06,73.25,72.86,73.45,72.6,809620.0,0.009399999999999999
2019-09-09,73.96,73.35,74.01,73.17,523720.0,0.0097
2019-09-10,75.51,74.0,75.55,73.55,965730.0,0.021
2019-09-11,75.85,75.27,75.87,74.84,946680.0,0.0045000000000000005
2019-09-12,75.21,75.65,76.05,75.06,788250.0,-0.0084
2019-09-13,76.22,75.28,76.8,75.28,1090000.0,0.0134
2019-09-16,75.39,75.72,75.99,75.21,638350.0,-0.0109
2019-09-17,75.37,75.46,75.51,74.42,556880.0,-0.0003
2019-09-18,75.29,74.46,75.35,73.77,735930.0,-0.0011
2019-09-19,74.59,75.07,75.38,74.22,450780.0,-0.009300000000000001
2019-09-20,73.98,74.9,75.07,73.5,1170000.0,-0.008199999999999999
2019-09-23,72.58,73.46,73.46,72.24,954620.0,-0.0189
2019-09-24,71.75,72.94,73.32,71.6,828300.0,-0.011399999999999999
2019-09-25,72.87,71.96,73.11,71.64,646800.0,0.015600000000000001
2019-09-26,72.86,72.93,73.01,72.11,568810.0,-0.0001
2019-09-27,73.29,73.32,74.05,72.97,737150.0,0.0059
2019-09-30,74.29,73.32,74.4,73.15,1120000.0,0.013600000000000001
2019-10-01,73.17,74.75,75.7,73.12,1090000.0,-0.0151
2019-10-02,70.96,71.95,72.23,70.73,955700.0,-0.0302
2019-10-03,71.04,70.82,71.33,69.46,680360.0,0.0011
2019-10-04,71.47,71.15,72.06,70.8,632880.0,0.0060999999999999995
2019-10-07,70.84,71.34,71.37,70.51,756000.0,-0.0088
2019-10-08,68.98,70.18,70.25,68.9,863440.0,-0.0263
2019-10-09,70.66,69.51,70.92,69.3,1230000.0,0.024399999999999998
2019-10-10,72.11,70.85,72.19,70.51,1500000.0,0.020499999999999997
2019-10-11,74.37,73.23,75.2,73.18,1280000.0,0.0313
2019-10-14,74.03,73.94,74.29,73.5,726080.0,-0.0046
2019-10-15,75.09,74.19,75.6,74.16,1120000.0,0.0143
2019-10-16,74.42,74.82,75.34,74.28,642960.0,-0.0089
2019-10-17,74.39,74.84,74.95,74.25,521100.0,-0.0004
2019-10-18,73.94,74.25,74.53,73.81,1000000.0,-0.006
2019-10-21,74.29,74.41,74.74,74.15,548680.0,0.004699999999999999
2019-10-22,74.98,74.35,75.02,73.8,667690.0,0.009300000000000001
2019-10-23,74.97,75.11,75.56,74.01,755160.0,-0.0001
2019-10-24,74.41,75.0,75.04,74.14,459390.0,-0.0075
2019-10-25,75.25,74.38,75.35,74.38,504560.0,0.0113
2019-10-28,75.1,75.5,76.0,74.92,555070.0,-0.002
2019-10-29,75.07,75.1,75.42,74.75,560700.0,-0.0004
2019-10-30,74.01,74.51,74.51,72.79,941800.0,-0.0141
2019-10-31,72.94,73.9,73.91,72.6,1190000.0,-0.014499999999999999
2019-11-01,73.61,73.54,73.88,72.76,879590.0,0.0092
2019-11-04,74.7,74.21,74.88,74.06,1430000.0,0.0148
2019-11-05,77.55,76.16,81.15,75.25,2310000.0,0.0382
2019-11-06,77.0,77.26,78.25,76.42,1420000.0,-0.0070999999999999995
2019-11-07,77.2,77.22,78.15,77.05,821900.0,0.0026
2019-11-08,77.27,77.18,77.8,76.84,792930.0,0.0009
2019-11-11,76.61,76.76,77.07,76.11,505780.0,-0.0085
2019-11-12,76.43,76.52,77.01,76.22,650280.0,-0.0023
2019-11-13,75.81,76.24,76.24,75.39,998510.0,-0.008100000000000001
2019-11-14,76.2,75.76,76.27,75.29,852260.0,0.0051
2019-11-15,76.39,76.61,77.08,76.18,978240.0,0.0025
2019-11-18,75.5,76.18,76.32,75.11,1060000.0,-0.011699999999999999
2019-11-19,75.88,75.95,76.06,75.12,941590.0,0.005
2019-11-20,75.48,75.59,75.79,74.96,824630.0,-0.0053
2019-11-21,74.72,75.44,75.58,74.5,796350.0,-0.0101
2019-11-22,75.51,74.83,75.55,74.46,766090.0,0.0106
2019-11-25,76.59,75.81,76.62,75.31,901910.0,0.0143
2019-11-26,76.34,76.44,76.8,76.01,4800000.0,-0.0033
2019-11-27,75.75,76.27,76.27,75.55,1130000.0,-0.0077
2019-11-29,74.76,75.15,75.49,74.58,513750.0,-0.0131
2019-12-02,73.78,75.05,75.58,73.77,1360000.0,-0.0131
2019-12-03,72.5,73.1,73.73,72.38,2280000.0,-0.0173
2019-12-04,73.14,72.83,74.5,72.75,1560000.0,0.0088
2019-12-05,73.14,73.26,73.97,72.82,1130000.0,0.0
2019-12-06,73.55,74.1,74.17,73.28,768490.0,0.005600000000000001
2019-12-09,74.38,73.53,74.39,73.32,1270000.0,0.0113
2019-12-10,74.12,74.52,74.52,73.83,957280.0,-0.0034999999999999996
2019-12-11,74.43,74.02,74.43,73.82,1080000.0,0.0042
2019-12-12,76.32,74.37,76.61,73.84,1010000.0,0.0254
2019-12-13,76.15,76.28,77.07,75.09,1260000.0,-0.0022
2019-12-16,76.26,76.55,76.95,76.0,927970.0,0.0014000000000000002
2019-12-17,76.6,76.23,76.63,76.0,1370000.0,0.0045000000000000005
2019-12-18,76.86,76.3,77.02,75.75,1350000.0,0.0034000000000000002
2019-12-19,76.56,76.59,76.91,76.17,676180.0,-0.0039000000000000003
2019-12-20,76.45,77.17,77.17,76.15,2360000.0,-0.0014000000000000002
2019-12-23,76.74,76.75,76.96,76.42,799400.0,0.0038
2019-12-24,77.3,76.7,77.35,76.65,238190.0,0.0073
2019-12-26,77.31,77.31,77.35,76.83,420260.0,0.0001
2019-12-27,77.52,77.54,77.74,77.0,336250.0,0.0027
2019-12-30,77.99,77.63,78.16,77.15,1140000.0,0.0060999999999999995
2019-12-31,78.02,77.99,78.17,77.76,596880.0,0.0004
2020-01-02,78.35,78.62,78.73,77.62,988030.0,0.0042
2020-01-03,77.87,77.08,77.91,76.76,660190.0,-0.0060999999999999995
2020-01-06,76.83,77.09,77.44,75.82,872540.0,-0.0134
2020-01-07,76.63,76.37,76.94,76.08,871810.0,-0.0026
2020-01-08,76.38,76.7,76.94,76.05,989070.0,-0.0033
2020-01-09,76.81,76.38,77.02,76.3,948760.0,0.005600000000000001
2020-01-10,77.21,77.09,77.67,76.85,1080000.0,0.0052
2020-01-13,77.61,77.22,77.9,77.08,888310.0,0.0052
2020-01-14,78.72,77.67,79.15,77.54,1080000.0,0.0143
2020-01-15,79.19,78.93,79.57,78.46,847830.0,0.006
2020-01-16,81.34,79.55,81.64,78.79,1300000.0,0.0271
2020-01-17,76.82,75.79,78.33,75.46,3310000.0,-0.0556
2020-01-21,74.02,76.47,76.88,73.59,1870000.0,-0.0364
2020-01-22,73.66,74.26,74.5,73.13,1300000.0,-0.0049
2020-01-23,73.97,73.66,74.19,72.59,1490000.0,0.0042
2020-01-24,74.34,74.42,74.61,73.49,995670.0,0.005
2020-01-27,73.96,73.1,75.09,72.95,1900000.0,-0.0051
2020-01-28,73.85,74.14,74.33,73.55,1570000.0,-0.0015
2020-01-29,73.62,73.74,74.08,73.29,1310000.0,-0.0031
2020-01-30,73.43,73.0,73.66,72.51,1280000.0,-0.0026
2020-01-31,73.04,73.1,73.62,72.35,5710000.0,-0.0053
2020-02-03,72.7,73.6,74.19,72.43,1440000.0,-0.004699999999999999
2020-02-04,73.27,73.34,73.87,72.88,999210.0,0.0078000000000000005
2020-02-05,73.71,73.64,74.81,73.5,1180000.0,0.006
2020-02-06,74.03,73.93,74.42,73.26,1010000.0,0.0043
2020-02-07,73.34,73.67,74.44,73.17,1120000.0,-0.009300000000000001
2020-02-10,72.78,73.11,73.45,72.5,892970.0,-0.0076
2020-02-11,73.16,73.19,73.8,73.06,779360.0,0.0052
2020-02-12,73.42,73.23,73.83,73.13,620140.0,0.0036
2020-02-13,74.18,72.94,74.21,72.87,1080000.0,0.0104
