Date,Close,Open,High,Low,Volume,Change
2019-07-11,109.32,109.58,109.76,107.73,1230000.0,-0.0033
2019-07-12,110.83,109.8,111.84,109.72,1240000.0,0.0138
2019-07-15,106.41,110.82,111.24,106.35,1080000.0,-0.039900000000000005
2019-07-16,104.11,106.54,107.45,102.84,1650000.0,-0.0216
2019-07-17,101.79,103.8,104.95,101.71,1230000.0,-0.0223
2019-07-18,103.58,101.97,103.63,101.02,1420000.0,0.0176
2019-07-19,104.61,103.86,105.07,103.04,1140000.0,0.009899999999999999
2019-07-22,103.49,104.56,106.5,103.37,981640.0,-0.010700000000000001
2019-07-23,104.44,103.78,104.82,103.24,738900.0,0.0092
2019-07-24,104.45,103.87,106.34,103.87,802660.0,0.0001
2019-07-25,101.4,104.54,104.91,100.68,1130000.0,-0.0292
2019-07-26,101.99,101.68,102.49,100.27,1010000.0,0.0058
2019-07-29,99.73,101.82,102.09,99.04,1190000.0,-0.0222
2019-07-30,102.83,99.25,103.28,98.92,1310000.0,0.0311
2019-07-31,103.43,102.49,104.99,102.1,1470000.0,0.0058
2019-08-01,97.4,99.7,100.17,95.03,4980000.0,-0.0583
2019-08-02,97.49,97.87,99.13,94.83,2020000.0,0.0009
2019-08-05,91.45,95.02,95.49,91.31,2350000.0,-0.062
2019-08-06,91.06,91.8,93.0,88.78,2590000.0,-0.0043
2019-08-07,92.74,88.02,93.74,86.68,3920000.0,0.0184
2019-08-08,95.2,94.05,95.5,93.5,4290000.0,0.0265
2019-08-09,96.42,95.34,98.26,94.26,1680000.0,0.0128
2019-08-12,96.88,96.06,97.8,95.27,1920000.0,0.0048
2019-08-13,99.94,97.03,100.75,96.39,1810000.0,0.0316
2019-08-14,96.31,97.33,98.1,96.16,1780000.0,-0.0363
2019-08-15,95.81,95.67,97.14,94.31,1540000.0,-0.0052
2019-08-16,97.26,95.97,97.83,95.58,1320000.0,0.0151
2019-08-19,99.96,99.0,100.24,98.07,1120000.0,0.0278
2019-08-20,99.28,99.24,100.5,98.69,1030000.0,-0.0068000000000000005
2019-08-21,100.1,100.45,101.55,99.46,961710.0,0.0083
2019-08-22,99.23,100.42,100.7,99.14,905540.0,-0.0087
2019-08-23,94.6,97.61,98.64,94.22,1820000.0,-0.0467
2019-08-26,93.5,96.59,96.74,93.11,1660000.0,-0.0116
2019-08-27,92.37,93.8,94.35,91.37,1530000.0,-0.0121
2019-08-28,96.63,93.21,97.75,92.85,1760000.0,0.0461
2019-08-29,98.58,97.5,100.02,97.5,1330000.0,0.0202
2019-08-30,98.08,98.78,99.8,96.85,1700000.0,-0.0051
2019-09-03,97.0,95.29,97.32,93.86,1430000.0,-0.011000000000000001
2019-09-04,97.82,98.92,99.58,97.74,1160000.0,0.0085
2019-09-05,97.65,98.41,99.9,97.56,1560000.0,-0.0017000000000000001
2019-09-06,95.6,95.78,97.0,95.09,1620000.0,-0.021
2019-09-09,96.54,96.67,97.61,95.24,2580000.0,0.0098
2019-09-10,99.46,97.35,101.5,97.01,2720000.0,0.0302
2019-09-11,98.72,100.0,101.37,97.79,1310000.0,-0.0074
2019-09-12,96.17,96.49,97.45,95.57,1580000.0,-0.0258
2019-09-13,96.73,96.61,97.58,95.53,1190000.0,0.0058
2019-09-16,105.04,104.0,105.95,101.81,3990000.0,0.0859
2019-09-17,100.45,104.75,105.3,100.37,2450000.0,-0.0437
2019-09-18,98.25,99.35,99.5,97.19,1550000.0,-0.0219
2019-09-19,97.33,99.59,99.84,96.94,1390000.0,-0.009399999999999999
2019-09-20,96.82,97.35,98.19,95.8,3670000.0,-0.0052
2019-09-23,98.29,96.65,99.14,96.44,1820000.0,0.0152
2019-09-24,94.49,97.5,98.29,93.59,2280000.0,-0.0387
2019-09-25,93.24,93.52,93.9,91.07,2200000.0,-0.0132
2019-09-26,90.12,92.75,93.0,89.09,2480000.0,-0.0335
2019-09-27,89.99,89.0,90.9,88.9,1680000.0,-0.0014000000000000002
