Date,Close,Open,High,Low,Volume,Change
2019-07-11,30.36,29.87,30.45,29.44,17240000.0,-0.0285
2019-07-12,30.95,30.36,31.21,30.1,8460000.0,0.0194
2019-07-15,30.68,30.98,31.09,30.66,3410000.0,-0.0087
2019-07-16,31.28,30.54,31.39,30.54,4700000.0,0.0196
2019-07-17,30.59,31.21,31.3,30.59,3620000.0,-0.022099999999999998
2019-07-18,30.3,30.45,30.54,30.04,5820000.0,-0.0095
2019-07-19,30.37,30.53,30.91,30.34,3200000.0,0.0023
2019-07-22,30.64,30.52,30.9,30.5,5960000.0,0.0089
2019-07-23,31.69,30.7,31.8,30.7,4190000.0000000005,0.034300000000000004
2019-07-24,31.93,31.22,32.0,31.1,4230000.0,0.0076
2019-07-25,31.44,31.95,32.08,31.39,4190000.0000000005,-0.015300000000000001
2019-07-26,31.63,31.48,31.74,31.29,2830000.0,0.006
2019-07-29,31.32,31.6,31.83,31.23,2640000.0,-0.0098
2019-07-30,31.61,31.16,31.73,31.04,2530000.0,0.009300000000000001
2019-07-31,30.8,31.6,31.61,30.52,7470000.0,-0.0256
2019-08-01,29.63,30.84,30.99,29.51,7950000.0,-0.038
2019-08-02,29.62,29.38,29.66,28.8,5790000.0,-0.0003
2019-08-05,28.56,28.99,29.0,28.41,5170000.0,-0.0358
2019-08-06,29.2,28.64,29.55,28.57,5750000.0,0.022400000000000003
2019-08-07,29.26,28.75,29.48,28.38,5570000.0,0.0021
2019-08-08,29.74,29.38,29.87,29.38,6160000.0,0.016399999999999998
2019-08-09,29.74,29.7,29.87,29.29,3080000.0,0.0
2019-08-12,29.39,29.51,29.65,29.24,4540000.0,-0.0118
2019-08-13,29.96,29.43,30.93,29.21,6540000.0,0.0194
2019-08-14,29.16,29.61,29.67,29.01,3360000.0,-0.026699999999999998
2019-08-15,29.28,29.29,29.48,29.06,3690000.0,0.0040999999999999995
2019-08-16,29.98,29.52,30.04,29.31,3130000.0,0.0239
2019-08-19,30.66,30.39,30.73,30.28,2600000.0,0.0227
2019-08-20,30.48,30.64,30.84,30.41,4920000.0,-0.0059
2019-08-21,30.77,30.8,31.02,30.67,1800000.0,0.0095
2019-08-22,30.73,30.99,31.01,30.54,1990000.0,-0.0013
2019-08-23,29.66,30.56,30.72,29.44,4130000.0,-0.0348
2019-08-26,29.73,30.07,30.14,29.45,2210000.0,0.0024
2019-08-27,29.7,29.97,29.98,29.44,3990000.0,-0.001
2019-08-28,29.87,29.56,29.92,29.26,3430000.0,0.005699999999999999
2019-08-29,30.54,30.29,30.75,30.02,2820000.0,0.022400000000000003
2019-08-30,30.62,30.79,31.1,30.49,3060000.0,0.0026
2019-09-03,29.72,30.31,30.52,29.52,4940000.0,-0.0294
2019-09-04,29.96,30.02,30.26,29.89,2190000.0,0.008100000000000001
2019-09-05,31.06,30.31,31.43,30.31,4150000.0000000005,0.036699999999999997
2019-09-06,31.56,31.28,31.88,31.19,4010000.0,0.0161
2019-09-09,32.07,31.72,32.34,31.64,4680000.0,0.016200000000000003
2019-09-10,32.79,31.79,32.81,31.61,4850000.0,0.0225
2019-09-11,33.5,32.86,33.5,32.59,4530000.0,0.0217
2019-09-12,33.63,33.5,33.99,33.24,3950000.0,0.0039000000000000003
2019-09-13,33.64,33.77,34.09,33.58,3820000.0,0.0003
2019-09-16,33.46,33.4,33.78,33.2,3330000.0,-0.0054
2019-09-17,33.57,33.44,33.61,32.78,3290000.0,0.0033
2019-09-18,32.87,33.46,33.46,32.41,5090000.0,-0.0209
2019-09-19,32.4,32.78,32.91,32.36,3380000.0,-0.0143
2019-09-20,31.86,32.41,32.63,31.85,5460000.0,-0.0167
2019-09-23,32.28,31.87,32.41,31.7,3380000.0,0.0132
2019-09-24,31.7,32.54,32.64,31.48,4990000.0,-0.018000000000000002
2019-09-25,32.1,31.74,32.26,31.7,3170000.0,0.0126
2019-09-26,31.99,32.01,32.12,31.83,3340000.0,-0.0034000000000000002
2019-09-27,32.23,32.24,32.29,31.88,4710000.0,0.0075
2019-09-30,32.67,32.33,32.85,32.31,3390000.0,0.0137
2019-10-01,31.17,33.0,33.16,30.98,6480000.0,-0.045899999999999996
