Date,Close,Open,High,Low,Volume,Change
2019-07-11,93.69,93.8,94.3,93.17,3120000.0,-0.0018
2019-07-12,94.51,93.87,94.64,93.33,2320000.0,0.0088
2019-07-15,94.75,94.94,95.42,94.4,2400000.0,0.0025
2019-07-16,93.91,94.72,95.22,93.66,2049999.9999999998,-0.0089
2019-07-17,94.11,94.11,94.7,93.6,2770000.0,0.0021
2019-07-18,96.87,94.17,96.98,94.0,10760000.0,0.029300000000000003
2019-07-19,95.39,96.72,97.25,94.9,6020000.0,-0.015300000000000001
2019-07-22,95.3,95.83,96.16,95.2,3720000.0,-0.0009
2019-07-23,95.3,95.77,95.77,94.33,3280000.0,0.0
2019-07-24,94.17,95.07,95.29,92.86,3580000.0,-0.011899999999999999
2019-07-25,96.36,95.47,97.18,94.5,7100000.0,0.0233
2019-07-26,102.3,98.97,104.31,98.51,22060000.0,0.0616
2019-07-29,104.64,102.71,105.02,102.49,41150000.0,0.0229
2019-07-30,103.91,102.78,104.22,102.78,11510000.0,-0.006999999999999999
2019-07-31,105.43,104.84,106.88,103.97,8800000.0,0.0146
2019-08-01,104.66,107.06,107.06,104.18,6430000.0,-0.0073
2019-08-02,104.32,103.9,104.83,103.25,4360000.0,-0.0032
2019-08-05,100.45,102.73,103.36,99.55,7150000.0,-0.0371
2019-08-06,103.02,101.18,103.3,101.14,5440000.0,0.0256
2019-08-07,104.97,101.79,105.5,101.17,5600000.0,0.0189
2019-08-08,105.43,105.92,106.2,105.01,4640000.0,0.0044
2019-08-09,105.3,105.08,105.55,104.05,4170000.0,-0.0012
2019-08-12,104.21,104.93,105.73,103.5,5050000.0,-0.0104
2019-08-13,105.78,104.25,105.82,103.85,8490000.0,0.0151
2019-08-14,102.4,104.64,105.25,101.67,3930000.0,-0.032
2019-08-15,105.49,102.52,105.93,101.99,5210000.0,0.0302
2019-08-16,107.26,106.42,107.48,105.54,5900000.0,0.0168
2019-08-19,107.75,108.1,108.57,106.67,5340000.0,0.0046
2019-08-20,106.99,107.54,108.0,106.85,4710000.0,-0.0070999999999999995
2019-08-21,107.56,107.77,108.0,106.93,2550000.0,0.0053
2019-08-22,108.16,107.99,108.53,106.95,2820000.0,0.005600000000000001
2019-08-23,104.68,107.81,108.19,104.34,4550000.0,-0.0322
2019-08-26,106.38,105.51,106.41,105.04,3320000.0,0.016200000000000003
2019-08-27,106.98,107.19,107.34,106.09,3450000.0,0.005600000000000001
2019-08-28,106.75,106.38,106.96,105.76,1490000.0,-0.0021
2019-08-29,107.64,107.85,108.28,107.32,1990000.0,0.0083
2019-08-30,106.94,108.05,108.32,106.32,4350000.0,-0.006500000000000001
2019-09-03,105.84,107.09,107.21,105.62,2530000.0,-0.0103
2019-09-04,106.29,106.36,106.66,105.76,3610000.0,0.0043
2019-09-05,108.7,107.63,108.82,106.88,4910000.0,0.0227
2019-09-06,108.62,108.67,109.92,108.56,4050000.0,-0.0007000000000000001
2019-09-09,106.68,108.81,109.2,105.92,4540000.0,-0.0179
2019-09-10,103.69,105.72,106.19,101.9,4910000.0,-0.027999999999999997
2019-09-11,102.0,103.3,103.72,101.34,4680000.0,-0.0163
2019-09-12,103.89,103.29,104.81,102.93,4470000.0,0.018500000000000003
2019-09-13,102.6,103.76,103.96,102.06,2860000.0,-0.0124
2019-09-16,103.62,101.78,104.32,101.5,2490000.0,0.009899999999999999
2019-09-17,104.82,104.55,105.25,104.06,2510000.0,0.0116
2019-09-18,104.34,105.0,105.0,102.67,4570000.0,-0.0046
2019-09-19,104.91,104.02,105.84,104.01,4910000.0,0.0055000000000000005
2019-09-20,104.08,105.06,106.09,103.88,6640000.0,-0.0079
2019-09-23,105.04,103.38,105.24,103.38,4160000.0,0.0092
2019-09-24,103.76,105.34,106.76,103.54,6840000.0,-0.012199999999999999
2019-09-25,103.94,104.18,104.58,102.33,3430000.0,0.0017000000000000001
2019-09-26,105.07,104.19,105.33,103.81,3640000.0,0.0109
2019-09-27,102.61,105.71,105.78,102.12,3020000.0,-0.023399999999999997
2019-09-30,103.59,102.7,103.81,102.67,2250000.0,0.0096
2019-10-01,103.15,103.93,104.58,102.72,1980000.0,-0.0042
2019-10-02,100.96,102.27,102.34,99.75,3670000.0,-0.0212
2019-10-03,103.05,101.03,103.23,100.18,2650000.0,0.0207
2019-10-04,105.7,103.66,105.86,103.64,3380000.0,0.025699999999999997
2019-10-07,104.59,105.0,105.31,104.02,2540000.0,-0.0105
2019-10-08,103.11,103.74,104.5,102.17,2400000.0,-0.014199999999999999
2019-10-09,104.7,103.52,105.09,103.22,1970000.0,0.0154
2019-10-10,105.14,104.04,105.56,103.64,2160000.0,0.0042
2019-10-11,105.68,106.09,106.76,105.43,1930000.0,0.0051
2019-10-14,106.02,105.81,106.66,105.6,3340000.0,0.0032
2019-10-15,106.89,106.85,107.1,105.92,2770000.0,0.008199999999999999
2019-10-16,106.55,106.02,106.71,105.02,2350000.0,-0.0032
2019-10-17,106.19,106.53,107.11,105.91,2009999.9999999998,-0.0034000000000000002
2019-10-18,105.67,107.16,107.23,104.59,4540000.0,-0.0049
2019-10-21,104.44,106.73,106.83,103.21,2730000.0,-0.0116
2019-10-22,100.79,104.25,104.66,100.03,4320000.0,-0.0349
2019-10-23,101.1,100.49,101.56,100.29,3530000.0,0.0031
2019-10-24,103.45,101.71,103.58,101.28,2630000.0,0.0232
2019-10-25,102.51,102.74,103.43,101.77,2600000.0,-0.0091
2019-10-28,102.46,103.03,103.38,102.01,1610000.0,-0.0005
2019-10-29,105.35,102.39,106.86,102.12,3880000.0,0.0282
2019-10-30,106.3,105.27,106.53,104.37,2200000.0,0.009000000000000001
2019-10-31,106.14,106.41,107.44,105.67,3300000.0,-0.0015
2019-11-01,106.85,106.8,107.03,105.71,2009999.9999999998,0.0067
2019-11-04,105.29,107.57,107.59,105.13,2220000.0,-0.0146
2019-11-05,104.0,105.3,105.82,102.84,3030000.0,-0.0123
2019-11-06,104.91,103.9,105.04,103.44,2910000.0,0.0088
2019-11-07,109.65,108.0,111.45,106.61,8460000.0,0.0452
2019-11-08,110.61,109.01,110.66,108.8,4200000.0,0.0088
2019-11-11,110.25,110.47,111.26,108.68,3500000.0,-0.0033
2019-11-12,110.65,110.58,111.32,109.92,2450000.0,0.0036
2019-11-13,111.33,110.39,111.75,110.34,3430000.0,0.0060999999999999995
2019-11-14,114.1,112.32,114.29,110.81,3660000.0,0.024900000000000002
2019-11-15,113.91,114.88,115.0,112.2,3250000.0,-0.0017000000000000001
2019-11-18,114.5,114.32,115.0,113.72,2220000.0,0.0052
2019-11-19,116.04,114.9,116.24,114.23,2180000.0,0.0134
