Date,Close,Open,High,Low,Volume,Change
2019-07-11,10.11,10.22,10.31,10.1,33670000.0,-0.0088
2019-07-12,10.37,10.18,10.39,10.14,39200000.0,0.025699999999999997
2019-07-15,10.27,10.25,10.34,10.2,42100000.0,-0.0096
2019-07-16,10.38,10.23,10.4,10.21,39530000.0,0.010700000000000001
2019-07-17,9.98,10.37,10.37,9.98,53680000.0,-0.0385
2019-07-18,10.06,10.01,10.19,9.96,45160000.0,0.008
2019-07-19,10.04,10.08,10.19,10.03,34650000.0,-0.002
2019-07-22,10.21,10.05,10.23,10.05,43330000.0,0.0169
2019-07-23,10.65,10.28,10.68,10.27,74300000.0,0.0431
2019-07-24,10.68,10.58,10.7,10.54,44900000.0,0.0028000000000000004
2019-07-25,10.43,10.63,10.67,10.36,46120000.0,-0.023399999999999997
2019-07-26,10.51,10.47,10.55,10.39,27020000.0,0.0077
2019-07-29,10.38,10.5,10.58,10.38,37370000.0,-0.0124
2019-07-30,10.52,10.39,10.58,10.28,45310000.0,0.013500000000000002
2019-07-31,10.45,10.76,10.79,10.05,172470000.0,-0.0067
2019-08-01,10.08,10.37,10.48,9.98,87920000.0,-0.0354
2019-08-02,10.0,10.01,10.08,9.82,64300000.0,-0.0079
2019-08-05,9.66,9.79,9.81,9.61,70240000.0,-0.034
2019-08-06,9.57,9.71,9.75,9.48,66400000.00000001,-0.009300000000000001
2019-08-07,9.46,9.44,9.47,9.23,76790000.0,-0.0115
2019-08-08,9.49,9.51,9.53,9.32,49410000.0,0.0032
2019-08-09,9.15,9.47,9.48,9.12,76720000.0,-0.0358
2019-08-12,9.05,9.04,9.09,8.95,65569999.99999999,-0.0109
2019-08-13,9.35,9.23,9.59,9.21,74170000.0,0.0331
2019-08-14,9.03,9.24,9.3,8.96,89190000.0,-0.0342
2019-08-15,8.01,8.54,8.62,7.65,401050000.0,-0.113
2019-08-16,8.79,8.41,8.8,8.37,248880000.0,0.0974
2019-08-19,8.67,8.88,8.89,8.61,111640000.0,-0.0137
2019-08-20,8.38,8.58,8.6,8.33,102350000.0,-0.0334
2019-08-21,8.16,8.36,8.48,8.14,85310000.0,-0.0263
2019-08-22,8.19,8.18,8.31,8.11,68170000.0,0.0037
2019-08-23,7.97,8.09,8.1,7.76,128639999.99999999,-0.0269
2019-08-26,8.05,8.06,8.1,7.92,58000000.0,0.01
2019-08-27,7.93,8.09,8.11,7.91,66129999.99999999,-0.0149
2019-08-28,7.94,7.92,7.99,7.76,57700000.0,0.0013
2019-08-29,8.11,8.04,8.2,8.0,58770000.0,0.021400000000000002
2019-08-30,8.25,8.14,8.26,8.11,47360000.0,0.0173
2019-09-03,8.33,8.1,8.39,8.08,67660000.0,0.0097
2019-09-04,8.8,8.41,8.87,8.4,93670000.0,0.0564
2019-09-05,8.81,8.98,9.23,8.8,86960000.0,0.0011
2019-09-06,8.71,8.82,8.82,8.57,42850000.0,-0.011399999999999999
2019-09-09,8.96,8.75,9.05,8.73,49960000.0,0.0287
2019-09-10,9.14,8.91,9.27,8.9,62620000.0,0.020099999999999996
2019-09-11,9.36,9.15,9.36,9.06,57090000.0,0.0241
2019-09-12,9.26,9.4,9.52,9.22,68120000.0,-0.010700000000000001
2019-09-13,9.34,9.31,9.45,9.14,45590000.0,0.0086
2019-09-16,9.38,9.3,9.42,9.17,45750000.0,0.0043
2019-09-17,9.36,9.3,9.39,9.25,38110000.0,-0.0021
2019-09-18,9.38,9.31,9.39,9.18,40610000.0,0.0021
2019-09-19,9.42,9.35,9.5,9.34,34130000.0,0.0043
2019-09-20,9.37,9.46,9.54,9.34,58260000.0,-0.0053
2019-09-23,9.34,9.22,9.39,9.2,34060000.0,-0.0032
2019-09-24,8.97,9.31,9.35,8.96,53880000.0,-0.039599999999999996
2019-09-25,9.16,8.96,9.2,8.94,43980000.0,0.0212
2019-09-26,9.02,9.18,9.21,8.96,37610000.0,-0.015300000000000001
2019-09-27,9.04,9.04,9.17,8.99,30520000.0,0.0022
2019-09-30,8.94,9.08,9.1,8.94,35360000.0,-0.0111
2019-10-01,8.61,8.96,9.04,8.51,68950000.0,-0.0369
2019-10-02,8.51,8.56,8.62,8.41,47650000.0,-0.0116
2019-10-03,8.71,8.5,8.71,8.25,58960000.0,0.0235
2019-10-04,8.57,8.61,8.7,8.54,52520000.0,-0.0161
2019-10-07,8.56,8.55,8.65,8.48,32500000.0,-0.0012
2019-10-08,8.28,8.48,8.5,8.27,45800000.0,-0.0327
2019-10-09,8.35,8.31,8.37,8.24,33200000.000000004,0.0085
2019-10-10,8.45,8.34,8.52,8.31,33760000.0,0.012
2019-10-11,8.8,8.59,8.92,8.58,56340000.0,0.0414
2019-10-14,8.72,8.84,8.85,8.64,34260000.0,-0.0091
2019-10-15,8.89,8.74,8.92,8.61,39380000.0,0.0195
2019-10-16,8.9,8.86,9.07,8.84,58160000.0,0.0011
2019-10-17,9.04,8.92,9.09,8.88,33310000.000000004,0.015700000000000002
2019-10-18,8.96,9.01,9.1,8.95,39020000.0,-0.0088
2019-10-21,8.79,8.99,9.12,8.76,63790000.0,-0.019
2019-10-22,9.06,8.77,9.06,8.61,60170000.0,0.030699999999999998
2019-10-23,9.14,8.98,9.15,8.93,47660000.0,0.0088
2019-10-24,8.95,9.12,9.15,8.88,37020000.0,-0.0208
2019-10-25,9.0,8.92,9.09,8.92,42160000.0,0.005600000000000001
2019-10-28,9.07,9.02,9.12,8.99,31750000.0,0.0078000000000000005
2019-10-29,9.07,9.01,9.14,8.93,45760000.0,0.0
2019-10-30,10.11,9.78,10.37,9.71,215940000.0,0.11470000000000001
2019-10-31,9.98,10.05,10.21,9.86,86630000.0,-0.0129
2019-11-01,10.38,10.08,10.38,10.06,82050000.0,0.0401
2019-11-04,10.93,10.42,10.95,10.42,97780000.0,0.053
2019-11-05,10.97,10.92,10.97,10.72,71380000.0,0.0037
2019-11-06,11.02,10.93,11.1,10.79,78000000.0,0.0046
2019-11-07,11.29,11.1,11.31,11.09,71080000.0,0.0245
2019-11-08,11.52,11.23,11.55,11.14,62540000.0,0.0204
2019-11-11,11.35,11.4,11.5,11.24,45590000.0,-0.0148
2019-11-12,11.42,11.32,11.58,11.29,48940000.0,0.0062
2019-11-13,11.29,11.29,11.36,11.18,54320000.0,-0.011399999999999999
2019-11-14,11.29,11.18,11.35,11.18,30840000.0,0.0
2019-11-15,11.52,11.34,11.55,11.33,38250000.0,0.0204
2019-11-18,11.44,11.41,11.5,11.33,50990000.0,-0.0069
2019-11-19,11.5,11.43,11.54,11.26,46840000.0,0.0052
2019-11-20,11.39,11.44,11.49,11.26,46700000.0,-0.0096
2019-11-21,11.53,11.33,11.62,11.31,41690000.0,0.0123
2019-11-22,11.55,11.49,11.72,11.49,38480000.0,0.0017000000000000001
2019-11-25,11.58,11.66,11.84,11.57,56720000.0,0.0026
2019-11-26,11.35,11.62,11.67,11.31,64230000.00000001,-0.0199
2019-11-27,11.29,11.39,11.47,11.26,45510000.0,-0.0053
2019-11-29,11.27,11.28,11.36,11.22,22740000.0,-0.0018
2019-12-02,11.16,11.31,11.52,11.14,68770000.0,-0.0098
2019-12-03,10.99,11.0,11.11,10.81,66010000.00000001,-0.0152
2019-12-04,10.9,11.17,11.18,10.87,43790000.0,-0.008199999999999999
2019-12-05,10.79,10.89,10.96,10.76,47290000.0,-0.0101
2019-12-06,11.1,10.9,11.11,10.85,50610000.0,0.0287
2019-12-09,10.99,10.98,11.13,10.97,28490000.0,-0.009899999999999999
2019-12-10,11.01,10.99,11.03,10.92,24780000.0,0.0018
2019-12-11,10.97,10.97,11.09,10.95,36850000.0,-0.0036
2019-12-12,11.44,11.35,11.57,11.24,99930000.0,0.042800000000000005
2019-12-13,11.34,11.5,11.6,11.33,52810000.0,-0.0087
2019-12-16,11.17,11.28,11.36,11.13,55550000.0,-0.015
2019-12-17,11.1,11.15,11.23,11.08,41780000.0,-0.0063
2019-12-18,10.96,11.02,11.14,10.91,75460000.0,-0.0126
2019-12-19,11.04,10.98,11.15,10.97,45310000.0,0.0073
2019-12-20,11.03,11.08,11.14,10.9,73650000.0,-0.0009
2019-12-23,11.16,11.0,11.17,11.0,44040000.0,0.0118
2019-12-24,11.19,11.1,11.2,11.09,20770000.0,0.0027
2019-12-26,11.23,11.18,11.23,11.13,30380000.0,0.0036
2019-12-27,11.18,11.17,11.21,11.13,30010000.0,-0.0045000000000000005
2019-12-30,11.08,11.07,11.16,11.03,48150000.0,-0.0089
2019-12-31,11.16,11.0,11.16,10.96,56670000.0,0.0072
2020-01-02,11.93,11.23,11.96,11.23,87530000.0,0.069
2020-01-03,11.97,11.57,12.0,11.53,85920000.0,0.0034000000000000002
2020-01-06,12.14,11.84,12.21,11.84,111970000.0,0.014199999999999999
2020-01-07,12.05,12.15,12.23,11.92,71060000.0,-0.0074
2020-01-08,11.94,11.99,12.05,11.87,55470000.0,-0.0091
2020-01-09,11.91,12.07,12.09,11.83,39390000.0,-0.0025
2020-01-10,11.67,11.84,11.91,11.59,58670000.0,-0.0202
2020-01-13,12.12,11.74,12.15,11.68,66209999.99999999,0.038599999999999995
2020-01-14,12.03,12.16,12.19,11.99,45070000.0,-0.0074
2020-01-15,11.87,12.02,12.02,11.83,46050000.0,-0.013300000000000001
2020-01-16,11.84,11.94,11.98,11.82,36670000.0,-0.0025
2020-01-17,11.81,11.85,11.93,11.76,46580000.0,-0.0025
2020-01-21,11.66,11.74,11.8,11.61,43740000.0,-0.0127
2020-01-22,11.37,11.71,11.71,11.35,61950000.0,-0.024900000000000002
2020-01-23,11.77,11.73,11.85,11.6,73160000.0,0.0352
2020-01-24,11.71,11.88,11.89,11.62,59380000.0,-0.0051
2020-01-27,11.44,11.45,11.59,11.38,47860000.0,-0.0231
2020-01-28,11.73,11.52,11.82,11.47,62930000.0,0.0253
2020-01-29,12.94,12.57,13.0,12.49,220820000.0,0.1032
2020-01-30,12.73,12.89,12.99,12.5,95470000.0,-0.016200000000000003
2020-01-31,12.45,12.68,12.74,12.34,77980000.0,-0.022000000000000002
2020-02-03,12.26,12.46,12.68,12.25,50400000.0,-0.015300000000000001
2020-02-04,12.58,12.49,12.62,12.39,44390000.0,0.026099999999999998
2020-02-05,12.86,12.76,12.86,12.57,50070000.0,0.0223
2020-02-06,12.95,12.94,13.0,12.83,63610000.0,0.006999999999999999
2020-02-07,12.83,13.02,13.09,12.81,66640000.0,-0.009300000000000001
2020-02-10,12.91,12.84,12.97,12.77,33500000.0,0.0062
2020-02-11,12.85,12.95,12.98,12.78,40880000.0,-0.0046
2020-02-12,13.16,12.95,13.26,12.88,65709999.99999999,0.0241
2020-02-13,12.94,13.08,13.16,12.9,51010000.0,-0.0167
2020-02-14,12.83,12.97,13.06,12.75,36970000.0,-0.0085
2020-02-18,12.75,12.71,12.95,12.67,44020000.0,-0.0062
2020-02-19,12.61,12.7,12.94,12.59,54880000.0,-0.011000000000000001
2020-02-20,12.53,12.65,12.68,12.41,39560000.0,-0.0063
2020-02-21,12.25,12.45,12.46,12.22,42920000.0,-0.0223
2020-02-24,11.86,11.69,12.06,11.6,70980000.0,-0.0318
