Date,Close,Open,High,Low,Volume,Change
2019-07-11,32.55,32.74,32.79,32.38,3190000.0,-0.0058
2019-07-12,33.01,32.77,33.1,32.7,4470000.0,0.0141
2019-07-15,33.37,33.03,33.42,32.99,2420000.0,0.0109
2019-07-16,33.3,33.32,33.48,33.15,2400000.0,-0.0021
2019-07-17,32.95,33.14,33.21,32.66,6730000.0,-0.0105
2019-07-18,33.16,32.95,33.22,32.78,3940000.0,0.0064
2019-07-19,33.11,33.55,33.58,33.1,4470000.0,-0.0015
2019-07-22,33.36,33.15,33.45,32.98,3680000.0,0.0076
2019-07-23,33.58,33.46,33.76,33.42,3890000.0,0.0066
2019-07-24,33.82,33.5,33.87,33.5,4040000.0,0.0070999999999999995
2019-07-25,33.0,33.58,33.62,32.92,6280000.0,-0.0242
2019-07-26,33.79,33.16,33.84,33.03,5930000.0,0.0239
2019-07-29,34.1,34.01,34.25,33.85,5980000.0,0.0092
2019-07-30,31.4,31.87,32.16,31.21,16820000.0,-0.07919999999999999
2019-07-31,30.75,31.27,31.33,30.35,12900000.0,-0.0207
2019-08-01,29.74,30.39,30.76,29.61,10970000.0,-0.032799999999999996
2019-08-02,29.29,29.5,29.76,29.07,6630000.0,-0.0151
2019-08-05,28.18,28.96,29.0,27.96,11260000.0,-0.0379
2019-08-06,28.52,28.53,28.73,28.1,6230000.0,0.0121
2019-08-07,28.51,28.03,28.61,27.92,7120000.0,-0.0004
2019-08-08,29.15,28.88,29.21,28.72,5260000.0,0.022400000000000003
2019-08-09,28.28,28.98,28.98,28.07,4390000.0,-0.0298
2019-08-12,27.75,28.04,28.09,27.6,3560000.0,-0.0187
2019-08-13,28.22,27.6,28.75,27.54,4950000.0,0.0169
2019-08-14,27.32,27.81,27.87,27.3,5930000.0,-0.0319
2019-08-15,27.13,27.31,27.43,26.98,5040000.0,-0.006999999999999999
2019-08-16,27.63,27.35,27.79,27.22,5260000.0,0.0184
2019-08-19,27.89,28.08,28.25,27.88,3360000.0,0.009399999999999999
2019-08-20,27.49,27.77,27.92,27.46,4080000.0,-0.0143
2019-08-21,27.89,27.79,28.07,27.71,4650000.0,0.0146
2019-08-22,28.18,28.1,28.38,27.77,6950000.0,0.0104
2019-08-23,27.45,28.0,28.27,27.29,5440000.0,-0.0259
2019-08-26,27.23,27.67,27.76,27.12,4980000.0,-0.008
2019-08-27,27.07,27.42,27.5,26.98,3640000.0,-0.0059
2019-08-28,27.38,26.93,27.45,26.78,3920000.0,0.0115
2019-08-29,27.72,27.63,27.94,27.55,2990000.0,0.0124
2019-08-30,27.85,28.04,28.19,27.69,5080000.0,0.004699999999999999
2019-09-03,27.07,27.42,27.51,26.79,4960000.0,-0.027999999999999997
2019-09-04,27.4,27.35,27.52,27.14,4120000.0,0.012199999999999999
