Date,Close,Open,High,Low,Volume,Change
2019-07-11,13.86,13.75,13.89,13.66,6050000.0,0.0102
2019-07-12,13.87,13.92,13.92,13.69,10260000.0,0.0007000000000000001
2019-07-15,13.68,13.87,13.87,13.61,6940000.0,-0.0137
2019-07-16,13.7,13.69,13.73,13.56,6520000.0,0.0015
2019-07-17,13.59,13.6,13.64,13.44,9400000.0,-0.008
2019-07-18,13.76,13.53,13.87,13.5,8710000.0,0.0125
2019-07-19,13.88,13.78,14.05,13.72,7310000.0,0.0087
2019-07-22,13.79,13.88,13.9,13.75,7100000.0,-0.006500000000000001
2019-07-23,14.08,13.86,14.09,13.78,8199999.999999999,0.021
2019-07-24,14.34,14.08,14.4,14.03,12120000.0,0.018500000000000003
2019-07-25,14.41,14.15,14.6,14.02,14370000.0,0.0049
2019-07-26,14.61,14.43,14.67,14.35,9810000.0,0.0139
2019-07-29,14.33,14.57,14.66,14.31,9230000.0,-0.0192
2019-07-30,14.44,14.27,14.45,14.18,8029999.999999999,0.0077
2019-07-31,14.25,14.39,14.49,14.21,12040000.0,-0.0132
2019-08-01,13.57,14.22,14.33,13.49,13770000.0,-0.04769999999999999
2019-08-02,13.48,13.57,13.62,13.28,9770000.0,-0.0066
2019-08-05,12.93,13.22,13.25,12.79,9900000.0,-0.0408
2019-08-06,13.06,13.08,13.13,12.81,6740000.0,0.0101
2019-08-07,12.8,12.81,12.88,12.55,12030000.0,-0.0199
2019-08-08,13.0,12.91,13.14,12.89,6690000.0,0.015600000000000001
2019-08-09,13.0,12.96,13.1,12.83,4740000.0,0.0
2019-08-12,12.75,12.84,12.89,12.71,6350000.0,-0.0192
2019-08-13,12.9,12.7,13.11,12.64,7400000.0,0.0118
2019-08-14,12.44,12.57,12.69,12.33,8760000.0,-0.035699999999999996
2019-08-15,12.42,12.52,12.58,12.36,10790000.0,-0.0016
2019-08-16,12.93,12.57,12.94,12.54,10120000.0,0.041100000000000005
2019-08-19,13.1,13.18,13.22,13.03,8420000.0,0.0131
2019-08-20,12.9,12.98,13.0,12.82,8870000.0,-0.015300000000000001
2019-08-21,12.93,13.01,13.08,12.86,6830000.0,0.0023
2019-08-22,12.91,12.99,13.09,12.82,8289999.999999999,-0.0015
2019-08-23,12.45,12.84,12.97,12.39,7560000.0,-0.0356
2019-08-26,12.62,12.58,12.63,12.45,4580000.0,0.0137
2019-08-27,12.56,12.69,12.71,12.37,8400000.0,-0.0048
