Date,Close,Open,High,Low,Volume,Change
2019-07-11,214.04,212.25,214.08,211.02,3450000.0,0.015600000000000001
2019-07-12,218.23,215.0,218.25,214.61,4430000.0,0.0196
2019-07-15,218.7,218.95,219.3,216.81,3140000.0,0.0022
2019-07-16,217.26,217.3,218.35,216.73,2660000.0,-0.0066
2019-07-17,215.61,216.73,217.58,215.61,3040000.0,-0.0076
2019-07-18,214.44,215.5,216.23,213.01,3070000.0,-0.0054
2019-07-19,213.04,214.67,215.23,212.93,3260000.0,-0.006500000000000001
2019-07-22,211.27,213.0,213.26,210.38,2770000.0,-0.0083
2019-07-23,213.08,212.57,214.13,211.73,2590000.0,0.0086
2019-07-24,214.71,213.19,214.79,213.07,2210000.0,0.0076
2019-07-25,215.55,214.28,215.92,213.63,2340000.0,0.0039000000000000003
2019-07-26,216.91,215.53,217.21,214.1,2680000.0,0.0063
2019-07-29,218.04,216.79,218.27,216.35,2410000.0,0.0052
2019-07-30,217.36,217.52,218.59,216.86,2170000.0,-0.0031
2019-07-31,213.69,216.35,217.8,212.16,3430000.0,-0.0169
2019-08-01,212.83,214.14,217.61,212.02,3430000.0,-0.004
2019-08-02,212.15,211.86,213.14,211.08,2880000.0,-0.0032
2019-08-05,204.94,209.53,209.99,204.08,4550000.0,-0.034
2019-08-06,208.8,205.01,209.09,204.5,3650000.0,0.018799999999999997
2019-08-07,207.91,206.04,208.5,203.13,3900000.0,-0.0043
2019-08-08,211.57,209.7,211.69,208.72,2970000.0,0.0176
2019-08-09,210.02,211.45,212.41,207.95,2910000.0,-0.0073
2019-08-12,207.01,208.1,209.64,206.15,2000000.0,-0.0143
2019-08-13,208.33,206.31,211.62,204.78,3910000.0,0.0064
2019-08-14,201.59,204.46,205.36,201.51,4580000.0,-0.032400000000000005
2019-08-15,201.79,203.0,203.76,199.05,4200000.0,0.001
2019-08-16,203.65,203.75,204.43,201.67,4090000.0,0.0092
2019-08-19,207.95,206.98,208.82,205.3,6410000.0,0.021099999999999997
2019-08-20,217.09,213.5,217.85,212.17,12460000.0,0.044000000000000004
2019-08-21,220.4,218.73,220.88,216.76,7940000.0,0.0152
2019-08-22,221.02,220.05,222.66,219.88,4550000.0,0.0028000000000000004
2019-08-23,217.47,219.9,220.87,216.01,5770000.0,-0.0161
2019-08-26,218.65,218.46,219.5,216.18,3680000.0,0.0054
2019-08-27,218.21,219.55,220.41,217.91,4310000.0,-0.002
2019-08-28,221.95,217.88,222.09,217.11,3070000.0,0.0171
2019-08-29,227.32,223.9,227.7,223.76,4179999.9999999995,0.0242
2019-08-30,227.91,228.43,229.27,226.69,3770000.0,0.0026
2019-09-03,224.07,226.45,227.63,223.38,4139999.9999999995,-0.0168
2019-09-04,224.15,223.95,224.15,220.67,3150000.0,0.0004
2019-09-05,228.15,226.3,228.78,226.25,3370000.0,0.0178
2019-09-06,231.13,228.7,231.37,227.88,3240000.0,0.0131
2019-09-09,232.87,231.5,233.87,230.07,4450000.0,0.0075
2019-09-10,233.0,232.25,233.02,229.71,4210000.0,0.0006
2019-09-11,232.66,232.93,233.68,231.02,2980000.0,-0.0015
2019-09-12,233.8,233.42,235.49,233.11,3370000.0,0.0049
2019-09-13,233.98,234.33,234.97,232.33,3810000.0,0.0008
2019-09-16,230.99,232.73,233.61,230.61,3120000.0,-0.0128
2019-09-17,230.21,226.79,230.33,226.47,3810000.0,-0.0034000000000000002
2019-09-18,230.83,230.37,231.53,229.01,3420000.0,0.0027
2019-09-19,228.12,231.15,231.4,227.95,3250000.0,-0.011699999999999999
2019-09-20,224.67,227.99,230.05,224.23,7800000.0,-0.0151
2019-09-23,226.25,224.16,227.14,223.95,2960000.0,0.006999999999999999
2019-09-24,225.41,228.14,230.24,224.78,4520000.0,-0.0037
2019-09-25,228.1,226.59,228.45,224.5,3970000.0,0.011899999999999999
2019-09-26,229.79,229.68,231.12,229.0,4380000.0,0.0074
2019-09-27,229.86,231.61,231.75,229.13,3150000.0,0.0003
2019-09-30,232.02,230.19,232.59,230.12,3260000.0,0.009399999999999999
2019-10-01,231.08,233.01,234.51,230.72,3530000.0,-0.0040999999999999995
2019-10-02,225.55,230.6,230.6,224.34,4370000.0,-0.0239
2019-10-03,226.81,225.0,226.81,222.12,2970000.0,0.005600000000000001
2019-10-04,227.93,227.17,229.21,227.02,3190000.0,0.0049
2019-10-07,226.74,227.51,228.13,226.05,2970000.0,-0.0052
2019-10-08,226.67,225.36,228.78,225.1,3570000.0,-0.0003
2019-10-09,228.94,228.5,229.56,226.61,2680000.0,0.01
2019-10-10,231.61,229.34,232.24,229.08,3050000.0,0.011699999999999999
2019-10-11,234.66,234.32,236.7,233.76,3480000.0,0.0132
2019-10-14,234.18,234.22,235.49,234.06,2540000.0,-0.002
2019-10-15,235.62,234.69,236.86,234.6,2670000.0,0.0060999999999999995
2019-10-16,235.9,235.42,236.17,233.84,2390000.0,0.0012
2019-10-17,236.77,236.36,238.17,235.51,2300000.0,0.0037
2019-10-18,237.93,236.99,238.73,235.64,3660000.0,0.0049
2019-10-21,236.7,238.26,238.99,235.61,2080000.0,-0.0052
2019-10-22,237.2,237.3,238.3,236.52,2020000.0,0.0021
2019-10-23,234.67,236.66,237.41,234.36,2140000.0,-0.010700000000000001
2019-10-24,233.89,234.81,236.37,233.07,2180000.0,-0.0033
2019-10-25,234.38,233.49,235.42,232.55,2210000.0,0.0021
2019-10-28,236.8,234.95,236.96,234.56,2710000.0,0.0103
2019-10-29,234.14,236.84,237.5,233.92,2560000.0,-0.011200000000000002
2019-10-30,236.24,233.51,236.6,232.88,1960000.0,0.009000000000000001
2019-10-31,234.58,236.86,237.39,233.22,2820000.0,-0.006999999999999999
2019-11-01,237.34,236.07,237.44,235.06,2200000.0,0.0118
2019-11-04,234.92,238.27,238.39,233.88,2540000.0,-0.0102
2019-11-05,232.2,234.74,234.92,230.27,3620000.0,-0.0116
