Date,Close,Open,High,Low,Volume,Change
2019-07-11,14.6,14.79,14.88,14.48,12930000.0,-0.0115
2019-07-12,14.91,14.64,14.97,14.64,8060000.000000001,0.0212
2019-07-15,14.96,14.89,15.05,14.87,4660000.0,0.0034000000000000002
2019-07-16,14.81,14.98,15.03,14.79,7000000.0,-0.01
2019-07-17,14.69,14.8,14.85,14.67,7100000.0,-0.008100000000000001
2019-07-18,14.75,14.61,14.82,14.6,8279999.999999999,0.0040999999999999995
2019-07-19,14.84,14.79,14.96,14.78,5770000.0,0.0060999999999999995
2019-07-22,14.3,14.8,14.87,14.26,11950000.0,-0.0364
2019-07-23,14.61,14.4,14.65,14.37,8770000.0,0.0217
2019-07-24,14.74,14.64,14.85,14.59,8070000.0,0.0089
2019-07-25,14.51,14.72,14.72,14.44,8820000.0,-0.015600000000000001
2019-07-26,14.63,14.54,14.73,14.46,6890000.0,0.0083
2019-07-29,14.66,14.59,14.74,14.56,6050000.0,0.0021
2019-07-30,14.61,14.56,14.76,14.51,5360000.0,-0.0034000000000000002
2019-07-31,14.37,14.63,14.66,14.23,8330000.0,-0.016399999999999998
2019-08-01,14.14,14.33,14.71,14.11,7900000.0,-0.016
2019-08-02,13.27,13.74,13.84,13.02,21670000.0,-0.061500000000000006
2019-08-05,12.9,13.02,13.11,12.61,15210000.0,-0.0279
2019-08-06,13.07,13.17,13.2,12.92,9590000.0,0.0132
2019-08-07,13.06,12.88,13.14,12.77,8029999.999999999,-0.0008
2019-08-08,13.55,13.14,13.58,13.11,10870000.0,0.0375
2019-08-09,13.39,13.46,13.55,13.29,11270000.0,-0.0118
2019-08-12,13.08,13.24,13.29,13.0,6960000.0,-0.0232
2019-08-13,13.4,13.09,13.68,13.03,12050000.0,0.0245
2019-08-14,12.86,13.11,13.16,12.84,11300000.0,-0.0403
2019-08-15,12.68,12.88,12.97,12.52,11020000.0,-0.013999999999999999
2019-08-16,12.8,12.8,12.88,12.73,10820000.0,0.0095
2019-08-19,13.11,12.99,13.22,12.99,7200000.0,0.0242
2019-08-20,12.94,12.94,13.06,12.87,5080000.0,-0.013000000000000001
