Date,Close,Open,High,Low,Volume,Change
2019-07-11,41.22,41.4,41.4,40.8,2110000.0,-0.0019
2019-07-12,41.01,41.15,41.19,40.82,1500000.0,-0.0051
2019-07-15,41.24,41.0,41.27,40.85,1080000.0,0.005600000000000001
2019-07-16,41.23,41.26,41.49,41.05,2220000.0,-0.0002
2019-07-17,41.2,41.3,41.31,40.94,1900000.0,-0.0007000000000000001
2019-07-18,41.79,41.3,41.94,41.1,1830000.0,0.0143
2019-07-19,41.26,41.78,41.87,41.2,1500000.0,-0.0127
2019-07-22,41.36,41.22,41.65,41.21,1730000.0,0.0024
2019-07-23,41.15,41.44,41.53,41.1,1790000.0,-0.0051
2019-07-24,40.41,41.03,41.16,40.3,3420000.0,-0.018000000000000002
2019-07-25,40.83,40.3,40.93,40.06,1880000.0,0.0104
2019-07-26,41.38,40.95,41.56,40.8,1420000.0,0.013500000000000002
2019-07-29,41.44,41.38,41.71,41.15,1260000.0,0.0014000000000000002
2019-07-30,41.63,41.51,41.85,41.35,1300000.0,0.0046
2019-07-31,40.99,41.45,41.73,40.56,2200000.0,-0.0154
2019-08-01,41.23,41.17,42.04,41.02,3230000.0,0.0059
2019-08-02,41.36,41.32,41.87,41.19,3700000.0,0.0032
2019-08-05,40.73,41.37,41.77,40.53,3510000.0,-0.0152
2019-08-06,40.52,40.8,40.8,40.2,3250000.0,-0.0052
2019-08-07,40.89,40.47,41.06,40.16,4400000.0,0.0091
2019-08-08,41.78,40.89,41.9,40.71,3120000.0,0.0218
2019-08-09,41.71,41.8,42.16,41.67,2800000.0,-0.0017000000000000001
2019-08-12,41.83,41.6,41.95,41.5,2410000.0,0.0029
2019-08-13,41.79,41.92,42.41,41.67,3110000.0,-0.001
2019-08-14,40.69,41.66,41.7,40.68,2460000.0,-0.0263
2019-08-15,41.39,40.93,41.49,40.74,2069999.9999999998,0.0172
2019-08-16,41.45,41.5,41.6,41.26,2270000.0,0.0014000000000000002
2019-08-19,41.21,41.67,41.74,40.91,3040000.0,-0.0058
2019-08-20,40.9,41.08,41.45,40.78,3030000.0,-0.0075
2019-08-21,40.97,41.09,41.23,40.63,3830000.0,0.0017000000000000001
2019-08-22,42.95,42.25,43.09,41.17,5670000.0,0.0483
2019-08-23,42.0,42.7,42.75,41.4,3550000.0,-0.022099999999999998
2019-08-26,42.63,42.27,42.63,41.73,3040000.0,0.015
2019-08-27,42.41,42.61,42.7,42.17,2560000.0,-0.0052
2019-08-28,42.3,42.47,42.68,42.19,1830000.0,-0.0026
2019-08-29,42.45,42.5,42.63,42.07,1780000.0,0.0034999999999999996
2019-08-30,42.61,42.73,43.0,42.42,1640000.0,0.0038
2019-09-03,42.84,42.42,42.88,42.18,2310000.0,0.0054
2019-09-04,42.53,42.83,43.14,42.33,2860000.0,-0.0072
2019-09-05,42.55,42.87,42.93,42.36,2390000.0,0.0005
2019-09-06,42.6,42.69,42.76,42.41,1470000.0,0.0012
2019-09-09,42.91,42.68,42.94,42.38,1760000.0,0.0073
2019-09-10,43.67,42.47,43.68,42.47,2440000.0,0.0177
2019-09-11,44.54,43.6,44.57,43.39,3290000.0,0.0199
2019-09-12,44.0,44.5,44.73,43.85,3140000.0,-0.0121
2019-09-13,42.98,43.72,44.18,42.81,3140000.0,-0.0232
2019-09-16,42.83,42.84,43.0,42.41,1610000.0,-0.0034999999999999996
2019-09-17,43.17,42.81,43.49,42.71,1470000.0,0.0079
2019-09-18,42.96,43.39,43.69,42.56,1830000.0,-0.0049
2019-09-19,42.96,43.02,43.24,42.77,1600000.0,0.0
2019-09-20,42.94,43.07,43.17,42.73,2590000.0,-0.0005
2019-09-23,42.6,43.03,43.4,42.58,1720000.0,-0.0079
2019-09-24,42.96,42.89,43.04,42.65,3590000.0,0.0085
2019-09-25,43.3,43.04,43.42,42.99,2240000.0,0.0079
2019-09-26,43.54,43.49,43.68,43.21,1760000.0,0.0055000000000000005
2019-09-27,43.54,43.67,43.73,43.31,1440000.0,0.0
2019-09-30,43.73,43.61,43.88,43.48,1890000.0,0.0044
