Date,Close,Open,High,Low,Volume,Change
2019-07-11,69.45,69.56,70.79,68.93,1560000.0,0.0032
2019-07-12,70.58,69.66,71.32,69.05,2140000.0,0.0163
2019-07-15,71.35,70.59,71.62,70.28,1530000.0,0.0109
2019-07-16,69.93,71.5,71.53,69.7,2760000.0,-0.0199
2019-07-17,69.33,70.03,70.46,69.31,1140000.0,-0.0086
2019-07-18,68.88,69.33,69.33,68.37,1110000.0,-0.006500000000000001
2019-07-19,67.5,69.0,69.75,67.46,1350000.0,-0.02
2019-07-22,66.78,67.73,67.73,66.53,1120000.0,-0.010700000000000001
2019-07-23,67.5,67.12,67.69,66.69,938700.0,0.0108
2019-07-24,67.63,67.31,67.8,67.03,819110.0,0.0019
2019-07-25,67.39,67.49,67.6,66.97,798560.0,-0.0034999999999999996
2019-07-26,67.8,67.76,67.87,67.12,867470.0,0.0060999999999999995
2019-07-29,68.18,67.66,68.27,67.63,879230.0,0.005600000000000001
2019-07-30,68.88,67.66,68.91,67.49,810390.0,0.0103
2019-07-31,66.54,69.05,69.48,66.04,1670000.0,-0.034
2019-08-01,66.62,65.99,67.14,65.01,1300000.0,0.0012
2019-08-02,65.9,66.58,66.88,65.45,1260000.0,-0.0108
2019-08-05,64.54,65.18,65.92,64.33,2029999.9999999998,-0.0206
2019-08-06,61.76,60.0,63.0,59.72,3140000.0,-0.0431
2019-08-07,62.46,60.17,62.83,60.01,3180000.0,0.0113
2019-08-08,62.58,62.82,62.89,61.95,1260000.0,0.0019
2019-08-09,63.03,62.57,63.49,62.32,1420000.0,0.0072
2019-08-12,62.62,62.96,63.39,62.39,1170000.0,-0.006500000000000001
2019-08-13,62.28,62.09,63.33,61.99,1740000.0,-0.0054
2019-08-14,61.06,61.73,61.98,60.84,2069999.9999999998,-0.0196
2019-08-15,61.54,61.41,63.19,61.01,1800000.0,0.0079
2019-08-16,61.75,61.92,62.52,61.42,1060000.0,0.0034000000000000002
2019-08-19,62.12,62.23,62.5,62.05,855880.0,0.006
2019-08-20,61.26,62.11,62.16,61.05,1260000.0,-0.0138
2019-08-21,61.32,61.46,61.6,61.15,960140.0,0.001
