Date,Close,Open,High,Low,Volume,Change
2019-07-11,81.23,83.81,83.97,80.17,1070000.0,-0.030299999999999997
2019-07-12,80.1,81.38,81.95,79.62,954320.0,-0.0139
2019-07-15,81.39,79.99,81.57,79.53,1120000.0,0.0161
2019-07-16,79.88,81.35,81.51,79.7,814430.0,-0.018600000000000002
2019-07-17,80.23,79.91,80.88,79.4,904040.0,0.0044
2019-07-18,81.31,80.35,81.5,80.14,756210.0,0.013500000000000002
2019-07-19,80.54,81.81,82.26,80.23,935610.0,-0.0095
2019-07-22,81.71,80.89,82.71,80.39,750640.0,0.014499999999999999
2019-07-23,78.51,81.67,81.83,78.42,1820000.0,-0.0392
2019-07-24,79.15,78.54,79.72,77.6,1570000.0,0.008199999999999999
2019-07-25,78.8,78.69,79.3,77.3,732940.0,-0.0044
2019-07-26,80.15,79.34,80.95,79.0,985810.0,0.0171
2019-07-29,80.26,80.09,80.46,78.15,1060000.0,0.0014000000000000002
2019-07-30,85.43,82.77,85.57,80.06,1740000.0,0.0644
2019-07-31,84.92,85.5,86.53,83.86,1260000.0,-0.006
2019-08-01,84.85,84.52,87.23,84.24,1020000.0,-0.0008
2019-08-02,83.47,84.73,85.9,82.71,1270000.0,-0.0163
2019-08-05,80.92,82.32,82.45,80.03,1400000.0,-0.0305
2019-08-06,82.63,81.2,82.77,79.9,1310000.0,0.021099999999999997
2019-08-07,80.46,81.78,81.78,79.77,1280000.0,-0.0263
2019-08-08,81.26,80.66,81.31,78.01,1570000.0,0.009899999999999999
2019-08-09,81.79,80.97,82.72,80.22,1280000.0,0.006500000000000001
2019-08-12,82.48,81.66,83.84,80.56,1060000.0,0.0084
2019-08-13,82.89,82.3,84.78,81.96,987270.0,0.005
2019-08-14,81.06,82.14,83.29,80.91,1460000.0,-0.022099999999999998
2019-08-15,80.61,80.96,81.47,79.59,1180000.0,-0.005600000000000001
2019-08-16,83.12,81.42,83.34,80.8,1110000.0,0.0311
2019-08-19,84.52,84.08,84.92,83.15,872840.0,0.0168
2019-08-20,84.1,84.23,84.96,83.92,797150.0,-0.005
2019-08-21,86.07,84.75,86.11,84.48,705170.0,0.023399999999999997
2019-08-22,85.56,86.32,86.32,84.63,858430.0,-0.0059
2019-08-23,81.91,85.56,85.82,81.58,1210000.0,-0.042699999999999995
2019-08-26,82.81,82.29,83.19,81.09,1070000.0,0.011000000000000001
2019-08-27,80.26,83.51,84.08,79.43,1510000.0,-0.0308
2019-08-28,81.35,79.87,82.61,79.26,1040000.0,0.013600000000000001
2019-08-29,82.44,82.06,82.49,81.41,1200000.0,0.0134
2019-08-30,81.82,82.77,82.82,80.69,887650.0,-0.0075
2019-09-03,80.06,81.73,81.95,79.56,899940.0,-0.0215
2019-09-04,77.62,81.0,81.06,76.75,1640000.0,-0.0305
2019-09-05,79.27,79.92,80.13,78.21,1680000.0,0.0213
2019-09-06,79.24,79.45,80.11,79.08,676090.0,-0.0004
2019-09-09,78.97,78.53,79.53,77.35,934570.0,-0.0034000000000000002
2019-09-10,77.91,78.37,78.91,76.83,1250000.0,-0.0134
2019-09-11,78.48,77.85,79.79,77.84,871030.0,0.0073
2019-09-12,76.07,78.75,78.95,75.0,2310000.0,-0.030699999999999998
2019-09-13,76.43,76.4,78.17,75.54,1650000.0,0.004699999999999999
2019-09-16,78.34,76.19,79.04,75.6,1130000.0,0.025
2019-09-17,79.1,77.71,79.37,77.57,970780.0,0.0097
2019-09-18,78.54,79.52,80.21,77.39,730600.0,-0.0070999999999999995
2019-09-19,78.12,78.5,79.22,77.91,1130000.0,-0.0053
2019-09-20,81.21,78.52,81.64,78.37,2210000.0,0.039599999999999996
2019-09-23,77.64,81.01,81.97,76.63,1820000.0,-0.044000000000000004
2019-09-24,76.95,78.38,78.38,75.49,1380000.0,-0.0089
2019-09-25,75.07,76.62,77.5,75.02,1220000.0,-0.024399999999999998
2019-09-26,73.76,75.19,75.47,72.85,1490000.0,-0.0175
2019-09-27,72.82,74.27,74.27,72.0,1070000.0,-0.0127
2019-09-30,74.23,72.93,74.88,72.78,1240000.0,0.0194
2019-10-01,73.96,73.53,74.75,73.3,1260000.0,-0.0036
2019-10-02,73.04,73.97,73.97,72.91,1080000.0,-0.0124
2019-10-03,74.88,73.64,74.93,72.25,1200000.0,0.0252
2019-10-04,74.87,74.91,75.82,73.38,790710.0,-0.0001
2019-10-07,74.76,73.01,75.22,73.01,682810.0,-0.0015
2019-10-08,74.44,74.44,75.48,73.52,660410.0,-0.0043
2019-10-09,74.68,75.13,75.73,74.06,606600.0,0.0032
2019-10-10,75.77,74.55,75.9,74.13,641500.0,0.0146
2019-10-11,76.12,76.28,77.22,76.01,768400.0,0.0046
2019-10-14,77.46,76.39,78.3,76.25,668680.0,0.0176
2019-10-15,78.52,77.42,79.06,77.36,803580.0,0.0137
2019-10-16,78.12,78.06,79.06,77.51,1040000.0,-0.0051
2019-10-17,77.43,78.35,78.68,77.38,799740.0,-0.0088
2019-10-18,77.76,77.64,79.38,77.25,863040.0,0.0043
2019-10-21,78.59,77.89,78.69,77.01,864120.0,0.010700000000000001
2019-10-22,78.51,78.76,80.37,78.36,868210.0,-0.001
2019-10-23,78.1,78.67,79.36,77.92,653760.0,-0.0052
2019-10-24,77.5,78.18,78.18,76.73,626440.0,-0.0077
2019-10-25,77.55,76.41,78.21,76.27,749320.0,0.0006
2019-10-28,79.86,77.79,79.97,77.39,1430000.0,0.0298
2019-10-29,83.35,80.0,85.0,78.25,2049999.9999999998,0.0437
2019-10-30,83.66,83.06,84.05,82.86,962550.0,0.0037
2019-10-31,83.92,83.78,84.72,82.72,1140000.0,0.0031
2019-11-01,83.58,84.14,85.11,82.87,1180000.0,-0.0040999999999999995
2019-11-04,84.43,84.36,84.95,83.39,1070000.0,0.0102
2019-11-05,84.13,84.29,85.39,84.02,808060.0,-0.0036
2019-11-06,83.68,84.06,84.57,83.52,874730.0,-0.0053
2019-11-07,82.76,83.84,84.61,82.46,704180.0,-0.011000000000000001
2019-11-08,85.1,82.24,85.53,81.85,870230.0,0.028300000000000002
2019-11-11,84.86,85.11,85.61,84.26,571640.0,-0.0028000000000000004
2019-11-12,86.14,84.88,86.53,84.32,963340.0,0.0151
2019-11-13,87.43,85.95,87.84,85.04,1190000.0,0.015
2019-11-14,85.79,87.56,87.77,85.74,1130000.0,-0.018799999999999997
2019-11-15,86.7,86.46,87.23,85.99,1240000.0,0.0106
2019-11-18,87.49,86.5,88.0,86.35,892140.0,0.0091
2019-11-19,87.94,87.85,88.63,87.63,1180000.0,0.0051
2019-11-20,88.9,87.73,90.0,87.22,1670000.0,0.0109
2019-11-21,88.4,89.5,89.7,87.85,1050000.0,-0.005600000000000001
2019-11-22,88.73,89.29,89.93,88.08,1750000.0,0.0037
2019-11-25,94.0,89.78,94.48,89.62,2350000.0,0.0594
2019-11-26,93.76,94.0,94.2,92.37,1420000.0,-0.0026
2019-11-27,94.12,94.41,94.75,93.75,865590.0,0.0038
2019-11-29,94.16,94.89,95.0,93.82,700630.0,0.0004
2019-12-02,94.47,94.82,95.36,93.27,1200000.0,0.0033
2019-12-03,94.1,94.2,94.64,92.65,1450000.0,-0.0039000000000000003
2019-12-04,95.0,93.81,95.39,93.22,1340000.0,0.0096
2019-12-05,93.99,95.14,95.45,93.57,980750.0,-0.0106
2019-12-06,94.48,94.54,94.85,93.36,941450.0,0.0052
2019-12-09,94.79,94.6,95.44,94.36,960890.0,0.0033
2019-12-10,95.72,94.64,96.59,94.16,1190000.0,0.0098
2019-12-11,94.93,96.02,96.79,94.47,946220.0,-0.0083
2019-12-12,92.85,94.67,95.08,92.79,3140000.0,-0.0219
2019-12-13,91.51,91.58,92.53,89.16,1850000.0,-0.0144
2019-12-16,92.66,91.61,93.35,91.61,1720000.0,0.0126
2019-12-17,91.31,93.43,93.43,90.97,1420000.0,-0.0146
2019-12-18,91.18,90.84,91.99,90.7,1450000.0,-0.0014000000000000002
2019-12-19,91.14,90.9,91.54,90.9,1490000.0,-0.0004
2019-12-20,90.1,92.01,92.04,89.41,4179999.9999999995,-0.011399999999999999
2019-12-23,90.16,90.68,90.69,88.36,2320000.0,0.0007000000000000001
2019-12-24,91.43,90.47,91.54,89.93,526360.0,0.0141
2019-12-26,88.78,91.2,91.52,88.48,1060000.0,-0.028999999999999998
2019-12-27,88.39,89.17,89.22,87.29,1300000.0,-0.0044
2019-12-30,88.05,88.27,88.81,87.61,733050.0,-0.0038
2019-12-31,87.32,87.7,88.15,86.97,929830.0,-0.0083
2020-01-02,85.97,86.91,87.97,85.36,1690000.0,-0.0155
