Date,Close,Open,High,Low,Volume,Change
2019-07-11,536.0,534.09,537.82,532.64,402500.0,0.006999999999999999
2019-07-12,526.25,531.21,531.21,520.51,732870.0,-0.0182
2019-07-15,527.75,529.03,534.23,526.6,425550.0,0.0029
2019-07-16,515.56,527.12,530.35,514.26,902680.0,-0.0231
2019-07-17,523.5,516.52,526.83,516.52,683540.0,0.0154
2019-07-18,536.63,522.5,537.22,521.39,852670.0,0.025099999999999997
2019-07-19,528.81,533.25,544.85,525.37,1420000.0,-0.0146
2019-07-22,535.5,534.0,538.91,528.11,654290.0,0.0127
2019-07-23,537.79,532.14,540.0,529.12,672530.0,0.0043
2019-07-24,543.04,535.73,543.81,532.91,634700.0,0.0098
2019-07-25,531.69,538.29,540.0,530.09,583810.0,-0.0209
2019-07-26,527.63,533.42,534.0,523.96,459140.0,-0.0076
2019-07-29,529.61,528.59,530.59,523.0,359620.0,0.0038
2019-07-30,531.64,526.19,535.09,525.55,407600.0,0.0038
2019-07-31,519.51,531.02,531.17,515.01,593280.0,-0.022799999999999997
2019-08-01,523.95,520.49,532.9,516.65,617050.0,0.0085
2019-08-02,513.6,520.29,521.88,509.42,734930.0,-0.019799999999999998
2019-08-05,491.46,501.25,502.99,486.86,870400.0,-0.0431
2019-08-06,503.77,494.37,504.48,492.76,653480.0,0.025
2019-08-07,505.36,499.23,507.33,493.39,491710.0,0.0032
2019-08-08,519.41,509.6,519.64,507.41,461810.0,0.0278
2019-08-09,515.5,516.09,518.64,508.04,384990.0,-0.0075
2019-08-12,509.88,513.0,516.76,508.01,363320.0,-0.0109
2019-08-13,518.0,507.91,520.97,503.0,507930.0,0.0159
2019-08-14,500.46,510.5,513.24,500.0,622470.0,-0.0339
2019-08-15,499.87,503.34,507.5,495.08,497050.0,-0.0012
2019-08-16,495.45,504.95,505.0,493.41,970960.0,-0.0088
2019-08-19,495.5,503.5,503.5,488.69,1020000.0,0.0001
2019-08-20,497.83,497.64,500.0,492.38,695180.0,0.004699999999999999
2019-08-21,501.28,501.5,504.82,500.0,406050.0,0.0069
2019-08-22,500.27,502.0,503.81,495.6,369290.0,-0.002
2019-08-23,484.58,498.98,501.98,482.0,698420.0,-0.031400000000000004
2019-08-26,491.09,489.86,491.23,482.6,480740.0,0.0134
2019-08-27,495.02,495.0,499.89,492.24,546080.0,0.008
2019-08-28,501.25,492.0,502.91,492.0,601330.0,0.0126
2019-08-29,508.16,505.68,510.5,502.95,438510.0,0.0138
2019-08-30,511.34,510.39,513.65,508.05,583440.0,0.0063
2019-09-03,493.94,505.23,509.81,490.09,894090.0,-0.034
2019-09-04,496.22,497.34,499.05,489.34,484040.0,0.0046
2019-09-05,508.17,501.68,513.0,498.98,626020.0,0.0241
2019-09-06,505.26,509.45,510.14,502.0,625210.0,-0.005699999999999999
2019-09-09,496.69,504.08,506.0,495.93,528720.0,-0.017
2019-09-10,502.3,495.0,502.8,488.0,803480.0,0.0113
2019-09-11,522.82,504.53,525.01,502.3,988040.0,0.0409
2019-09-12,523.12,523.62,527.98,521.26,615760.0,0.0006
2019-09-13,523.22,523.64,526.97,519.34,383590.0,0.0002
2019-09-16,523.64,518.78,524.37,514.04,422020.0,0.0008
2019-09-17,530.17,525.0,532.48,521.24,618870.0,0.0125
2019-09-18,530.77,528.31,531.18,523.53,572070.0,0.0011
2019-09-19,529.45,529.36,538.0,528.25,456820.0,-0.0025
2019-09-20,531.16,527.04,536.88,525.99,699870.0,0.0032
2019-09-23,527.96,529.46,534.35,526.42,501180.0,-0.006
2019-09-24,541.46,532.0,546.25,528.08,1250000.0,0.0256
2019-09-25,545.01,540.02,545.42,532.7,795650.0,0.0066
2019-09-26,543.29,545.0,547.43,536.54,651330.0,-0.0032
2019-09-27,533.73,547.07,549.0,531.37,483040.0,-0.0176
2019-09-30,539.93,535.93,544.06,535.33,480270.0,0.0116
2019-10-01,528.6,539.94,542.94,528.2,464410.0,-0.021
2019-10-02,511.89,528.0,528.27,506.3,949440.0,-0.0316
2019-10-03,519.07,512.28,519.23,502.01,595730.0,0.013999999999999999
2019-10-04,529.18,522.34,529.54,520.97,450230.0,0.0195
2019-10-07,526.6,528.44,530.61,525.63,308970.0,-0.0049
2019-10-08,509.0,522.25,524.2,508.54,571550.0,-0.0334
2019-10-09,514.12,514.76,516.77,511.1,379220.0,0.0101
2019-10-10,511.23,511.42,516.67,508.73,391570.0,-0.005600000000000001
2019-10-11,518.03,518.0,527.88,517.28,631540.0,0.013300000000000001
2019-10-14,518.88,518.64,523.8,518.06,293400.0,0.0016
2019-10-15,528.21,521.89,530.34,521.49,427970.0,0.018000000000000002
2019-10-16,530.24,526.92,533.7,525.0,408050.0,0.0038
2019-10-17,529.4,534.69,536.99,528.46,754660.0,-0.0016
2019-10-18,566.25,547.0,569.98,545.56,2330000.0,0.0696
2019-10-21,562.7,564.21,565.84,559.03,888800.0,-0.0063
2019-10-22,535.75,557.15,559.43,534.91,993800.0,-0.0479
2019-10-23,539.85,535.18,544.44,535.18,586520.0,0.0077
2019-10-24,547.95,543.0,549.84,536.16,542630.0,0.015
2019-10-25,549.27,547.0,553.51,540.59,421670.0,0.0024
2019-10-28,558.65,548.22,561.29,546.01,518340.00000000006,0.0171
2019-10-29,556.17,554.94,564.71,552.68,428210.0,-0.0044
2019-10-30,556.32,555.55,558.0,550.0,452060.0,0.0003
2019-10-31,552.95,553.71,559.0,547.67,387320.0,-0.0060999999999999995
2019-11-01,559.37,557.46,562.85,552.0,568140.0,0.0116
2019-11-04,560.86,562.51,563.82,558.45,413570.0,0.0027
2019-11-05,563.37,560.43,568.79,559.5,757820.0,0.0045000000000000005
2019-11-06,554.16,563.11,567.99,553.77,487490.0,-0.0163
2019-11-07,551.89,558.21,558.93,548.03,457930.0,-0.0040999999999999995
2019-11-08,548.95,551.33,555.36,547.3,357080.0,-0.0053
2019-11-11,544.8,545.1,547.84,540.17,503250.0,-0.0076
2019-11-12,549.36,545.0,553.66,545.0,467700.0,0.0084
2019-11-13,550.53,542.4,551.21,541.84,556750.0,0.0021
2019-11-14,554.44,550.37,560.63,549.15,593760.0,0.0070999999999999995
2019-11-15,569.54,559.3,569.55,557.0,847980.0,0.027200000000000002
2019-11-18,569.09,569.0,578.0,567.55,847440.0,-0.0008
2019-11-19,577.8,570.0,580.16,567.52,659260.0,0.015300000000000001
2019-11-20,572.53,576.67,582.99,568.21,543390.0,-0.0091
2019-11-21,571.82,568.0,571.99,563.05,463470.0,-0.0012
2019-11-22,569.49,571.7,572.06,562.42,407760.0,-0.0040999999999999995
2019-11-25,581.5,572.18,581.59,570.73,649510.0,0.021099999999999997
2019-11-26,586.0,577.79,586.5,576.0,984870.0,0.0077
2019-11-27,591.25,586.56,593.71,586.56,639340.0,0.009000000000000001
2019-11-29,592.9,590.0,594.16,588.01,295820.0,0.0028000000000000004
2019-12-02,587.38,592.0,592.9,583.5,631000.0,-0.009300000000000001
2019-12-03,579.23,578.79,581.75,575.88,532650.0,-0.0139
2019-12-04,582.33,580.24,584.84,578.22,346540.0,0.0054
2019-12-05,580.81,582.72,585.57,579.52,474730.0,-0.0026
2019-12-06,585.57,584.63,588.65,582.46,522110.0,0.008199999999999999
2019-12-09,573.17,583.74,586.35,572.57,802750.0,-0.0212
2019-12-10,575.37,574.56,577.92,572.91,369850.0,0.0038
2019-12-11,574.79,578.02,578.35,572.96,355880.0,-0.001
2019-12-12,580.97,575.5,584.62,572.87,387430.0,0.0108
2019-12-13,579.65,580.9,584.34,577.58,362950.0,-0.0023
2019-12-16,590.04,585.0,591.32,582.02,586370.0,0.0179
2019-12-17,593.72,590.7,596.0,587.1,624500.0,0.0062
2019-12-18,592.27,592.26,596.04,590.86,546450.0,-0.0024
2019-12-19,588.71,594.62,594.62,586.21,576460.0,-0.006
2019-12-20,591.31,591.45,593.3,587.46,1120000.0,0.0044
2019-12-23,597.42,592.0,599.0,588.31,411230.0,0.0103
2019-12-24,598.81,596.0,599.32,593.31,279630.0,0.0023
2019-12-26,598.04,598.9,599.0,593.0,332140.0,-0.0013
2019-12-27,597.88,598.38,601.6,595.67,429050.0,-0.0003
2019-12-30,591.32,598.0,600.99,590.01,377690.0,-0.011000000000000001
2019-12-31,591.15,591.29,593.97,588.24,448050.0,-0.0003
2020-01-02,597.26,595.7,597.83,590.78,534220.0,0.0103
2020-01-03,593.34,588.18,594.58,582.16,418910.0,-0.0066
2020-01-06,595.76,590.0,597.62,587.95,524760.0,0.0040999999999999995
2020-01-07,582.8,589.95,589.95,573.74,1170000.0,-0.0218
2020-01-08,581.78,581.54,585.37,576.59,893070.0,-0.0018
2020-01-09,585.79,587.51,589.75,582.08,998930.0,0.0069
2020-01-10,598.72,605.5,616.56,597.89,1280000.0,0.022099999999999998
2020-01-13,603.12,600.49,606.92,598.85,615240.0,0.0073
2020-01-14,602.69,602.72,604.3,597.6,445340.0,-0.0007000000000000001
2020-01-15,597.24,602.69,605.49,596.0,432200.0,-0.009000000000000001
2020-01-16,598.29,601.59,603.8,593.06,498910.0,0.0018
2020-01-17,600.03,600.55,600.83,594.0,592590.0,0.0029
2020-01-21,601.65,598.29,602.5,597.36,501360.0,0.0027
2020-01-22,610.24,605.0,614.49,602.51,677220.0,0.0143
2020-01-23,615.0,611.85,615.0,606.6,980500.0,0.0078000000000000005
2020-01-24,589.2,604.8,605.0,583.83,2089999.9999999998,-0.042
2020-01-27,567.5,571.91,572.99,559.26,1490000.0,-0.0368
2020-01-28,569.73,570.33,573.44,567.5,849990.0,0.0039000000000000003
2020-01-29,571.41,575.0,577.71,568.0,564870.0,0.0029
2020-01-30,570.84,568.65,574.74,558.18,745540.0,-0.001
2020-01-31,559.78,567.85,570.21,555.02,767860.0,-0.0194
2020-02-03,565.62,562.3,566.24,558.59,923860.0,0.0104
2020-02-04,574.07,576.17,584.99,572.66,614880.0,0.0149
2020-02-05,576.56,581.36,581.5,572.78,516140.0,0.0043
2020-02-06,581.55,578.0,583.63,575.32,443320.0,0.0087
2020-02-07,579.43,581.34,583.01,578.34,602200.0,-0.0036
2020-02-10,584.93,578.87,585.1,576.69,402970.0,0.0095
2020-02-11,587.82,588.65,590.6,585.76,430970.0,0.0049
2020-02-12,592.84,591.57,594.97,588.38,465980.0,0.0085
2020-02-13,600.35,599.0,600.9,592.51,754030.0,0.0127
2020-02-14,603.36,601.0,604.34,594.41,637100.0,0.005
2020-02-18,604.67,601.33,605.0,599.71,543040.0,0.0022
2020-02-19,614.88,596.14,618.57,596.14,737790.0,0.0169
2020-02-20,618.29,610.99,619.0,607.72,636640.0,0.0055000000000000005
2020-02-21,613.08,612.36,614.93,606.7,734140.0,-0.0084
2020-02-24,580.17,590.45,596.43,578.53,848460.0,-0.0537
2020-02-25,558.52,583.94,585.25,555.88,884000.0,-0.0373
2020-02-26,559.53,565.0,573.81,558.82,746430.0,0.0018
2020-02-27,544.62,550.39,560.49,544.18,1070000.0,-0.026600000000000002
2020-02-28,533.96,527.91,536.85,518.56,1940000.0,-0.0196
2020-03-02,559.07,535.95,559.58,532.22,947810.0,0.047
2020-03-03,558.27,556.72,575.0,543.79,1030000.0,-0.0014000000000000002
2020-03-04,582.9,568.0,583.72,563.0,734050.0,0.0441
2020-03-05,568.37,571.79,576.77,560.53,957270.0,-0.024900000000000002
2020-03-06,555.14,550.0,559.48,538.08,1030000.0,-0.0233
2020-03-09,510.66,515.14,527.9,501.0,1150000.0,-0.0801
2020-03-10,537.4,530.67,538.94,505.56,978680.0,0.0524
2020-03-11,509.55,520.0,522.56,502.76,1010000.0,-0.0518
2020-03-12,457.53,486.28,498.2,456.06,1690000.0,-0.10210000000000001
2020-03-13,470.98,478.03,482.3,432.57,1870000.0,0.0294
2020-03-16,404.29,416.32,447.51,402.24,1790000.0,-0.1416
2020-03-17,425.48,412.99,429.04,370.0,1920000.0,0.0524
2020-03-18,406.7,399.5,407.79,368.3,2210000.0,-0.0441
2020-03-19,408.2,405.47,432.22,373.6,1600000.0,0.0037
2020-03-20,394.19,416.84,434.41,391.29,1420000.0,-0.034300000000000004
2020-03-23,367.75,382.0,390.79,360.5,1590000.0,-0.06709999999999999
2020-03-24,431.9,399.49,432.81,397.95,1880000.0,0.1744
2020-03-25,460.31,432.75,483.83,431.08,1740000.0,0.0658
2020-03-26,501.47,469.73,504.29,469.51,1650000.0,0.0894
2020-03-27,490.41,477.93,505.56,477.87,1620000.0,-0.022099999999999998
2020-03-30,504.22,490.0,506.88,484.3,943260.0,0.0282
2020-03-31,495.21,498.85,509.4,492.29,1140000.0,-0.0179
2020-04-01,458.26,460.26,475.0,450.27,1510000.0,-0.0746
2020-04-02,467.72,450.0,473.96,450.0,890850.0,0.0206
2020-04-03,462.47,464.32,470.64,450.0,1090000.0,-0.011200000000000002
2020-04-06,500.24,489.49,503.4,477.03,1270000.0,0.0817
2020-04-07,489.99,520.0,524.34,485.89,1490000.0,-0.020499999999999997
2020-04-08,510.5,495.0,514.67,486.03,1050000.0,0.04190000000000001
2020-04-09,503.79,511.69,515.2,490.75,1390000.0,-0.0131
2020-04-13,494.53,496.24,500.05,488.17,770540.0,-0.0184
2020-04-14,507.94,501.27,514.44,498.93,1080000.0,0.0271
2020-04-15,511.0,495.61,513.28,491.06,839210.0,0.006
2020-04-16,510.44,514.88,515.94,495.55,935600.0,-0.0011
2020-04-17,526.33,520.1,528.1,496.11,1370000.0,0.0311
2020-04-20,518.33,523.5,529.5,517.65,719220.0,-0.0152
2020-04-21,496.63,506.18,511.25,488.0,909560.0,-0.04190000000000001
2020-04-22,512.13,503.76,514.43,499.31,777420.0,0.031200000000000002
2020-04-23,513.22,515.12,524.0,511.58,759990.0,0.0021
2020-04-24,514.93,519.03,520.49,508.66,517950.00000000006,0.0033
2020-04-27,517.1,522.45,523.21,513.0,426710.0,0.0042
2020-04-28,503.45,515.87,519.0,500.0,667090.0,-0.0264
2020-04-29,519.72,512.69,526.17,506.04,713180.0,0.0323
2020-04-30,510.88,517.5,518.0,508.44,562590.0,-0.017
2020-05-01,498.86,503.0,506.97,492.0,680510.0,-0.0235
2020-05-04,501.99,497.4,504.37,495.55,497750.0,0.0063
2020-05-05,512.86,509.75,519.0,504.57,506290.0,0.0217
2020-05-06,511.85,515.31,523.02,507.87,489790.0,-0.002
2020-05-07,535.94,522.05,536.54,517.64,945330.0,0.0471
2020-05-08,537.77,542.92,544.44,534.74,925410.0,0.0034000000000000002
2020-05-11,539.1,532.0,540.0,529.5,772860.0,0.0025
2020-05-12,522.86,535.99,540.7,522.84,494210.0,-0.0301
2020-05-13,508.93,523.86,526.89,502.53,765800.0,-0.026600000000000002
2020-05-14,517.27,502.14,518.33,501.52,535200.0,0.016399999999999998
2020-05-15,520.41,514.02,520.41,511.21,462120.0,0.0060999999999999995
2020-05-18,538.41,531.45,545.5,530.85,586270.0,0.0346
2020-05-19,531.0,539.19,542.41,530.76,397680.0,-0.0138
2020-05-20,552.31,540.0,555.46,537.48,654000.0,0.0401
2020-05-21,545.95,550.45,554.4,543.81,462760.0,-0.0115
2020-05-22,562.8,546.96,563.13,543.9,556500.0,0.030899999999999997
2020-05-26,561.09,578.44,581.71,560.0,823150.0,-0.003
2020-05-27,564.73,566.5,567.22,549.34,609960.0,0.006500000000000001
2020-05-28,572.39,564.68,585.44,564.68,822530.0,0.013600000000000001
2020-05-29,580.03,574.0,581.59,567.0,895650.0,0.013300000000000001
2020-06-01,574.59,574.8,580.72,570.63,473450.0,-0.009399999999999999
2020-06-02,579.81,575.68,580.56,568.95,495550.0,0.0091
2020-06-03,574.46,580.41,584.39,574.46,646130.0,-0.0092
2020-06-04,564.25,570.48,571.41,559.18,830330.0,-0.0178
2020-06-05,592.76,568.75,601.0,568.75,1010000.0,0.050499999999999996
2020-06-08,592.7,590.6,593.72,584.41,603850.0,-0.0001
2020-06-09,584.52,585.06,592.75,582.78,474620.0,-0.0138
2020-06-10,585.38,572.26,590.03,572.26,579740.0,0.0015
2020-06-11,547.83,573.93,574.97,547.13,882490.0,-0.0641
2020-06-12,558.41,563.03,569.34,545.52,672640.0,0.019299999999999998
2020-06-15,571.28,550.69,571.97,545.65,615600.0,0.023
2020-06-16,575.07,587.98,589.2,572.66,644860.0,0.0066
2020-06-17,578.49,581.35,585.23,577.13,388440.0,0.0059
2020-06-18,585.54,578.2,585.76,576.99,405380.0,0.012199999999999999
2020-06-19,587.53,590.54,595.0,579.67,1160000.0,0.0034000000000000002
2020-06-22,588.96,588.13,589.78,584.0,535770.0,0.0024
2020-06-23,588.52,592.7,595.98,587.04,419980.0,-0.0007000000000000001
2020-06-24,554.96,582.35,582.35,552.81,959670.0,-0.057
2020-06-25,555.11,557.0,557.0,544.11,716290.0,0.0003
2020-06-26,549.85,556.49,557.29,545.0,658620.0,-0.0095
2020-06-29,553.77,553.51,554.99,544.16,443210.0,0.0070999999999999995
2020-06-30,569.83,551.98,573.22,551.98,725420.0,0.028999999999999998
2020-07-01,575.54,572.0,576.99,567.09,464700.0,0.01
2020-07-02,580.48,582.29,583.44,576.83,513409.99999999994,0.0086
2020-07-06,584.64,588.72,590.99,581.1,495440.0,0.0072
2020-07-07,575.34,579.7,586.93,575.14,383700.0,-0.0159
2020-07-08,580.96,578.96,583.07,575.61,374310.0,0.0098
2020-07-09,574.47,579.22,583.22,568.0,476800.0,-0.011200000000000002
2020-07-10,575.87,574.7,577.11,567.51,309940.0,0.0024
2020-07-13,571.29,579.88,588.68,570.01,516909.99999999994,-0.008
2020-07-14,585.34,569.64,586.48,566.21,541720.0,0.0246
2020-07-15,607.8,592.0,609.0,592.0,790350.0,0.0384
2020-07-16,604.25,604.01,612.3,596.61,696110.0,-0.0058
2020-07-17,650.74,610.0,654.8,606.36,1670000.0,0.07690000000000001
2020-07-20,667.54,645.44,671.63,631.57,1100000.0,0.0258
2020-07-21,658.15,665.6,675.0,653.46,1160000.0,-0.0141
2020-07-22,681.34,667.77,684.77,663.77,1130000.0,0.0352
2020-07-23,686.55,682.37,698.74,671.73,820660.0,0.0076
2020-07-24,675.33,665.13,677.1,658.98,790380.0,-0.0163
2020-07-27,685.35,673.07,689.83,668.08,555120.0,0.0148
2020-07-28,679.69,680.0,685.0,674.25,426930.0,-0.0083
2020-07-29,695.79,682.72,704.0,680.01,801060.0,0.023700000000000002
2020-07-30,687.39,687.18,692.24,680.83,546980.0,-0.0121
2020-07-31,685.44,687.85,690.64,675.72,547280.0,-0.0028000000000000004
2020-08-03,688.94,687.63,692.99,685.95,489550.0,0.0051
2020-08-04,683.5,687.23,689.41,681.5,395710.0,-0.0079
2020-08-05,692.89,685.32,697.45,685.32,471360.0,0.0137
2020-08-06,691.25,690.2,691.26,676.17,336990.0,-0.0024
2020-08-07,685.85,691.02,694.1,680.02,370120.0,-0.0078000000000000005
2020-08-10,683.0,684.74,685.34,675.99,298470.0,-0.0042
2020-08-11,675.0,683.15,685.22,673.07,335330.0,-0.011699999999999999
2020-08-12,683.09,676.24,685.99,672.77,478950.0,0.012
2020-08-13,690.56,682.68,694.0,682.68,274620.0,0.0109
2020-08-14,684.52,692.54,692.54,681.35,295950.0,-0.0087
2020-08-17,694.0,689.99,694.97,688.73,421320.0,0.0138
2020-08-18,692.39,693.28,696.0,690.97,405510.0,-0.0023
2020-08-19,691.41,693.0,698.67,690.37,506180.0,-0.0014000000000000002
2020-08-20,693.05,691.05,694.36,691.05,289560.0,0.0024
2020-08-21,693.88,690.54,694.97,686.68,529840.0,0.0012
2020-08-24,695.74,699.0,701.96,689.29,527300.0,0.0027
2020-08-25,699.5,695.78,700.85,694.18,496300.0,0.0054
2020-08-26,699.99,700.56,701.36,694.0,512690.00000000006,0.0007000000000000001
2020-08-27,709.39,700.93,717.68,693.01,863710.0,0.0134
2020-08-28,727.01,713.34,729.95,708.69,646890.0,0.0248
2020-08-31,730.84,723.17,733.95,721.01,602540.0,0.0053
2020-09-01,741.57,732.45,742.44,727.31,520580.00000000006,0.0147
2020-09-02,765.11,745.82,777.0,740.0,1080000.0,0.0317
2020-09-03,741.61,752.63,755.63,724.61,1080000.0,-0.030699999999999998
2020-09-04,735.28,743.11,749.85,717.75,829270.0,-0.0085
2020-09-08,694.17,710.0,717.87,692.03,1040000.0,-0.0559
2020-09-09,719.48,703.22,726.2,703.22,616910.0,0.0365
2020-09-10,705.6,718.5,728.69,701.27,518669.99999999994,-0.019299999999999998
2020-09-11,702.54,713.83,715.53,697.99,433420.0,-0.0043
2020-09-14,716.34,713.02,722.0,712.84,389610.0,0.0196
2020-09-15,715.57,724.25,726.16,711.14,377390.0,-0.0011
2020-09-16,691.39,720.32,723.53,689.66,757910.0,-0.0338
2020-09-17,680.87,681.5,689.22,673.68,819730.0,-0.0152
2020-09-18,655.57,679.0,685.15,649.42,1340000.0,-0.037200000000000004
2020-09-21,641.95,644.13,647.05,633.3,784340.0,-0.0208
2020-09-22,666.02,645.02,667.19,643.5,1240000.0,0.0375
2020-09-23,657.41,673.39,674.55,655.65,625490.0,-0.0129
2020-09-24,657.53,652.14,663.68,647.54,413870.0,0.0002
2020-09-25,673.73,654.66,677.92,653.0,522280.0,0.0246
2020-09-28,693.16,685.68,695.27,680.03,650470.0,0.0288
2020-09-29,692.93,698.43,715.14,690.94,542030.0,-0.0003
2020-09-30,709.54,696.63,717.32,692.2,631780.0,0.024
2020-10-01,710.52,713.11,718.43,704.02,414500.0,0.0014000000000000002
2020-10-02,696.28,700.08,707.57,692.1,534450.0,-0.02
2020-10-05,707.7,699.1,708.56,696.82,402150.0,0.016399999999999998
2020-10-06,699.02,709.02,714.89,697.94,411980.0,-0.0123
2020-10-07,720.28,710.92,721.15,709.0,393470.0,0.0304
2020-10-08,723.02,725.0,728.62,720.12,368170.0,0.0038
2020-10-09,738.19,729.88,741.27,728.0,413460.0,0.021
2020-10-12,755.67,747.61,758.74,743.23,755210.0,0.023700000000000002
2020-10-13,755.35,755.92,761.05,749.73,543410.0,-0.0004
2020-10-14,751.08,758.73,766.0,746.9,638310.0,-0.005699999999999999
2020-10-15,741.0,740.0,755.0,740.0,929180.0,-0.0134
2020-10-16,752.68,725.0,760.88,716.28,1030000.0,0.0158
2020-10-19,736.12,757.75,770.41,729.83,577660.0,-0.022000000000000002
2020-10-20,733.0,736.12,745.55,729.9,399670.0,-0.0042
2020-10-21,728.48,730.6,734.07,723.53,612860.0,-0.0062
2020-10-22,732.94,730.0,738.13,724.48,311700.0,0.0060999999999999995
2020-10-23,735.48,738.33,739.99,727.49,281680.0,0.0034999999999999996
2020-10-26,711.77,727.08,729.77,700.68,487420.0,-0.0322
2020-10-27,720.9,717.71,728.05,713.05,325000.0,0.0128
2020-10-28,687.8,705.14,705.14,687.8,563960.0,-0.045899999999999996
2020-10-29,686.28,690.0,694.47,683.37,886120.0,-0.0022
2020-10-30,667.08,682.2,686.0,653.0,996720.0,-0.027999999999999997
2020-11-02,675.98,680.62,683.0,669.29,621860.0,0.013300000000000001
2020-11-03,682.0,684.0,696.78,680.82,626460.0,0.0089
2020-11-04,709.65,708.68,717.96,700.71,920320.0,0.0405
