Date,Close,Open,High,Low,Volume,Change
2019-07-11,17.83,17.62,17.85,17.58,6500000.0,0.0125
2019-07-12,17.87,17.88,17.93,17.73,6050000.0,0.0022
2019-07-15,17.59,17.88,17.93,17.52,8470000.0,-0.015700000000000002
2019-07-16,17.38,17.4,17.52,17.19,13350000.0,-0.011899999999999999
2019-07-17,17.13,17.26,17.32,17.08,9820000.0,-0.0144
2019-07-18,17.31,17.17,17.52,17.05,10130000.0,0.0105
2019-07-19,17.45,17.34,17.59,17.29,7600000.0,0.008100000000000001
2019-07-22,17.37,17.45,17.5,17.32,10350000.0,-0.0046
2019-07-23,17.97,17.48,18.02,17.35,10200000.0,0.0345
2019-07-24,18.44,17.98,18.5,17.98,10530000.0,0.0262
2019-07-25,18.12,18.41,18.51,18.03,10950000.0,-0.0174
2019-07-26,18.51,18.21,18.52,18.11,7630000.0,0.0215
2019-07-29,18.34,18.47,18.61,18.33,5580000.0,-0.0092
2019-07-30,18.54,18.18,18.54,18.15,6100000.0,0.0109
2019-07-31,18.37,18.52,18.56,18.28,8920000.0,-0.0092
2019-08-01,17.32,18.4,18.4,17.29,13470000.0,-0.0572
2019-08-02,17.2,17.32,17.36,16.91,8369999.999999999,-0.0069
2019-08-05,16.45,16.82,16.82,16.26,11630000.0,-0.0436
2019-08-06,16.65,16.66,16.7,16.25,8260000.0,0.012199999999999999
2019-08-07,16.16,16.18,16.25,15.85,12740000.0,-0.0294
2019-08-08,16.52,16.34,16.62,16.28,8150000.0,0.0223
2019-08-09,16.47,16.44,16.63,16.31,6230000.0,-0.003
2019-08-12,16.2,16.23,16.3,16.11,6790000.0,-0.016399999999999998
2019-08-13,16.45,16.15,16.68,16.06,9030000.0,0.0154
2019-08-14,16.0,16.04,16.29,15.84,24130000.0,-0.0274
2019-08-15,15.92,16.08,16.19,15.84,8640000.0,-0.005
2019-08-16,16.43,16.07,16.45,16.06,8950000.0,0.032
2019-08-19,16.54,16.66,16.77,16.47,9510000.0,0.0067
2019-08-20,16.26,16.39,16.46,16.23,7070000.0,-0.0169
2019-08-21,16.38,16.42,16.5,16.25,7140000.0,0.0074
2019-08-22,16.57,16.5,16.62,16.36,5800000.0,0.0116
2019-08-23,15.98,16.43,16.63,15.9,8860000.0,-0.0356
2019-08-26,15.96,15.95,16.02,15.77,5910000.0,-0.0013
2019-08-27,15.81,16.05,16.08,15.68,5620000.0,-0.009399999999999999
2019-08-28,16.15,15.69,16.19,15.69,6140000.0,0.0215
2019-08-29,16.45,16.34,16.58,16.3,8260000.0,0.018600000000000002
2019-08-30,16.6,16.58,16.76,16.52,6860000.0,0.0091
