Date,Close,Open,High,Low,Volume,Change
2019-07-11,89.76,89.25,89.88,88.55,1350000.0,0.0091
2019-07-12,91.37,89.68,91.55,89.35,938710.0,0.0179
2019-07-15,91.01,91.5,91.61,90.18,772030.0,-0.0039000000000000003
2019-07-16,89.42,90.83,90.93,89.16,815610.0,-0.0175
2019-07-17,88.22,89.2,89.38,88.08,1140000.0,-0.0134
2019-07-18,87.38,87.75,87.94,86.51,916070.0,-0.0095
2019-07-19,87.46,87.74,88.29,87.42,892150.0,0.0009
2019-07-22,87.43,85.62,87.94,85.62,956220.0,-0.0003
2019-07-23,88.78,87.67,89.0,87.39,665520.0,0.0154
2019-07-24,93.71,89.39,93.86,89.2,2060000.0,0.0555
2019-07-25,90.75,93.0,93.0,90.47,1800000.0,-0.0316
2019-07-26,90.8,91.45,91.92,90.44,965320.0,0.0006
2019-07-29,90.26,91.0,91.0,89.41,572360.0,-0.0059
2019-07-30,91.21,89.85,91.65,89.51,827540.0,0.0105
2019-07-31,89.52,91.17,91.28,88.41,1430000.0,-0.018500000000000003
2019-08-01,89.59,89.34,92.79,89.16,1130000.0,0.0008
2019-08-02,88.1,89.0,89.0,86.03,1150000.0,-0.0166
2019-08-05,83.54,85.29,86.0,82.72,1450000.0,-0.0518
2019-08-06,85.88,84.59,86.02,83.98,950070.0,0.027999999999999997
2019-08-07,85.23,84.45,85.46,83.69,1050000.0,-0.0076
2019-08-08,89.26,86.92,89.3,86.67,1240000.0,0.0473
2019-08-09,87.39,88.42,88.52,86.39,1120000.0,-0.021
2019-08-12,86.26,86.6,87.38,86.06,722210.0,-0.0129
2019-08-13,88.47,85.55,89.07,85.55,1370000.0,0.0256
2019-08-14,84.01,86.82,87.02,83.62,1600000.0,-0.0504
2019-08-15,83.34,84.26,84.5,82.41,1790000.0,-0.008
2019-08-16,85.69,84.4,86.03,84.0,966360.0,0.0282
2019-08-19,87.37,87.66,88.05,86.72,1040000.0,0.0196
2019-08-20,87.3,87.11,88.47,86.24,2140000.0,-0.0008
2019-08-21,89.14,88.55,89.22,88.16,2500000.0,0.021099999999999997
2019-08-22,100.35,94.44,101.58,91.6,11180000.0,0.1258
2019-08-23,93.18,97.48,98.67,92.6,5120000.0,-0.07139999999999999
2019-08-26,95.17,94.17,95.66,93.26,2640000.0,0.021400000000000002
2019-08-27,94.51,95.23,95.88,93.88,1910000.0,-0.0069
2019-08-28,96.09,94.36,96.58,93.05,1950000.0,0.0167
2019-08-29,96.82,97.35,97.78,95.17,1520000.0,0.0076
2019-08-30,96.86,97.08,97.88,95.78,1310000.0,0.0004
2019-09-03,94.79,96.0,96.3,93.73,1400000.0,-0.021400000000000002
2019-09-04,95.84,96.07,96.94,95.17,1220000.0,0.0111
2019-09-05,99.3,96.58,99.97,96.58,2600000.0,0.0361
2019-09-06,98.05,99.03,99.03,97.6,1180000.0,-0.0126
2019-09-09,98.63,99.21,100.53,97.78,2069999.9999999998,0.0059
2019-09-10,98.44,97.65,98.47,95.53,1670000.0,-0.0019
2019-09-11,98.53,98.46,98.8,97.2,1120000.0,0.0009
2019-09-12,99.04,98.86,99.69,97.88,1330000.0,0.0052
2019-09-13,99.58,99.04,100.88,98.24,1620000.0,0.0055000000000000005
2019-09-16,98.98,99.05,99.69,98.57,847780.0,-0.006
2019-09-17,101.38,99.35,101.75,99.02,2049999.9999999998,0.0242
2019-09-18,101.34,101.16,101.93,99.92,1370000.0,-0.0004
2019-09-19,100.01,101.3,102.0,99.95,957310.0,-0.0131
2019-09-20,98.77,100.44,100.72,98.59,2020000.0,-0.0124
2019-09-23,99.87,99.04,100.47,98.15,1170000.0,0.0111
2019-09-24,98.1,100.9,101.48,97.85,1430000.0,-0.0177
2019-09-25,99.6,98.0,99.73,96.66,846820.0,0.015300000000000001
2019-09-26,99.28,99.6,99.82,97.58,805870.0,-0.0032
2019-09-27,96.29,99.95,100.31,95.37,1380000.0,-0.0301
2019-09-30,97.25,96.74,98.0,96.36,1170000.0,0.01
2019-10-01,95.92,97.86,98.64,95.7,1610000.0,-0.0137
2019-10-02,94.8,94.76,95.15,93.06,1470000.0,-0.011699999999999999
2019-10-03,95.46,94.92,95.83,92.92,1680000.0,0.006999999999999999
2019-10-04,96.58,95.46,96.7,94.83,903210.0,0.011699999999999999
2019-10-07,96.21,96.28,97.0,95.51,1460000.0,-0.0038
