Date,Close,Open,High,Low,Volume,Change
2019-07-11,52.04,51.99,52.06,51.66,10380000.0,0.0042
2019-07-12,52.12,52.25,52.29,51.91,7350000.0,0.0015
2019-07-15,52.13,52.28,52.29,51.87,5880000.0,0.0002
2019-07-16,52.14,51.96,52.47,51.81,7130000.0,0.0002
2019-07-17,52.18,52.22,52.26,52.01,8260000.0,0.0008
2019-07-18,52.03,52.04,52.17,51.67,11910000.0,-0.0029
2019-07-19,51.39,52.14,52.15,51.37,10360000.0,-0.0123
2019-07-22,51.22,51.52,51.52,51.13,12100000.0,-0.0033
2019-07-23,54.33,53.25,54.63,52.76,33420000.0,0.060700000000000004
2019-07-24,53.78,54.12,54.82,53.62,15630000.0,-0.0101
2019-07-25,53.07,53.63,53.8,52.72,19130000.0,-0.0132
2019-07-26,54.17,53.34,54.31,53.19,11450000.0,0.0207
2019-07-29,53.99,54.17,54.3,53.9,12280000.0,-0.0033
2019-07-30,53.72,53.96,54.3,53.56,8130000.000000001,-0.005
2019-07-31,52.63,53.51,53.51,52.04,16870000.0,-0.0203
2019-08-01,52.03,52.78,53.2,52.01,19530000.0,-0.011399999999999999
2019-08-02,52.33,51.91,52.73,51.91,13100000.0,0.0058
2019-08-05,51.65,52.39,52.66,51.4,19990000.0,-0.013000000000000001
2019-08-06,52.27,51.87,52.76,51.61,19900000.0,0.012
2019-08-07,53.18,52.27,53.39,51.77,17940000.0,0.0174
2019-08-08,53.69,53.21,53.78,52.85,10800000.0,0.0096
2019-08-09,53.42,53.79,53.9,53.08,9260000.0,-0.005
2019-08-12,53.2,53.28,53.44,52.99,6590000.0,-0.0040999999999999995
2019-08-13,53.5,52.9,53.61,52.87,8660000.0,0.005600000000000001
2019-08-14,52.99,53.34,53.97,52.97,17090000.0,-0.0095
2019-08-15,53.87,53.43,54.0,53.23,12390000.0,0.0166
2019-08-16,54.41,53.98,54.49,53.95,14290000.0,0.01
2019-08-19,54.69,54.44,54.78,54.31,10940000.0,0.0051
2019-08-20,53.88,54.62,54.68,53.84,8180000.0,-0.0148
2019-08-21,54.1,54.25,54.41,53.85,10890000.0,0.0040999999999999995
2019-08-22,54.49,54.12,54.64,54.1,7470000.0,0.0072
2019-08-23,53.74,54.42,54.71,53.39,14160000.0,-0.0138
2019-08-26,54.54,54.0,54.54,53.73,9230000.0,0.0149
2019-08-27,54.72,54.7,54.95,54.41,13540000.0,0.0033
2019-08-28,55.11,54.66,55.15,54.42,10050000.0,0.0070999999999999995
2019-08-29,55.05,55.26,55.34,54.6,9260000.0,-0.0011
2019-08-30,55.04,55.16,55.22,54.81,8750000.0,-0.0002
2019-09-03,55.3,54.98,55.33,54.87,12990000.0,0.004699999999999999
2019-09-04,55.77,55.35,55.92,55.3,10730000.0,0.0085
2019-09-05,55.12,55.75,55.77,55.03,13680000.0,-0.011699999999999999
2019-09-06,55.23,55.44,55.44,54.76,9090000.0,0.002
2019-09-09,54.52,55.03,55.08,54.36,10810000.0,-0.0129
2019-09-10,54.4,54.23,54.44,53.85,12040000.0,-0.0022
2019-09-11,54.77,54.29,54.8,53.97,9740000.0,0.0068000000000000005
2019-09-12,55.11,55.1,55.31,54.98,12360000.0,0.0062
2019-09-13,54.26,54.48,54.79,54.07,11490000.0,-0.0154
2019-09-16,53.96,54.1,54.34,53.63,11170000.0,-0.0055000000000000005
2019-09-17,54.24,54.1,54.7,53.96,11400000.0,0.0052
2019-09-18,54.23,54.2,54.28,53.82,9790000.0,-0.0002
2019-09-19,54.52,54.23,54.59,54.13,8090000.0,0.0053
2019-09-20,53.91,54.69,54.69,53.9,19350000.0,-0.011200000000000002
2019-09-23,54.14,53.91,54.36,53.88,6840000.0,0.0043
2019-09-24,54.3,54.25,54.61,54.04,10340000.0,0.003
2019-09-25,54.17,54.44,54.48,54.0,10290000.0,-0.0024
2019-09-26,54.39,54.47,54.58,54.13,11250000.0,0.0040999999999999995
2019-09-27,54.31,54.56,54.63,54.0,7940000.0,-0.0015
2019-09-30,54.44,54.15,54.68,54.15,9820000.0,0.0024
2019-10-01,54.65,54.53,54.78,54.01,14650000.0,0.0039000000000000003
2019-10-02,53.08,54.21,54.44,52.9,15380000.0,-0.0287
2019-10-03,53.84,53.5,53.98,52.82,14210000.0,0.0143
2019-10-04,54.54,54.0,54.54,53.89,9930000.0,0.013000000000000001
2019-10-07,53.87,54.33,54.36,53.77,6110000.0,-0.0123
2019-10-08,53.58,53.88,54.07,53.45,13560000.0,-0.0054
2019-10-09,53.83,54.06,54.06,53.53,7170000.0,0.004699999999999999
2019-10-10,53.66,53.55,53.88,53.36,9050000.0,-0.0032
2019-10-11,53.3,53.65,53.7,53.2,9430000.0,-0.0067
2019-10-14,53.3,53.49,53.68,53.22,7360000.0,0.0
2019-10-15,53.51,53.43,53.68,53.27,9580000.0,0.0039000000000000003
2019-10-16,53.49,53.46,53.57,53.13,10680000.0,-0.0004
2019-10-17,53.79,53.69,54.12,53.58,13340000.0,0.005600000000000001
2019-10-18,54.78,55.0,55.39,54.45,18120000.0,0.0184
2019-10-21,54.23,54.45,54.56,53.68,12880000.0,-0.01
2019-10-22,53.85,54.23,54.42,53.74,9620000.0,-0.006999999999999999
2019-10-23,54.64,54.06,54.66,54.01,8650000.0,0.0147
2019-10-24,54.61,54.57,54.82,54.48,11070000.0,-0.0005
2019-10-25,53.75,54.55,54.56,53.67,9780000.0,-0.015700000000000002
2019-10-28,53.57,53.74,53.95,53.37,8870000.0,-0.0033
2019-10-29,53.41,53.39,53.66,53.26,8000000.0,-0.003
2019-10-30,53.94,53.52,54.05,53.16,8620000.0,0.009899999999999999
2019-10-31,54.43,53.96,54.47,53.85,13980000.0,0.0091
2019-11-01,53.9,54.63,54.74,53.85,9890000.0,-0.0097
2019-11-04,53.14,53.96,54.0,52.97,17520000.0,-0.0141
2019-11-05,52.42,52.89,52.89,52.12,19280000.0,-0.013500000000000002
2019-11-06,52.8,52.53,52.8,52.41,13290000.0,0.0072
2019-11-07,52.29,52.88,53.0,51.96,11730000.0,-0.0097
2019-11-08,52.21,52.46,52.6,52.09,7140000.0,-0.0015
2019-11-11,51.84,52.33,52.37,51.77,8199999.999999999,-0.0070999999999999995
2019-11-12,51.71,51.91,51.91,51.58,12660000.0,-0.0025
2019-11-13,52.41,52.18,52.45,51.96,12540000.0,0.013500000000000002
2019-11-14,52.63,52.53,52.67,52.35,8660000.0,0.0042
2019-11-15,52.67,52.64,52.68,52.38,8980000.0,0.0008
2019-11-18,53.03,52.68,53.44,52.67,13780000.0,0.0068000000000000005
2019-11-19,53.08,53.15,53.31,52.87,12680000.0,0.0009
2019-11-20,53.22,53.1,53.4,53.01,11970000.0,0.0026
2019-11-21,52.96,53.11,53.34,52.77,7860000.0,-0.0049
2019-11-22,53.03,52.96,53.19,52.75,9110000.0,0.0013
2019-11-25,53.22,53.28,53.39,52.77,10970000.0,0.0036
2019-11-26,53.9,53.31,53.94,53.22,13240000.0,0.0128
2019-11-27,53.95,53.93,54.1,53.6,9600000.0,0.0009
2019-11-29,53.4,53.7,53.73,53.22,7220000.0,-0.0102
2019-12-02,53.75,53.32,53.75,52.85,13180000.0,0.0066
2019-12-03,53.8,53.71,53.84,53.4,15850000.0,0.0009
2019-12-04,54.29,53.8,54.31,53.72,13620000.0,0.0091
2019-12-05,54.19,54.21,54.29,53.83,14070000.0,-0.0018
2019-12-06,54.42,54.31,54.5,54.17,7840000.0,0.0042
2019-12-09,54.07,54.3,54.51,54.02,13930000.0,-0.0064
2019-12-10,53.77,54.04,54.07,53.73,8990000.0,-0.0055000000000000005
2019-12-11,53.95,53.94,54.15,53.66,8880000.0,0.0033
2019-12-12,54.14,54.01,54.45,53.94,11230000.0,0.0034999999999999996
2019-12-13,54.42,53.94,54.55,53.84,13070000.0,0.0052
2019-12-16,54.42,54.69,54.83,54.37,9540000.0,0.0
2019-12-17,54.42,54.4,54.58,54.29,9230000.0,0.0
2019-12-18,53.91,54.53,54.75,53.88,15130000.0,-0.009399999999999999
2019-12-19,54.32,54.04,54.34,53.92,15150000.0,0.0076
2019-12-20,54.97,54.94,55.2,54.47,23830000.0,0.012
2019-12-23,54.91,55.0,55.24,54.84,9300000.0,-0.0011
2019-12-24,54.71,54.8,55.0,54.64,3360000.0,-0.0036
2019-12-26,55.02,54.92,55.02,54.79,6230000.0,0.005699999999999999
2019-12-27,55.35,55.01,55.45,55.0,6900000.0,0.006
2019-12-30,55.27,55.18,55.38,55.06,6430000.0,-0.0014000000000000002
2019-12-31,55.35,55.2,55.38,54.98,7980000.0,0.0014000000000000002
2020-01-02,54.99,55.32,55.43,54.76,11100000.0,-0.006500000000000001
2020-01-03,54.69,54.32,54.99,54.09,11350000.0,-0.0055000000000000005
2020-01-06,54.67,54.65,54.91,54.52,14700000.0,-0.0004
2020-01-07,54.25,54.45,54.6,54.15,10230000.0,-0.0077
2020-01-08,54.35,54.27,54.64,54.15,10680000.0,0.0018
2020-01-09,55.34,55.0,55.4,54.84,15410000.0,0.0182
2020-01-10,55.53,55.48,55.93,55.45,13040000.0,0.0034000000000000002
2020-01-13,56.13,55.53,56.23,55.42,14300000.0,0.0108
2020-01-14,56.0,56.24,56.29,55.83,16350000.000000002,-0.0023
2020-01-15,56.7,56.0,56.98,56.0,17740000.0,0.0125
2020-01-16,56.82,56.85,56.95,56.6,10230000.0,0.0021
2020-01-17,56.94,56.87,57.15,56.8,14260000.0,0.0021
2020-01-21,57.17,56.85,57.24,56.57,11970000.0,0.004
2020-01-22,57.61,57.25,57.64,57.18,12870000.0,0.0077
2020-01-23,57.83,57.38,57.84,57.24,12860000.0,0.0038
2020-01-24,57.68,57.85,57.87,57.46,8590000.0,-0.0026
2020-01-27,57.48,57.21,57.85,57.13,14360000.0,-0.0034999999999999996
2020-01-28,57.01,57.45,57.75,56.97,15240000.0,-0.008199999999999999
2020-01-29,57.01,57.0,57.26,56.66,13170000.0,0.0
2020-01-30,58.86,57.93,58.98,57.76,20230000.0,0.0325
2020-01-31,58.4,58.97,59.08,58.15,17690000.0,-0.0078000000000000005
2020-02-03,58.58,58.75,58.97,58.52,12340000.0,0.0031
2020-02-04,58.84,58.75,59.45,58.62,15420000.0,0.0044
2020-02-05,58.85,58.9,59.08,58.53,11410000.0,0.0002
2020-02-06,58.99,58.98,59.34,58.84,9350000.0,0.0024
2020-02-07,59.19,58.88,59.31,58.85,8760000.0,0.0034000000000000002
2020-02-10,59.75,59.32,59.84,59.28,7980000.0,0.0095
2020-02-11,59.59,59.72,59.8,59.32,7430000.0,-0.0027
2020-02-12,59.41,59.48,59.77,59.31,9180000.0,-0.003
2020-02-13,59.61,59.38,59.84,59.21,8170000.0,0.0034000000000000002
2020-02-14,59.95,59.63,60.07,59.62,9970000.0,0.005699999999999999
