Date,Close,Open,High,Low,Volume,Change
2019-07-11,174.95,176.06,176.87,172.92,509750.0,0.0037
2019-07-12,175.45,174.5,176.03,173.33,790050.0,0.0029
2019-07-15,174.6,176.15,176.15,173.07,527430.0,-0.0048
2019-07-16,175.05,175.6,176.44,174.37,609880.0,0.0026
2019-07-17,173.87,174.77,174.77,172.94,522059.99999999994,-0.0067
2019-07-18,174.97,173.82,175.34,172.84,421810.0,0.0063
2019-07-19,173.24,175.09,175.5,173.17,441380.0,-0.009899999999999999
2019-07-22,172.15,173.62,174.46,172.06,461710.0,-0.0063
2019-07-23,175.97,174.0,176.64,172.65,770180.0,0.0222
2019-07-24,178.1,175.56,178.44,175.45,693550.0,0.0121
2019-07-25,171.77,175.37,175.37,169.0,2060000.0,-0.0355
2019-07-26,166.53,172.52,172.61,165.41,1480000.0,-0.0305
2019-07-29,167.3,165.9,168.26,164.97,1110000.0,0.0046
2019-07-30,170.62,166.03,170.67,164.24,775420.0,0.019799999999999998
2019-07-31,167.52,170.77,170.77,164.48,1470000.0,-0.0182
2019-08-01,166.0,168.01,168.94,165.14,612030.0,-0.0091
2019-08-02,164.77,165.77,166.88,163.81,587000.0,-0.0074
2019-08-05,159.77,162.91,164.16,156.85,1060000.0,-0.030299999999999997
2019-08-06,161.65,160.5,161.77,157.53,762030.0,0.0118
2019-08-07,161.93,160.32,162.11,157.98,573650.0,0.0017000000000000001
2019-08-08,164.44,162.6,164.73,162.31,573170.0,0.0155
2019-08-09,164.94,164.44,165.45,163.18,477590.0,0.003
2019-08-12,163.92,164.29,165.34,163.12,425120.0,-0.0062
2019-08-13,166.2,164.75,166.73,164.14,456940.0,0.0139
2019-08-14,163.63,164.81,165.24,163.19,566180.0,-0.0155
2019-08-15,163.63,163.83,164.35,162.69,427030.0,0.0
2019-08-16,166.15,164.42,166.66,164.13,617220.0,0.0154
2019-08-19,168.62,167.52,169.09,166.98,450930.0,0.0149
2019-08-20,167.01,169.03,169.97,166.78,509600.0,-0.0095
2019-08-21,168.58,168.04,169.43,167.67,489040.0,0.009399999999999999
2019-08-22,167.94,169.03,169.12,167.16,414640.0,-0.0038
2019-08-23,165.86,168.27,169.58,165.04,633200.0,-0.0124
2019-08-26,165.22,166.77,167.34,164.52,470340.0,-0.0039000000000000003
2019-08-27,163.93,165.91,166.53,163.05,622560.0,-0.0078000000000000005
2019-08-28,164.22,163.35,164.6,162.32,446140.0,0.0018
2019-08-29,167.85,165.83,168.24,165.35,364090.0,0.022099999999999998
2019-08-30,167.56,168.58,170.24,167.27,682040.0,-0.0017000000000000001
2019-09-03,167.59,166.12,168.76,165.78,524440.0,0.0002
2019-09-04,168.19,168.59,169.33,166.31,304710.0,0.0036
2019-09-05,170.49,170.02,170.6,168.89,671520.0,0.0137
2019-09-06,172.93,170.51,174.74,169.69,729720.0,0.0143
2019-09-09,172.48,173.79,173.94,169.17,605840.0,-0.0026
2019-09-10,174.12,172.26,174.75,171.0,482200.0,0.0095
2019-09-11,174.16,174.0,174.24,170.99,476330.0,0.0002
2019-09-12,172.8,175.09,175.9,172.68,418770.0,-0.0078000000000000005
2019-09-13,172.32,172.92,174.41,171.73,513090.00000000006,-0.0028000000000000004
2019-09-16,172.75,171.39,173.29,170.94,337860.0,0.0025
2019-09-17,171.38,172.66,172.68,170.92,356560.0,-0.0079
2019-09-18,171.25,171.33,171.8,170.28,401710.0,-0.0008
2019-09-19,171.11,172.0,172.75,171.05,473200.0,-0.0008
2019-09-20,172.69,171.17,173.8,170.91,724440.0,0.0092
2019-09-23,172.08,171.85,172.32,170.31,1100000.0,-0.0034999999999999996
2019-09-24,170.43,172.77,173.67,169.47,577530.0,-0.0096
2019-09-25,167.95,169.87,169.87,167.65,633790.0,-0.0146
2019-09-26,167.0,168.47,168.77,165.36,521110.0,-0.005699999999999999
2019-09-27,165.43,167.84,168.12,164.18,497270.0,-0.009399999999999999
2019-09-30,168.0,165.63,168.79,165.51,487970.0,0.0155
2019-10-01,167.96,168.01,171.14,167.63,567160.0,-0.0002
2019-10-02,164.44,166.62,166.65,164.16,567040.0,-0.021
2019-10-03,164.43,164.33,164.99,161.01,1180000.0,-0.0001
2019-10-04,167.15,164.66,167.23,164.66,496440.0,0.0165
2019-10-07,166.98,166.41,169.09,165.49,535990.0,-0.001
2019-10-08,163.48,165.91,165.91,163.28,406250.0,-0.021
2019-10-09,165.36,164.35,166.5,163.51,297230.0,0.0115
2019-10-10,164.5,164.94,166.29,164.12,512049.99999999994,-0.0052
2019-10-11,165.76,165.9,167.92,165.64,508390.0,0.0077
2019-10-14,165.45,165.63,167.21,165.3,382050.0,-0.0019
2019-10-15,167.78,166.72,168.41,165.43,347070.0,0.0141
2019-10-16,169.98,168.15,170.3,167.78,537120.0,0.0131
2019-10-17,170.5,170.42,172.02,170.08,429900.0,0.0031
2019-10-18,167.46,170.26,170.46,165.8,691890.0,-0.0178
2019-10-21,168.04,167.92,169.26,166.56,655920.0,0.0034999999999999996
2019-10-22,167.62,168.49,170.58,167.41,594190.0,-0.0025
2019-10-23,169.05,167.33,169.46,167.2,453370.0,0.0085
2019-10-24,164.26,167.54,167.54,160.02,1610000.0,-0.028300000000000002
2019-10-25,165.69,164.01,166.36,163.78,554360.0,0.0087
2019-10-28,163.82,166.03,166.5,163.66,565830.0,-0.0113
2019-10-29,165.09,163.96,165.72,163.6,337940.0,0.0078000000000000005
2019-10-30,166.28,165.38,166.5,164.54,322810.0,0.0072
2019-10-31,164.77,165.89,166.69,164.08,430150.0,-0.0091
2019-11-01,166.53,165.79,167.66,165.48,382870.0,0.010700000000000001
2019-11-04,166.04,167.35,167.35,165.14,355740.0,-0.0029
2019-11-05,165.14,166.1,167.91,164.31,766870.0,-0.0054
2019-11-06,165.27,164.42,165.27,163.66,542220.0,0.0008
2019-11-07,165.8,166.31,167.3,165.01,407500.0,0.0032
2019-11-08,168.41,166.22,168.57,165.53,497360.0,0.015700000000000002
2019-11-11,165.83,167.04,167.97,165.43,334380.0,-0.015300000000000001
2019-11-12,166.12,165.19,166.72,164.68,586620.0,0.0017000000000000001
2019-11-13,167.18,166.03,168.05,165.86,467010.0,0.0064
2019-11-14,169.4,167.44,169.48,166.81,658640.0,0.013300000000000001
2019-11-15,171.55,169.82,172.23,168.89,825770.0,0.0127
2019-11-18,168.43,171.7,171.98,167.87,848850.0,-0.0182
2019-11-19,171.24,168.88,171.93,167.17,713690.0,0.0167
2019-11-20,170.87,171.14,172.0,169.39,539140.0,-0.0022
2019-11-21,169.7,170.55,171.11,168.71,494330.0,-0.0068000000000000005
2019-11-22,169.76,170.0,171.75,169.38,538000.0,0.0004
2019-11-25,172.78,170.37,172.87,169.35,926170.0,0.0178
2019-11-26,173.47,173.03,174.37,172.5,615140.0,0.004
2019-11-27,173.61,174.16,174.35,172.54,447690.0,0.0008
2019-11-29,172.29,173.19,173.35,171.64,224030.0,-0.0076
2019-12-02,172.6,172.22,173.91,171.73,637100.0,0.0018
2019-12-03,170.29,171.42,171.74,169.44,465110.0,-0.0134
2019-12-04,171.82,170.54,172.55,169.8,500240.0,0.009000000000000001
2019-12-05,170.97,172.4,172.4,170.22,893410.0,-0.0049
2019-12-06,171.68,172.28,173.13,171.56,548660.0,0.0042
2019-12-09,169.08,171.19,171.33,168.99,471190.0,-0.0151
2019-12-10,167.54,165.0,168.62,163.45,688110.0,-0.0091
2019-12-11,167.42,167.87,168.13,166.38,557200.0,-0.0007000000000000001
2019-12-12,169.16,167.98,170.17,167.58,587130.0,0.0104
2019-12-13,166.59,169.31,169.5,166.24,434120.0,-0.0152
2019-12-16,167.31,167.64,168.25,166.24,550220.0,0.0043
2019-12-17,167.5,167.29,169.19,167.29,576210.0,0.0011
2019-12-18,167.89,167.86,168.26,166.64,596830.0,0.0023
2019-12-19,169.1,168.66,170.25,168.56,644960.0,0.0072
2019-12-20,167.8,169.5,169.75,167.78,978750.0,-0.0077
2019-12-23,169.1,167.83,169.22,167.25,775700.0,0.0077
2019-12-24,168.99,169.34,170.08,168.68,163710.0,-0.0007000000000000001
2019-12-26,168.14,169.14,169.63,167.47,207820.0,-0.005
2019-12-27,169.34,168.27,169.53,167.62,345330.0,0.0070999999999999995
2019-12-30,168.35,169.2,169.22,167.38,323590.0,-0.0058
2019-12-31,169.17,168.02,169.22,167.46,388590.0,0.0049
2020-01-02,167.48,169.96,170.2,165.32,811590.0,-0.01
