Date,Close,Open,High,Low,Volume,Change
2019-07-11,109.82,111.53,112.24,109.1,6590000.0,-0.041100000000000005
2019-07-12,108.29,109.47,109.47,105.15,7210000.0,-0.0139
2019-07-15,108.47,108.3,109.16,107.59,4410000.0,0.0017000000000000001
2019-07-16,108.82,109.0,109.19,107.97,2210000.0,0.0032
2019-07-17,107.09,109.35,109.65,107.08,3510000.0,-0.0159
2019-07-18,108.34,107.83,108.48,107.24,3230000.0,0.011699999999999999
2019-07-19,106.79,108.5,108.52,106.58,4820000.0,-0.0143
2019-07-22,107.27,106.92,107.36,105.87,2890000.0,0.0045000000000000005
2019-07-23,108.22,107.5,109.4,106.06,5100000.0,0.0089
2019-07-24,108.52,108.35,109.66,107.16,3760000.0,0.0028000000000000004
2019-07-25,107.82,108.57,110.38,107.68,4600000.0,-0.006500000000000001
2019-07-26,108.27,107.92,109.23,107.54,3470000.0,0.0042
2019-07-29,108.72,108.07,110.24,108.07,3190000.0,0.0042
2019-07-30,108.69,108.3,110.02,107.0,4660000.0,-0.0003
2019-07-31,108.95,108.06,110.71,107.61,5540000.0,0.0024
2019-08-01,110.51,109.02,110.74,108.31,3680000.0,0.0143
2019-08-02,112.42,110.96,113.27,110.58,4480000.0,0.0173
2019-08-05,108.71,111.38,112.49,107.44,4770000.0,-0.033
2019-08-06,111.4,109.47,112.12,109.04,5490000.0,0.024700000000000003
2019-08-07,111.12,110.37,111.38,108.53,4230000.0,-0.0025
2019-08-08,113.97,111.96,114.54,111.64,4820000.0,0.0256
2019-08-09,113.77,113.24,114.55,112.35,2790000.0,-0.0018
2019-08-12,113.6,112.9,114.06,112.29,2320000.0,-0.0015
2019-08-13,115.7,113.53,116.14,113.43,5320000.0,0.018500000000000003
2019-08-14,110.29,114.86,114.87,110.22,4940000.0,-0.046799999999999994
2019-08-15,110.23,110.42,111.31,109.21,3940000.0,-0.0005
2019-08-16,110.52,110.94,111.33,109.29,3500000.0,0.0026
2019-08-19,112.53,111.05,112.94,110.79,2900000.0,0.0182
2019-08-20,111.01,112.33,112.88,110.91,2069999.9999999998,-0.013500000000000002
2019-08-21,111.46,112.0,112.44,110.0,2210000.0,0.0040999999999999995
2019-08-22,111.61,111.44,112.27,110.79,1840000.0,0.0013
2019-08-23,109.51,111.46,112.56,108.88,3870000.0,-0.018799999999999997
2019-08-26,111.78,110.61,111.82,110.25,2570000.0,0.0207
2019-08-27,110.73,112.31,112.88,110.73,2950000.0,-0.009399999999999999
2019-08-28,110.97,110.33,111.54,109.79,1740000.0,0.0022
2019-08-29,112.25,111.81,112.38,110.6,2710000.0,0.0115
2019-08-30,112.97,112.82,114.17,111.92,2870000.0,0.0064
2019-09-03,113.96,112.54,114.02,112.19,3710000.0,0.0088
2019-09-04,113.25,114.38,114.5,112.45,3760000.0,-0.0062
2019-09-05,114.6,113.96,115.44,113.26,4050000.0,0.011899999999999999
2019-09-06,114.05,114.78,114.99,113.84,2900000.0,-0.0048
2019-09-09,111.07,114.52,114.52,110.35,4980000.0,-0.026099999999999998
2019-09-10,111.1,108.37,111.13,106.4,6590000.0,0.0003
2019-09-11,111.69,111.78,112.0,110.29,3400000.0,0.0053
2019-09-12,111.47,111.92,112.42,111.12,3580000.0,-0.002
2019-09-13,110.89,111.74,112.15,110.23,2840000.0,-0.0052
2019-09-16,110.13,110.42,110.53,109.21,1730000.0,-0.0069
2019-09-17,111.12,110.33,111.19,109.63,2490000.0,0.009000000000000001
2019-09-18,112.72,111.44,112.91,111.17,3170000.0,0.0144
2019-09-19,114.35,112.86,115.11,112.39,3950000.0,0.014499999999999999
2019-09-20,116.16,115.93,117.23,114.47,7540000.0,0.0158
2019-09-23,114.18,116.0,116.54,113.97,2930000.0,-0.017
2019-09-24,113.25,114.36,114.55,111.94,3580000.0,-0.008100000000000001
2019-09-25,111.39,112.88,113.85,111.31,3120000.0,-0.016399999999999998
2019-09-26,111.82,112.04,112.66,110.69,2680000.0,0.0039000000000000003
2019-09-27,112.37,112.35,113.37,111.38,1910000.0,0.0049
2019-09-30,111.83,112.4,113.45,111.69,2580000.0,-0.0048
2019-10-01,110.96,111.94,112.45,110.41,2490000.0,-0.0078000000000000005
2019-10-02,107.0,110.33,110.64,106.66,4560000.0,-0.035699999999999996
2019-10-03,107.29,107.09,108.1,106.21,2880000.0,0.0027
2019-10-04,108.2,107.49,108.26,107.0,2890000.0,0.0085
2019-10-07,107.83,108.31,108.65,107.57,1510000.0,-0.0034000000000000002
2019-10-08,107.19,106.89,108.33,105.95,2840000.0,-0.0059
2019-10-09,107.3,107.56,108.15,106.88,1640000.0,0.001
2019-10-10,106.92,107.03,107.48,106.58,2800000.0,-0.0034999999999999996
2019-10-11,108.36,107.75,109.14,107.59,2560000.0,0.013500000000000002
2019-10-14,107.9,108.52,109.13,107.88,1370000.0,-0.0042
2019-10-15,109.7,108.35,110.1,108.22,1760000.0,0.0167
2019-10-16,107.95,109.18,109.48,107.79,2320000.0,-0.016
2019-10-17,108.46,109.22,109.46,108.26,2270000.0,0.004699999999999999
2019-10-18,108.64,108.31,108.94,107.9,2210000.0,0.0017000000000000001
2019-10-21,107.91,108.87,109.0,107.77,4080000.0,-0.0067
2019-10-22,109.84,109.98,111.46,108.89,5750000.0,0.0179
2019-10-23,107.4,106.0,107.75,101.36,9120000.0,-0.0222
2019-10-24,107.84,107.5,108.21,106.25,3320000.0,0.0040999999999999995
2019-10-25,110.2,108.08,110.59,107.54,4230000.0,0.0219
2019-10-28,112.99,110.62,113.19,110.62,4170000.0,0.0253
2019-10-29,111.67,112.5,112.81,111.5,2990000.0,-0.011699999999999999
2019-10-30,112.72,111.37,113.21,111.26,2420000.0,0.009399999999999999
2019-10-31,113.95,112.36,114.67,112.0,4120000.0,0.0109
2019-11-01,112.51,114.07,114.51,112.31,2630000.0,-0.0126
2019-11-04,113.11,113.24,114.33,112.86,3000000.0,0.0053
2019-11-05,111.25,112.95,113.08,110.51,3360000.0,-0.016399999999999998
2019-11-06,113.82,111.57,114.29,111.51,3970000.0,0.0231
2019-11-07,112.77,114.23,114.63,112.03,3080000.0,-0.0092
2019-11-08,113.53,112.65,113.57,112.1,2220000.0,0.0067
2019-11-11,112.8,113.46,114.21,112.22,1770000.0,-0.0064
2019-11-12,113.17,112.77,114.04,112.45,2270000.0,0.0033
2019-11-13,112.79,112.87,113.53,112.25,3280000.0,-0.0034000000000000002
2019-11-14,111.39,112.19,112.36,111.0,2630000.0,-0.0124
2019-11-15,113.19,111.33,113.82,111.33,4860000.0,0.016200000000000003
2019-11-18,114.07,113.02,114.13,112.86,3360000.0,0.0078000000000000005
