Date,Close,Open,High,Low,Volume,Change
2019-07-11,169.04,166.3,169.09,165.87,2820000.0,0.0202
2019-07-12,173.34,170.1,173.36,169.25,3160000.0,0.0254
2019-07-15,172.84,173.38,174.25,171.21,2190000.0,-0.0029
2019-07-16,176.49,172.75,177.25,172.72,3920000.0,0.021099999999999997
2019-07-17,174.67,176.35,176.49,174.1,2950000.0,-0.0103
2019-07-18,173.06,174.42,175.14,172.4,2220000.0,-0.0092
2019-07-19,172.61,173.01,173.99,172.21,2360000.0,-0.0026
2019-07-22,174.64,172.81,175.21,172.13,2000000.0,0.0118
2019-07-23,177.52,176.0,178.02,175.65,2360000.0,0.0165
2019-07-24,179.42,176.93,180.29,176.26,3530000.0,0.010700000000000001
2019-07-25,178.13,187.01,187.72,176.66,7360000.0,-0.0072
2019-07-26,173.98,177.63,178.39,170.57,4019999.9999999995,-0.0233
2019-07-29,176.76,173.83,177.62,173.66,2640000.0,0.016
2019-07-30,177.63,175.66,177.81,173.8,1980000.0,0.0049
2019-07-31,174.72,177.65,178.02,173.4,3020000.0,-0.016399999999999998
2019-08-01,173.36,174.79,177.67,173.03,2380000.0,-0.0078000000000000005
2019-08-02,170.55,172.86,172.92,169.81,2420000.0,-0.016200000000000003
2019-08-05,164.71,168.95,169.02,164.42,2890000.0,-0.0342
2019-08-06,163.71,164.82,165.48,162.9,3490000.0,-0.0060999999999999995
2019-08-07,163.64,162.0,163.95,158.04,5990000.0,-0.0004
2019-08-08,164.22,164.37,165.49,163.55,3260000.0,0.0034999999999999996
2019-08-09,163.47,164.54,164.75,162.03,1580000.0,-0.0046
2019-08-12,162.1,163.02,164.78,161.55,1470000.0,-0.0084
2019-08-13,164.88,162.56,167.88,162.15,3250000.0,0.0171
2019-08-14,158.81,162.5,162.87,158.67,4059999.9999999995,-0.0368
2019-08-15,156.84,158.06,159.7,155.63,4450000.0,-0.0124
2019-08-16,161.5,157.84,161.91,157.45,3480000.0,0.0297
2019-08-19,162.95,163.71,163.95,161.78,3200000.0,0.009000000000000001
