Date,Close,Open,High,Low,Volume,Change
2019-07-11,55.44,55.26,55.63,54.82,4139999.9999999995,0.0084
2019-07-12,55.48,55.47,55.87,55.3,3790000.0,0.0007000000000000001
2019-07-15,54.83,55.51,55.55,53.85,5760000.0,-0.011699999999999999
2019-07-16,55.68,54.79,55.91,54.42,6100000.0,0.0155
2019-07-17,54.31,55.46,55.82,54.07,4610000.0,-0.0246
2019-07-18,55.36,54.02,55.42,53.7,4280000.0,0.019299999999999998
2019-07-19,55.24,55.56,55.75,54.75,3280000.0,-0.0022
2019-07-22,55.22,55.4,55.94,54.66,2730000.0,-0.0004
2019-07-23,55.71,55.2,55.83,55.19,3650000.0,0.0089
2019-07-24,57.62,55.54,57.81,55.45,7110000.0,0.034300000000000004
2019-07-25,56.5,57.6,57.78,55.87,5130000.0,-0.0194
2019-07-26,56.84,56.36,57.08,56.18,3450000.0,0.006
2019-07-29,56.16,56.55,56.78,55.62,4600000.0,-0.012
2019-07-30,57.05,56.16,57.26,55.37,3750000.0,0.0158
2019-07-31,56.39,57.03,57.61,55.51,5680000.0,-0.0116
2019-08-01,55.36,57.92,58.6,54.84,8250000.0,-0.0183
2019-08-02,53.62,55.1,55.4,53.34,5090000.0,-0.031400000000000004
2019-08-05,50.67,52.6,52.67,49.94,8060000.000000001,-0.055
2019-08-06,49.59,51.27,51.57,49.14,7720000.0,-0.0213
2019-08-07,48.13,48.8,48.91,47.4,9240000.0,-0.0294
2019-08-08,49.52,48.32,49.54,48.06,7970000.0,0.028900000000000002
2019-08-09,48.39,49.44,49.56,48.37,4350000.0,-0.022799999999999997
2019-08-12,46.35,47.76,47.99,46.09,6860000.0,-0.042199999999999994
2019-08-13,47.15,46.23,48.04,45.64,5260000.0,0.0173
2019-08-14,44.63,46.55,46.62,44.27,9400000.0,-0.053399999999999996
2019-08-15,45.4,44.51,45.55,43.96,6290000.0,0.0173
2019-08-16,46.22,45.85,46.38,45.54,5030000.0,0.0181
2019-08-19,47.81,47.0,48.19,46.91,5340000.0,0.0344
2019-08-20,46.72,46.99,47.27,46.48,4450000.0,-0.022799999999999997
2019-08-21,47.23,47.38,47.78,46.5,3820000.0,0.0109
2019-08-22,46.89,47.23,47.65,46.7,3310000.0,-0.0072
2019-08-23,45.76,46.45,47.61,45.56,6220000.0,-0.0241
2019-08-26,46.04,46.12,46.57,45.44,9280000.0,0.0060999999999999995
2019-08-27,45.33,46.46,46.82,45.11,3930000.0,-0.0154
