Date,Close,Open,High,Low,Volume,Change
2019-07-11,140.67,141.36,141.98,139.61,321870.0,-0.0009
2019-07-12,143.32,141.68,143.53,140.62,241000.0,0.018799999999999997
2019-07-15,143.81,143.72,144.41,142.34,181680.0,0.0034000000000000002
2019-07-16,143.12,143.71,144.71,141.62,242340.0,-0.0048
2019-07-17,142.76,143.69,144.78,142.16,216200.0,-0.0025
2019-07-18,145.93,142.91,146.5,142.91,205520.0,0.0222
2019-07-19,144.95,146.5,146.79,144.88,272890.0,-0.0067
2019-07-22,145.31,145.76,147.41,144.86,244140.0,0.0025
2019-07-23,146.69,146.6,146.93,145.14,255030.0,0.0095
2019-07-24,153.31,147.09,153.79,147.08,377920.0,0.0451
2019-07-25,149.92,152.07,152.84,143.12,211280.0,-0.022099999999999998
2019-07-26,150.98,151.35,152.89,150.05,174900.0,0.0070999999999999995
2019-07-29,150.57,150.98,151.12,149.69,159440.0,-0.0027
2019-07-30,150.91,149.2,151.8,148.49,193130.0,0.0023
2019-07-31,148.16,151.1,152.36,146.77,517909.99999999994,-0.0182
2019-08-01,149.75,156.99,161.5,147.73,584760.0,0.010700000000000001
2019-08-02,146.61,148.96,151.16,146.07,274880.0,-0.021
2019-08-05,142.24,141.48,142.38,139.0,478190.0,-0.0298
2019-08-06,145.25,144.55,146.89,143.88,234450.0,0.0212
2019-08-07,146.29,142.75,146.95,142.75,227130.0,0.0072
2019-08-08,152.44,147.52,152.65,146.07,329680.0,0.042
2019-08-09,149.19,150.98,151.27,147.83,178540.0,-0.0213
2019-08-12,145.38,147.64,148.81,145.38,215490.0,-0.0255
2019-08-13,151.16,144.49,152.27,144.49,272780.0,0.0398
2019-08-14,143.99,147.09,148.99,143.82,316940.0,-0.047400000000000005
2019-08-15,145.14,145.03,146.07,143.99,215620.0,0.008
2019-08-16,151.37,145.79,151.97,145.79,298550.0,0.0429
2019-08-19,153.51,154.0,156.0,153.17,276850.0,0.0141
2019-08-20,152.47,152.77,154.18,151.24,212530.0,-0.0068000000000000005
2019-08-21,154.42,153.4,154.93,151.95,214160.0,0.0128
2019-08-22,155.37,154.63,156.13,151.53,170480.0,0.0062
2019-08-23,148.1,153.32,153.9,147.6,246810.0,-0.046799999999999994
2019-08-26,148.57,150.54,150.54,147.79,160450.0,0.0032
2019-08-27,146.54,150.0,150.66,146.38,178670.0,-0.0137
2019-08-28,147.02,145.69,147.41,144.18,302960.0,0.0033
2019-08-29,150.42,149.73,152.27,148.7,167280.0,0.0231
2019-08-30,150.56,151.61,152.15,149.42,155850.0,0.0009
2019-09-03,146.27,149.57,150.64,146.05,343010.0,-0.0285
2019-09-04,149.72,148.5,149.81,147.62,170770.0,0.0236
2019-09-05,156.07,152.6,157.13,152.6,205760.0,0.0424
2019-09-06,156.0,155.6,157.13,154.99,207390.0,-0.0004
2019-09-09,153.82,156.58,157.8,153.52,296870.0,-0.013999999999999999
2019-09-10,152.91,153.69,154.03,151.28,283850.0,-0.0059
2019-09-11,157.52,153.68,157.64,152.96,202110.0,0.0301
2019-09-12,161.32,158.9,161.84,156.52,263160.0,0.0241
2019-09-13,161.55,162.0,163.21,159.95,194210.0,0.0014000000000000002
2019-09-16,160.3,161.54,161.54,158.76,179230.0,-0.0077
2019-09-17,157.9,159.9,160.52,157.64,241140.0,-0.015
2019-09-18,158.34,158.18,159.18,156.26,322750.0,0.0028000000000000004
2019-09-19,156.35,159.68,159.9,156.08,299260.0,-0.0126
2019-09-20,154.27,155.06,156.17,152.43,585320.0,-0.013300000000000001
2019-09-23,157.18,154.69,158.09,153.57,223200.0,0.0189
2019-09-24,157.28,159.01,160.64,155.13,288250.0,0.0006
2019-09-25,159.96,156.96,161.02,154.72,313710.0,0.017
2019-09-26,160.22,159.97,161.54,158.69,217830.0,0.0016
2019-09-27,156.62,160.67,160.67,155.15,353150.0,-0.0225
2019-09-30,155.63,157.49,157.49,154.13,604290.0,-0.0063
2019-10-01,153.35,157.0,159.25,153.17,378660.0,-0.0147
2019-10-02,149.93,151.54,151.7,148.03,459350.0,-0.0223
2019-10-03,151.73,149.61,153.2,146.95,675130.0,0.012
2019-10-04,152.93,152.42,153.31,151.25,363480.0,0.0079
2019-10-07,149.21,152.25,153.0,148.84,489270.0,-0.024300000000000002
2019-10-08,141.81,147.69,147.87,141.61,518960.00000000006,-0.0496
2019-10-09,135.15,132.94,138.45,131.13,2069999.9999999998,-0.047
2019-10-10,137.02,133.9,139.56,133.9,746580.0,0.0138
2019-10-11,138.13,139.08,140.89,136.36,925860.0,0.008100000000000001
2019-10-14,142.52,138.31,142.73,137.87,530740.0,0.0318
2019-10-15,144.61,142.78,144.69,141.74,368390.0,0.0147
2019-10-16,141.86,143.73,145.06,141.76,534360.0,-0.019
2019-10-17,142.72,142.88,143.89,142.24,382730.0,0.0060999999999999995
2019-10-18,142.11,141.99,143.05,139.93,299080.0,-0.0043
2019-10-21,145.4,143.27,145.89,143.27,356010.0,0.0232
2019-10-22,144.21,145.32,146.01,142.95,569690.0,-0.008199999999999999
2019-10-23,150.69,146.0,152.46,143.0,928050.0,0.0449
2019-10-24,150.24,151.55,152.46,148.64,456080.0,-0.003
2019-10-25,152.33,149.67,153.42,149.67,403620.0,0.0139
2019-10-28,153.9,154.05,154.53,153.24,271480.0,0.0103
2019-10-29,152.28,153.87,155.19,152.03,331590.0,-0.0105
2019-10-30,151.68,153.38,154.56,150.02,293570.0,-0.0039000000000000003
2019-10-31,149.92,151.51,151.81,149.28,236130.0,-0.0116
2019-11-01,155.58,151.1,155.6,150.29,267950.0,0.0378
2019-11-04,161.1,157.29,161.52,156.54,468650.0,0.0355
2019-11-05,162.58,161.21,164.82,160.48,395510.0,0.0092
2019-11-06,160.15,161.91,161.91,159.51,456500.0,-0.0149
2019-11-07,163.36,162.61,164.13,161.03,282230.0,0.02
2019-11-08,165.04,162.29,165.08,161.23,310790.0,0.0103
2019-11-11,163.9,163.41,164.94,162.42,230130.0,-0.0069
2019-11-12,162.55,164.81,166.24,161.93,263800.0,-0.008199999999999999
2019-11-13,160.27,160.62,162.68,159.65,302830.0,-0.013999999999999999
2019-11-14,160.13,159.18,160.41,158.25,262270.0,-0.0009
2019-11-15,162.5,161.9,163.9,160.78,230470.0,0.0148
2019-11-18,161.13,161.74,162.92,160.64,317870.0,-0.0084
2019-11-19,161.76,161.84,162.76,160.22,218110.0,0.0039000000000000003
2019-11-20,159.15,160.59,162.35,158.63,295120.0,-0.0161
2019-11-21,158.46,158.67,158.99,157.12,250750.0,-0.0043
2019-11-22,157.98,159.45,159.99,157.75,183140.0,-0.003
2019-11-25,164.11,158.83,164.28,158.83,255590.0,0.0388
2019-11-26,162.78,164.05,164.59,162.43,167290.0,-0.008100000000000001
2019-11-27,163.19,163.49,164.18,162.42,164430.0,0.0025
2019-11-29,160.68,162.87,164.0,160.6,90890.0,-0.0154
2019-12-02,158.0,161.65,161.65,157.65,240760.0,-0.0167
2019-12-03,157.44,154.73,157.64,153.98,291410.0,-0.0034999999999999996
2019-12-04,161.82,159.07,162.48,159.07,220760.0,0.0278
2019-12-05,162.31,163.01,163.97,161.67,183070.0,0.003
2019-12-06,165.99,164.72,166.74,161.71,219510.0,0.0227
2019-12-09,164.31,165.67,166.36,164.28,279210.0,-0.0101
2019-12-10,165.12,164.41,165.93,164.41,192240.0,0.0049
2019-12-11,169.05,165.4,169.25,165.4,216380.0,0.023799999999999998
2019-12-12,173.75,169.74,174.02,168.87,317450.0,0.0278
2019-12-13,174.6,173.94,176.13,172.97,196240.0,0.0049
2019-12-16,177.23,176.15,178.73,175.41,295660.0,0.0151
2019-12-17,178.65,178.02,178.74,177.23,227050.0,0.008
2019-12-18,178.84,178.29,179.96,177.09,339420.0,0.0011
2019-12-19,179.93,178.94,180.23,177.19,277830.0,0.0060999999999999995
2019-12-20,182.89,180.85,183.04,179.62,448990.0,0.0165
2019-12-23,179.07,183.46,183.46,178.75,466570.0,-0.0209
2019-12-24,178.34,179.81,179.95,177.63,227060.0,-0.0040999999999999995
2019-12-26,179.16,178.37,179.18,177.6,259700.0,0.0046
2019-12-27,178.41,178.85,180.0,177.21,152230.0,-0.0042
2019-12-30,178.39,177.58,178.85,175.08,165370.0,-0.0001
2019-12-31,178.02,178.06,179.53,177.06,272010.0,-0.0021
2020-01-02,180.01,180.12,180.87,176.09,333700.0,0.011200000000000002
2020-01-03,176.75,176.74,178.5,176.12,233340.0,-0.0181
2020-01-06,174.94,174.13,175.78,172.98,339940.0,-0.0102
2020-01-07,176.57,176.03,177.91,174.62,645310.0,0.009300000000000001
2020-01-08,176.34,176.7,177.59,175.08,297530.0,-0.0013
2020-01-09,178.72,177.45,179.09,176.87,180560.0,0.013500000000000002
2020-01-10,176.87,178.65,179.46,176.4,275010.0,-0.0104
2020-01-13,179.31,178.18,179.95,177.16,272410.0,0.0138
2020-01-14,178.93,179.3,181.0,178.01,212230.0,-0.0021
2020-01-15,178.12,179.1,179.83,176.68,324250.0,-0.0045000000000000005
2020-01-16,180.34,179.56,180.6,178.53,388150.0,0.0125
2020-01-17,181.61,181.57,182.09,179.51,356100.0,0.006999999999999999
2020-01-21,182.18,181.12,184.03,181.1,322120.0,0.0031
2020-01-22,181.71,183.98,184.92,181.22,330810.0,-0.0026
2020-01-23,183.03,181.99,183.47,180.35,393390.0,0.0073
2020-01-24,183.29,184.0,184.95,182.45,413900.0,0.0014000000000000002
2020-01-27,176.05,178.0,178.46,175.85,302630.0,-0.0395
2020-01-28,180.28,178.06,181.22,176.78,229830.0,0.024
2020-01-29,177.5,180.28,180.95,177.39,229070.0,-0.0154
2020-01-30,178.5,176.53,179.32,175.31,299710.0,0.005600000000000001
2020-01-31,171.17,176.95,177.74,170.93,460490.0,-0.041100000000000005
2020-02-03,175.21,172.42,175.65,171.21,340950.0,0.0236
2020-02-04,182.62,179.84,182.97,177.91,284930.0,0.042300000000000004
2020-02-05,186.99,185.28,186.99,182.27,425070.0,0.0239
2020-02-06,181.86,187.15,190.88,179.6,765690.0,-0.0274
2020-02-07,180.21,180.46,182.49,178.81,527020.0,-0.0091
2020-02-10,184.19,176.73,184.42,175.83,247300.0,0.022099999999999998
2020-02-11,189.52,185.0,190.69,184.05,258950.0,0.028900000000000002
2020-02-12,190.73,190.45,191.98,188.72,335740.0,0.0064
2020-02-13,191.43,188.43,192.78,188.21,327200.0,0.0037
2020-02-14,191.19,192.59,193.1,189.61,321580.0,-0.0013
2020-02-18,185.33,187.81,188.69,183.47,331270.0,-0.030699999999999998
2020-02-19,187.46,184.3,188.94,184.3,285330.0,0.0115
2020-02-20,184.06,186.94,187.1,181.78,263930.0,-0.0181
2020-02-21,176.63,182.68,182.68,175.55,318870.0,-0.0404
2020-02-24,165.87,168.47,169.73,165.72,543160.0,-0.060899999999999996
2020-02-25,164.54,167.95,168.3,162.32,423290.0,-0.008
2020-02-26,164.22,165.07,169.62,162.65,329750.0,-0.0019
2020-02-27,157.22,159.19,161.88,155.27,364010.0,-0.0426
2020-02-28,158.64,150.97,160.59,150.37,448170.0,0.009000000000000001
2020-03-02,164.12,160.86,164.57,156.34,370580.0,0.0345
2020-03-03,162.21,165.19,168.26,159.12,429680.0,-0.0116
2020-03-04,171.54,165.48,171.79,162.79,277510.0,0.0575
2020-03-05,172.33,169.37,177.19,166.75,447480.0,0.0046
2020-03-06,166.06,167.1,169.89,161.11,391740.0,-0.0364
2020-03-09,148.51,151.36,159.06,148.22,432370.0,-0.1057
2020-03-10,163.62,154.19,163.75,152.63,582230.0,0.1017
2020-03-11,155.8,159.86,163.0,152.87,475990.0,-0.0478
2020-03-12,145.99,145.3,156.81,139.59,612640.0,-0.063
2020-03-13,170.56,155.19,170.78,142.44,660810.0,0.16829999999999998
2020-03-16,135.97,151.5,159.96,135.97,703500.0,-0.2028
2020-03-17,159.1,139.25,160.81,136.38,577120.0,0.17010000000000003
2020-03-18,141.63,150.0,154.99,136.88,508710.0,-0.10980000000000001
2020-03-19,150.44,139.76,154.34,139.48,504320.0,0.0622
2020-03-20,135.22,151.6,156.88,135.21,636870.0,-0.1012
2020-03-23,139.85,136.18,142.38,130.12,480810.0,0.0342
2020-03-24,162.49,150.7,163.0,148.19,485250.0,0.16190000000000002
2020-03-25,158.31,157.92,168.95,157.12,550920.0,-0.025699999999999997
2020-03-26,174.78,164.27,174.78,159.19,541010.0,0.10400000000000001
2020-03-27,161.7,169.2,169.4,161.25,471440.0,-0.0748
2020-03-30,165.19,163.89,168.51,160.0,278980.0,0.0216
2020-03-31,167.46,163.98,170.0,162.14,466970.0,0.0137
2020-04-01,159.42,160.56,168.54,154.79,454310.0,-0.048
2020-04-02,157.52,158.86,159.56,152.17,399820.0,-0.011899999999999999
2020-04-03,153.42,156.49,158.54,151.02,212790.0,-0.026000000000000002
2020-04-06,170.0,160.63,170.0,160.28,391960.0,0.1081
2020-04-07,166.85,170.0,176.62,164.76,580390.0,-0.018500000000000003
2020-04-08,173.48,170.46,176.66,168.79,487760.0,0.0397
2020-04-09,167.93,175.75,176.82,165.03,416870.0,-0.032
2020-04-13,171.9,167.58,173.09,164.25,228600.0,0.0236
2020-04-14,183.88,176.19,184.76,174.36,311400.0,0.0697
2020-04-15,178.51,178.97,180.82,177.09,346490.0,-0.0292
2020-04-16,183.8,180.59,184.94,179.2,325030.0,0.0296
2020-04-17,185.77,185.0,189.0,182.7,292800.0,0.010700000000000001
2020-04-20,184.23,182.45,186.4,181.24,191470.0,-0.0083
2020-04-21,177.13,181.49,183.25,173.58,296700.0,-0.0385
2020-04-22,184.78,183.04,186.94,182.24,384110.0,0.0432
2020-04-23,181.27,184.83,188.66,180.65,285330.0,-0.019
2020-04-24,186.04,183.6,186.46,178.81,254500.0,0.0263
2020-04-27,193.87,189.25,194.42,187.53,274520.0,0.0421
2020-04-28,191.31,196.0,198.86,190.88,390880.0,-0.0132
2020-04-29,203.55,198.98,208.81,196.49,850310.0,0.064
2020-04-30,199.91,202.21,203.9,198.3,321010.0,-0.0179
2020-05-01,189.0,195.4,198.47,187.59,457770.0,-0.0546
2020-05-04,189.77,186.61,190.48,180.96,323990.0,0.0040999999999999995
2020-05-05,196.94,194.73,200.45,194.0,329370.0,0.0378
2020-05-06,200.75,200.61,203.31,196.96,303780.0,0.019299999999999998
2020-05-07,203.07,204.2,207.98,200.85,358500.0,0.0116
2020-05-08,211.27,204.72,211.81,204.67,384740.0,0.0404
2020-05-11,210.5,209.74,213.5,207.37,587950.0,-0.0036
2020-05-12,209.5,211.05,219.57,209.08,429570.0,-0.0048
2020-05-13,199.78,209.54,210.93,197.05,477090.0,-0.0464
2020-05-14,200.96,198.07,200.99,192.02,378000.0,0.0059
2020-05-15,193.01,195.52,196.52,190.0,486320.0,-0.039599999999999996
2020-05-18,204.82,197.7,206.89,197.5,396020.0,0.061200000000000004
2020-05-19,201.81,204.3,209.33,201.81,309930.0,-0.0147
2020-05-20,209.51,205.84,209.72,203.98,312880.0,0.0382
2020-05-21,202.44,207.14,209.85,201.55,262760.0,-0.0337
2020-05-22,202.18,203.1,203.75,198.95,263220.0,-0.0013
2020-05-26,204.89,208.29,209.76,204.0,337610.0,0.0134
2020-05-27,209.76,206.77,210.54,202.01,317810.0,0.023799999999999998
2020-05-28,205.15,210.86,214.76,203.73,294560.0,-0.022000000000000002
2020-05-29,209.75,207.42,210.94,204.36,285980.0,0.022400000000000003
2020-06-01,213.39,208.44,214.91,207.84,271750.0,0.0174
2020-06-02,219.47,213.63,219.74,211.0,265820.0,0.0285
2020-06-03,227.41,221.65,229.3,221.62,394970.0,0.0362
2020-06-04,229.08,224.88,229.6,224.88,329600.0,0.0073
2020-06-05,235.15,232.53,238.94,232.53,564910.0,0.0265
2020-06-08,229.64,237.03,237.03,228.08,319400.0,-0.023399999999999997
2020-06-09,226.52,226.6,228.42,224.16,282880.0,-0.013600000000000001
2020-06-10,229.85,227.72,232.96,227.12,248720.0,0.0147
2020-06-11,211.0,223.21,223.91,210.9,436840.0,-0.08199999999999999
2020-06-12,214.0,215.87,218.56,209.11,383740.0,0.014199999999999999
2020-06-15,219.82,209.83,220.75,208.57,413620.0,0.027200000000000002
2020-06-16,223.4,225.42,229.48,221.15,349630.0,0.0163
2020-06-17,225.31,226.09,227.99,222.57,379570.0,0.0085
2020-06-18,223.0,225.44,226.66,222.91,232750.0,-0.0103
2020-06-19,221.84,225.95,225.98,219.04,595010.0,-0.0052
2020-06-22,226.66,224.46,226.82,220.8,314670.0,0.0217
2020-06-23,226.44,228.98,233.78,225.64,296400.0,-0.001
2020-06-24,219.93,225.86,227.35,217.92,288280.0,-0.0287
2020-06-25,228.58,221.32,228.78,215.93,335770.0,0.0393
2020-06-26,226.25,229.41,231.77,222.56,657640.0,-0.0102
2020-06-29,229.95,224.59,230.21,223.74,405560.0,0.016399999999999998
2020-06-30,237.0,230.62,237.46,230.0,363570.0,0.030699999999999998
2020-07-01,235.55,236.21,238.5,232.49,519900.0,-0.0060999999999999995
2020-07-02,237.13,237.57,240.36,235.34,265860.0,0.0067
2020-07-06,242.14,241.99,243.41,239.8,291970.0,0.021099999999999997
2020-07-07,244.0,242.43,247.88,241.4,306360.0,0.0077
2020-07-08,247.53,246.86,248.79,243.73,226850.0,0.014499999999999999
2020-07-09,249.48,250.09,251.28,244.17,431860.0,0.0079
2020-07-10,247.91,251.46,251.68,245.16,219400.0,-0.0063
2020-07-13,242.42,251.9,255.5,241.96,223610.0,-0.022099999999999998
2020-07-14,249.52,241.58,250.1,236.74,326060.0,0.029300000000000003
2020-07-15,246.72,250.27,251.21,241.62,290040.0,-0.011200000000000002
2020-07-16,245.54,245.07,247.04,242.1,138270.0,-0.0048
2020-07-17,249.42,247.41,251.28,245.6,181380.0,0.0158
2020-07-20,252.56,249.34,253.77,248.73,243490.0,0.0126
2020-07-21,248.71,254.01,254.98,247.53,275160.0,-0.0152
2020-07-22,249.26,249.53,251.52,246.04,265310.0,0.0022
2020-07-23,245.2,249.93,252.3,243.12,347000.0,-0.0163
2020-07-24,245.13,243.22,249.64,239.08,412930.0,-0.0003
2020-07-27,253.89,248.54,254.91,248.46,304210.0,0.035699999999999996
2020-07-28,247.48,253.54,253.66,247.14,294490.0,-0.0252
2020-07-29,263.88,252.78,264.29,250.0,688260.0,0.0663
2020-07-30,269.75,261.39,271.79,261.39,336990.0,0.0222
2020-07-31,265.01,271.62,271.94,260.49,352660.0,-0.0176
2020-08-03,268.44,268.68,272.93,267.27,314800.0,0.0129
2020-08-04,275.62,267.76,275.84,267.76,285320.0,0.026699999999999998
2020-08-05,278.04,277.11,278.23,270.75,367160.0,0.0088
2020-08-06,282.5,277.29,282.6,277.0,273340.0,0.016
2020-08-07,278.73,281.93,283.48,273.96,225460.0,-0.013300000000000001
2020-08-10,272.14,278.11,279.18,271.0,301590.0,-0.0236
2020-08-11,270.18,269.62,275.39,266.79,298110.0,-0.0072
2020-08-12,280.0,273.27,280.32,271.49,221670.0,0.0363
2020-08-13,279.12,280.0,282.44,277.29,189120.0,-0.0031
2020-08-14,275.86,280.19,281.82,274.62,164320.0,-0.011699999999999999
2020-08-17,281.38,279.22,282.64,278.33,206480.0,0.02
2020-08-18,275.4,281.0,281.91,275.35,253190.0,-0.0213
2020-08-19,274.49,276.21,278.86,273.53,232090.0,-0.0033
2020-08-20,270.81,271.86,274.87,269.31,272720.0,-0.0134
2020-08-21,272.75,270.81,273.54,268.3,157130.0,0.0072
2020-08-24,268.11,275.79,275.94,266.01,267550.0,-0.017
2020-08-25,271.57,268.67,271.84,268.67,225760.0,0.0129
2020-08-26,269.55,272.11,272.72,266.85,225830.0,-0.0074
2020-08-27,264.01,270.25,270.25,262.58,306290.0,-0.0206
2020-08-28,269.46,264.12,269.8,264.12,172930.0,0.0206
2020-08-31,267.13,269.72,273.28,266.05,322410.0,-0.0086
2020-09-01,272.62,268.0,272.84,262.59,462850.0,0.0206
2020-09-02,282.85,276.32,284.5,273.04,289710.0,0.0375
2020-09-03,263.09,275.15,276.86,261.56,382390.0,-0.0699
2020-09-04,255.81,263.22,265.64,246.04,381550.0,-0.0277
2020-09-08,242.63,244.9,252.65,241.95,344340.0,-0.051500000000000004
2020-09-09,246.56,248.12,249.33,243.97,435170.0,0.016200000000000003
