Date,Close,Open,High,Low,Volume,Change
2019-07-11,171.07,170.99,171.08,168.75,765580.0,0.002
2019-07-12,172.28,171.36,172.35,170.8,510000.0,0.0070999999999999995
2019-07-15,172.8,172.28,173.19,171.54,655090.0,0.003
2019-07-16,171.53,173.13,173.44,171.02,624940.0,-0.0073
2019-07-17,170.16,170.0,171.09,169.15,519360.0,-0.008
2019-07-18,171.52,170.39,171.58,169.5,590460.0,0.008
2019-07-19,168.91,172.65,172.65,168.81,733680.0,-0.0152
2019-07-22,169.98,169.52,171.06,169.11,452890.0,0.0063
2019-07-23,170.8,170.7,170.84,168.5,485140.0,0.0048
2019-07-24,167.59,170.57,170.57,167.43,1000000.0,-0.018799999999999997
2019-07-25,168.93,167.65,169.32,166.85,641980.0,0.008
2019-07-26,170.1,169.6,170.34,168.79,542710.0,0.0069
2019-07-29,168.77,170.8,170.8,168.28,790940.0,-0.0078000000000000005
2019-07-30,166.0,168.17,169.36,165.97,1010000.0,-0.016399999999999998
2019-07-31,165.96,166.3,167.8,165.08,1040000.0,-0.0002
2019-08-01,164.76,165.99,167.92,164.38,1510000.0,-0.0072
2019-08-02,170.08,163.47,172.29,160.81,1730000.0,0.0323
2019-08-05,168.73,167.51,169.05,166.12,1460000.0,-0.0079
2019-08-06,171.58,169.27,172.18,169.27,900090.0,0.0169
2019-08-07,174.0,170.79,174.37,169.47,1190000.0,0.0141
2019-08-08,179.06,175.29,179.14,175.0,950930.0,0.0291
2019-08-09,176.3,178.67,178.72,175.78,703500.0,-0.0154
2019-08-12,175.54,175.47,176.81,174.15,975510.0,-0.0043
2019-08-13,176.05,175.3,177.27,175.21,822090.0,0.0029
2019-08-14,171.03,173.77,174.91,170.94,1140000.0,-0.0285
2019-08-15,172.06,171.26,173.22,170.17,672770.0,0.006
2019-08-16,173.32,173.0,174.74,172.33,937280.0,0.0073
2019-08-19,176.87,175.31,177.5,174.19,640600.0,0.020499999999999997
2019-08-20,175.39,176.53,177.21,175.02,440250.0,-0.0084
2019-08-21,179.2,177.25,179.24,176.6,769340.0,0.0217
2019-08-22,178.73,179.2,179.54,177.93,856320.0,-0.0026
2019-08-23,175.27,178.0,178.97,174.75,886610.0,-0.0194
2019-08-26,178.35,176.38,178.4,176.38,723480.0,0.0176
2019-08-27,178.51,178.59,179.69,177.2,1100000.0,0.0009
2019-08-28,178.24,177.75,178.31,176.28,656590.0,-0.0015
2019-08-29,181.16,179.79,181.83,179.52,560230.0,0.016399999999999998
2019-08-30,180.91,182.23,182.28,180.03,692240.0,-0.0014000000000000002
2019-09-03,178.6,180.01,180.66,178.15,848580.0,-0.0128
2019-09-04,178.92,179.73,180.06,178.09,722560.0,0.0018
2019-09-05,173.57,176.49,176.73,172.15,3140000.0,-0.029900000000000003
2019-09-06,174.8,174.28,175.73,173.48,2590000.0,0.0070999999999999995
2019-09-09,171.67,175.15,175.31,171.32,1080000.0,-0.0179
2019-09-10,164.43,170.62,170.62,163.1,2089999.9999999998,-0.042199999999999994
2019-09-11,165.31,164.42,166.32,164.26,1490000.0,0.0054
2019-09-12,166.14,165.96,167.29,164.47,1950000.0,0.005
2019-09-13,167.04,165.94,168.34,165.55,1090000.0,0.0054
2019-09-16,166.03,166.22,167.09,165.65,1170000.0,-0.006
2019-09-17,168.84,166.56,169.19,166.47,1310000.0,0.0169
2019-09-18,168.47,168.95,169.42,166.7,960510.0,-0.0022
2019-09-19,167.42,168.62,169.56,167.05,761020.0,-0.0062
2019-09-20,166.21,167.84,169.18,166.2,1400000.0,-0.0072
2019-09-23,168.47,166.26,169.43,166.26,1210000.0,0.013600000000000001
2019-09-24,169.23,169.86,172.67,168.85,1220000.0,0.0045000000000000005
2019-09-25,171.62,169.03,172.02,168.01,730320.0,0.0141
2019-09-26,172.37,171.5,172.75,170.96,767010.0,0.0044
2019-09-27,170.19,172.72,172.72,169.53,619240.0,-0.0126
2019-09-30,170.41,170.14,171.29,169.72,937030.0,0.0013
2019-10-01,165.44,170.43,170.83,165.23,1350000.0,-0.0292
2019-10-02,164.43,164.75,164.75,162.44,1670000.0,-0.0060999999999999995
2019-10-03,164.68,163.76,165.02,162.27,1110000.0,0.0015
2019-10-04,168.21,165.37,168.28,164.47,954460.0,0.021400000000000002
2019-10-07,167.79,168.0,168.43,166.72,807030.0,-0.0025
2019-10-08,170.75,168.84,173.24,167.52,1890000.0,0.0176
2019-10-09,171.1,171.48,172.45,170.21,964010.0,0.002
2019-10-10,170.01,170.39,170.75,168.73,709440.0,-0.0064
2019-10-11,167.53,172.05,172.39,167.53,1290000.0,-0.0146
2019-10-14,167.34,167.52,169.12,167.33,1060000.0,-0.0011
2019-10-15,169.71,167.64,170.61,167.54,680330.0,0.014199999999999999
2019-10-16,172.76,170.49,172.8,169.05,1160000.0,0.018000000000000002
2019-10-17,175.72,173.55,176.95,172.6,1150000.0,0.0171
2019-10-18,175.05,176.37,176.53,173.39,818040.0,-0.0038
2019-10-21,176.01,175.64,176.27,174.24,816510.0,0.0055000000000000005
2019-10-22,169.08,176.01,176.43,168.94,899240.0,-0.0394
2019-10-23,169.09,169.24,169.53,168.02,1100000.0,0.0001
2019-10-24,163.25,166.21,167.2,157.72,2850000.0,-0.0345
2019-10-25,163.41,163.39,164.73,162.0,937820.0,0.001
2019-10-28,162.82,164.77,164.77,161.97,1060000.0,-0.0036
2019-10-29,164.75,162.0,164.79,162.0,852730.0,0.011899999999999999
2019-10-30,165.36,164.85,165.83,164.01,1090000.0,0.0037
2019-10-31,166.32,166.0,167.81,158.31,2670000.0,0.0058
2019-11-01,167.56,167.04,168.49,166.36,962140.0,0.0075
2019-11-04,160.59,168.26,168.45,160.29,1460000.0,-0.0416
2019-11-05,157.09,159.75,160.43,154.02,3020000.0,-0.0218
2019-11-06,158.6,157.09,159.17,156.3,1290000.0,0.0096
2019-11-07,162.2,159.66,163.9,159.2,1570000.0,0.0227
2019-11-08,164.96,161.98,165.07,161.64,1190000.0,0.017
2019-11-11,161.15,162.34,163.41,160.15,1190000.0,-0.0231
2019-11-12,161.12,160.99,161.34,159.51,1250000.0,-0.0002
2019-11-13,161.6,160.6,164.08,160.6,1140000.0,0.003
2019-11-14,161.74,160.7,163.1,160.18,658750.0,0.0009
2019-11-15,162.08,162.18,162.37,160.44,913750.0,0.0021
2019-11-18,162.96,162.08,163.44,161.47,923800.0,0.0054
2019-11-19,166.0,163.99,166.55,163.25,928050.0,0.0187
2019-11-20,166.36,166.07,168.24,164.65,1040000.0,0.0022
2019-11-21,165.06,165.73,166.69,164.33,970650.0,-0.0078000000000000005
2019-11-22,165.85,165.29,166.37,164.48,706530.0,0.0048
2019-11-25,165.72,166.56,166.99,164.45,783320.0,-0.0008
2019-11-26,166.36,165.93,167.98,164.8,2950000.0,0.0039000000000000003
