Date,Close,Open,High,Low,Volume,Change
2019-07-11,29.52,29.56,29.6,29.26,1220000.0,0.0007000000000000001
2019-07-12,29.34,29.57,29.57,29.12,1160000.0,-0.0060999999999999995
2019-07-15,29.42,29.25,29.45,29.14,1070000.0,0.0027
2019-07-16,29.14,29.31,29.41,28.96,1650000.0,-0.0095
2019-07-17,29.26,29.23,29.47,29.17,1330000.0,0.0040999999999999995
2019-07-18,29.59,29.26,29.62,29.07,1790000.0,0.0113
2019-07-19,29.2,29.55,29.6,29.2,2250000.0,-0.0132
2019-07-22,29.14,29.34,29.35,29.02,1650000.0,-0.0021
2019-07-23,29.22,29.12,29.31,29.01,2160000.0,0.0027
2019-07-24,29.46,29.61,29.61,29.1,2920000.0,0.008199999999999999
2019-07-25,29.39,29.57,29.66,29.3,2020000.0,-0.0024
2019-07-26,29.5,29.42,29.65,29.32,2029999.9999999998,0.0037
2019-07-29,29.81,29.65,29.85,29.5,2260000.0,0.0105
2019-07-30,29.58,29.58,29.8,29.38,2970000.0,-0.0077
2019-07-31,29.69,29.5,29.95,29.33,3350000.0,0.0037
2019-08-01,30.04,29.73,30.34,29.59,3810000.0,0.0118
2019-08-02,29.71,29.96,30.18,29.63,3980000.0,-0.011000000000000001
2019-08-05,28.11,29.16,29.35,28.05,7000000.0,-0.053899999999999997
2019-08-06,28.1,28.17,28.27,27.77,11310000.0,-0.0004
2019-08-07,27.63,28.01,28.01,27.39,5240000.0,-0.0167
2019-08-08,28.8,27.61,28.84,27.44,8530000.0,0.042300000000000004
2019-08-09,28.57,28.84,28.95,28.55,3230000.0,-0.008
2019-08-12,28.65,28.56,28.91,28.51,4150000.0000000005,0.0028000000000000004
2019-08-13,28.71,28.55,28.82,28.46,4200000.0,0.0021
2019-08-14,28.69,28.8,29.08,28.68,4260000.0,-0.0007000000000000001
2019-08-15,29.03,28.73,29.16,28.6,3280000.0,0.011899999999999999
2019-08-16,29.42,29.05,29.53,28.96,9030000.0,0.0134
2019-08-19,29.63,29.4,29.76,29.23,2720000.0,0.0070999999999999995
2019-08-20,29.32,29.73,29.73,29.27,2550000.0,-0.0105
2019-08-21,29.66,29.32,29.66,29.13,1810000.0,0.0116
2019-08-22,29.64,29.69,29.75,29.41,1560000.0,-0.0007000000000000001
2019-08-23,29.02,29.74,29.78,28.94,2040000.0,-0.0209
2019-08-26,29.42,29.05,29.43,29.0,1540000.0,0.0138
2019-08-27,29.24,29.58,29.62,29.22,1970000.0,-0.0060999999999999995
2019-08-28,29.1,29.22,29.35,29.09,3950000.0,-0.0048
2019-08-29,29.44,29.22,29.53,29.09,2330000.0,0.011699999999999999
2019-08-30,29.55,29.56,29.68,29.33,1600000.0,0.0037
2019-09-03,30.06,29.68,30.07,29.48,3530000.0,0.0173
2019-09-04,30.21,30.12,30.33,29.9,1710000.0,0.005
2019-09-05,29.67,29.89,30.15,29.65,2600000.0,-0.0179
2019-09-06,29.33,29.67,29.72,29.12,3530000.0,-0.0115
2019-09-09,28.91,29.19,29.32,28.8,1720000.0,-0.0143
2019-09-10,28.97,28.88,28.97,28.56,3400000.0,0.0021
2019-09-11,29.14,28.89,29.27,28.75,2780000.0,0.0059
2019-09-12,29.11,29.36,29.51,29.05,2430000.0,-0.001
2019-09-13,29.04,28.94,29.27,28.86,2490000.0,-0.0024
2019-09-16,29.04,29.18,29.31,28.99,1560000.0,0.0
2019-09-17,29.43,29.07,29.62,29.07,1910000.0,0.0134
2019-09-18,29.47,29.58,29.6,29.29,2610000.0,0.0014000000000000002
2019-09-19,29.44,29.6,29.67,29.33,2220000.0,-0.001
2019-09-20,29.48,29.53,29.62,29.35,3300000.0,0.0014000000000000002
2019-09-23,29.62,29.54,29.67,29.45,1380000.0,0.004699999999999999
2019-09-24,29.96,29.74,30.16,29.66,2420000.0,0.0115
2019-09-25,30.07,29.92,30.17,29.86,1890000.0,0.0037
2019-09-26,30.56,30.2,30.67,30.16,2660000.0,0.0163
2019-09-27,30.03,30.57,30.61,29.75,2920000.0,-0.0173
2019-09-30,29.92,30.03,30.11,29.82,3700000.0,-0.0037
2019-10-01,29.73,29.9,29.98,29.68,2280000.0,-0.0064
2019-10-02,29.41,29.61,29.75,29.37,2530000.0,-0.0108
2019-10-03,29.37,29.49,29.49,29.14,3520000.0,-0.0014000000000000002
2019-10-04,29.63,29.37,29.65,29.19,2640000.0,0.0089
2019-10-07,29.33,29.59,29.63,29.3,1870000.0,-0.0101
2019-10-08,28.83,29.32,29.32,28.82,2730000.0,-0.017
2019-10-09,29.04,28.88,29.12,28.73,2240000.0,0.0073
2019-10-10,29.01,29.0,29.12,28.77,1790000.0,-0.001
2019-10-11,29.14,28.96,29.39,28.89,2200000.0,0.0045000000000000005
2019-10-14,28.54,29.24,29.24,28.41,2210000.0,-0.0206
2019-10-15,28.14,28.53,28.67,28.0,3560000.0,-0.013999999999999999
2019-10-16,27.97,28.1,28.26,27.8,9410000.0,-0.006
2019-10-17,27.95,27.97,28.2,27.75,3540000.0,-0.0007000000000000001
2019-10-18,27.98,27.97,28.12,27.78,2700000.0,0.0011
2019-10-21,28.05,27.96,28.16,27.92,3270000.0,0.0025
2019-10-22,28.27,28.22,28.34,28.07,2690000.0,0.0078000000000000005
2019-10-23,28.15,28.36,28.46,28.07,3690000.0,-0.0042
2019-10-24,28.2,28.19,28.42,28.07,3680000.0,0.0018
2019-10-25,28.04,28.23,28.32,27.96,3280000.0,-0.005699999999999999
2019-10-28,27.45,27.88,28.01,27.44,2760000.0,-0.021
2019-10-29,27.31,27.5,27.5,27.3,4110000.0000000005,-0.0051
2019-10-30,27.51,26.99,27.52,26.83,4860000.0,0.0073
2019-10-31,28.04,27.72,28.21,27.64,5400000.0,0.019299999999999998
2019-11-01,27.65,28.04,28.08,27.64,3130000.0,-0.0139
2019-11-04,27.31,27.68,27.82,27.18,4059999.9999999995,-0.0123
2019-11-05,26.94,27.17,27.24,26.86,4670000.0,-0.013500000000000002
2019-11-06,27.09,27.06,27.29,26.9,3720000.0,0.005600000000000001
2019-11-07,26.68,27.05,27.1,26.53,4040000.0,-0.0151
2019-11-08,26.41,26.57,26.71,26.28,3580000.0,-0.0101
2019-11-11,26.09,26.44,26.51,26.05,2840000.0,-0.0121
2019-11-12,26.09,26.05,26.27,25.95,4460000.0,0.0
2019-11-13,26.4,26.16,26.61,26.1,5110000.0,0.011899999999999999
2019-11-14,26.32,26.42,26.57,26.23,4099999.9999999995,-0.003
2019-11-15,26.5,26.3,26.51,26.17,5110000.0,0.0068000000000000005
2019-11-18,26.25,26.52,26.65,26.16,4019999.9999999995,-0.009399999999999999
2019-11-19,26.04,26.24,26.36,26.03,4890000.0,-0.008
2019-11-20,26.06,26.04,26.2,25.94,5500000.0,0.0008
2019-11-21,26.22,26.07,26.28,25.98,4690000.0,0.0060999999999999995
2019-11-22,26.36,26.3,26.47,26.17,4080000.0,0.0053
2019-11-25,26.55,26.41,26.58,26.33,10150000.0,0.0072
2019-11-26,26.46,26.55,26.7,26.39,3810000.0,-0.0034000000000000002
2019-11-27,26.53,26.44,26.57,26.37,5700000.0,0.0026
2019-11-29,26.45,26.58,26.77,26.38,2100000.0,-0.003
2019-12-02,26.18,26.34,26.37,26.14,4220000.0,-0.0102
2019-12-03,26.41,26.31,26.48,26.27,3200000.0,0.0088
2019-12-04,26.5,26.37,26.61,26.27,3250000.0,0.0034000000000000002
2019-12-05,26.65,26.45,26.66,26.38,3240000.0,0.005699999999999999
2019-12-06,26.8,26.55,26.81,26.55,3330000.0,0.005600000000000001
2019-12-09,26.72,26.85,26.99,26.66,2530000.0,-0.003
2019-12-10,27.0,26.78,27.03,26.74,4390000.0,0.0105
2019-12-11,26.89,27.05,27.11,26.84,3740000.0,-0.0040999999999999995
2019-12-12,26.67,26.86,26.98,26.57,3280000.0,-0.008199999999999999
2019-12-13,26.88,26.58,26.9,26.52,3410000.0,0.0079
2019-12-16,27.17,26.93,27.17,26.93,2900000.0,0.0108
2019-12-17,27.26,27.24,27.44,27.12,2420000.0,0.0033
2019-12-18,27.55,27.36,27.57,27.2,3920000.0,0.0106
2019-12-19,27.61,27.54,27.66,27.46,2630000.0,0.0022
2019-12-20,27.76,27.66,27.9,27.49,6050000.0,0.0054
2019-12-23,27.45,27.81,27.84,27.21,3110000.0,-0.011200000000000002
2019-12-24,27.43,27.45,27.51,27.29,711830.0,-0.0007000000000000001
2019-12-26,27.35,27.45,27.53,27.21,1470000.0,-0.0029
2019-12-27,27.29,27.34,27.38,27.08,2890000.0,-0.0022
2019-12-30,27.52,27.2,27.54,27.17,5740000.0,0.0084
2019-12-31,27.84,27.55,27.85,27.45,5310000.0,0.0116
2020-01-02,27.18,27.93,28.0,27.08,4200000.0,-0.023700000000000002
2020-01-03,27.4,27.12,27.43,27.11,3440000.0,0.008100000000000001
2020-01-06,27.39,27.43,27.55,27.37,4370000.0,-0.0004
2020-01-07,27.63,27.64,27.64,27.38,2940000.0,0.0088
2020-01-08,27.66,27.68,27.9,27.59,4570000.0,0.0011
2020-01-09,27.75,27.65,27.86,27.56,3230000.0,0.0033
2020-01-10,27.64,27.76,27.86,27.62,2630000.0,-0.004
2020-01-13,27.86,27.61,28.05,27.58,3130000.0,0.008
2020-01-14,28.18,27.87,28.18,27.75,2900000.0,0.0115
2020-01-15,28.69,28.35,28.89,28.32,3250000.0,0.0181
2020-01-16,28.84,28.72,28.92,28.66,2510000.0,0.0052
2020-01-17,29.04,28.96,29.13,28.82,2230000.0,0.0069
2020-01-21,29.19,29.02,29.22,28.8,2560000.0,0.0052
2020-01-22,29.06,29.22,29.25,29.02,2110000.0,-0.0045000000000000005
2020-01-23,29.19,29.04,29.2,28.89,3370000.0,0.0045000000000000005
2020-01-24,29.08,29.15,29.2,28.94,3220000.0,-0.0038
2020-01-27,28.89,29.18,29.34,28.8,2550000.0,-0.006500000000000001
2020-01-28,29.12,28.91,29.24,28.84,2210000.0,0.008
2020-01-29,29.19,29.11,29.23,28.95,2300000.0,0.0024
2020-01-30,29.1,29.14,29.27,28.87,3220000.0,-0.0031
2020-01-31,29.31,29.0,29.34,28.96,3710000.0,0.0072
2020-02-03,29.79,29.4,29.84,29.31,3290000.0,0.016399999999999998
2020-02-04,29.48,29.78,29.91,29.41,3970000.0,-0.0104
2020-02-05,29.77,29.41,29.82,29.37,3080000.0,0.0098
2020-02-06,29.85,29.8,30.01,29.69,2680000.0,0.0027
2020-02-07,29.8,29.95,30.11,29.76,2800000.0,-0.0017000000000000001
2020-02-10,29.86,29.71,29.86,29.49,2210000.0,0.002
2020-02-11,29.93,29.92,30.15,29.84,2270000.0,0.0023
2020-02-12,29.83,29.72,29.85,29.58,2270000.0,-0.0033
2020-02-13,30.19,29.83,30.19,29.78,1830000.0,0.0121
2020-02-14,30.21,30.26,30.29,30.06,3830000.0,0.0007000000000000001
2020-02-18,30.21,30.35,30.46,30.12,2740000.0,0.0
2020-02-19,30.02,30.14,30.24,30.01,1510000.0,-0.0063
2020-02-20,30.05,29.98,30.09,29.86,2000000.0,0.001
2020-02-21,29.88,30.02,30.23,29.8,3740000.0,-0.005699999999999999
2020-02-24,29.25,29.74,29.82,29.11,3220000.0,-0.021099999999999997
2020-02-25,28.38,29.26,29.29,28.38,4050000.0,-0.0297
2020-02-26,27.75,27.66,29.21,26.51,10580000.0,-0.0222
2020-02-27,27.3,27.7,28.73,27.3,6730000.0,-0.016200000000000003
2020-02-28,27.02,27.05,27.56,26.21,12730000.0,-0.0103
2020-03-02,28.56,27.02,28.56,26.89,7190000.0,0.057
2020-03-03,28.38,28.58,29.1,28.14,4820000.0,-0.0063
2020-03-04,29.86,28.75,29.88,28.71,3590000.0,0.0521
2020-03-05,29.63,29.38,30.1,29.19,4710000.0,-0.0077
2020-03-06,29.46,28.85,29.63,28.52,6800000.0,-0.005699999999999999
2020-03-09,27.69,28.02,28.49,26.85,7440000.0,-0.0601
2020-03-10,28.52,27.91,28.62,27.1,7180000.0,0.03
2020-03-11,27.1,27.89,28.05,26.75,4059999.9999999995,-0.049800000000000004
2020-03-12,24.02,25.47,26.02,23.94,5800000.0,-0.1137
2020-03-13,25.18,25.16,25.19,23.42,3370000.0,0.0483
2020-03-16,20.94,20.76,23.74,19.56,5240000.0,-0.1684
2020-03-17,24.57,21.53,24.88,20.43,6850000.0,0.1734
2020-03-18,23.6,23.31,23.93,22.16,5780000.0,-0.0395
2020-03-19,23.36,23.58,24.03,21.23,4179999.9999999995,-0.0102
2020-03-20,21.0,23.49,24.21,20.79,3990000.0,-0.10099999999999999
2020-03-23,20.86,20.82,21.59,20.25,5600000.0,-0.0067
2020-03-24,21.94,21.46,22.14,20.39,4950000.0,0.0518
2020-03-25,22.83,21.81,23.5,20.26,4890000.0,0.0406
2020-03-26,24.55,22.74,24.81,22.74,3940000.0,0.0753
2020-03-27,24.76,23.79,25.58,23.66,4960000.0,0.0086
2020-03-30,26.08,25.14,26.25,24.72,3380000.0,0.0533
2020-03-31,24.97,25.65,25.89,24.83,3860000.0,-0.0426
2020-04-01,23.06,23.99,24.54,22.48,3460000.0,-0.0765
2020-04-02,23.49,22.74,23.95,22.73,4230000.0,0.018600000000000002
2020-04-03,22.49,23.2,23.36,22.34,4160000.0,-0.0426
2020-04-06,24.55,23.36,24.89,23.23,2890000.0,0.0916
2020-04-07,24.11,25.11,25.28,23.92,3170000.0,-0.0179
2020-04-08,25.47,24.24,25.64,23.94,1920000.0,0.0564
2020-04-09,26.58,25.76,27.05,25.76,2780000.0,0.0436
2020-04-13,25.71,26.17,26.44,25.53,1530000.0,-0.0327
2020-04-14,26.62,26.27,26.67,26.01,2110000.0,0.0354
2020-04-15,25.45,26.07,26.07,25.34,2290000.0,-0.044000000000000004
2020-04-16,25.93,25.66,26.2,25.23,4370000.0,0.0189
2020-04-17,26.38,26.55,26.87,25.89,2440000.0,0.0174
2020-04-20,25.48,26.14,26.36,25.29,2640000.0,-0.0341
2020-04-21,25.38,24.96,25.69,24.96,2640000.0,-0.0039000000000000003
2020-04-22,26.01,25.84,26.17,25.41,2920000.0,0.0248
2020-04-23,25.85,25.91,26.15,25.46,3340000.0,-0.0062
2020-04-24,26.03,25.48,26.11,25.31,3990000.0,0.006999999999999999
2020-04-27,26.25,26.18,26.42,25.95,2150000.0,0.0085
2020-04-28,26.85,26.81,27.04,26.59,3010000.0,0.0229
2020-04-29,25.93,27.24,27.24,25.85,3220000.0,-0.034300000000000004
2020-04-30,25.11,25.68,25.71,24.98,2960000.0,-0.0316
2020-05-01,24.47,24.87,24.88,24.17,2210000.0,-0.0255
2020-05-04,24.4,24.42,24.66,24.1,2370000.0,-0.0029
2020-05-05,24.53,24.48,24.84,24.43,3470000.0,0.0053
2020-05-06,22.92,24.63,24.64,22.86,4410000.0,-0.06559999999999999
2020-05-07,22.9,23.34,23.62,22.85,4610000.0,-0.0009
2020-05-08,23.27,23.13,23.39,22.97,3750000.0,0.016200000000000003
2020-05-11,23.49,23.12,23.73,22.73,5410000.0,0.0095
2020-05-12,22.77,23.52,23.57,22.68,3730000.0,-0.030699999999999998
2020-05-13,22.41,22.68,22.68,21.99,4270000.0,-0.0158
2020-05-14,22.49,22.27,22.58,21.57,3430000.0,0.0036
2020-05-15,22.37,22.36,22.6,21.45,9320000.0,-0.0053
2020-05-18,23.17,22.94,23.58,22.92,3930000.0,0.0358
2020-05-19,23.05,23.07,23.37,22.91,2650000.0,-0.0052
2020-05-20,23.08,23.11,23.48,22.96,1900000.0,0.0013
2020-05-21,22.99,22.98,23.46,22.93,2280000.0,-0.0039000000000000003
2020-05-22,23.09,22.93,23.13,22.84,1900000.0,0.0043
