Date,Close,Open,High,Low,Volume,Change
2019-07-11,88.29,87.71,88.3,87.4,3940000.0,0.0097
2019-07-12,89.12,88.18,89.31,88.01,4240000.0,0.009399999999999999
2019-07-15,89.48,89.06,89.87,89.06,3750000.0,0.004
2019-07-16,88.6,89.5,89.71,88.57,5810000.0,-0.0098
2019-07-17,87.5,88.42,88.69,87.44,4460000.0,-0.0124
2019-07-18,87.44,87.63,87.76,86.75,4610000.0,-0.0007000000000000001
2019-07-19,86.55,87.73,87.88,86.48,6640000.0,-0.0102
2019-07-22,85.97,86.56,86.99,85.83,6810000.0,-0.0067
2019-07-23,86.7,86.64,87.1,86.23,5660000.0,0.0085
2019-07-24,86.7,86.65,87.21,86.31,6360000.0,0.0
2019-07-25,87.28,86.82,87.5,86.59,4550000.0,0.0067
2019-07-26,87.54,87.44,87.84,86.77,3710000.0,0.003
2019-07-29,87.62,87.65,87.87,87.18,4390000.0,0.0009
2019-07-30,87.2,86.82,87.91,86.36,3560000.0,-0.0048
2019-07-31,86.03,87.09,87.27,85.55,5820000.0,-0.0134
2019-08-01,83.12,85.26,86.77,82.7,7870000.0,-0.0338
2019-08-02,81.14,82.53,83.24,80.79,8760000.0,-0.023799999999999998
2019-08-05,78.97,79.66,80.05,78.19,8490000.0,-0.026699999999999998
2019-08-06,81.3,79.85,81.59,79.49,8660000.0,0.029500000000000002
2019-08-07,81.28,80.5,81.82,80.09,6280000.0,-0.0002
2019-08-08,83.0,81.81,83.36,81.61,6210000.0,0.0212
2019-08-09,81.98,83.14,83.43,81.32,5460000.0,-0.0123
2019-08-12,81.65,81.41,81.95,81.18,3760000.0,-0.004
2019-08-13,83.32,81.17,84.15,80.85,6940000.0,0.020499999999999997
2019-08-14,81.03,81.24,81.69,80.51,7270000.0,-0.0275
2019-08-15,79.51,80.93,81.3,79.44,6710000.0,-0.018799999999999997
2019-08-16,80.28,80.09,80.56,79.25,5650000.0,0.0097
2019-08-19,81.13,82.0,82.34,80.83,7030000.0,0.0106
2019-08-20,80.53,80.72,81.23,79.45,5900000.0,-0.0074
2019-08-21,82.74,81.94,82.84,81.63,6450000.0,0.0274
2019-08-22,83.31,83.0,83.72,82.5,5570000.0,0.0069
2019-08-23,80.44,82.02,82.76,80.03,8500000.0,-0.0344
2019-08-26,82.25,81.44,82.28,80.74,4340000.0,0.0225
2019-08-27,82.03,82.63,83.18,82.0,3840000.0,-0.0027
2019-08-28,83.48,81.9,83.59,81.72,4130000.0,0.0177
2019-08-29,85.38,84.22,85.77,84.17,5100000.0,0.022799999999999997
2019-08-30,84.5,85.7,85.99,84.41,5240000.0,-0.0103
2019-09-03,84.67,84.0,84.83,83.62,6360000.0,0.002
