Date,Close,Open,High,Low,Volume,Change
2019-07-11,3468.7,3464.9,3509.0,3450.0,27690.0,0.0001
2019-07-12,3489.6,3476.0,3528.3,3474.1,13910.0,0.006
2019-07-15,3450.0,3495.8,3500.0,3430.0,12230.0,-0.0113
2019-07-16,3497.1,3444.6,3515.0,3444.6,18620.0,0.0137
2019-07-17,3501.9,3502.2,3535.0,3483.0,14220.0,0.0014000000000000002
2019-07-18,3507.7,3496.8,3548.5,3451.9,22790.0,0.0017000000000000001
2019-07-19,3520.0,3550.0,3583.0,3495.6,17370.0,0.0034999999999999996
2019-07-22,3498.3,3485.2,3558.0,3476.0,20200.0,-0.0062
2019-07-23,3381.5,3419.7,3482.0,3368.0,31350.0,-0.0334
2019-07-24,3382.1,3377.2,3414.8,3365.4,18280.0,0.0002
2019-07-25,3419.9,3388.0,3435.3,3388.0,21330.0,0.011200000000000002
2019-07-26,3309.8,3435.0,3446.0,3291.0,37230.0,-0.0322
2019-07-29,3301.3,3313.0,3325.0,3245.7,40290.0,-0.0026
2019-07-30,3288.1,3280.1,3350.0,3271.5,32780.0,-0.004
2019-07-31,3344.1,3285.0,3390.0,3279.1,27200.0,0.017
2019-08-01,3388.0,3325.2,3434.0,3317.0,20650.0,0.0131
2019-08-02,3404.3,3383.5,3432.7,3351.0,18760.0,0.0048
2019-08-05,3340.1,3379.2,3399.9,3305.0,37540.0,-0.0189
2019-08-06,3394.1,3356.6,3404.8,3323.9,12890.0,0.016200000000000003
2019-08-07,3485.2,3379.8,3500.0,3374.8,28800.0,0.0268
2019-08-08,3543.3,3483.1,3546.9,3473.4,63430.0,0.0167
2019-08-09,3524.6,3537.0,3576.3,3524.6,14760.0,-0.0053
2019-08-12,3483.7,3502.7,3506.9,3417.1,9960.0,-0.0116
2019-08-13,3559.4,3489.6,3566.2,3463.7,22050.0,0.0217
2019-08-14,3496.9,3525.0,3559.0,3443.2,19150.0,-0.0176
2019-08-15,3490.0,3480.0,3524.0,3473.0,22020.0,-0.002
2019-08-16,3499.9,3491.0,3508.9,3435.7,22780.0,0.0028000000000000004
