Date,Close,Open,High,Low,Volume,Change
2019-07-11,94.12,96.3,96.5,93.95,2890000.0,-0.0209
2019-07-12,96.99,94.66,97.05,94.11,2620000.0,0.0305
2019-07-15,99.16,97.23,99.36,97.12,3270000.0,0.022400000000000003
2019-07-16,97.01,97.75,97.76,96.09,2930000.0,-0.0217
2019-07-17,96.4,97.0,97.55,96.11,1980000.0,-0.0063
2019-07-18,97.12,96.49,97.52,96.05,2970000.0,0.0075
2019-07-19,97.96,97.54,98.63,96.48,3550000.0,0.0086
2019-07-22,98.74,98.71,99.64,98.46,2170000.0,0.008
2019-07-23,100.94,99.89,100.94,99.16,3090000.0,0.0223
2019-07-24,105.5,102.75,106.25,102.71,6760000.0,0.0452
2019-07-25,101.77,104.53,104.9,101.52,4050000.0,-0.0354
2019-07-26,102.36,102.5,102.98,101.25,2940000.0,0.0058
2019-07-29,104.23,103.66,104.8,102.18,4040000.0,0.0183
2019-07-30,105.79,103.5,106.26,101.12,5190000.0,0.015
2019-07-31,103.39,104.13,104.5,101.64,5030000.0,-0.0227
2019-08-01,100.0,103.34,106.32,99.44,6700000.0,-0.032799999999999996
2019-08-02,100.46,99.56,100.82,97.89,3230000.0,0.0046
2019-08-05,96.9,97.7,98.33,96.0,4570000.0,-0.0354
2019-08-06,100.27,98.12,100.38,97.86,3870000.0,0.0348
2019-08-07,102.37,98.75,102.84,98.41,4000000.0,0.0209
2019-08-08,101.48,102.61,102.61,100.5,2920000.0,-0.0087
2019-08-09,99.88,100.44,100.68,99.06,2390000.0,-0.0158
2019-08-12,98.25,99.41,100.07,97.94,2110000.0,-0.0163
2019-08-13,102.17,98.1,102.86,97.33,3530000.0,0.039900000000000005
2019-08-14,99.99,99.26,101.3,99.17,3570000.0,-0.0213
2019-08-15,99.77,100.27,100.99,99.0,2390000.0,-0.0022
2019-08-16,103.56,100.99,103.86,100.23,3260000.0,0.038
2019-08-19,103.46,105.4,106.55,103.33,2990000.0,-0.001
2019-08-20,102.87,103.85,103.85,102.54,1800000.0,-0.005699999999999999
2019-08-21,103.36,103.06,104.67,102.61,1400000.0,0.0048
2019-08-22,103.29,103.56,104.19,102.32,1270000.0,-0.0007000000000000001
2019-08-23,97.99,101.66,102.13,97.16,5240000.0,-0.0513
2019-08-26,98.71,99.64,99.94,98.17,2520000.0,0.0073
2019-08-27,98.72,99.96,101.08,98.32,2480000.0,0.0001
2019-08-28,100.28,98.34,100.5,97.73,1690000.0,0.0158
2019-08-29,101.56,101.98,102.97,101.25,1730000.0,0.0128
2019-08-30,102.14,102.23,103.21,101.55,1640000.0,0.005699999999999999
2019-09-03,99.17,100.59,101.32,99.0,1900000.0,-0.0291
2019-09-04,101.85,100.28,102.1,100.18,1940000.0,0.027000000000000003
2019-09-05,106.0,102.66,106.79,102.65,3280000.0,0.0407
2019-09-06,105.81,105.64,105.99,104.54,1420000.0,-0.0018
2019-09-09,107.39,106.5,108.49,104.8,2930000.0,0.0149
2019-09-10,107.86,106.56,108.96,105.91,3370000.0,0.0044
2019-09-11,110.0,107.63,110.53,107.6,3420000.0,0.019799999999999998
2019-09-12,110.03,110.4,112.06,109.77,3030000.0,0.0003
2019-09-13,110.73,109.62,111.42,108.83,1750000.0,0.0064
2019-09-16,107.57,109.24,109.93,107.38,1980000.0,-0.0285
2019-09-17,107.76,106.73,107.98,106.31,1490000.0,0.0018
2019-09-18,107.82,107.25,108.92,106.4,1260000.0,0.0006
2019-09-19,108.36,108.14,109.08,107.92,1430000.0,0.005
2019-09-20,104.8,108.46,108.94,104.49,3350000.0,-0.0329
2019-09-23,106.05,104.8,107.01,104.31,1750000.0,0.011899999999999999
2019-09-24,103.9,106.31,107.2,103.66,2009999.9999999998,-0.0203
2019-09-25,108.22,104.14,108.38,102.83,3070000.0,0.0416
2019-09-26,108.41,108.37,109.82,107.84,3250000.0,0.0018
2019-09-27,106.53,108.17,108.73,105.42,2810000.0,-0.0173
2019-09-30,109.12,107.59,109.38,106.61,2600000.0,0.024300000000000002
2019-10-01,108.97,111.64,113.5,108.27,4620000.0,-0.0014000000000000002
2019-10-02,106.7,108.4,109.23,106.39,2970000.0,-0.0208
2019-10-03,107.32,107.08,107.41,104.64,3060000.0,0.0058
2019-10-04,109.88,107.56,109.98,107.16,1720000.0,0.0239
2019-10-07,107.99,109.38,110.34,107.81,1690000.0,-0.0172
2019-10-08,103.75,106.67,107.42,103.63,3640000.0,-0.0393
2019-10-09,105.96,106.21,106.62,104.75,2100000.0,0.0213
2019-10-10,107.25,106.37,108.29,105.85,2450000.0,0.012199999999999999
2019-10-11,110.76,108.81,112.24,108.81,4080000.0,0.0327
2019-10-14,111.24,109.86,111.55,109.44,2180000.0,0.0043
2019-10-15,111.97,111.17,112.47,110.6,1900000.0,0.0066
2019-10-16,108.61,111.37,112.42,108.52,3010000.0,-0.03
2019-10-17,109.81,110.01,110.51,108.56,2130000.0,0.011000000000000001
2019-10-18,109.01,109.7,110.42,108.48,1930000.0,-0.0073
2019-10-21,109.98,109.77,110.34,108.67,1810000.0,0.0089
2019-10-22,107.78,110.19,110.45,107.67,2190000.0,-0.02
2019-10-23,103.21,105.06,105.49,101.89,5870000.0,-0.0424
2019-10-24,106.07,104.25,106.29,103.69,3160000.0,0.0277
2019-10-25,105.86,105.68,106.31,103.97,3590000.0,-0.002
2019-10-28,108.65,106.25,110.25,106.25,5510000.0,0.0264
2019-10-29,114.41,114.5,118.5,113.95,9320000.0,0.053
2019-10-30,114.81,114.55,116.1,113.9,4099999.9999999995,0.0034999999999999996
2019-10-31,113.68,113.91,114.73,113.1,3480000.0,-0.0098
2019-11-01,118.0,115.47,118.55,114.83,4970000.0,0.038
2019-11-04,117.88,118.53,119.89,116.45,3740000.0,-0.001
2019-11-05,118.66,118.63,120.03,117.51,5600000.0,0.0066
2019-11-06,116.47,118.17,118.5,115.53,3390000.0,-0.018500000000000003
2019-11-07,117.4,118.19,119.01,116.66,3120000.0,0.008
2019-11-08,117.62,116.22,117.71,115.55,2069999.9999999998,0.0019
2019-11-11,118.26,116.89,118.47,116.27,2900000.0,0.0054
2019-11-12,118.94,118.95,120.84,118.44,4320000.0,0.0058
2019-11-13,118.77,117.72,120.25,117.23,2310000.0,-0.0014000000000000002
2019-11-14,117.99,118.27,119.0,116.45,2500000.0,-0.0066
2019-11-15,117.48,119.08,119.49,116.81,2069999.9999999998,-0.0043
2019-11-18,115.92,116.54,117.53,115.66,2170000.0,-0.013300000000000001
2019-11-19,114.01,116.93,117.47,113.83,3840000.0,-0.0165
