Date,Close,Open,High,Low,Volume,Change
2019-07-11,17.86,18.62,18.65,17.64,2630000.0,-0.0424
2019-07-12,18.29,17.89,18.33,17.77,1170000.0,0.0241
2019-07-15,18.34,18.33,18.6,18.23,688580.0,0.0027
2019-07-16,18.81,18.4,18.99,18.4,1010000.0,0.0256
2019-07-17,18.45,18.68,18.68,18.16,1020000.0,-0.0191
2019-07-18,18.43,18.29,18.83,18.25,803450.0,-0.0011
2019-07-19,17.91,18.43,18.62,17.59,2860000.0,-0.0282
2019-07-22,17.65,17.86,18.02,17.5,1390000.0,-0.014499999999999999
2019-07-23,18.26,17.8,18.27,17.69,989050.0,0.0346
2019-07-24,19.07,18.29,19.21,18.1,1420000.0,0.0444
2019-07-25,18.87,19.23,19.3,18.81,1040000.0,-0.0105
2019-07-26,19.49,19.02,19.64,18.94,1050000.0,0.0329
2019-07-29,19.67,18.62,19.73,18.53,2530000.0,0.0092
2019-07-30,19.74,19.51,19.74,18.99,1430000.0,0.0036
2019-07-31,19.52,19.88,19.95,19.2,2290000.0,-0.0111
2019-08-01,19.1,21.0,21.16,18.61,5640000.0,-0.0215
2019-08-02,18.93,19.7,19.7,18.78,2510000.0,-0.0089
2019-08-05,18.81,18.5,19.01,18.27,1630000.0,-0.0063
2019-08-06,18.38,18.9,19.15,18.07,1880000.0,-0.0229
2019-08-07,17.7,18.18,18.18,17.53,3340000.0,-0.037000000000000005
2019-08-08,18.51,17.73,18.53,17.71,2130000.0,0.0458
2019-08-09,18.47,18.41,18.6,18.11,1140000.0,-0.0022
2019-08-12,18.39,18.62,18.63,18.29,4290000.0,-0.0043
2019-08-13,18.2,18.41,18.87,18.17,1570000.0,-0.0103
2019-08-14,17.04,17.75,17.92,16.88,1930000.0,-0.0637
2019-08-15,16.78,17.05,17.09,16.72,1290000.0,-0.015300000000000001
2019-08-16,17.47,16.81,17.68,16.81,1320000.0,0.041100000000000005
2019-08-19,18.28,17.93,18.5,17.93,2290000.0,0.0464
2019-08-20,18.5,18.22,18.64,18.0,1800000.0,0.012
2019-08-21,18.24,18.6,18.79,18.2,1110000.0,-0.0141
2019-08-22,18.47,18.3,18.54,18.11,1380000.0,0.0126
2019-08-23,18.02,18.37,18.43,17.89,1180000.0,-0.024399999999999998
2019-08-26,18.42,18.16,18.44,17.86,803770.0,0.0222
2019-08-27,17.92,18.54,18.55,17.75,1120000.0,-0.0271
2019-08-28,18.31,17.8,18.46,17.75,849710.0,0.0218
2019-08-29,18.82,18.58,18.93,18.45,2089999.9999999998,0.0279
2019-08-30,19.17,19.0,19.28,18.82,1210000.0,0.018600000000000002
2019-09-03,18.48,19.05,19.05,18.28,1320000.0,-0.036000000000000004
2019-09-04,19.08,18.7,19.16,18.7,1450000.0,0.0325
2019-09-05,19.6,18.74,19.67,18.74,1750000.0,0.0273
2019-09-06,19.74,19.66,19.96,19.38,1140000.0,0.0070999999999999995
2019-09-09,19.99,19.77,20.11,19.72,1480000.0,0.0127
2019-09-10,20.2,20.0,20.42,19.76,2480000.0,0.0105
2019-09-11,20.64,20.44,20.88,20.25,1770000.0,0.0218
2019-09-12,20.57,20.69,20.89,20.42,1700000.0,-0.0034000000000000002
2019-09-13,20.92,20.75,21.25,20.66,1970000.0,0.017
2019-09-16,20.87,20.71,21.1,20.57,1510000.0,-0.0024
2019-09-17,20.44,20.84,20.84,20.41,1040000.0,-0.0206
2019-09-18,20.06,20.41,20.43,19.73,1370000.0,-0.018600000000000002
2019-09-19,19.76,20.1,20.28,19.66,1060000.0,-0.015
2019-09-20,19.76,19.88,20.04,19.65,1550000.0,0.0
2019-09-23,19.67,19.56,19.84,19.47,1070000.0,-0.0046
2019-09-24,19.19,19.77,20.0,19.18,1200000.0,-0.024399999999999998
2019-09-25,19.13,19.01,19.25,18.9,856650.0,-0.0031
2019-09-26,19.0,19.01,19.12,18.65,1290000.0,-0.0068000000000000005
2019-09-27,18.25,18.62,18.96,18.1,1870000.0,-0.0395
2019-09-30,18.62,18.43,18.74,18.31,1320000.0,0.0203
2019-10-01,18.28,18.69,19.21,18.27,1240000.0,-0.0183
2019-10-02,18.61,18.1,18.71,18.01,1100000.0,0.0181
2019-10-03,18.62,18.48,18.7,18.09,946650.0,0.0005
2019-10-04,18.81,18.61,18.83,18.36,774390.0,0.0102
2019-10-07,18.81,18.71,19.07,18.45,920680.0,0.0
2019-10-08,18.54,18.61,18.79,18.41,3420000.0,-0.0144
