Date,Close,Open,High,Low,Volume,Change
2019-07-11,95.83,96.13,96.4,95.01,640490.0,0.0001
2019-07-12,95.18,94.98,95.21,94.04,616980.0,-0.0068000000000000005
2019-07-15,95.01,95.28,95.51,94.01,382720.0,-0.0018
2019-07-16,95.3,94.9,95.61,94.57,399690.0,0.0031
2019-07-17,95.1,95.49,95.71,94.97,419220.0,-0.0021
2019-07-18,95.33,95.03,96.03,94.89,474910.0,0.0024
2019-07-19,93.83,95.69,95.69,93.77,480690.0,-0.015700000000000002
2019-07-22,94.23,93.96,94.83,93.6,535080.0,0.0043
2019-07-23,94.51,94.47,94.87,93.81,516480.0,0.003
2019-07-24,95.06,93.64,95.07,93.27,522650.0,0.0058
2019-07-25,94.6,94.91,95.23,94.28,407860.0,-0.0048
2019-07-26,95.03,95.18,95.6,94.1,483890.0,0.0045000000000000005
2019-07-29,95.34,95.17,96.09,95.03,657240.0,0.0033
2019-07-30,87.53,87.25,90.15,86.57,2620000.0,-0.0819
2019-07-31,86.12,87.7,87.7,84.67,1340000.0,-0.0161
2019-08-01,86.18,86.21,87.41,85.1,1420000.0,0.0007000000000000001
2019-08-02,84.6,85.91,86.2,83.56,889880.0,-0.0183
2019-08-05,81.31,82.94,83.38,80.84,1010000.0,-0.038900000000000004
2019-08-06,82.8,82.02,83.0,81.67,753780.0,0.0183
2019-08-07,82.61,81.76,83.16,80.56,807730.0,-0.0023
2019-08-08,84.1,83.43,84.23,83.13,703900.0,0.018000000000000002
2019-08-09,82.22,83.71,83.98,82.01,550480.0,-0.022400000000000003
2019-08-12,80.83,81.67,81.86,80.21,665410.0,-0.0169
2019-08-13,82.15,80.76,83.15,80.35,534970.0,0.0163
2019-08-14,79.44,80.98,81.07,79.44,668280.0,-0.033
2019-08-15,80.66,80.03,81.11,79.36,767930.0,0.0154
2019-08-16,82.34,81.4,82.67,81.18,639040.0,0.0208
2019-08-19,82.69,83.33,83.5,82.56,462630.0,0.0043
2019-08-20,82.04,82.52,82.64,81.98,458870.0,-0.0079
2019-08-21,83.48,82.83,83.7,82.36,524390.0,0.0176
2019-08-22,82.6,82.71,84.14,82.21,437360.0,-0.0105
2019-08-23,80.76,82.31,82.93,80.13,837850.0,-0.0223
2019-08-26,80.29,81.39,81.7,79.62,634110.0,-0.0058
2019-08-27,80.2,80.82,81.01,79.79,888850.0,-0.0011
2019-08-28,81.85,79.8,82.05,79.51,608960.0,0.0206
2019-08-29,83.08,82.89,83.48,82.44,421050.0,0.015
2019-08-30,82.7,83.71,83.71,82.28,559360.0,-0.0046
2019-09-03,81.49,82.24,82.68,80.98,1120000.0,-0.0146
2019-09-04,81.95,82.26,82.44,81.52,510930.0,0.005600000000000001
2019-09-05,83.71,82.65,83.87,82.65,414150.0,0.0215
2019-09-06,83.74,84.09,84.41,83.53,452000.0,0.0004
2019-09-09,83.78,84.13,84.52,83.1,627760.0,0.0005
2019-09-10,85.5,83.43,86.12,82.96,1010000.0,0.020499999999999997
2019-09-11,86.91,85.92,86.94,85.36,749620.0,0.0165
2019-09-12,86.12,87.4,87.72,86.08,443890.0,-0.0091
2019-09-13,86.67,86.08,87.17,86.08,470210.0,0.0064
2019-09-16,86.23,86.18,86.52,85.97,346090.0,-0.0051
2019-09-17,86.22,86.16,86.62,85.82,543050.0,-0.0001
2019-09-18,86.06,86.19,86.53,85.27,471310.0,-0.0019
2019-09-19,86.1,86.05,86.8,85.89,536620.0,0.0005
2019-09-20,86.56,86.33,87.63,86.23,707690.0,0.0053
