Date,Close,Open,High,Low,Volume,Change
2019-07-11,182.37,183.17,183.97,180.23,176250.0,-0.0036
2019-07-12,184.94,181.14,185.08,181.14,189340.0,0.0141
2019-07-15,185.43,185.25,187.96,184.33,235780.0,0.0026
2019-07-16,186.76,185.25,187.62,185.08,229280.0,0.0072
2019-07-17,183.9,186.68,187.66,183.78,266360.0,-0.015300000000000001
2019-07-18,188.66,178.67,196.0,175.91,875620.0,0.0259
2019-07-19,191.24,188.65,193.59,188.65,426610.0,0.0137
2019-07-22,187.77,191.68,191.68,187.62,199430.0,-0.0181
2019-07-23,188.26,187.27,189.07,186.46,306610.0,0.0026
2019-07-24,187.4,188.18,190.07,187.01,141400.0,-0.0046
2019-07-25,189.94,187.67,191.23,187.66,139820.0,0.013600000000000001
2019-07-26,192.52,190.66,193.0,187.44,174780.0,0.013600000000000001
2019-07-29,191.26,192.55,192.84,190.81,138650.0,-0.006500000000000001
2019-07-30,191.15,190.91,194.36,190.71,152080.0,-0.0006
2019-07-31,189.37,191.21,192.95,188.16,173120.0,-0.009300000000000001
2019-08-01,189.05,189.52,192.75,188.64,223640.0,-0.0017000000000000001
2019-08-02,188.91,188.45,189.64,187.01,160780.0,-0.0007000000000000001
2019-08-05,184.92,186.18,187.78,184.09,191360.0,-0.021099999999999997
2019-08-06,191.44,184.67,191.99,184.67,147940.0,0.0353
2019-08-07,194.64,192.38,195.56,189.65,190320.0,0.0167
2019-08-08,197.48,195.0,199.95,195.0,368990.0,0.0146
2019-08-09,199.35,196.03,200.0,195.7,167550.0,0.0095
2019-08-12,195.05,199.02,199.02,194.26,200950.0,-0.0216
2019-08-13,197.02,195.6,199.66,193.75,236890.0,0.0101
2019-08-14,193.51,193.9,196.34,192.36,221360.0,-0.0178
2019-08-15,193.09,194.46,196.1,191.52,249030.0,-0.0022
2019-08-16,194.95,193.59,196.24,193.59,238650.0,0.0096
2019-08-19,198.23,197.31,198.54,195.16,348050.0,0.0168
2019-08-20,197.1,198.22,198.22,194.83,153760.0,-0.005699999999999999
2019-08-21,197.01,198.74,199.95,196.19,156520.0,-0.0005
2019-08-22,199.46,197.56,199.86,196.26,166920.0,0.0124
