Date,Close,Open,High,Low,Volume,Change
2019-07-11,85.38,85.14,85.67,84.6,765330.0,0.0060999999999999995
2019-07-12,86.1,85.59,86.2,85.23,543310.0,0.0084
2019-07-15,85.56,86.27,86.31,85.04,1310000.0,-0.0063
2019-07-16,85.87,85.96,86.75,85.22,722980.0,0.0036
2019-07-17,83.68,85.52,85.61,83.17,988840.0,-0.0255
2019-07-18,84.32,83.68,84.96,83.33,916750.0,0.0076
2019-07-19,84.82,84.54,85.43,84.28,765370.0,0.0059
2019-07-22,84.83,84.73,85.3,84.26,605430.0,0.0001
2019-07-23,85.88,85.28,86.06,85.22,785670.0,0.0124
2019-07-24,86.6,85.29,87.17,85.23,1300000.0,0.0084
2019-07-25,83.02,86.36,86.36,81.77,2280000.0,-0.041299999999999996
2019-07-26,84.83,83.1,84.94,83.04,922830.0,0.0218
2019-07-29,81.86,84.52,84.58,81.78,949950.0,-0.035
2019-07-30,81.78,81.81,81.81,80.83,933830.0,-0.001
2019-07-31,80.67,81.82,81.84,80.08,1010000.0,-0.013600000000000001
2019-08-01,78.3,80.45,81.1,77.58,1110000.0,-0.0294
2019-08-02,77.75,77.9,78.31,76.56,1170000.0,-0.006999999999999999
2019-08-05,75.01,75.85,76.64,74.27,1540000.0,-0.0352
2019-08-06,76.6,75.77,76.82,74.61,863170.0,0.0212
2019-08-07,75.98,74.65,76.37,73.5,1210000.0,-0.008100000000000001
2019-08-08,77.1,76.73,77.87,76.25,697500.0,0.0147
2019-08-09,76.73,76.6,77.51,75.93,949100.0,-0.0048
2019-08-12,74.56,75.64,76.11,74.42,910560.0,-0.028300000000000002
2019-08-13,75.96,74.7,77.17,74.06,611820.0,0.018799999999999997
2019-08-14,73.31,73.94,74.83,72.94,1380000.0,-0.0349
2019-08-15,73.75,73.72,74.1,73.23,954810.0,0.006
2019-08-16,75.75,74.49,76.23,74.28,717560.0,0.0271
2019-08-19,76.93,77.14,77.38,76.08,746660.0,0.015600000000000001
2019-08-20,76.63,76.64,77.05,76.0,921450.0,-0.0039000000000000003
2019-08-21,77.66,77.19,77.8,76.97,815380.0,0.0134
2019-08-22,78.56,78.2,79.21,77.9,1480000.0,0.0116
2019-08-23,76.2,78.03,78.62,75.78,926600.0,-0.03
2019-08-26,76.55,77.17,77.34,76.04,590370.0,0.0046
2019-08-27,75.66,76.89,77.19,75.38,839080.0,-0.0116
2019-08-28,76.24,75.06,76.33,74.87,742980.0,0.0077
2019-08-29,78.28,77.18,78.49,77.18,518520.0,0.0268
2019-08-30,78.51,78.98,79.27,78.18,531890.0,0.0029
2019-09-03,76.92,77.72,77.8,76.19,770620.0,-0.0203
2019-09-04,78.03,77.71,78.08,77.4,544060.0,0.0144
2019-09-05,79.95,79.73,80.95,79.62,619550.0,0.0246
2019-09-06,80.56,80.19,80.99,79.55,689640.0,0.0076
2019-09-09,82.27,81.22,82.64,81.1,935600.0,0.0212
2019-09-10,84.29,82.75,84.34,82.41,895380.0,0.0246
2019-09-11,85.78,84.37,85.81,82.48,704660.0,0.0177
2019-09-12,86.41,85.09,86.82,84.65,995620.0,0.0073
2019-09-13,87.11,87.28,87.9,86.85,1020000.0,0.008100000000000001
2019-09-16,87.35,86.1,87.4,85.88,1060000.0,0.0028000000000000004
2019-09-17,86.35,86.78,87.07,85.95,825640.0,-0.011399999999999999
2019-09-18,85.86,85.91,86.13,84.71,733930.0,-0.005699999999999999
2019-09-19,85.16,85.32,85.59,84.49,958590.0,-0.008199999999999999
2019-09-20,84.2,85.36,85.59,84.12,1450000.0,-0.0113
2019-09-23,84.29,83.42,84.75,83.02,592470.0,0.0011
2019-09-24,83.81,84.47,84.73,82.67,1030000.0,-0.005699999999999999
2019-09-25,84.79,83.88,85.0,83.58,778930.0,0.011699999999999999
2019-09-26,84.67,84.64,85.18,83.88,719410.0,-0.0014000000000000002
2019-09-27,83.87,85.2,85.57,83.19,1430000.0,-0.009399999999999999
2019-09-30,82.46,83.8,83.8,82.26,877430.0,-0.0168
2019-10-01,79.4,81.74,82.09,78.33,1670000.0,-0.0371
2019-10-02,78.2,78.27,78.9,77.26,1840000.0,-0.0151
2019-10-03,77.63,77.82,78.3,75.44,1670000.0,-0.0073
2019-10-04,78.62,77.63,78.71,77.63,774630.0,0.0128
2019-10-07,78.13,78.22,78.84,77.76,932260.0,-0.0062
2019-10-08,76.44,77.03,77.33,76.33,952680.0,-0.0216
2019-10-09,77.57,77.48,78.05,77.06,776280.0,0.0148
2019-10-10,78.35,78.12,79.05,78.12,826510.0,0.0101
2019-10-11,80.58,80.01,81.36,80.0,793180.0,0.0285
2019-10-14,80.86,79.95,80.92,79.37,1920000.0,0.0034999999999999996
2019-10-15,82.8,81.26,82.92,80.52,932650.0,0.024
2019-10-16,81.7,82.68,83.21,81.66,819960.0,-0.013300000000000001
2019-10-17,82.44,82.37,82.88,81.83,826760.0,0.0091
2019-10-18,82.69,82.13,82.88,81.91,1670000.0,0.003
2019-10-21,84.13,83.0,84.67,83.0,1090000.0,0.0174
2019-10-22,83.1,84.11,84.31,83.03,1210000.0,-0.012199999999999999
2019-10-23,83.91,82.79,84.01,82.23,1120000.0,0.0097
2019-10-24,83.93,88.11,88.11,82.31,1560000.0,0.0002
2019-10-25,84.48,83.19,84.95,82.96,951500.0,0.0066
2019-10-28,84.8,85.37,86.15,84.49,1130000.0,0.0038
2019-10-29,84.85,84.48,85.06,84.26,1230000.0,0.0006
2019-10-30,85.23,84.53,85.61,84.28,959650.0,0.0045000000000000005
2019-10-31,83.49,84.8,85.15,82.9,697110.0,-0.0204
2019-11-01,85.18,84.42,85.62,84.32,472020.0,0.0202
2019-11-04,87.1,86.07,87.51,85.71,637510.0,0.0225
2019-11-05,88.12,87.7,88.31,87.68,713820.0,0.011699999999999999
2019-11-06,88.33,87.86,88.63,87.77,699220.0,0.0024
2019-11-07,89.06,89.23,89.91,88.94,626240.0,0.0083
2019-11-08,89.29,88.73,89.59,88.15,415170.0,0.0026
2019-11-11,89.1,88.48,89.39,88.35,501920.0,-0.0021
2019-11-12,89.62,89.18,89.79,88.73,424680.0,0.0058
2019-11-13,88.34,88.77,89.03,87.81,527780.0,-0.0143
2019-11-14,88.93,87.9,88.93,87.9,481330.0,0.0067
2019-11-15,89.4,89.42,90.13,89.11,771560.0,0.0053
2019-11-18,89.44,89.1,89.63,88.29,550030.0,0.0004
2019-11-19,89.25,89.61,89.9,88.75,510900.0,-0.0021
2019-11-20,88.97,88.61,89.16,88.0,599360.0,-0.0031
2019-11-21,88.15,89.37,89.53,87.92,711970.0,-0.0092
2019-11-22,88.41,88.34,89.07,88.0,535610.0,0.0029
2019-11-25,89.56,88.81,89.7,88.28,756200.0,0.013000000000000001
2019-11-26,89.52,89.35,89.67,88.74,855180.0,-0.0004
2019-11-27,90.48,90.0,90.52,89.67,511460.0,0.010700000000000001
2019-11-29,89.82,90.17,90.2,89.44,406950.0,-0.0073
2019-12-02,88.26,90.0,90.16,88.12,680950.0,-0.0174
2019-12-03,88.0,87.21,88.27,86.2,1010000.0,-0.0029
2019-12-04,88.79,88.13,89.37,88.05,628940.0,0.009000000000000001
2019-12-05,89.91,89.49,90.07,89.3,691000.0,0.0126
2019-12-06,90.55,91.11,91.29,90.51,756850.0,0.0070999999999999995
2019-12-09,89.47,89.96,90.45,89.47,443980.0,-0.011899999999999999
2019-12-10,89.48,89.24,90.0,88.99,442160.0,0.0001
2019-12-11,89.33,89.46,89.78,89.14,642560.0,-0.0017000000000000001
2019-12-12,91.0,89.7,91.49,89.15,847070.0,0.0187
2019-12-13,90.88,91.11,91.79,90.41,625010.0,-0.0013
2019-12-16,91.05,91.72,91.83,90.96,710340.0,0.0019
2019-12-17,91.32,90.95,91.53,90.64,554380.0,0.003
2019-12-18,90.99,91.52,91.52,90.36,674760.0,-0.0036
2019-12-19,91.05,90.68,91.12,90.44,577840.0,0.0007000000000000001
2019-12-20,90.59,91.73,91.73,90.52,931080.0,-0.0051
2019-12-23,90.44,90.68,90.74,89.96,400790.0,-0.0017000000000000001
2019-12-24,90.21,90.63,90.63,89.95,120900.0,-0.0025
2019-12-26,90.71,90.32,90.79,90.32,217020.0,0.0055000000000000005
2019-12-27,90.3,90.79,90.8,90.14,270300.0,-0.0045000000000000005
2019-12-30,90.07,90.78,90.79,89.8,377210.0,-0.0025
