Date,Close,Open,High,Low,Volume,Change
2019-07-11,156.5,156.04,156.68,155.06,353270.0,-0.0011
2019-07-12,159.76,157.17,160.59,157.17,321210.0,0.0208
2019-07-15,158.36,159.91,159.93,157.55,336990.0,-0.0088
2019-07-16,160.04,158.4,160.6,158.03,441380.0,0.0106
2019-07-17,153.75,160.16,160.16,153.51,762790.0,-0.0393
2019-07-18,151.33,151.5,157.08,149.18,961310.0,-0.015700000000000002
2019-07-19,150.0,152.19,153.12,149.86,710980.0,-0.0088
2019-07-22,150.8,150.22,151.18,148.4,621620.0,0.0053
2019-07-23,154.84,152.12,154.92,151.0,490470.0,0.0268
2019-07-24,154.76,153.79,156.15,153.24,476210.0,-0.0005
2019-07-25,154.12,154.75,155.04,153.66,506630.0,-0.0040999999999999995
2019-07-26,155.33,153.46,155.45,152.93,305580.0,0.0079
2019-07-29,154.59,155.17,155.33,154.28,237590.0,-0.0048
2019-07-30,155.81,153.5,155.81,152.82,269820.0,0.0079
2019-07-31,152.61,156.08,156.08,151.52,341320.0,-0.020499999999999997
2019-08-01,149.78,152.25,153.76,148.54,543820.0,-0.018500000000000003
2019-08-02,149.25,149.7,150.42,148.18,495090.0,-0.0034999999999999996
2019-08-05,147.64,146.98,148.06,146.03,565760.0,-0.0108
2019-08-06,151.52,148.9,151.73,148.32,533640.0,0.0263
2019-08-07,151.8,149.31,152.29,148.92,366630.0,0.0018
2019-08-08,154.47,153.28,155.04,153.07,344810.0,0.0176
2019-08-09,153.0,154.43,154.9,152.9,337530.0,-0.0095
2019-08-12,149.87,152.19,153.13,149.56,326680.0,-0.020499999999999997
2019-08-13,151.4,150.08,153.91,149.49,256640.0,0.0102
2019-08-14,146.42,149.11,149.51,145.95,342460.0,-0.0329
2019-08-15,144.02,146.69,146.69,143.12,402010.0,-0.016399999999999998
2019-08-16,147.42,144.94,148.0,144.94,243650.0,0.0236
2019-08-19,149.01,148.65,149.73,148.33,289960.0,0.0108
2019-08-20,146.81,148.77,149.24,146.74,268210.0,-0.0148
2019-08-21,148.36,148.43,149.25,147.7,263900.0,0.0106
2019-08-22,149.56,148.98,150.54,148.62,294930.0,0.008100000000000001
2019-08-23,145.07,148.7,149.39,144.42,384100.0,-0.03
2019-08-26,146.04,146.65,147.03,144.55,194890.0,0.0067
2019-08-27,145.1,146.99,147.28,144.81,330170.0,-0.0064
2019-08-28,146.27,144.47,146.54,144.14,303910.0,0.008100000000000001
2019-08-29,148.56,148.34,149.44,148.0,286040.0,0.015700000000000002
2019-08-30,148.68,149.72,150.46,148.46,234570.0,0.0008
2019-09-03,147.33,147.02,148.26,145.6,458250.0,-0.0091
2019-09-04,148.85,148.6,149.5,147.74,287040.0,0.0103
2019-09-05,151.74,150.08,152.78,150.08,317170.0,0.0194
2019-09-06,151.07,152.36,153.07,150.74,251670.0,-0.0044
2019-09-09,152.4,151.69,153.5,151.05,274350.0,0.0088
2019-09-10,158.02,152.28,158.02,152.19,362050.0,0.0369
2019-09-11,161.59,158.66,161.59,156.83,410010.0,0.0226
2019-09-12,162.86,162.36,163.45,161.69,599560.0,0.0079
2019-09-13,162.45,163.86,164.67,162.03,510100.0,-0.0025
2019-09-16,162.05,161.73,162.76,161.22,352050.0,-0.0025
2019-09-17,157.84,161.51,161.51,156.56,365110.0,-0.026000000000000002
2019-09-18,155.19,156.85,157.26,153.87,371400.0,-0.0168
2019-09-19,155.14,155.12,157.14,154.69,328410.0,-0.0003
2019-09-20,155.71,155.5,156.99,154.7,405300.0,0.0037
2019-09-23,155.35,154.46,156.58,153.57,386550.0,-0.0023
2019-09-24,153.35,156.03,156.03,152.65,339730.0,-0.0129
2019-09-25,155.59,153.04,156.1,152.8,320540.0,0.0146
2019-09-26,154.92,155.62,156.28,154.12,296050.0,-0.0043
2019-09-27,155.34,155.69,156.64,154.36,217560.0,0.0027
2019-09-30,156.54,156.23,157.6,155.9,338880.0,0.0077
2019-10-01,154.78,157.75,159.67,154.04,499120.0,-0.011200000000000002
2019-10-02,152.79,153.64,154.82,151.69,612280.0,-0.0129
2019-10-03,152.11,151.85,152.91,150.01,397680.0,-0.0045000000000000005
2019-10-04,155.45,152.88,155.56,152.12,240380.0,0.022000000000000002
2019-10-07,154.48,154.59,155.5,153.25,399950.0,-0.0062
2019-10-08,151.89,153.0,153.66,151.71,317450.0,-0.0168
2019-10-09,151.84,153.44,153.44,151.63,386170.0,-0.0003
2019-10-10,153.15,152.53,153.86,152.1,350130.0,0.0086
2019-10-11,156.46,155.44,159.52,155.15,243310.0,0.0216
2019-10-14,157.95,155.64,158.0,155.04,256320.0,0.0095
2019-10-15,158.3,157.48,159.5,157.12,499210.0,0.0022
2019-10-16,158.03,158.04,160.17,157.42,531540.0,-0.0017000000000000001
2019-10-17,155.66,157.97,162.4,152.84,848830.0,-0.015
2019-10-18,157.52,154.81,158.0,154.47,490820.0,0.011899999999999999
2019-10-21,159.36,158.74,161.0,158.74,483780.0,0.011699999999999999
2019-10-22,162.64,159.5,163.5,158.69,355860.0,0.0206
2019-10-23,164.93,162.43,165.08,162.01,397830.0,0.0141
2019-10-24,165.55,165.62,166.07,163.85,449450.0,0.0038
2019-10-25,166.64,165.5,167.49,165.5,327770.0,0.0066
2019-10-28,166.33,167.48,168.0,165.97,247610.0,-0.0019
2019-10-29,165.7,165.21,167.2,164.9,319830.0,-0.0038
2019-10-30,164.87,165.34,165.34,163.01,298780.0,-0.005
2019-10-31,162.67,164.14,164.89,161.84,371460.0,-0.013300000000000001
2019-11-01,166.87,164.29,166.87,163.04,331840.0,0.0258
2019-11-04,168.51,168.43,168.93,167.09,730130.0,0.0098
2019-11-05,168.07,168.15,168.87,166.49,448930.0,-0.0026
2019-11-06,166.81,167.44,167.44,165.08,624750.0,-0.0075
2019-11-07,166.97,168.0,168.42,166.49,324520.0,0.001
2019-11-08,166.94,166.97,167.98,165.5,497890.0,-0.0002
2019-11-11,167.95,165.5,167.97,165.5,167400.0,0.0060999999999999995
2019-11-12,168.94,168.48,169.48,167.29,280080.0,0.0059
2019-11-13,164.31,167.48,168.56,164.28,319480.0,-0.0274
2019-11-14,164.54,164.09,165.25,162.93,477990.0,0.0014000000000000002
2019-11-15,163.67,164.84,165.42,163.22,305710.0,-0.0053
2019-11-18,162.05,163.02,164.0,161.59,340550.0,-0.009899999999999999
2019-11-19,161.41,161.95,161.95,160.45,282770.0,-0.0039000000000000003
2019-11-20,158.69,161.0,161.45,158.62,425490.0,-0.0169
2019-11-21,157.98,158.61,159.77,157.81,309730.0,-0.0045000000000000005
2019-11-22,158.89,158.47,159.37,157.67,319420.0,0.0058
2019-11-25,162.46,159.59,163.52,159.08,1700000.0,0.0225
2019-11-26,162.9,163.03,163.23,161.83,314720.0,0.0027
