Date,Close,Open,High,Low,Volume,Change
2019-07-11,79.18,80.13,80.35,78.56,1210000.0,-0.0091
2019-07-12,81.01,79.34,81.04,79.34,1180000.0,0.0231
2019-07-15,82.04,81.4,82.34,81.2,1200000.0,0.0127
2019-07-16,81.31,82.0,82.08,80.93,1610000.0,-0.0089
2019-07-17,80.17,81.99,81.99,80.09,1620000.0,-0.013999999999999999
2019-07-18,81.42,80.65,81.78,79.88,2060000.0,0.015600000000000001
2019-07-19,81.32,81.85,81.85,81.03,1820000.0,-0.0012
2019-07-22,83.27,81.78,83.41,81.73,1890000.0,0.024
2019-07-23,84.54,83.92,84.83,83.47,2089999.9999999998,0.015300000000000001
2019-07-24,86.35,85.0,86.97,84.81,2600000.0,0.021400000000000002
2019-07-25,85.66,86.02,86.17,85.11,1710000.0,-0.008
2019-07-26,85.98,86.13,86.36,85.47,974080.0,0.0037
2019-07-29,86.8,85.98,87.15,85.38,1250000.0,0.0095
2019-07-30,87.75,86.08,87.83,85.84,1420000.0,0.0109
2019-07-31,85.28,88.77,88.77,84.5,1600000.0,-0.0281
2019-08-01,82.77,85.0,87.7,81.46,3260000.0,-0.0294
2019-08-02,79.33,81.91,82.0,78.79,3400000.0,-0.0416
2019-08-05,75.82,76.86,77.63,75.15,3260000.0,-0.044199999999999996
2019-08-06,77.66,76.81,77.86,76.39,2430000.0,0.024300000000000002
2019-08-07,79.9,76.67,79.99,76.58,3360000.0,0.0288
2019-08-08,80.27,76.74,80.4,75.72,4940000.0,0.0046
2019-08-09,77.52,79.4,79.6,76.36,2840000.0,-0.034300000000000004
2019-08-12,76.28,77.04,77.48,75.88,1870000.0,-0.016
2019-08-13,78.44,75.94,79.73,75.54,2069999.9999999998,0.028300000000000002
2019-08-14,75.99,76.51,77.69,75.72,1910000.0,-0.031200000000000002
2019-08-15,75.55,76.33,76.47,75.31,1460000.0,-0.0058
2019-08-16,76.66,76.45,77.02,76.0,1570000.0,0.0147
2019-08-19,77.09,78.25,78.65,76.9,1260000.0,0.005600000000000001
2019-08-20,76.74,76.49,77.34,76.1,1400000.0,-0.0045000000000000005
2019-08-21,77.58,78.06,78.19,76.97,1310000.0,0.0109
2019-08-22,76.92,77.79,78.0,76.5,1090000.0,-0.0085
2019-08-23,73.55,76.16,76.55,73.32,2470000.0,-0.0438
2019-08-26,73.75,74.39,74.49,73.5,1290000.0,0.0027
2019-08-27,72.87,74.23,74.68,72.8,1410000.0,-0.011899999999999999
