Date,Close,Open,High,Low,Volume,Change
2019-07-11,71.98,71.94,72.32,71.72,1770000.0,-0.0011
2019-07-12,72.59,72.07,72.86,71.92,2200000.0,0.0085
2019-07-15,72.84,72.79,73.14,72.65,1620000.0,0.0034000000000000002
2019-07-16,72.65,72.9,73.04,72.58,1650000.0,-0.0026
2019-07-17,71.75,72.79,72.79,71.44,2410000.0,-0.0124
2019-07-18,71.88,71.78,71.98,71.11,1640000.0,0.0018
2019-07-19,70.86,71.91,72.34,70.82,1390000.0,-0.014199999999999999
2019-07-22,70.25,71.05,71.18,70.24,1570000.0,-0.0086
2019-07-23,70.17,70.56,70.61,69.56,2400000.0,-0.0011
2019-07-24,70.12,71.18,71.54,69.74,2120000.0,-0.0007000000000000001
2019-07-25,70.13,70.13,70.41,69.86,1820000.0,0.0001
2019-07-26,70.89,70.25,71.19,70.1,1510000.0,0.0108
2019-07-29,69.95,70.96,71.13,69.83,2270000.0,-0.013300000000000001
2019-07-30,69.63,69.97,69.98,69.15,2200000.0,-0.0046
2019-07-31,68.57,69.4,69.61,67.89,4220000.0,-0.0152
2019-08-01,68.93,68.5,69.44,68.21,4130000.0,0.0053
2019-08-02,68.9,68.91,69.26,68.35,2640000.0,-0.0004
2019-08-05,67.14,68.51,68.56,66.78,8530000.0,-0.0255
2019-08-06,68.59,67.4,69.05,66.89,4880000.0,0.0216
2019-08-07,69.87,68.18,70.08,67.54,2850000.0,0.0187
2019-08-08,70.63,69.88,70.84,69.53,3860000.0,0.0109
2019-08-09,69.99,70.54,70.88,69.99,4740000.0,-0.0091
2019-08-12,72.19,72.19,73.4,71.01,5190000.0,0.031400000000000004
2019-08-13,73.36,71.11,73.66,71.11,3160000.0,0.016200000000000003
2019-08-14,72.28,73.04,73.45,72.22,3140000.0,-0.0147
2019-08-15,72.25,72.9,72.9,71.91,2530000.0,-0.0004
2019-08-16,72.96,72.73,73.32,72.57,6750000.0,0.0098
2019-08-19,73.6,73.57,74.0,73.43,2850000.0,0.0088
2019-08-20,72.8,73.5,73.82,72.68,2310000.0,-0.0109
2019-08-21,72.25,72.97,73.1,72.03,3050000.0,-0.0076
2019-08-22,73.29,72.64,73.49,72.5,2100000.0,0.0144
2019-08-23,72.8,73.12,73.79,72.44,2420000.0,-0.0067
2019-08-26,73.35,72.99,73.45,72.68,2040000.0,0.0076
2019-08-27,73.87,73.68,74.38,73.59,3330000.0,0.0070999999999999995
2019-08-28,74.41,73.22,74.54,73.2,2330000.0,0.0073
2019-08-29,74.49,74.69,74.95,73.97,2460000.0,0.0011
2019-08-30,74.33,74.59,75.15,74.28,2120000.0,-0.0021
2019-09-03,74.47,74.0,74.56,73.81,1970000.0,0.0019
2019-09-04,75.07,75.09,75.25,74.55,1980000.0,0.008100000000000001
2019-09-05,74.38,75.8,75.82,74.31,2740000.0,-0.0092
2019-09-06,75.71,74.77,75.98,74.67,3100000.0,0.0179
2019-09-09,76.71,75.76,76.99,75.59,3780000.0,0.0132
2019-09-10,76.75,76.47,77.18,76.02,3160000.0,0.0005
2019-09-11,77.07,76.95,77.41,76.66,2940000.0,0.0042
2019-09-12,77.72,77.5,78.33,77.38,2360000.0,0.0084
2019-09-13,78.28,77.5,78.4,77.35,2069999.9999999998,0.0072
2019-09-16,77.19,77.95,78.45,76.99,2710000.0,-0.0139
2019-09-17,78.38,77.06,78.71,77.06,3510000.0,0.0154
2019-09-18,78.86,78.39,79.14,78.29,3150000.0,0.0060999999999999995
2019-09-19,78.39,78.9,79.33,78.33,2250000.0,-0.006
2019-09-20,78.24,78.59,78.88,77.99,10350000.0,-0.0019
2019-09-23,78.7,78.13,79.0,78.13,2910000.0,0.0059
2019-09-24,78.61,78.91,79.29,78.56,3210000.0,-0.0011
2019-09-25,78.72,78.71,79.01,78.51,2150000.0,0.0014000000000000002
2019-09-26,78.8,78.99,79.41,78.58,1710000.0,0.001
2019-09-27,78.87,78.99,79.09,78.18,1480000.0,0.0009
2019-09-30,79.4,79.07,79.53,78.78,1860000.0,0.0067
2019-10-01,79.36,79.56,79.74,78.8,1800000.0,-0.0005
2019-10-02,78.63,79.32,79.32,78.33,2040000.0,-0.0092
2019-10-03,77.95,77.98,78.53,77.35,2950000.0,-0.0086
2019-10-04,78.15,78.01,78.31,77.53,3950000.0,0.0026
2019-10-07,78.22,77.85,78.43,77.44,1890000.0,0.0009
2019-10-08,77.57,78.04,78.35,77.48,4010000.0,-0.0083
2019-10-09,78.15,77.88,78.65,77.86,2290000.0,0.0075
2019-10-10,78.23,77.97,78.73,77.78,1510000.0,0.001
2019-10-11,78.87,78.48,79.35,78.36,3030000.0,0.008199999999999999
2019-10-14,78.99,79.08,79.33,78.74,3740000.0,0.0015
2019-10-15,79.08,79.5,79.5,78.82,1720000.0,0.0011
2019-10-16,78.91,78.95,79.54,78.75,3410000.0,-0.0021
2019-10-17,79.21,79.04,79.43,78.81,1920000.0,0.0038
2019-10-18,79.14,79.19,79.6,78.98,1500000.0,-0.0009
2019-10-21,79.46,79.14,79.61,78.96,1430000.0,0.004
2019-10-22,79.0,79.6,79.7,78.93,1650000.0,-0.0058
2019-10-23,78.84,79.15,79.56,78.73,1530000.0,-0.002
2019-10-24,78.95,78.84,79.14,78.34,2900000.0,0.0014000000000000002
2019-10-25,79.17,79.15,79.61,79.03,1680000.0,0.0028000000000000004
2019-10-28,78.86,79.19,79.47,78.6,1670000.0,-0.0039000000000000003
2019-10-29,79.11,78.8,79.37,78.39,2020000.0,0.0032
2019-10-30,79.65,79.24,79.67,78.91,1350000.0,0.0068000000000000005
2019-10-31,79.87,79.69,79.9,79.23,3390000.0,0.0028000000000000004
2019-11-01,81.28,80.0,81.6,79.94,3590000.0,0.0177
2019-11-04,80.81,80.86,81.28,78.47,3420000.0,-0.0058
2019-11-05,80.08,80.84,81.24,79.88,2770000.0,-0.009000000000000001
2019-11-06,81.06,79.65,81.22,79.65,2130000.0,0.012199999999999999
2019-11-07,80.9,80.89,81.3,80.69,1820000.0,-0.002
2019-11-08,80.4,80.8,80.91,80.14,1750000.0,-0.0062
2019-11-11,80.15,80.25,80.56,79.83,1440000.0,-0.0031
2019-11-12,80.3,80.41,80.6,79.77,1310000.0,0.0019
2019-11-13,81.22,80.13,81.31,80.13,1910000.0,0.0115
2019-11-14,81.5,81.48,81.7,80.92,1870000.0,0.0034000000000000002
2019-11-15,81.61,81.85,81.9,81.14,3910000.0,0.0013
2019-11-18,80.7,80.12,81.04,79.64,3510000.0,-0.011200000000000002
2019-11-19,80.29,81.0,81.41,80.19,2680000.0,-0.0051
2019-11-20,79.82,80.27,80.62,79.53,2130000.0,-0.0059
2019-11-21,79.22,79.45,79.81,79.0,2450000.0,-0.0075
2019-11-22,79.06,79.31,79.38,78.63,1150000.0,-0.002
2019-11-25,79.82,78.73,79.94,78.65,2170000.0,0.0096
2019-11-26,80.65,80.12,80.7,79.75,2720000.0,0.0104
2019-11-27,81.06,80.7,81.22,80.55,1240000.0,0.0051
2019-11-29,80.55,81.15,81.46,80.47,825200.0,-0.0063
2019-12-02,80.82,80.49,80.84,79.86,1810000.0,0.0034000000000000002
2019-12-03,81.3,80.46,81.34,80.24,2820000.0,0.0059
2019-12-04,81.99,81.11,82.0,80.74,2270000.0,0.0085
2019-12-05,82.97,82.08,82.99,81.89,2580000.0,0.012
2019-12-06,82.77,83.38,83.43,82.65,1660000.0,-0.0024
2019-12-09,83.13,82.57,83.23,82.48,1500000.0,0.0043
2019-12-10,82.53,83.13,83.38,82.5,1850000.0,-0.0072
2019-12-11,82.88,82.48,82.91,82.13,1570000.0,0.0042
2019-12-12,83.27,83.3,83.77,82.89,1540000.0,0.004699999999999999
2019-12-13,83.54,82.83,83.6,82.66,1810000.0,0.0032
2019-12-16,84.23,83.81,84.31,83.38,1430000.0,0.0083
2019-12-17,84.14,84.31,84.57,84.1,2220000.0,-0.0011
2019-12-18,84.07,84.35,84.66,83.94,3410000.0,-0.0008
2019-12-19,84.49,84.07,84.64,83.71,2029999.9999999998,0.005
2019-12-20,85.44,84.98,85.46,84.49,3300000.0,0.011200000000000002
2019-12-23,85.3,85.52,85.65,85.16,1460000.0,-0.0016
2019-12-24,85.38,85.25,85.52,84.97,424890.0,0.0009
2019-12-26,85.54,85.39,85.65,85.23,1050000.0,0.0019
2019-12-27,85.74,85.89,85.94,85.55,1190000.0,0.0023
2019-12-30,85.8,85.62,85.98,85.36,979870.0,0.0007000000000000001
2019-12-31,85.54,85.59,85.79,84.85,1530000.0,-0.003
2020-01-02,84.66,85.06,85.13,83.98,2040000.0,-0.0103
2020-01-03,84.35,84.2,84.72,83.93,1760000.0,-0.0037
2020-01-06,84.24,84.15,84.25,83.5,1920000.0,-0.0013
2020-01-07,83.56,84.24,84.35,83.4,1700000.0,-0.008100000000000001
2020-01-08,84.53,83.89,84.96,83.61,2950000.0,0.0116
2020-01-09,84.63,84.74,85.13,84.44,1910000.0,0.0012
2020-01-10,84.92,84.74,85.09,84.71,1590000.0,0.0034000000000000002
2020-01-13,83.72,84.9,85.02,83.28,3470000.0,-0.0141
2020-01-14,82.4,83.04,83.41,82.19,2800000.0,-0.0158
2020-01-15,82.65,82.86,83.36,82.25,2810000.0,0.003
2020-01-16,82.66,83.28,83.45,82.52,2590000.0,0.0001
2020-01-17,82.82,83.15,83.88,82.51,4800000.0,0.0019
2020-01-21,83.23,82.54,83.47,82.5,2820000.0,0.005
2020-01-22,83.14,83.62,84.12,83.08,2410000.0,-0.0011
2020-01-23,83.59,82.86,83.8,82.75,1860000.0,0.0054
2020-01-24,82.63,83.66,83.84,82.24,1900000.0,-0.0115
2020-01-27,82.34,82.15,82.57,81.66,1550000.0,-0.0034999999999999996
2020-01-28,82.67,82.39,82.77,82.2,1560000.0,0.004
2020-01-29,81.89,82.84,82.96,81.85,1380000.0,-0.009399999999999999
2020-01-30,82.84,81.69,82.9,81.44,2049999.9999999998,0.0116
2020-01-31,82.14,82.65,83.25,81.9,2790000.0,-0.0084
2020-02-03,76.68,81.21,81.21,76.21,5030000.0,-0.0665
2020-02-04,75.06,76.16,76.16,74.56,5780000.0,-0.021099999999999997
2020-02-05,75.7,75.09,75.88,74.39,3470000.0,0.0085
2020-02-06,76.62,75.92,76.75,75.7,2870000.0,0.012199999999999999
2020-02-07,77.36,76.94,77.36,76.56,2900000.0,0.0097
2020-02-10,76.96,77.33,77.75,76.58,2540000.0,-0.0052
2020-02-11,76.27,76.7,76.86,75.78,2290000.0,-0.009000000000000001
2020-02-12,77.46,76.26,77.62,76.2,2500000.0,0.015600000000000001
2020-02-13,77.94,77.63,78.63,77.6,2380000.0,0.0062
2020-02-14,78.21,78.23,78.48,77.95,1610000.0,0.0034999999999999996
2020-02-18,76.83,78.06,78.49,76.64,3260000.0,-0.0176
2020-02-19,76.2,76.81,77.18,76.01,1550000.0,-0.008199999999999999
2020-02-20,76.71,76.28,77.04,76.0,1400000.0,0.0067
2020-02-21,77.04,76.7,77.31,76.45,1880000.0,0.0043
2020-02-24,75.54,76.63,76.8,75.4,1950000.0,-0.0195
2020-02-25,74.05,75.65,76.22,73.91,3030000.0,-0.0197
2020-02-26,72.87,74.32,74.65,72.69,3590000.0,-0.0159
2020-02-27,69.68,72.25,72.44,69.66,4310000.0,-0.0438
2020-02-28,66.65,67.97,68.26,65.52,5830000.0,-0.0435
2020-03-02,69.68,67.11,69.89,67.02,5050000.0,0.0455
2020-03-03,68.5,69.38,73.26,67.47,4130000.0,-0.0169
2020-03-04,70.65,69.17,70.67,67.78,3060000.0,0.031400000000000004
2020-03-05,67.65,69.19,69.94,66.96,3990000.0,-0.0425
2020-03-06,66.95,66.02,67.3,65.13,3330000.0,-0.0103
2020-03-09,61.25,62.5,63.78,60.25,4900000.0,-0.0851
2020-03-10,62.42,62.71,62.86,59.56,4390000.0,0.0191
2020-03-11,55.15,60.97,61.69,54.43,7360000.0,-0.1165
2020-03-12,43.51,49.92,51.55,43.49,9740000.0,-0.21109999999999998
2020-03-13,47.07,48.6,49.42,43.26,15150000.0,0.0818
2020-03-16,37.75,40.72,42.4,37.5,10260000.0,-0.198
2020-03-17,35.06,38.02,38.38,32.04,17470000.0,-0.0713
2020-03-18,31.24,33.62,33.62,26.0,26220000.0,-0.109
2020-03-19,37.11,31.05,40.48,28.76,11770000.0,0.18789999999999998
2020-03-20,35.33,41.69,45.68,35.2,13700000.0,-0.048
2020-03-23,36.27,34.58,36.94,32.37,11720000.0,0.026600000000000002
2020-03-24,38.98,39.3,43.0,37.88,10950000.0,0.0747
2020-03-25,45.65,39.54,47.02,39.43,10270000.0,0.1711
2020-03-26,53.48,47.21,54.03,47.0,10600000.0,0.17149999999999999
2020-03-27,50.45,50.03,53.12,48.88,9240000.0,-0.0567
2020-03-30,46.35,49.56,49.99,45.45,7370000.0,-0.08130000000000001
2020-03-31,45.63,46.05,48.18,45.55,5560000.0,-0.0155
2020-04-01,41.87,41.98,42.7,39.01,7410000.0,-0.0824
2020-04-02,41.29,40.99,43.48,40.41,4880000.0,-0.0139
2020-04-03,39.5,40.6,41.0,37.2,6870000.0,-0.0434
2020-04-06,45.01,42.05,45.54,41.53,6650000.0,0.13949999999999999
2020-04-07,46.07,48.64,49.62,45.75,6630000.0,0.0236
2020-04-08,47.25,47.28,50.0,46.45,5880000.0,0.0256
2020-04-09,49.59,49.04,52.68,48.77,6390000.0,0.0495
2020-04-13,47.05,49.65,49.81,45.47,3130000.0,-0.0512
2020-04-14,48.32,48.02,49.92,47.35,3720000.0,0.027000000000000003
2020-04-15,46.1,45.68,46.42,44.1,4820000.0,-0.045899999999999996
2020-04-16,45.74,46.07,47.17,44.4,6000000.0,-0.0078000000000000005
2020-04-17,50.31,49.51,51.25,49.19,8100000.0,0.0999
2020-04-20,49.61,49.39,50.69,48.7,3800000.0,-0.0139
2020-04-21,49.1,48.8,50.05,48.15,6100000.0,-0.0103
2020-04-22,51.35,50.25,52.44,49.41,5000000.0,0.0458
2020-04-23,49.75,49.11,51.35,48.71,8690000.0,-0.031200000000000002
2020-04-24,53.08,50.7,54.36,50.46,7250000.0,0.0669
2020-04-27,54.92,53.5,55.5,53.2,7300000.0,0.0347
2020-04-28,55.84,56.3,57.99,55.79,7780000.0,0.0168
2020-04-29,58.6,58.21,58.99,57.17,5110000.0,0.049400000000000006
2020-04-30,56.27,57.55,58.1,55.88,7070000.0,-0.0398
2020-05-01,52.76,54.5,54.86,52.5,3840000.0,-0.062400000000000004
2020-05-04,53.83,51.91,54.03,51.56,4510000.0,0.0203
2020-05-05,50.54,54.65,55.5,50.38,7370000.0,-0.0611
2020-05-06,51.88,50.98,52.08,50.2,6030000.0,0.0265
2020-05-07,52.28,52.07,53.57,51.16,4510000.0,0.0077
2020-05-08,53.29,53.08,53.48,52.02,2470000.0,0.019299999999999998
2020-05-11,51.7,53.27,53.27,51.39,3780000.0,-0.0298
2020-05-12,49.28,51.89,52.65,49.25,4620000.0,-0.046799999999999994
2020-05-13,46.69,49.25,49.29,45.87,5350000.0,-0.0526
2020-05-14,47.98,45.56,48.08,44.17,5470000.0,0.0276
2020-05-15,47.62,47.43,47.84,46.26,7650000.0,-0.0075
2020-05-18,52.7,50.29,53.67,50.24,6200000.0,0.1067
2020-05-19,51.38,52.41,53.44,50.47,3770000.0,-0.025
2020-05-20,52.58,52.74,53.24,52.05,3560000.0,0.023399999999999997
2020-05-21,52.48,52.59,53.84,52.14,3560000.0,-0.0019
2020-05-22,51.75,52.79,52.8,51.17,3540000.0,-0.0139
2020-05-26,55.11,53.75,55.63,53.13,4740000.0,0.0649
2020-05-27,56.95,56.0,57.75,55.36,5740000.0,0.0334
2020-05-28,55.95,57.52,57.6,55.37,4970000.0,-0.0176
2020-05-29,55.16,55.27,56.59,54.45,9020000.0,-0.0141
2020-06-01,57.18,56.14,57.77,55.59,3070000.0,0.0366
2020-06-02,56.64,57.31,57.68,56.11,2870000.0,-0.009399999999999999
2020-06-03,59.1,57.99,59.65,57.9,3080000.0,0.0434
2020-06-04,58.59,58.59,59.48,57.34,2880000.0,-0.0086
2020-06-05,61.59,63.37,64.38,61.14,6730000.0,0.0512
2020-06-08,64.11,65.01,65.01,63.18,6450000.0,0.0409
2020-06-09,61.39,62.89,62.89,60.15,5420000.0,-0.0424
2020-06-10,56.99,61.47,61.58,56.93,6990000.0,-0.0717
2020-06-11,53.37,53.86,55.34,53.02,6350000.0,-0.0635
2020-06-12,54.26,55.67,56.15,52.7,4360000.0,0.0167
2020-06-15,54.88,52.49,55.0,51.81,4330000.0,0.011399999999999999
2020-06-16,56.53,56.68,57.77,55.37,4710000.0,0.0301
2020-06-17,54.48,56.64,56.64,54.37,2540000.0,-0.0363
2020-06-18,55.93,54.0,56.0,53.25,3470000.0,0.026600000000000002
2020-06-19,54.26,56.89,56.93,54.15,5950000.0,-0.029900000000000003
2020-06-22,55.0,53.95,55.19,52.87,3270000.0,0.013600000000000001
2020-06-23,58.28,56.68,59.74,56.68,7160000.0,0.0596
2020-06-24,54.88,56.69,57.1,53.53,5380000.0,-0.0583
2020-06-25,55.0,54.14,55.58,53.76,2790000.0,0.0022
2020-06-26,52.3,54.7,54.7,52.26,6820000.0,-0.049100000000000005
2020-06-29,54.42,52.95,54.95,52.16,2970000.0,0.0405
2020-06-30,54.66,54.0,55.2,53.51,4670000.0,0.0044
