Date,Close,Open,High,Low,Volume,Change
2019-07-11,92.69,94.16,94.16,92.48,1520000.0,-0.0113
2019-07-12,94.44,93.3,94.58,92.78,1620000.0,0.0189
2019-07-15,93.52,94.39,94.67,93.47,1010000.0,-0.0097
2019-07-16,90.05,92.17,92.17,90.04,1870000.0,-0.0371
2019-07-17,88.22,90.0,90.0,88.09,2760000.0,-0.0203
2019-07-18,88.75,88.25,88.84,87.05,1790000.0,0.006
2019-07-19,88.71,89.21,89.83,88.33,1130000.0,-0.0005
2019-07-22,89.47,89.24,89.99,89.24,1170000.0,0.0086
2019-07-23,91.2,89.96,91.25,89.5,1560000.0,0.019299999999999998
2019-07-24,91.38,89.4,92.65,89.12,2350000.0,0.002
2019-07-25,91.95,90.35,91.96,89.56,2260000.0,0.0062
2019-07-26,93.65,91.95,93.81,91.82,2190000.0,0.018500000000000003
2019-07-29,94.01,93.4,94.47,93.11,2120000.0,0.0038
2019-07-30,93.35,93.17,94.27,92.94,2570000.0,-0.006999999999999999
2019-07-31,92.4,93.53,93.53,91.14,2200000.0,-0.0102
2019-08-01,90.98,92.12,93.57,90.65,2110000.0,-0.0154
2019-08-02,90.31,90.5,90.94,89.42,1870000.0,-0.0074
2019-08-05,87.68,88.9,89.26,87.12,2770000.0,-0.0291
2019-08-06,88.61,88.48,89.24,87.76,1680000.0,0.0106
2019-08-07,88.89,87.33,89.01,87.15,1160000.0,0.0032
2019-08-08,90.22,89.46,90.42,88.93,1310000.0,0.015
2019-08-09,89.77,90.0,90.44,89.21,1010000.0,-0.005
2019-08-12,88.17,89.26,89.33,87.88,1190000.0,-0.0178
2019-08-13,89.78,88.15,90.74,87.62,848050.0,0.0183
2019-08-14,87.99,88.6,88.89,87.61,1920000.0,-0.0199
2019-08-15,87.29,87.92,88.04,86.55,1330000.0,-0.008
2019-08-16,89.99,88.08,90.07,87.63,973680.0,0.030899999999999997
2019-08-19,90.91,91.0,91.63,90.85,930740.0,0.0102
2019-08-20,90.1,90.9,90.9,89.93,1100000.0,-0.0089
2019-08-21,90.85,91.25,91.28,90.13,699300.0,0.0083
2019-08-22,90.73,90.92,91.37,90.47,897240.0,-0.0013
2019-08-23,89.29,89.73,90.92,88.7,2049999.9999999998,-0.0159
2019-08-26,88.95,90.0,90.32,88.08,1560000.0,-0.0038
2019-08-27,89.66,89.6,89.78,89.06,1150000.0,0.008
2019-08-28,89.18,89.1,89.79,88.61,1360000.0,-0.0054
2019-08-29,91.83,90.56,92.39,90.28,1670000.0,0.0297
2019-08-30,91.22,92.42,92.64,91.14,2360000.0,-0.0066
2019-09-03,89.05,90.24,90.38,88.02,1710000.0,-0.023799999999999998
2019-09-04,90.94,89.78,91.15,89.78,1660000.0,0.0212
2019-09-05,94.51,92.11,94.93,91.94,1270000.0,0.0393
2019-09-06,94.85,94.74,95.1,94.02,816530.0,0.0036
2019-09-09,95.09,94.99,95.16,94.3,748210.0,0.0025
2019-09-10,95.76,94.87,95.76,94.27,776420.0,0.006999999999999999
2019-09-11,95.99,95.5,96.0,94.81,1750000.0,0.0024
2019-09-12,97.0,96.58,97.74,96.25,1150000.0,0.0105
2019-09-13,96.69,97.0,97.49,96.64,1040000.0,-0.0032
2019-09-16,95.1,96.16,96.16,95.03,1150000.0,-0.016399999999999998
2019-09-17,94.55,94.62,94.7,93.51,2600000.0,-0.0058
2019-09-18,94.73,94.62,95.28,94.02,1200000.0,0.0019
2019-09-19,94.38,94.84,95.66,94.37,937400.0,-0.0037
2019-09-20,93.18,94.93,94.97,93.17,1410000.0,-0.0127
2019-09-23,91.57,91.16,92.13,91.16,1670000.0,-0.0173
2019-09-24,91.38,92.18,92.18,91.02,2370000.0,-0.0021
2019-09-25,92.66,91.59,92.84,91.14,1500000.0,0.013999999999999999
2019-09-26,93.09,92.54,93.36,92.19,1270000.0,0.0046
2019-09-27,92.71,93.81,93.98,92.47,640000.0,-0.0040999999999999995
2019-09-30,93.18,93.35,93.81,92.95,1160000.0,0.0051
2019-10-01,91.53,93.92,94.28,91.5,1170000.0,-0.0177
2019-10-02,89.01,90.97,91.25,88.35,1470000.0,-0.0275
2019-10-03,89.36,89.05,89.6,88.01,1190000.0,0.0039000000000000003
2019-10-04,89.89,89.66,89.93,89.23,1070000.0,0.0059
2019-10-07,88.5,89.65,90.17,88.39,1620000.0,-0.0155
2019-10-08,85.53,87.71,87.83,85.47,1910000.0,-0.0336
2019-10-09,87.12,85.02,87.46,85.02,2049999.9999999998,0.018600000000000002
2019-10-10,88.07,87.21,89.09,87.07,1030000.0,0.0109
2019-10-11,90.15,89.43,91.23,89.17,1040000.0,0.0236
2019-10-14,90.42,89.76,90.49,89.65,632450.0,0.003
2019-10-15,92.02,90.42,92.08,90.2,959050.0,0.0177
2019-10-16,92.64,91.74,93.22,91.74,1270000.0,0.0067
