Date,Close,Open,High,Low,Volume,Change
2019-07-11,110.52,110.62,111.25,109.6,1170000.0,0.011000000000000001
2019-07-12,112.97,111.14,113.54,110.92,895500.0,0.0222
2019-07-15,111.46,112.92,113.14,110.72,833470.0,-0.0134
2019-07-16,112.31,113.0,113.22,112.17,976200.0,0.0076
2019-07-17,111.11,112.16,112.18,110.96,868890.0,-0.010700000000000001
2019-07-18,112.23,111.03,112.66,110.0,1390000.0,0.0101
2019-07-19,112.47,112.91,114.25,111.74,1270000.0,0.0021
2019-07-22,112.75,112.65,114.19,112.02,1150000.0,0.0025
2019-07-23,111.35,112.98,113.18,109.83,1450000.0,-0.0124
2019-07-24,112.49,111.18,113.02,110.91,1400000.0,0.0102
2019-07-25,111.47,105.0,111.83,105.0,2820000.0,-0.0091
2019-07-26,109.95,112.03,112.3,109.43,1460000.0,-0.013600000000000001
2019-07-29,110.45,109.88,110.95,109.21,1100000.0,0.0045000000000000005
2019-07-30,109.25,109.9,110.65,108.96,815530.0,-0.0109
2019-07-31,108.81,109.08,110.42,107.95,1290000.0,-0.004
2019-08-01,107.96,109.04,109.88,106.58,1350000.0,-0.0078000000000000005
2019-08-02,107.06,107.69,108.1,106.57,1070000.0,-0.0083
2019-08-05,102.75,105.59,105.73,101.95,1520000.0,-0.0403
2019-08-06,105.71,103.17,105.93,102.69,1140000.0,0.0288
2019-08-07,105.68,104.52,106.05,103.71,926390.0,-0.0003
2019-08-08,109.08,105.93,109.52,105.69,1090000.0,0.0322
2019-08-09,107.58,108.52,110.42,107.43,932390.0,-0.0138
2019-08-12,102.52,106.86,106.86,102.11,1490000.0,-0.047
2019-08-13,104.24,102.84,106.05,101.31,1240000.0,0.0168
2019-08-14,99.84,102.21,102.89,99.76,1250000.0,-0.042199999999999994
2019-08-15,99.36,99.99,100.78,98.6,1370000.0,-0.0048
2019-08-16,100.55,100.13,101.25,99.7,1080000.0,0.012
2019-08-19,101.21,101.75,102.12,99.67,1380000.0,0.0066
2019-08-20,100.87,100.92,102.37,100.53,865900.0,-0.0034000000000000002
2019-08-21,101.32,101.98,102.72,101.19,915050.0,0.0045000000000000005
2019-08-22,101.45,101.43,102.33,100.61,841970.0,0.0013
2019-08-23,96.86,100.09,100.1,95.93,2029999.9999999998,-0.0452
2019-08-26,98.86,97.6,98.9,97.03,1120000.0,0.0206
2019-08-27,99.4,99.28,99.89,98.95,1270000.0,0.0055000000000000005
2019-08-28,102.23,98.98,102.48,98.82,1400000.0,0.0285
2019-08-29,104.12,103.58,104.5,102.83,1000000.0,0.018500000000000003
2019-08-30,101.88,105.45,105.5,101.41,960420.0,-0.0215
2019-09-03,100.19,100.7,102.0,99.24,1290000.0,-0.0166
2019-09-04,100.3,100.6,101.01,99.17,1120000.0,0.0011
2019-09-05,102.98,101.45,103.41,100.65,1470000.0,0.026699999999999998
2019-09-06,103.54,103.72,104.99,103.33,2040000.0,0.0054
2019-09-09,102.58,103.82,104.35,101.89,1760000.0,-0.009300000000000001
2019-09-10,106.39,102.44,106.41,101.76,1260000.0,0.0371
2019-09-11,103.85,106.09,106.11,103.58,982240.0,-0.0239
2019-09-12,99.34,104.39,104.5,98.77,2120000.0,-0.0434
2019-09-13,97.1,100.04,100.19,96.92,2250000.0,-0.0225
2019-09-16,95.66,96.83,97.91,95.35,1610000.0,-0.0148
2019-09-17,96.18,95.61,97.27,94.65,1260000.0,0.0054
2019-09-18,93.55,96.01,96.69,92.53,2240000.0,-0.0273
2019-09-19,92.08,93.69,93.85,91.8,1750000.0,-0.015700000000000002
2019-09-20,90.39,91.35,92.51,90.25,2210000.0,-0.0184
2019-09-23,92.16,90.1,93.46,90.09,1470000.0,0.0196
2019-09-24,91.38,91.84,92.91,90.91,931640.0,-0.0085
2019-09-25,90.61,91.37,91.7,89.84,1170000.0,-0.0084
2019-09-26,88.96,89.85,90.47,88.41,1800000.0,-0.0182
2019-09-27,89.01,89.63,90.0,88.67,1380000.0,0.0006
2019-09-30,90.44,89.33,91.0,89.33,1770000.0,0.0161
2019-10-01,89.8,91.81,92.02,89.16,1460000.0,-0.0070999999999999995
2019-10-02,90.57,90.15,91.06,89.07,3010000.0,0.0086
2019-10-03,93.16,90.71,93.31,90.28,2810000.0,0.0286
2019-10-04,93.11,93.01,94.34,92.5,1350000.0,-0.0005
2019-10-07,92.05,93.07,93.97,91.86,1830000.0,-0.011399999999999999
2019-10-08,92.07,92.27,93.55,90.65,2320000.0,0.0002
2019-10-09,92.99,92.38,93.95,92.38,1250000.0,0.01
2019-10-10,93.12,92.55,93.51,92.46,1090000.0,0.0014000000000000002
2019-10-11,94.31,94.27,95.32,93.5,1750000.0,0.0128
2019-10-14,93.75,94.06,94.54,92.85,754250.0,-0.0059
2019-10-15,93.79,93.31,94.09,92.66,1100000.0,0.0004
2019-10-16,93.45,93.73,94.73,93.39,1250000.0,-0.0036
2019-10-17,92.9,94.12,94.29,92.7,1550000.0,-0.0059
2019-10-18,93.32,92.4,93.89,92.09,2210000.0,0.0045000000000000005
2019-10-21,92.44,93.99,93.99,92.21,1480000.0,-0.009399999999999999
2019-10-22,94.14,92.47,94.65,91.99,1190000.0,0.0184
2019-10-23,95.12,94.01,95.3,93.15,2780000.0,0.0104
2019-10-24,98.0,97.96,98.85,94.93,3820000.0,0.030299999999999997
2019-10-25,96.46,97.05,97.69,95.6,1910000.0,-0.015700000000000002
2019-10-28,95.71,96.96,97.65,95.52,995530.0,-0.0078000000000000005
2019-10-29,95.46,95.23,95.52,93.93,1430000.0,-0.0026
2019-10-30,97.01,95.29,97.13,95.26,1110000.0,0.016200000000000003
2019-10-31,95.02,96.68,96.77,94.46,1170000.0,-0.020499999999999997
2019-11-01,95.78,95.71,95.89,95.13,825810.0,0.008
2019-11-04,96.6,96.21,97.44,95.86,1180000.0,0.0086
2019-11-05,97.57,96.96,98.2,96.51,968000.0,0.01
2019-11-06,95.93,97.35,97.56,95.09,994560.0,-0.0168
2019-11-07,94.9,96.03,97.03,94.76,1080000.0,-0.010700000000000001
2019-11-08,94.82,94.76,95.19,94.03,796610.0,-0.0008
2019-11-11,96.45,94.72,96.52,94.3,857050.0,0.0172
2019-11-12,96.63,96.13,96.67,95.11,887450.0,0.0019
2019-11-13,96.93,96.18,98.09,95.16,1030000.0,0.0031
2019-11-14,97.56,97.02,98.28,95.2,856550.0,0.006500000000000001
2019-11-15,98.49,97.5,98.72,97.5,1340000.0,0.0095
2019-11-18,97.8,98.31,98.98,96.65,1060000.0,-0.006999999999999999
2019-11-19,96.54,97.67,97.74,96.37,1280000.0,-0.0129
2019-11-20,96.86,96.51,96.97,95.4,911320.0,0.0033
2019-11-21,96.8,96.77,98.0,96.61,1200000.0,-0.0006
2019-11-22,97.21,96.66,97.35,96.16,910940.0,0.0042
2019-11-25,95.71,97.9,98.21,95.44,2000000.0,-0.0154
2019-11-26,95.9,95.5,97.3,95.31,1700000.0,0.002
2019-11-27,95.49,96.0,96.3,95.06,571180.0,-0.0043
2019-11-29,94.44,95.31,95.44,94.21,779700.0,-0.011000000000000001
2019-12-02,95.78,94.9,96.19,94.53,1240000.0,0.014199999999999999
2019-12-03,94.64,94.64,95.83,93.56,1150000.0,-0.011899999999999999
2019-12-04,95.72,94.9,96.54,94.9,841330.0,0.011399999999999999
2019-12-05,96.44,96.53,98.56,96.27,1210000.0,0.0075
2019-12-06,97.5,97.55,98.31,96.19,943610.0,0.011000000000000001
2019-12-09,97.53,97.07,99.37,97.07,1310000.0,0.0003
2019-12-10,97.2,98.07,98.22,97.08,848590.0,-0.0034000000000000002
2019-12-11,97.03,97.15,97.98,96.62,660440.0,-0.0017000000000000001
2019-12-12,98.27,97.02,98.62,96.55,956090.0,0.0128
2019-12-13,94.93,98.22,98.48,94.92,1100000.0,-0.034
2019-12-16,93.72,95.25,95.61,93.63,1390000.0,-0.0127
2019-12-17,93.45,93.44,94.43,93.06,2020000.0,-0.0029
2019-12-18,93.11,93.93,94.09,92.01,1340000.0,-0.0036
2019-12-19,91.81,92.52,92.97,91.65,1300000.0,-0.013999999999999999
2019-12-20,92.17,92.52,93.33,91.64,2530000.0,0.0039000000000000003
2019-12-23,92.14,92.36,93.07,91.85,854120.0,-0.0003
2019-12-24,93.56,92.36,93.95,92.26,410760.0,0.0154
2019-12-26,92.48,93.65,94.06,92.17,1120000.0,-0.0115
2019-12-27,92.3,93.09,93.62,92.17,1150000.0,-0.0019
2019-12-30,92.9,92.32,93.46,91.86,1210000.0,0.006500000000000001
2019-12-31,93.44,92.71,93.76,92.52,894180.0,0.0058
2020-01-02,93.11,93.69,94.09,92.47,1070000.0,-0.0034999999999999996
2020-01-03,91.96,92.62,92.87,91.75,1530000.0,-0.0124
2020-01-06,91.65,91.13,91.65,90.16,1390000.0,-0.0034000000000000002
2020-01-07,90.01,90.77,91.64,88.28,2720000.0,-0.0179
2020-01-08,91.71,90.02,92.19,90.02,1450000.0,0.0189
2020-01-09,90.81,91.5,91.96,90.5,1120000.0,-0.0098
2020-01-10,91.27,91.0,91.73,90.51,1350000.0,0.0051
2020-01-13,90.39,91.11,91.12,90.19,970330.0,-0.0096
2020-01-14,90.18,90.33,91.39,89.87,1310000.0,-0.0023
2020-01-15,90.39,89.92,91.04,89.85,1320000.0,0.0023
2020-01-16,91.09,90.94,92.06,90.54,1180000.0,0.0077
2020-01-17,92.79,91.14,92.91,90.6,1370000.0,0.0187
2020-01-21,93.64,93.56,94.99,93.39,2180000.0,0.0092
2020-01-22,92.87,93.82,93.98,92.74,997770.0,-0.008199999999999999
2020-01-23,93.66,92.35,93.69,91.46,1080000.0,0.0085
2020-01-24,93.57,93.54,94.2,92.84,1940000.0,-0.001
2020-01-27,93.99,92.3,94.31,92.12,1460000.0,0.0045000000000000005
2020-01-28,94.99,93.93,96.3,93.75,2640000.0,0.0106
2020-01-29,95.02,95.05,96.23,94.8,2130000.0,0.0003
2020-01-30,93.83,88.8,96.32,88.02,4610000.0,-0.0125
2020-01-31,92.95,94.9,96.0,90.54,2800000.0,-0.009399999999999999
2020-02-03,94.41,93.98,95.99,93.98,2260000.0,0.015700000000000002
2020-02-04,91.1,95.31,96.41,90.96,2620000.0,-0.0351
2020-02-05,93.97,92.01,93.98,91.62,2089999.9999999998,0.0315
2020-02-06,96.59,94.85,96.78,94.1,1670000.0,0.0279
2020-02-07,96.55,95.91,96.6,95.4,1010000.0,-0.0004
2020-02-10,97.53,96.17,99.12,96.17,2110000.0,0.0102
2020-02-11,97.57,97.82,97.82,96.16,1220000.0,0.0004
2020-02-12,98.53,97.63,99.13,97.43,907810.0,0.0098
2020-02-13,98.26,98.35,98.67,97.33,950730.0,-0.0027
2020-02-14,98.17,98.06,98.6,97.58,675730.0,-0.0009
2020-02-18,97.83,98.55,99.0,97.03,768890.0,-0.0034999999999999996
2020-02-19,98.64,98.42,99.6,97.99,881730.0,0.0083
2020-02-20,99.0,98.32,99.2,96.88,979170.0,0.0036
2020-02-21,99.78,98.27,100.16,98.17,1350000.0,0.0079
2020-02-24,96.46,97.83,98.98,96.33,1560000.0,-0.0333
2020-02-25,93.15,96.96,97.75,92.9,1340000.0,-0.034300000000000004
2020-02-26,91.49,93.75,95.48,91.44,1380000.0,-0.0178
2020-02-27,90.43,90.39,94.35,88.76,1940000.0,-0.0116
2020-02-28,88.51,88.27,90.26,86.62,3320000.0,-0.0212
2020-03-02,91.48,88.5,91.53,87.68,1660000.0,0.0336
2020-03-03,93.14,91.08,94.8,90.8,2320000.0,0.0181
2020-03-04,96.35,94.53,96.38,93.04,1610000.0,0.0345
2020-03-05,93.65,94.58,95.89,92.46,1180000.0,-0.027999999999999997
2020-03-06,91.48,91.9,92.87,89.52,1760000.0,-0.0232
2020-03-09,80.84,86.51,86.64,77.5,4000000.0,-0.11630000000000001
2020-03-10,86.95,83.33,87.15,80.35,2610000.0,0.0756
2020-03-11,83.3,83.43,85.11,82.0,2440000.0,-0.042
2020-03-12,76.51,77.07,81.88,71.79,2930000.0,-0.0815
2020-03-13,76.21,79.96,81.18,71.09,2400000.0,-0.0039000000000000003
