Date,Close,Open,High,Low,Volume,Change
2019-07-11,89.48,89.51,90.6,89.0,2260000.0,-0.0003
2019-07-12,91.23,89.7,91.52,89.62,2900000.0,0.0196
2019-07-15,91.32,91.6,92.43,91.15,2390000.0,0.001
2019-07-16,93.92,91.81,94.5,91.8,4710000.0,0.0285
2019-07-17,94.78,94.03,95.25,92.34,6020000.0,0.0092
2019-07-18,95.28,94.32,95.48,93.88,3300000.0,0.0053
2019-07-19,93.83,95.38,96.03,93.54,3360000.0,-0.0152
2019-07-22,93.83,94.07,95.06,93.77,2310000.0,0.0
2019-07-23,94.93,94.14,94.98,93.75,2110000.0,0.011699999999999999
2019-07-24,95.11,94.91,95.45,94.24,2340000.0,0.0019
2019-07-25,93.93,94.19,95.11,92.96,3200000.0,-0.0124
2019-07-26,93.36,94.02,94.44,93.23,1680000.0,-0.0060999999999999995
2019-07-29,93.44,93.44,94.05,93.13,1960000.0,0.0009
2019-07-30,93.93,92.83,93.97,92.48,1720000.0,0.0052
2019-07-31,91.91,93.56,93.82,91.48,2130000.0,-0.0215
2019-08-01,90.49,92.03,93.04,89.73,2520000.0,-0.0154
2019-08-02,89.43,90.01,90.25,88.83,2280000.0,-0.011699999999999999
2019-08-05,85.59,88.88,88.88,84.8,3720000.0,-0.0429
2019-08-06,85.46,85.91,86.57,84.97,2370000.0,-0.0015
2019-08-07,86.48,84.72,86.96,84.03,2380000.0,0.011899999999999999
2019-08-08,87.63,86.71,87.98,86.59,1420000.0,0.013300000000000001
2019-08-09,86.98,87.46,87.83,86.1,2080000.0,-0.0074
2019-08-12,84.71,86.24,86.24,83.95,2190000.0,-0.026099999999999998
2019-08-13,84.56,84.15,86.28,83.53,2670000.0,-0.0018
2019-08-14,81.95,83.05,83.58,80.78,3250000.0,-0.030899999999999997
2019-08-15,81.62,82.04,82.23,80.83,3240000.0,-0.004
2019-08-16,82.94,82.25,83.31,81.84,2290000.0,0.016200000000000003
2019-08-19,83.89,84.02,84.93,83.81,2270000.0,0.0115
2019-08-20,84.03,83.65,84.43,83.21,1500000.0,0.0017000000000000001
2019-08-21,85.29,84.67,85.67,84.63,1670000.0,0.015
