Date,Close,Open,High,Low,Volume,Change
2019-07-11,131.24,131.12,132.59,129.51,358270.0,0.012199999999999999
2019-07-12,132.9,130.88,133.19,130.28,404440.0,0.0126
2019-07-15,133.76,132.9,134.12,131.94,447190.0,0.006500000000000001
2019-07-16,133.97,133.99,134.5,133.42,435590.0,0.0016
2019-07-17,132.88,133.73,134.03,132.68,348790.0,-0.008100000000000001
2019-07-18,133.18,132.88,133.66,131.47,412380.0,0.0023
2019-07-19,132.63,133.21,133.21,131.91,489920.0,-0.0040999999999999995
2019-07-22,132.67,132.65,133.65,132.19,401310.0,0.0003
2019-07-23,133.71,132.73,133.76,131.19,363050.0,0.0078000000000000005
2019-07-24,137.0,133.84,137.3,132.53,1020000.0,0.0246
2019-07-25,136.97,136.76,137.53,135.48,932630.0,-0.0002
2019-07-26,151.89,145.6,157.79,145.6,2960000.0,0.10890000000000001
2019-07-29,152.65,149.72,153.49,146.19,1350000.0,0.005
2019-07-30,152.87,150.02,153.18,146.85,934530.0,0.0014000000000000002
2019-07-31,150.86,152.78,153.24,149.03,803290.0,-0.0131
2019-08-01,147.16,151.1,151.98,145.48,876320.0,-0.0245
2019-08-02,146.45,146.71,147.4,145.55,818200.0,-0.0048
2019-08-05,143.34,145.04,145.96,142.33,681170.0,-0.0212
2019-08-06,146.39,144.36,146.59,143.0,784340.0,0.0213
2019-08-07,146.14,146.05,147.15,143.82,749690.0,-0.0017000000000000001
2019-08-08,146.46,146.82,147.69,145.36,509210.0,0.0022
2019-08-09,146.94,146.49,147.68,145.54,379130.0,0.0033
2019-08-12,146.69,147.01,147.38,145.24,436730.0,-0.0017000000000000001
2019-08-13,148.97,147.13,150.23,146.23,521030.0,0.0155
2019-08-14,145.83,147.48,147.52,144.39,586560.0,-0.021099999999999997
2019-08-15,145.37,146.01,146.62,145.22,419630.0,-0.0032
2019-08-16,147.35,145.97,148.07,145.31,494940.0,0.013600000000000001
2019-08-19,148.2,148.82,149.12,147.15,337890.0,0.0058
2019-08-20,145.64,147.53,147.99,145.48,657290.0,-0.0173
2019-08-21,147.14,146.76,147.32,145.25,456630.0,0.0103
2019-08-22,145.95,147.17,147.88,145.9,422900.0,-0.008100000000000001
2019-08-23,143.48,145.2,147.1,142.74,600650.0,-0.0169
2019-08-26,144.23,144.48,144.81,142.5,469130.0,0.0052
2019-08-27,140.68,144.89,145.0,140.63,511290.0,-0.0246
2019-08-28,142.6,140.02,142.62,139.88,576850.0,0.013600000000000001
2019-08-29,144.24,143.76,145.58,142.99,609580.0,0.0115
2019-08-30,144.58,145.21,145.3,143.82,592780.0,0.0024
2019-09-03,145.91,143.61,146.04,143.32,487580.0,0.0092
2019-09-04,146.26,147.17,147.85,145.04,348530.0,0.0024
2019-09-05,145.14,148.0,148.42,144.74,884600.0,-0.0077
2019-09-06,148.26,145.84,148.6,144.99,692380.0,0.0215
2019-09-09,149.52,148.32,150.48,146.65,758800.0,0.0085
2019-09-10,155.37,149.46,155.64,149.21,1320000.0,0.0391
2019-09-11,155.11,154.59,157.06,153.37,1190000.0,-0.0017000000000000001
2019-09-12,152.96,155.5,156.09,152.64,848930.0,-0.0139
2019-09-13,152.52,153.66,156.93,151.69,676530.0,-0.0029
2019-09-16,153.89,151.64,154.11,151.05,640460.0,0.009000000000000001
2019-09-17,151.87,153.64,153.64,150.35,814420.0,-0.0131
2019-09-18,151.99,151.74,153.38,150.36,675980.0,0.0008
2019-09-19,150.01,151.82,153.27,149.96,768920.0,-0.013000000000000001
2019-09-20,150.12,150.46,151.66,149.23,1120000.0,0.0007000000000000001
2019-09-23,149.97,149.25,150.84,148.68,638170.0,-0.001
2019-09-24,148.45,150.27,150.29,147.47,869130.0,-0.0101
2019-09-25,147.35,148.45,149.16,146.9,985440.0,-0.0074
2019-09-26,146.56,147.83,148.38,145.79,990820.0,-0.0054
2019-09-27,146.83,147.27,148.27,146.32,519380.0,0.0018
2019-09-30,148.75,147.06,149.51,146.89,614100.0,0.0131
2019-10-01,147.11,148.46,151.18,146.45,491550.0,-0.011000000000000001
