Date,Close,Open,High,Low,Volume,Change
2019-07-11,346.98,348.0,349.95,346.15,537160.0,-0.0006
2019-07-12,356.39,348.0,357.27,347.27,651430.0,0.0271
2019-07-15,355.68,356.97,361.27,354.3,741660.0,-0.002
2019-07-16,360.54,356.57,361.85,355.61,1410000.0,0.0137
2019-07-17,366.39,361.52,368.83,361.52,713720.0,0.016200000000000003
2019-07-18,366.21,363.55,368.72,363.55,518659.99999999994,-0.0005
2019-07-19,357.0,365.19,367.01,356.45,574630.0,-0.025099999999999997
2019-07-22,352.95,357.79,359.8,351.09,550260.0,-0.0113
2019-07-23,351.99,354.0,354.11,349.98,648400.0,-0.0027
2019-07-24,352.94,351.99,353.17,348.75,532150.0,0.0027
2019-07-25,354.62,353.73,359.74,352.0,486880.0,0.0048
2019-07-26,353.88,355.72,356.05,349.56,497650.0,-0.0021
2019-07-29,346.13,352.67,353.19,341.4,815670.0,-0.0219
2019-07-30,348.63,345.03,350.45,342.15,579730.0,0.0072
2019-07-31,349.25,347.62,354.0,344.37,521280.0,0.0018
2019-08-01,345.51,348.73,352.08,341.89,683860.0,-0.010700000000000001
2019-08-02,337.02,346.24,348.57,334.16,811060.0,-0.0246
2019-08-05,330.14,331.98,331.98,326.34,728400.0,-0.0204
2019-08-06,340.28,330.37,340.95,329.0,688200.0,0.030699999999999998
2019-08-07,343.68,337.22,344.36,336.7,756090.0,0.01
2019-08-08,353.04,345.18,355.36,344.76,588160.0,0.027200000000000002
2019-08-09,346.7,351.49,353.4,345.0,522710.00000000006,-0.018000000000000002
2019-08-12,336.51,345.91,345.91,332.68,759230.0,-0.0294
2019-08-13,341.2,334.31,348.31,333.33,576810.0,0.0139
2019-08-14,321.0,330.06,332.2,320.17,1250000.0,-0.0592
2019-08-15,320.44,320.74,324.87,315.49,990470.0,-0.0017000000000000001
2019-08-16,322.03,323.52,327.89,319.26,573550.0,0.005
2019-08-19,325.25,327.43,328.76,322.45,812590.0,0.01
2019-08-20,323.08,325.17,328.28,320.51,475820.0,-0.0067
2019-08-21,328.12,327.24,331.49,326.81,521110.0,0.015600000000000001
2019-08-22,334.87,328.54,338.5,328.54,755990.0,0.0206
2019-08-23,322.1,330.64,332.37,321.24,1100000.0,-0.0381
2019-08-26,330.22,327.0,331.99,324.54,1010000.0,0.0252
2019-08-27,323.77,333.16,334.8,323.6,1000000.0,-0.0195
