Date,Close,Open,High,Low,Volume,Change
2019-07-11,124.49,124.38,124.62,123.26,143030.0,0.0052
2019-07-12,124.43,124.59,125.3,123.32,188760.0,-0.0005
2019-07-15,124.38,124.44,124.93,123.41,258680.0,-0.0004
2019-07-16,123.22,124.48,124.67,123.16,151780.0,-0.009300000000000001
2019-07-17,121.91,123.22,123.28,121.69,249120.0,-0.0106
2019-07-18,122.07,121.8,122.6,120.44,359480.0,0.0013
2019-07-19,121.41,122.28,122.28,120.82,292090.0,-0.0054
2019-07-22,123.01,121.73,123.22,121.73,330290.0,0.0132
2019-07-23,123.27,123.1,124.24,122.7,238220.0,0.0021
2019-07-24,122.27,122.23,123.02,120.12,431530.0,-0.008100000000000001
2019-07-25,132.86,130.37,135.47,127.84,1150000.0,0.0866
2019-07-26,136.91,134.3,139.23,132.36,657690.0,0.0305
2019-07-29,138.37,137.6,138.67,136.08,512590.00000000006,0.010700000000000001
2019-07-30,137.48,137.91,138.22,136.26,559530.0,-0.0064
2019-07-31,137.27,137.05,138.81,135.73,472240.0,-0.0015
2019-08-01,137.28,137.59,139.59,136.58,332570.0,0.0001
2019-08-02,135.56,136.72,136.8,135.17,322850.0,-0.0125
2019-08-05,133.64,133.63,135.78,132.7,547410.0,-0.014199999999999999
2019-08-06,138.42,134.61,138.48,134.45,353370.0,0.0358
2019-08-07,139.65,137.2,140.16,136.12,321740.0,0.0089
2019-08-08,143.09,140.58,143.5,140.28,423910.0,0.0246
2019-08-09,143.92,142.67,144.82,142.67,321060.0,0.0058
2019-08-12,142.29,142.91,144.19,141.76,165210.0,-0.0113
2019-08-13,145.07,143.03,145.14,141.98,287520.0,0.0195
2019-08-14,142.35,143.48,144.29,142.02,268240.0,-0.0187
2019-08-15,142.88,143.0,144.02,142.1,143890.0,0.0037
2019-08-16,145.06,143.79,145.17,143.09,161110.0,0.015300000000000001
2019-08-19,145.78,146.37,146.37,145.09,171610.0,0.005
2019-08-20,145.12,145.76,146.29,145.01,164500.0,-0.0045000000000000005
2019-08-21,145.93,145.65,147.15,145.02,215990.0,0.005600000000000001
2019-08-22,145.86,146.73,147.19,144.98,188830.0,-0.0005
2019-08-23,143.33,145.76,146.9,143.03,203030.0,-0.0173
2019-08-26,145.35,144.52,145.5,143.5,175100.0,0.0141
2019-08-27,146.27,146.34,146.96,145.19,213230.0,0.0063
2019-08-28,146.19,145.76,146.7,145.2,146620.0,-0.0005
2019-08-29,147.14,146.75,147.69,146.49,153230.0,0.006500000000000001
2019-08-30,145.46,147.3,147.37,144.92,259410.00000000003,-0.011399999999999999
2019-09-03,144.87,144.5,145.52,143.17,291930.0,-0.0040999999999999995
2019-09-04,147.93,145.06,148.16,144.96,341050.0,0.021099999999999997
2019-09-05,150.02,149.31,150.38,148.03,226370.0,0.0141
2019-09-06,149.7,150.24,152.1,149.46,252440.0,-0.0021
2019-09-09,145.45,149.87,150.12,144.77,504470.0,-0.028399999999999998
2019-09-10,141.06,144.81,145.49,138.89,600880.0,-0.0302
2019-09-11,144.72,141.62,145.68,141.43,436560.0,0.0259
2019-09-12,146.09,145.49,146.59,144.33,207040.0,0.0095
2019-09-13,144.2,145.43,147.04,143.83,326020.0,-0.0129
2019-09-16,142.13,143.43,144.05,141.67,389850.0,-0.0144
2019-09-17,143.3,142.21,144.28,141.76,317610.0,0.008199999999999999
