Date,Close,Open,High,Low,Volume,Change
2019-07-11,77.57,77.41,77.61,77.05,6400000.0,0.0008
2019-07-12,77.63,77.75,77.88,77.5,6140000.0,0.0008
2019-07-15,77.08,77.63,77.74,76.89,7120000.0,-0.0070999999999999995
2019-07-16,75.93,76.92,77.07,75.79,10200000.0,-0.0149
2019-07-17,75.48,75.74,75.96,75.35,7420000.0,-0.0059
2019-07-18,74.84,75.03,75.27,74.18,11430000.0,-0.0085
2019-07-19,74.99,74.9,75.25,74.53,11240000.0,0.002
2019-07-22,75.07,75.24,75.3,74.5,8369999.999999999,0.0011
2019-07-23,75.37,75.15,75.77,74.75,8550000.0,0.004
2019-07-24,75.36,75.39,76.05,74.85,8260000.0,-0.0001
2019-07-25,74.93,75.78,75.78,74.8,9080000.0,-0.005699999999999999
2019-07-26,74.81,74.87,75.08,74.6,7680000.0,-0.0016
2019-07-29,75.34,74.88,75.38,74.7,7090000.0,0.0070999999999999995
2019-07-30,75.35,75.06,75.56,74.89,6960000.0,0.0001
2019-07-31,74.36,75.04,75.66,74.26,13100000.0,-0.0131
2019-08-01,72.46,73.74,74.27,72.27,17130000.0,-0.0256
2019-08-02,71.75,72.61,73.26,71.18,21380000.0,-0.0098
2019-08-05,70.28,70.78,70.92,69.61,19080000.0,-0.020499999999999997
2019-08-06,70.96,70.29,71.01,70.28,12280000.0,0.0097
2019-08-07,70.5,69.86,70.88,69.4,15230000.0,-0.006500000000000001
2019-08-08,72.38,70.85,72.41,70.62,14300000.0,0.026699999999999998
2019-08-09,70.84,72.13,72.25,70.47,13690000.0,-0.0213
2019-08-12,69.63,70.06,70.16,69.33,9540000.0,-0.0171
2019-08-13,70.49,69.27,70.62,68.92,12440000.0,0.0124
2019-08-14,67.65,69.07,69.09,67.65,18110000.0,-0.0403
2019-08-15,67.25,67.46,67.56,66.53,12870000.0,-0.0059
2019-08-16,68.3,67.78,68.46,67.27,12650000.0,0.015600000000000001
2019-08-19,69.45,68.97,69.65,68.86,10030000.0,0.0168
2019-08-20,69.03,69.3,69.3,68.71,9740000.0,-0.006
2019-08-21,69.72,69.96,69.98,69.37,10130000.0,0.01
2019-08-22,69.57,69.91,69.96,69.25,8970000.0,-0.0022
2019-08-23,67.49,68.82,69.53,67.03,15370000.0,-0.029900000000000003
2019-08-26,67.85,68.12,68.26,67.53,7340000.0,0.0053
2019-08-27,67.19,68.13,68.44,66.97,9490000.0,-0.0097
2019-08-28,67.68,67.53,67.98,67.16,9660000.0,0.0073
